date,close,open,volume,high,low
2023-09-18,23.27,23.15,347783,23.27,23.15
2023-09-19,23.28,23.34,223918,23.34,23.28
2023-09-20,23.45,23.2,471511,23.45,23.2
2023-09-21,24.07,23.06,1218445,24.07,23.06
2023-09-22,25.99,24.29,1917557,25.99,24.29
2023-09-25,26.51,26.49,3279987,26.51,26.49
2023-09-26,26.72,26.51,2548836,26.72,26.51
2023-09-27,27.01,26.55,1459849,27.01,26.55
2023-09-28,26.99,27.1,701478,27.1,26.99
2023-10-02,26.74,26.6,277196,26.74,26.6
2023-10-03,26.66,26.8,773322,26.8,26.66
2023-10-04,26.67,26.66,614415,26.67,26.66
2023-10-05,26.68,26.88,146429,26.88,26.68
2023-10-06,26.36,26.85,529232,26.85,26.36
2023-10-09,25.93,26.36,384641,26.36,25.93
2023-10-10,25.98,26.09,480744,26.09,25.98
2023-10-11,26.28,25.98,656892,26.28,25.98
2023-10-12,25.54,26.2,759495,26.2,25.54
2023-10-13,25.2,25.5,636668,25.5,25.2
2023-10-16,25.25,25.3,255052,25.3,25.25
2023-10-17,24.46,25.26,1680533,25.26,24.46
2023-10-18,23.88,24.48,572667,24.48,23.88
2023-10-19,24.34,23.75,486931,24.34,23.75
2023-10-20,24.41,24.48,455016,24.48,24.41
2023-10-23,24.32,24.5,157512,24.5,24.32
2023-10-24,24.06,24.35,180651,24.35,24.06
2023-10-25,24.31,24.32,220701,24.32,24.31
2023-10-26,24.27,24.47,144145,24.47,24.27
2023-10-27,23.91,24.21,173011,24.21,23.91
2023-10-30,24.12,23.99,184987,24.12,23.99
2023-10-31,24.0,24.2,110345,24.2,24.0
2023-11-01,23.94,24.02,337246,24.02,23.94
2023-11-02,24.1,23.98,370064,24.1,23.98
2023-11-03,24.38,24.15,460884,24.38,24.15
2023-11-06,25.53,24.38,1974164,25.53,24.38
2023-11-07,25.55,25.79,1400919,25.79,25.55
2023-11-08,25.64,25.5,236845,25.64,25.5
2023-11-10,25.4,25.6,897343,25.6,25.4
2023-11-13,25.13,25.42,539239,25.42,25.13
2023-11-14,25.89,25.13,1822899,25.89,25.13
2023-11-15,25.72,25.85,403899,25.85,25.72
2023-11-16,26.24,25.82,960176,26.24,25.82
2023-11-17,26.22,26.5,1622023,26.5,26.22
2023-11-20,26.3,25.99,391803,26.3,25.99
2023-11-21,26.34,26.2,511091,26.34,26.2
2023-11-22,26.56,26.47,1998387,26.56,26.47
2023-11-23,26.9,26.56,713912,26.9,26.56
2023-11-24,26.73,26.9,542916,26.9,26.73
2023-11-27,26.68,26.9,896716,26.9,26.68
2023-11-28,26.41,26.51,368865,26.51,26.41
2023-11-29,25.93,26.5,709992,26.5,25.93
2023-11-30,26.2,26.15,249695,26.2,26.15
2023-12-01,26.3,26.4,269019,26.4,26.3
2023-12-04,26.8,26.15,1135466,26.8,26.15
2023-12-05,26.97,26.45,923412,26.97,26.45
2023-12-06,27.09,27.05,773720,27.09,27.05
2023-12-07,26.55,27.21,976700,27.21,26.55
2023-12-08,26.51,26.73,355662,26.73,26.51
2023-12-11,26.32,26.53,296012,26.53,26.32
2023-12-12,26.85,26.5,1729797,26.85,26.5
2023-12-13,26.98,27.22,2194538,27.22,26.98
2023-12-14,26.52,27.0,556207,27.0,26.52
2023-12-15,26.72,26.52,676252,26.72,26.52
2023-12-18,26.65,27.48,573960,27.48,26.65
2023-12-19,25.4,26.5,1868226,26.5,25.4
2023-12-20,24.48,25.45,722961,25.45,24.48
2023-12-21,24.49,24.5,499400,24.5,24.49
2023-12-22,24.63,24.8,368373,24.8,24.63
2023-12-26,23.0,24.63,439901,24.63,23.0
2023-12-27,24.09,23.0,225951,24.09,23.0
2023-12-28,24.7,24.52,508492,24.7,24.52
2023-12-29,25.49,24.85,298282,25.49,24.85
2024-01-01,26.13,24.5,533216,26.13,24.5
2024-01-02,26.43,26.37,1041397,26.43,26.37
2024-01-03,26.31,26.46,550475,26.46,26.31
2024-01-04,26.05,26.35,150103,26.35,26.05
2024-01-05,26.04,26.15,166656,26.15,26.04
2024-01-08,26.18,26.1,621162,26.18,26.1
2024-01-09,26.07,26.25,644605,26.25,26.07
2024-01-10,25.57,26.1,408730,26.1,25.57
2024-01-11,25.59,25.84,220468,25.84,25.59
2024-01-12,23.56,25.61,2021342,25.61,23.56
2024-01-15,22.0,22.49,3638368,22.49,22.0
2024-01-16,20.8,22.15,3474476,22.15,20.8
2024-01-17,20.81,20.7,3103286,20.81,20.7
2024-01-18,20.88,21.16,1110811,21.16,20.88
2024-01-19,20.04,20.95,7608746,20.95,20.04
2024-01-22,19.51,20.06,1405484,20.06,19.51
2024-01-23,19.78,19.51,992404,19.78,19.51
2024-01-24,19.71,19.85,950248,19.85,19.71
2024-01-25,19.56,19.89,3762084,19.89,19.56
2024-01-26,19.25,19.5,2509421,19.5,19.25
2024-01-29,19.05,19.44,636271,19.44,19.05
2024-01-30,18.3,19.15,1174414,19.15,18.3
2024-01-31,18.39,18.31,733058,18.39,18.31
2024-02-01,18.37,18.03,332849,18.37,18.03
2024-02-02,18.64,18.4,775160,18.64,18.4
2024-02-06,19.07,18.91,567445,19.07,18.91
2024-02-07,19.29,19.39,691170,19.39,19.29
2024-02-09,18.92,18.5,349856,18.92,18.5
2024-02-12,17.43,18.8,1287335,18.8,17.43
2024-02-13,17.86,17.44,824162,17.86,17.44
2024-02-14,18.13,17.94,951505,18.13,17.94
2024-02-15,17.8,18.23,389118,18.23,17.8
2024-02-16,17.35,17.8,560202,17.8,17.35
2024-02-19,17.36,17.35,582740,17.36,17.35
2024-02-20,17.53,17.4,680006,17.53,17.4
2024-02-21,16.96,17.8,4470730,17.8,16.96
2024-02-22,17.14,17.11,1001772,17.14,17.11
2024-02-23,17.0,17.2,1594502,17.2,17.0
2024-02-26,17.51,17.2,1325273,17.51,17.2
2024-02-27,17.42,17.65,857003,17.65,17.42
2024-02-28,17.3,17.4,623571,17.4,17.3
2024-02-29,17.89,17.3,3538444,17.89,17.3
2024-03-01,17.82,17.75,647412,17.82,17.75
2024-03-04,17.85,17.99,527940,17.99,17.85
2024-03-05,17.71,18.0,360268,18.0,17.71
2024-03-06,17.48,17.71,554470,17.71,17.48
2024-03-07,17.38,17.55,297422,17.55,17.38
2024-03-08,17.72,17.32,626287,17.72,17.32
2024-03-11,17.78,17.75,1000142,17.78,17.75
2024-03-12,17.57,17.72,568357,17.72,17.57
