date,close,open,volume,high,low
2023-09-13,10.63,10.79,817355,10.79,10.63
2023-09-14,10.55,10.74,263596,10.74,10.55
2023-09-15,10.53,10.7,475184,10.7,10.53
2023-09-18,10.18,10.5,1520580,10.5,10.18
2023-09-19,10.12,10.28,785937,10.28,10.12
2023-09-20,10.32,10.3,709927,10.32,10.3
2023-09-21,10.67,10.37,556823,10.67,10.37
2023-09-22,10.79,10.7,684931,10.79,10.7
2023-09-25,11.35,10.85,1122852,11.35,10.85
2023-09-26,11.57,11.52,1532363,11.57,11.52
2023-09-27,11.66,11.57,829515,11.66,11.57
2023-09-28,11.52,11.75,519406,11.75,11.52
2023-10-02,11.6,11.5,346666,11.6,11.5
2023-10-03,11.7,11.7,498355,11.7,11.7
2023-10-04,11.71,11.81,438076,11.81,11.71
2023-10-05,11.71,11.74,449549,11.74,11.71
2023-10-06,11.24,11.82,883548,11.82,11.24
2023-10-09,11.36,11.16,478354,11.36,11.16
2023-10-10,11.56,11.4,440252,11.56,11.4
2023-10-11,11.63,11.7,447640,11.7,11.63
2023-10-12,11.64,11.79,565954,11.79,11.64
2023-10-13,11.68,11.61,603979,11.68,11.61
2023-10-16,12.25,11.75,1314188,12.25,11.75
2023-10-17,12.129999999999999,12.43,1771405,12.43,12.129999999999999
2023-10-18,12.16,12.100000000000001,374573,12.16,12.100000000000001
2023-10-19,12.82,12.2,1391115,12.82,12.2
2023-10-20,12.620000000000001,12.95,1109175,12.95,12.620000000000001
2023-10-23,12.43,12.8,420048,12.8,12.43
2023-10-24,11.98,12.45,1010941,12.45,11.98
2023-10-25,11.76,12.0,882575,12.0,11.76
2023-10-26,11.76,11.95,844474,11.95,11.76
2023-10-27,11.55,11.8,1587215,11.8,11.55
2023-10-30,11.84,11.95,891552,11.95,11.84
2023-10-31,12.48,11.9,1406405,12.48,11.9
2023-11-01,12.850000000000001,12.55,1537137,12.850000000000001,12.55
2023-11-02,12.82,12.899999999999999,972443,12.899999999999999,12.82
2023-11-03,12.55,12.899999999999999,1156318,12.899999999999999,12.55
2023-11-06,12.8,12.600000000000001,643530,12.8,12.600000000000001
2023-11-07,12.7,12.899999999999999,1162520,12.899999999999999,12.7
2023-11-08,12.850000000000001,12.870000000000001,365018,12.870000000000001,12.850000000000001
2023-11-10,13.350000000000001,12.899999999999999,1502967,13.350000000000001,12.899999999999999
2023-11-13,14.64,13.5,3567627,14.64,13.5
2023-11-14,16.05,15.5,1045004,16.05,15.5
2023-11-15,17.09,17.55,5703271,17.55,17.09
2023-11-16,16.85,17.29,2465348,17.29,16.85
2023-11-17,16.5,17.29,1493064,17.29,16.5
2023-11-20,16.18,16.65,964215,16.65,16.18
2023-11-21,17.69,16.6,2704949,17.69,16.6
2023-11-22,18.14,18.45,4703683,18.45,18.14
2023-11-23,17.97,18.25,1164776,18.25,17.97
2023-11-24,17.75,18.15,606046,18.15,17.75
2023-11-27,17.89,17.75,492305,17.89,17.75
2023-11-28,17.95,18.0,1120008,18.0,17.95
2023-11-29,17.96,18.1,1621657,18.1,17.96
2023-11-30,17.95,18.0,555626,18.0,17.95
2023-12-01,18.04,18.1,840962,18.1,18.04
2023-12-04,18.28,18.13,1373411,18.28,18.13
2023-12-05,19.35,18.44,6236930,19.35,18.44
2023-12-06,19.32,19.49,1335478,19.49,19.32
2023-12-07,19.14,19.44,1640847,19.44,19.14
2023-12-08,19.36,19.1,1186257,19.36,19.1
2023-12-11,19.03,19.4,947430,19.4,19.03
2023-12-12,19.49,19.45,1819561,19.49,19.45
2023-12-13,19.53,19.8,3410255,19.8,19.53
2023-12-14,19.77,19.35,1277330,19.77,19.35
2023-12-15,20.39,19.85,1914029,20.39,19.85
2023-12-18,19.96,20.61,815121,20.61,19.96
2023-12-19,18.32,20.0,1386088,20.0,18.32
2023-12-20,19.14,18.4,2516169,19.14,18.4
2023-12-21,19.4,19.21,651947,19.4,19.21
2023-12-22,18.79,19.4,613575,19.4,18.79
2023-12-26,17.16,18.6,707609,18.6,17.16
2023-12-27,17.74,17.05,495799,17.74,17.05
