date,close,open,volume,high,low
2021-02-26,851.73,835.0,1142025,851.73,835.0
2021-03-01,854.47,851.99,793258,854.47,851.99
2021-03-02,845.13,859.01,665484,859.01,845.13
2021-03-03,847.17,848.89,575797,848.89,847.17
2021-03-04,824.96,824.25,1162982,824.96,824.25
2021-03-05,836.72,827.0,540954,836.72,827.0
2021-03-08,808.39,854.0,1124583,854.0,808.39
2021-03-09,794.04,805.75,1051418,805.75,794.04
2021-03-10,779.85,794.25,579512,794.25,779.85
2021-03-11,766.42,784.0,1105682,784.0,766.42
2021-03-12,791.64,771.99,1221430,791.64,771.99
2021-03-15,810.84,807.0,1114962,810.84,807.0
2021-03-16,808.86,812.0,413832,812.0,808.86
2021-03-17,816.21,817.0,494442,817.0,816.21
2021-03-18,807.74,816.9,463917,816.9,807.74
2021-03-19,806.52,807.0,370079,807.0,806.52
2021-03-22,806.0,804.55,181013,806.0,804.55
2021-03-24,805.44,809.0,351561,809.0,805.44
2021-03-25,811.07,806.95,459233,811.07,806.95
2021-03-26,803.75,812.0,273669,812.0,803.75
2021-03-29,784.49,804.5,396905,804.5,784.49
2021-03-30,784.82,787.0,496538,787.0,784.82
2021-03-31,784.59,792.0,407884,792.0,784.59
2021-04-01,777.91,788.0,322565,788.0,777.91
2021-04-02,783.65,781.98,105787,783.65,781.98
2021-04-05,770.1,785.0,228066,785.0,770.1
2021-04-06,792.06,773.0,328877,792.06,773.0
2021-04-07,805.05,796.7,1041871,805.05,796.7
2021-04-08,821.63,817.0,304831,821.63,817.0
2021-04-09,825.14,823.98,448335,825.14,823.98
2021-04-12,827.05,821.99,571915,827.05,821.99
2021-04-13,826.75,822.81,284451,826.75,822.81
2021-04-14,832.64,824.0,281632,832.64,824.0
2021-04-15,827.03,837.0,87892,837.0,827.03
2021-04-16,827.95,835.0,43149,835.0,827.95
2021-04-19,822.32,817.01,246943,822.32,817.01
2021-04-20,830.4,827.0,243515,830.4,827.0
2021-04-21,819.9,836.99,125228,836.99,819.9
2021-04-22,812.38,819.0,210183,819.0,812.38
2021-04-23,812.86,809.41,163155,812.86,809.41
2021-04-26,834.77,812.8,934830,834.77,812.8
2021-04-27,827.17,833.0,396890,833.0,827.17
2021-04-28,821.12,829.0,374218,829.0,821.12
2021-04-29,812.76,822.0,197774,822.0,812.76
2021-04-30,805.12,822.0,140836,822.0,805.12
2021-05-03,799.59,805.15,271327,805.15,799.59
2021-05-04,814.12,802.01,155996,814.12,802.01
2021-05-05,822.2,815.0,157005,822.2,815.0
2021-05-06,845.41,826.0,897774,845.41,826.0
2021-05-17,880.89,887.0,2327403,887.0,880.89
2021-05-18,875.35,880.0,577355,880.0,875.35
2021-05-19,866.38,867.0,396210,867.0,866.38
2021-05-20,862.42,867.0,280283,867.0,862.42
2021-05-21,868.8,867.0,464808,868.8,867.0
2021-05-24,875.34,872.03,1080522,875.34,872.03
2021-05-25,874.05,881.0,901211,881.0,874.05
2021-05-26,872.81,875.0,589475,875.0,872.81
2021-05-27,884.27,874.05,6897768,884.27,874.05
2021-05-28,882.32,882.5,689178,882.5,882.32
2021-05-31,899.52,882.32,1026625,899.52,882.32
2021-06-01,907.74,900.9,385663,907.74,900.9
2021-06-02,901.82,908.0,528201,908.0,901.82
2021-06-03,883.51,900.0,710856,900.0,883.51
2021-06-04,882.97,888.99,332788,888.99,882.97
2021-06-07,881.99,886.99,291240,886.99,881.99
2021-06-08,883.13,881.02,236766,883.13,881.02
2021-06-09,881.28,886.98,385439,886.98,881.28
2021-06-10,881.89,880.0,345141,881.89,880.0
2021-06-11,878.6,885.99,373422,885.99,878.6
2021-06-14,885.78,886.99,221515,886.99,885.78
2021-06-15,878.03,887.01,362990,887.01,878.03
2021-06-16,877.85,881.0,373462,881.0,877.85
2021-06-17,880.23,881.99,521048,881.99,880.23
2021-06-18,892.05,885.5,523260,892.05,885.5
2021-06-21,879.75,890.0,266463,890.0,879.75
2021-06-22,876.97,884.9,202712,884.9,876.97
2021-06-23,869.12,876.0,236751,876.0,869.12
2021-06-24,872.35,869.0,296881,872.35,869.0
2021-06-25,847.64,879.0,820508,879.0,847.64
2021-06-28,828.44,847.0,779280,847.0,828.44
2021-06-29,832.26,833.0,290286,833.0,832.26
2021-06-30,830.44,835.9,252524,835.9,830.44
2021-07-01,855.0,833.0,468976,855.0,833.0
2021-07-02,862.93,858.99,638686,862.93,858.99
2021-07-05,848.29,861.95,123584,861.95,848.29
2021-07-06,847.51,855.88,545211,855.88,847.51
2021-07-07,845.84,851.99,301338,851.99,845.84
2021-07-08,875.62,851.8,861871,875.62,851.8
2021-07-09,855.19,877.0,339184,877.0,855.19
2021-07-12,848.98,857.0,250163,857.0,848.98
2021-07-13,848.42,855.27,154716,855.27,848.42
2021-07-14,853.01,852.0,162112,853.01,852.0
2021-07-15,856.49,856.99,127840,856.99,856.49
2021-07-16,878.53,859.99,1052004,878.53,859.99
2021-07-19,870.18,884.0,244888,884.0,870.18
2021-07-23,873.85,880.99,327271,880.99,873.85
2021-07-26,867.88,872.0,196456,872.0,867.88
2021-07-27,865.6,871.95,143699,871.95,865.6
2021-07-28,859.61,872.0,194319,872.0,859.61
2021-07-29,863.72,866.75,456785,866.75,863.72
2021-07-30,854.95,863.5,549352,863.5,854.95
2021-08-02,852.18,856.7,144702,856.7,852.18
2021-08-03,853.48,852.1,286933,853.48,852.1
2021-08-04,850.4,853.9,186017,853.9,850.4
2021-08-05,846.99,853.99,48113,853.99,846.99
2021-08-06,839.62,851.0,197387,851.0,839.62
2021-08-09,823.96,836.98,338920,836.98,823.96
2021-08-10,832.31,817.0,160459,832.31,817.0
2021-08-11,834.91,827.5,108991,834.91,827.5
2021-08-12,830.42,847.0,76923,847.0,830.42
2021-08-13,823.55,840.0,71845,840.0,823.55
2021-08-16,813.17,833.69,297132,833.69,813.17
2021-08-17,815.34,814.45,171199,815.34,814.45
2021-08-20,826.9,824.99,924995,826.9,824.99
2021-08-23,828.99,827.0,333353,828.99,827.0
2021-08-24,818.66,831.3,295563,831.3,818.66
2021-08-25,810.56,822.0,244204,822.0,810.56
2021-08-26,782.37,806.1,984054,806.1,782.37
2021-08-27,786.87,785.0,413540,786.87,785.0
2021-08-30,791.14,790.1,174687,791.14,790.1
2021-08-31,797.5,794.0,443204,797.5,794.0
2021-09-01,801.92,799.0,263417,801.92,799.0
2021-09-02,788.24,801.0,557154,801.0,788.24
2021-09-03,791.1,787.0,289671,791.1,787.0
2021-09-06,786.95,795.4,74155,795.4,786.95
2021-09-07,772.36,786.9,334345,786.9,772.36
2021-09-08,740.93,767.11,848450,767.11,740.93
2021-09-09,725.27,737.0,577341,737.0,725.27
2021-09-10,752.42,729.0,451077,752.42,729.0
2021-09-13,750.13,756.97,82513,756.97,750.13
2021-09-14,733.89,754.01,155513,754.01,733.89
2021-09-15,728.18,733.89,61202,733.89,728.18
2021-09-16,725.5,727.98,287094,727.98,725.5
2021-09-17,703.73,727.0,433997,727.0,703.73
2021-09-20,708.7,705.0,368027,708.7,705.0
2021-09-21,696.79,715.99,268200,715.99,696.79
2021-09-22,695.61,704.0,626791,704.0,695.61
2021-09-23,694.72,697.0,399577,697.0,694.72
2021-09-24,691.69,697.0,238840,697.0,691.69
2021-09-27,688.88,694.0,192947,694.0,688.88
2021-09-28,690.61,682.0,470498,690.61,682.0
2021-09-29,677.62,692.0,402667,692.0,677.62
2021-09-30,689.9,677.62,492634,689.9,677.62
2021-10-01,679.31,694.9,160753,694.9,679.31
2021-10-04,671.36,676.0,200896,676.0,671.36
2021-10-05,646.69,674.0,1122578,674.0,646.69
2021-10-06,639.76,646.0,266703,646.0,639.76
2021-10-07,636.02,657.01,924076,657.01,636.02
2021-10-08,627.48,636.0,578612,636.0,627.48
2021-10-11,617.69,627.0,882525,627.0,617.69
2021-10-12,618.8,610.01,1238174,618.8,610.01
2021-10-13,608.38,618.0,164529,618.0,608.38
2021-10-14,640.84,613.87,918101,640.84,613.87
2021-10-15,649.29,629.1,352699,649.29,629.1
2021-10-18,647.01,641.8,202071,647.01,641.8
2021-10-20,668.39,649.0,343774,668.39,649.0
2021-10-21,673.79,674.99,307469,674.99,673.79
2021-10-22,675.82,676.0,732945,676.0,675.82
2021-10-25,664.51,676.0,191304,676.0,664.51
2021-10-26,665.0,666.99,240836,666.99,665.0
2021-10-27,681.97,672.99,297062,681.97,672.99
2021-10-28,701.32,687.0,750317,701.32,687.0
2021-10-29,739.78,706.0,828696,739.78,706.0
2021-11-01,757.31,776.99,991896,776.99,757.31
2021-11-02,747.1,770.0,367916,770.0,747.1
2021-11-03,736.02,742.0,476503,742.0,736.02
2021-11-04,727.07,730.5,634670,730.5,727.07
2021-11-05,731.13,727.0,408144,731.13,727.0
2021-11-08,739.72,740.99,591594,740.99,739.72
2021-11-09,735.17,735.0,1144595,735.17,735.0
2021-11-10,730.55,738.0,411958,738.0,730.55
