date,close,open,volume,high,low,MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,MA5_10_cross,MA10_20_cross,MA20_50_cross,EMA_cross,RSI,RSI_slope,price_slope,RSI_divergence,MACD,MACD_signal,MACD_hist,BB_middle,BB_std,BB_upper,BB_lower,BB_width,BB_B,volatility_10,volatility_20,volatility_ratio,price_roc_5,price_roc_10,price_roc_20,tr,atr,plus_dm,minus_dm,plus_di,minus_di,dx,ADX,volume_ma10,volume_ma20,volume_ratio,OBV,momentum_5,momentum_10,CMF,%K,%D,CCI,price_vol_corr,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,TEMA,DEMA,MOM,PPO,HT_DCPERIOD,CDL_DOJI,CDL_HAMMER,CDL_ENGULFING,day_of_week,month,quarter,price_change,volume_change
2023-09-13,445.9500000000001,433.01,861488,445.9500000000001,433.01,471.392,488.382,508.33900000000006,570.3498000000001,698.4435714285714,445.9500000000001,445.9500000000001,445.9500000000001,16.990000000000066,19.957,70.78019999999992,0.0,78.98982284123186,15.524038928929713,44.959999999999866,0.0,0.0,0.0,0.0,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,10.081847740778072,15.611615651978903,21.10774750532569,12.940000000000111,12.347142857142874,0.0,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,0.0,44.959999999999866,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,560.25,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,2.0,9.0,3.0,,
2023-09-14,425.71,421.55,69164,425.71,421.55,471.392,488.382,508.33900000000006,570.3498000000001,698.4435714285714,442.2700000000001,444.022380952381,445.156274509804,16.990000000000066,19.957,70.78019999999992,-1.7523809523809175,78.98982284123186,15.524038928929713,44.959999999999866,0.0,-1.6145868945868642,-0.3229173789173729,-1.2916695156694913,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,10.081847740778072,15.611615651978903,21.10774750532569,24.40000000000009,12.347142857142874,0.0,11.45999999999998,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,-69164.0,44.959999999999866,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,562.24,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,3.0,9.0,3.0,,
2023-09-15,498.54,492.9,472615,498.54,492.9,471.392,488.382,508.33900000000006,570.3498000000001,698.4435714285714,452.5009090909092,449.2145351473924,447.2497539407921,16.990000000000066,19.957,70.78019999999992,3.2863739435167645,78.98982284123186,15.524038928929713,44.959999999999866,0.0,2.948623793638035,0.3313908555937087,2.617232938044326,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,10.081847740778072,15.611615651978903,21.10774750532569,72.82999999999998,12.347142857142874,72.82999999999998,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,403451.0,44.959999999999866,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,564.34,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,4.0,9.0,3.0,,
2023-09-18,494.62,497.0,65193,497.0,494.62,471.392,488.382,508.33900000000006,570.3498000000001,698.4435714285714,460.1589256198348,453.5388651333551,449.10741064899634,16.990000000000066,19.957,70.78019999999992,6.6200604864797015,78.98982284123186,15.524038928929713,44.959999999999866,0.0,6.177479759698656,1.5006086364146982,4.6768711232839575,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,10.081847740778072,15.611615651978903,21.10774750532569,3.919999999999959,12.347142857142874,0.0,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,338258.0,44.959999999999866,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,561.44,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,0.0,9.0,3.0,,
2023-09-19,492.14,498.69000000000005,42243,498.69000000000005,492.14,471.392,488.382,508.33900000000006,570.3498000000001,698.4435714285714,465.9736664162284,457.2151636920832,450.79496317256513,16.990000000000066,19.957,70.78019999999992,8.758502724145274,78.98982284123186,15.524038928929713,44.959999999999866,0.0,8.438976829863577,2.8882822751044746,5.550694554759103,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,10.081847740778072,15.611615651978903,21.10774750532569,6.550000000000068,12.347142857142874,0.0,2.480000000000018,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,296015.0,44.959999999999866,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,564.36,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,1.0,9.0,3.0,,
2023-09-20,490.91,494.74,38215,494.74,490.91,480.384,488.382,508.33900000000006,570.3498000000001,698.4435714285714,470.5075452496414,460.4241957214086,452.3681018716802,16.990000000000066,19.957,70.78019999999992,10.083349528232816,78.98982284123186,15.524038928929713,44.959999999999866,0.0,10.016514684495805,4.31392875698274,5.702585927513063,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,10.081847740778072,15.611615651978903,21.10774750532569,3.830000000000041,12.347142857142874,0.0,1.2300000000000182,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,257800.0,44.959999999999866,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,567.57,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,2.0,9.0,3.0,,
2023-09-21,505.08,492.68,480606,505.08,492.68,496.258,488.382,508.33900000000006,570.3498000000001,698.4435714285714,476.79344611334295,464.6771294622269,454.4352351316143,16.990000000000066,19.957,70.78019999999992,12.116316651116108,78.98982284123186,15.524038928929713,79.37000000000006,0.0,12.268699445994002,5.904882894784993,6.363816551209009,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,18.644147424302936,15.611615651978903,21.10774750532569,14.170000000000073,12.347142857142874,10.340000000000032,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,738406.0,79.37000000000006,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,587.77,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,3.0,9.0,3.0,,
2023-09-22,505.63,517.0,182247,517.0,505.63,497.676,488.382,508.33900000000006,570.3498000000001,698.4435714285714,482.0364559109169,468.57740284677664,456.4428729695902,16.990000000000066,19.957,70.78019999999992,13.459053064140278,78.98982284123186,15.524038928929713,7.090000000000032,0.0,13.937292071714865,7.511364730170968,6.425927341543896,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,1.4221526858426703,15.611615651978903,21.10774750532569,11.91999999999996,12.347142857142874,11.91999999999996,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,920653.0,7.090000000000032,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,589.48,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,4.0,9.0,3.0,,
2023-09-25,511.08,504.0,185224,511.08,504.0,500.968,488.382,508.33900000000006,570.3498000000001,698.4435714285714,487.3171002907502,472.62526924232174,458.5855054021553,16.990000000000066,19.957,70.78019999999992,14.691831048428469,78.98982284123186,15.524038928929713,16.460000000000036,0.0,15.520522281932529,9.11319624052328,6.407326041409249,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,3.327807205531519,15.611615651978903,21.10774750532569,7.080000000000041,12.347142857142874,0.0,1.6299999999999957,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,1105877.0,16.460000000000036,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,593.04,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,0.0,9.0,3.0,,
2023-09-26,514.16,511.37,96699,514.16,511.37,505.372,488.382,508.33900000000006,570.3498000000001,698.4435714285714,492.1976275106138,476.58095788591015,460.76489734716887,16.990000000000066,19.957,70.78019999999992,15.61666962470366,78.98982284123186,15.524038928929713,22.019999999999985,0.0,16.829770768206345,10.656511146059891,6.173259622146452,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,29.148825705334986,29.28292063733788,0.2967886451971002,4.474336570894466,15.611615651978903,21.10774750532569,3.0799999999999272,12.347142857142874,3.0799999999999272,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,249369.4,231796.65,0.38777412144393,1202576.0,22.019999999999985,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,-0.2464817479135887,469.275,487.775,516.2075,558.51,611.99,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,1.0,9.0,3.0,,
2023-09-27,515.57,516.9,264545,516.9,515.57,510.3040000000001,495.3440000000001,508.33900000000006,570.3498000000001,698.4435714285714,496.44714978141127,480.294199992014,462.9141170590447,14.960000000000036,19.957,70.78019999999992,16.15294978939727,78.98982284123186,15.524038928929713,24.66000000000008,0.0,17.77622162476615,12.080453241801145,5.695768382965007,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,26.03609596950609,29.28292063733788,0.2967886451971002,5.0233240308814375,15.611615651978903,21.10774750532569,2.740000000000009,12.347142857142874,2.740000000000009,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,189675.1,231796.65,1.394727088584637,1467121.0,24.66000000000008,69.61999999999995,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,0.329940474979185,503.955,487.775,516.2075,558.51,619.65,756.4471184415042,628.2826492980627,69.61999999999995,4.5034117619644825,15.646696015449796,0,0,0,2.0,9.0,3.0,,
2023-09-28,519.34,519.86,289922,519.86,519.34,513.1560000000001,504.7070000000001,508.33900000000006,570.3498000000001,698.4435714285714,500.609486184791,484.0128476118222,465.1268967822194,8.449000000000012,19.957,70.78019999999992,16.5966385729688,78.98982284123186,15.524038928929713,14.259999999999993,0.0,18.61590566765756,13.387543726972428,5.228361940685129,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,10.28029944440643,29.28292063733788,0.2967886451971002,2.823315118397085,21.9938455756266,21.10774750532569,4.289999999999964,12.347142857142874,2.9600000000000364,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,211750.9,231796.65,1.3691653730869615,1757043.0,14.259999999999993,93.63000000000004,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,0.3232268454417593,505.385,487.775,516.2075,558.51,648.02,756.4471184415042,628.2826492980627,93.63000000000004,4.5034117619644825,15.646696015449796,100,0,0,3.0,9.0,3.0,,
2023-10-02,519.41,521.0,355778,521.0,519.41,515.912,506.794,508.33900000000006,570.3498000000001,698.4435714285714,504.0277614239199,487.3840049821249,467.2556459280147,9.117999999999997,19.957,70.78019999999992,16.643756441795063,78.98982284123186,15.524038928929713,13.779999999999973,0.0,19.067214753482347,14.523477932274412,4.543736821207935,508.33900000000006,29.28292063733788,566.9048412746758,449.77315872532427,0.2304204134432505,0.7365798851070943,10.983581888942563,29.28292063733788,0.2967886451971002,2.7253129758914474,4.186223773418374,21.10774750532569,1.6599999999999682,12.347142857142874,1.1399999999999864,0.0,61.82459794002907,9.71884762227463,72.83092099933215,85.92493845408073,200067.2,231796.65,1.7782924937221083,2112821.0,13.779999999999973,20.870000000000005,0.2720075980671896,99.99999999990128,99.9999999998621,177.93497827265875,0.6104325455962875,505.955,487.775,516.2075,558.51,674.18,756.4471184415042,628.2826492980627,20.870000000000005,4.5034117619644825,15.646696015449796,0,0,0,0.0,10.0,4.0,,
