date,close,open,volume,high,low
2023-09-12,13.93,13.760000000000002,11000,13.93,13.760000000000002
2023-09-13,14.05,14.0,6500,14.05,14.0
2023-09-14,14.05,14.05,4000,14.05,14.05
2023-09-15,14.11,14.649999999999999,4000,14.649999999999999,14.11
2023-09-18,14.25,14.25,500,14.25,14.25
2023-09-19,14.14,13.75,4000,14.14,13.75
2023-09-20,14.7,14.239999999999998,6000,14.7,14.239999999999998
2023-09-21,14.25,14.25,500,14.25,14.25
2023-09-22,14.25,14.25,1000,14.25,14.25
2023-09-25,14.25,13.870000000000001,2500,14.25,13.870000000000001
2023-09-26,13.95,14.05,1500,14.05,13.95
2023-09-27,14.25,14.25,10000,14.25,14.25
2023-09-28,14.350000000000001,14.04,58000,14.350000000000001,14.04
2023-10-02,14.469999999999999,14.25,4500,14.469999999999999,14.25
2023-10-03,14.18,14.2,1500,14.2,14.18
2023-10-04,14.23,14.25,38000,14.25,14.23
2023-10-05,14.54,14.23,64000,14.54,14.23
2023-10-06,13.22,13.899999999999999,17500,13.899999999999999,13.22
2023-10-09,14.75,14.75,28500,14.75,14.75
2023-10-10,15.95,15.489999999999998,368500,15.95,15.489999999999998
2023-10-11,15.780000000000001,16.05,117500,16.05,15.780000000000001
2023-10-12,15.64,15.79,18500,15.79,15.64
2023-10-13,15.61,15.489999999999998,33500,15.61,15.489999999999998
2023-10-16,16.82,16.15,689000,16.82,16.15
2023-10-17,16.75,17.13,745500,17.13,16.75
2023-10-18,16.48,16.75,174500,16.75,16.48
2023-10-19,16.73,16.74,68500,16.74,16.73
2023-10-20,16.72,16.4,61500,16.72,16.4
2023-10-23,16.62,16.74,108500,16.74,16.62
2023-10-24,16.25,16.28,56500,16.28,16.25
2023-10-25,16.3,16.25,48000,16.3,16.25
2023-10-26,16.73,16.64,71000,16.73,16.64
2023-10-27,16.32,16.75,61500,16.75,16.32
2023-10-30,16.78,16.32,520000,16.78,16.32
2023-10-31,16.8,17.0,69000,17.0,16.8
2023-11-01,17.2,16.75,937000,17.2,16.75
2023-11-02,16.75,17.25,227500,17.25,16.75
2023-11-03,16.75,17.1,77500,17.1,16.75
2023-11-06,17.07,16.85,156500,17.07,16.85
2023-11-07,16.79,17.25,47000,17.25,16.79
2023-11-08,17.57,16.99,244500,17.57,16.99
2023-11-10,18.04,17.6,270500,18.04,17.6
2023-11-13,18.55,18.25,138000,18.55,18.25
2023-11-14,18.61,18.58,55500,18.61,18.58
