date,close,open,volume,high,low
2023-09-25,1322.2,1323.0,19437,1323.0,1322.2
2023-09-26,1313.78,1322.9,13241,1322.9,1313.78
2023-09-27,1323.51,1312.0,68164,1323.51,1312.0
2023-09-28,1328.1,1328.0,25934,1328.1,1328.0
2023-10-02,1327.97,1328.0,44102,1328.0,1327.97
2023-10-03,1320.54,1328.0,13629,1328.0,1320.54
2023-10-04,1307.15,1318.01,12865,1318.01,1307.15
2023-10-05,1298.84,1308.05,21477,1308.05,1298.84
2023-10-06,1296.65,1302.0,9473,1302.0,1296.65
2023-10-09,1292.38,1298.02,17837,1298.02,1292.38
2023-10-10,1296.83,1298.0,35779,1298.0,1296.83
2023-10-11,1309.12,1298.0,39136,1309.12,1298.0
2023-10-12,1314.72,1308.0,26725,1314.72,1308.0
2023-10-13,1348.06,1317.99,57044,1348.06,1317.99
2023-10-16,1353.19,1353.0,18172,1353.19,1353.0
2023-10-17,1336.14,1353.03,20091,1353.03,1336.14
2023-10-18,1338.63,1336.14,17530,1338.63,1336.14
2023-10-19,1345.93,1347.98,51787,1347.98,1345.93
2023-10-20,1346.92,1348.0,61421,1348.0,1346.92
2023-10-23,1352.79,1349.7,41929,1352.79,1349.7
2023-10-24,1355.12,1344.0,36955,1355.12,1344.0
2023-10-25,1322.27,1362.8,231956,1362.8,1322.27
2023-10-26,1313.65,1325.0,99196,1325.0,1313.65
2023-10-27,1308.82,1317.99,105772,1317.99,1308.82
2023-10-30,1317.01,1311.5,29104,1317.01,1311.5
2023-10-31,1340.74,1322.9,64841,1340.74,1322.9
2023-11-01,1356.75,1341.0,34322,1356.75,1341.0
2023-11-02,1385.0,1343.04,103005,1385.0,1343.04
2023-11-03,1406.36,1385.0,67325,1406.36,1385.0
2023-11-06,1419.21,1412.44,51750,1419.21,1412.44
2023-11-07,1408.55,1418.0,63635,1418.0,1408.55
2023-11-08,1417.61,1408.5,266746,1417.61,1408.5
2023-11-10,1428.98,1408.0,188577,1428.98,1408.0
2023-11-13,1442.65,1438.0,47077,1442.65,1438.0
2023-11-14,1447.69,1456.01,29949,1456.01,1447.69
