date,close,open,volume,high,low
2023-09-18,82.38,83.22,181429,83.22,82.38
2023-09-19,82.94,82.79,578530,82.94,82.79
2023-09-20,82.37,82.5,424669,82.5,82.37
2023-09-21,82.98,82.35,1028936,82.98,82.35
2023-09-22,83.04,83.0,1227791,83.04,83.0
2023-09-25,83.01,83.05,546928,83.05,83.01
2023-09-26,81.92,83.01,503450,83.01,81.92
2023-09-27,81.83,82.0,1556672,82.0,81.83
2023-09-28,80.61,82.0,918373,82.0,80.61
2023-10-02,82.63,80.99,942555,82.63,80.99
2023-10-03,83.29,83.0,446477,83.29,83.0
2023-10-04,85.39,83.89,2209795,85.39,83.89
2023-10-05,86.15,85.39,1175497,86.15,85.39
2023-10-06,86.92,86.95,758946,86.95,86.92
2023-10-09,87.24,86.0,461753,87.24,86.0
2023-10-10,90.78,87.5,1695875,90.78,87.5
2023-10-11,91.49,91.1,712220,91.49,91.1
2023-10-12,90.64,92.0,496916,92.0,90.64
2023-10-13,94.38,90.31,1951060,94.38,90.31
2023-10-16,93.42,93.99,671870,93.99,93.42
2023-10-17,94.32,95.0,1551332,95.0,94.32
2023-10-18,95.68,94.5,1077660,95.68,94.5
2023-10-19,98.65,95.75,4569550,98.65,95.75
2023-10-20,98.94,99.0,1309901,99.0,98.94
2023-10-23,99.58000000000001,99.5,1675210,99.58000000000001,99.5
2023-10-24,99.34,100.80000000000001,700292,100.80000000000001,99.34
2023-10-25,99.61000000000001,99.05000000000001,1510789,99.61000000000001,99.05000000000001
2023-10-26,102.0,99.6,1277251,102.0,99.6
2023-10-27,103.57,100.61000000000001,1387699,103.57,100.61000000000001
2023-10-30,101.83000000000001,99.9,937360,101.83000000000001,99.9
2023-10-31,108.43,108.0,1512563,108.43,108.0
2023-11-01,108.00999999999999,109.0,1135954,109.0,108.00999999999999
2023-11-02,106.15,108.11000000000001,797885,108.11000000000001,106.15
2023-11-03,112.6,107.9,5199507,112.6,107.9
2023-11-06,112.84,113.02000000000001,1179922,113.02000000000001,112.84
2023-11-07,113.69,112.0,2203138,113.69,112.0
2023-11-08,116.69,113.69999999999999,9764905,116.69,113.69999999999999
2023-11-10,120.62,116.80000000000001,3590067,120.62,116.80000000000001
2023-11-13,118.78999999999999,121.0,1336903,121.0,118.78999999999999
2023-11-14,116.58000000000001,118.97999999999999,1613067,118.97999999999999,116.58000000000001
2023-11-15,116.62,116.58000000000001,3545898,116.62,116.58000000000001
2023-11-16,116.61000000000001,116.0,2234847,116.61000000000001,116.0
2023-11-17,115.28999999999999,116.85,873703,116.85,115.28999999999999
2023-11-20,116.99000000000001,116.94,1308109,116.99000000000001,116.94
2023-11-21,117.71000000000001,117.0,1297930,117.71000000000001,117.0
2023-11-22,124.28999999999999,118.5,2730894,124.28999999999999,118.5
2023-11-23,133.03,124.0,3188282,133.03,124.0
2023-11-24,131.58,133.5,1908471,133.5,131.58
2023-11-27,129.05,129.49,8995965,129.49,129.05
2023-11-28,130.11,129.17,4241449,130.11,129.17
2023-11-29,127.53,130.51,5217781,130.51,127.53
2023-11-30,125.84,130.8,2247161,130.8,125.84
2023-12-01,126.13,126.25,1175094,126.25,126.13
2023-12-04,126.35,124.0,978128,126.35,124.0
2023-12-05,131.12,126.9,3005900,131.12,126.9
2023-12-06,137.62,131.12,5155029,137.62,131.12
2023-12-07,144.97,137.9,3257556,144.97,137.9
2023-12-08,146.04,145.0,3868344,146.04,145.0
2023-12-11,140.73,144.1,1494980,144.1,140.73
2023-12-12,140.76,141.2,624253,141.2,140.76
2023-12-13,135.71,142.0,1253621,142.0,135.71
2023-12-14,131.77,135.71,1208938,135.71,131.77
2023-12-15,129.91,133.0,2595594,133.0,129.91
2023-12-18,125.63,131.0,1279721,131.0,125.63
2023-12-19,126.27000000000001,125.0,2375339,126.27000000000001,125.0
2023-12-20,123.66,128.84,1278692,128.84,123.66
2023-12-21,123.32,124.19999999999999,727262,124.19999999999999,123.32
2023-12-22,121.85,124.5,342332,124.5,121.85
2023-12-26,119.56,121.85,992469,121.85,119.56
2023-12-27,128.97,120.97999999999999,1173850,128.97,120.97999999999999
2023-12-28,133.04,129.99,2399892,133.04,129.99
2023-12-29,132.36,133.0,694657,133.0,132.36
2024-01-01,135.34,133.0,603653,135.34,133.0
2024-01-02,137.11,136.98,1194684,137.11,136.98
2024-01-03,134.88,138.0,936862,138.0,134.88
2024-01-04,134.19,135.0,249269,135.0,134.19
2024-01-05,133.83,134.99,520864,134.99,133.83
2024-01-08,133.72,135.5,174594,135.5,133.72
2024-01-09,132.34,133.4,214549,133.4,132.34
2024-01-10,128.72,132.2,779204,132.2,128.72
2024-01-11,130.22,129.71,1362772,130.22,129.71
2024-01-12,131.9,132.0,1352892,132.0,131.9
2024-01-15,132.26,133.0,597573,133.0,132.26
2024-01-16,131.09,132.0,397173,132.0,131.09
2024-01-17,135.39,132.5,2778728,135.39,132.5
2024-01-18,135.22,135.44,5414426,135.44,135.22
2024-01-19,135.86,135.99,909282,135.99,135.86
2024-01-22,135.92,136.5,1837901,136.5,135.92
2024-01-23,139.28,137.98,2064458,139.28,137.98
2024-01-24,140.73,139.71,1107720,140.73,139.71
2024-01-25,143.92,141.0,8505529,143.92,141.0
2024-01-26,141.35,143.06,861328,143.06,141.35
2024-01-29,137.39,139.53,435690,139.53,137.39
2024-01-30,131.6,137.7,461285,137.7,131.6
2024-01-31,132.12,132.4,977142,132.4,132.12
2024-02-01,136.55,133.8,1005572,136.55,133.8
2024-02-02,138.84,137.99,897500,138.84,137.99
2024-02-06,139.54,140.0,1884705,140.0,139.54
2024-02-07,141.58,140.99,846847,141.58,140.99
2024-02-09,138.92,136.06,1148046,138.92,136.06
2024-02-12,137.9,138.5,2231336,138.5,137.9
2024-02-13,140.6,136.5,2491967,140.6,136.5
2024-02-14,139.92,141.1,603754,141.1,139.92
2024-02-15,140.23,140.98,5071966,140.98,140.23
2024-02-16,138.73,141.0,1081197,141.0,138.73
2024-02-19,138.71,137.99,713794,138.71,137.99
2024-02-20,136.61,137.12,425981,137.12,136.61
2024-02-21,139.94,139.5,935668,139.94,139.5
2024-02-22,146.4,139.01,1880159,146.4,139.01
2024-02-23,152.96,146.75,2582739,152.96,146.75
2024-02-26,155.44,154.0,1982115,155.44,154.0
2024-02-27,155.23,155.0,1767204,155.23,155.0
2024-02-28,155.12,155.96,3097288,155.96,155.12
2024-02-29,158.89,155.81,1627314,158.89,155.81
2024-03-01,166.21,160.99,2838550,166.21,160.99
2024-03-04,164.41,167.0,643877,167.0,164.41
2024-03-05,163.73,164.0,316293,164.0,163.73
2024-03-06,163.45,164.96,472381,164.96,163.45
2024-03-07,161.54,165.5,806139,165.5,161.54
2024-03-08,159.46,162.0,326384,162.0,159.46
2024-03-11,157.97,159.0,331290,159.0,157.97
2024-03-12,158.04,157.97,679259,158.04,157.97
2024-03-13,157.49,157.5,1482780,157.5,157.49
2024-03-14,161.5,157.5,1429431,161.5,157.5
2024-03-15,163.89,162.5,987738,163.89,162.5
2024-03-18,167.36,164.0,1546946,167.36,164.0
2024-03-19,172.3,168.99,4094341,172.3,168.99
2024-03-20,174.2,173.0,1795871,174.2,173.0
2024-03-21,167.45,166.0,2375031,167.45,166.0
2024-03-22,176.26,175.25,1295025,176.26,175.25
2024-03-25,178.76,177.4,1380684,178.76,177.4
2024-03-26,185.99,179.9,3646215,185.99,179.9
2024-03-27,189.27,187.11,2375850,189.27,187.11
2024-03-28,190.2,190.0,4787576,190.2,190.0
2024-03-29,192.62,190.49,1764939,192.62,190.49
2024-04-01,193.94,193.75,1033148,193.94,193.75
2024-04-02,194.77,193.98,1763596,194.77,193.98
2024-04-03,191.54,195.77,1020085,195.77,191.54
2024-04-04,196.52,191.54,1468620,196.52,191.54
2024-04-08,203.21,197.0,1856452,203.21,197.0
2024-04-09,208.82,205.0,2593637,208.82,205.0
2024-04-15,207.96,208.01,4388357,208.01,207.96
2024-04-16,207.15,206.05,931991,207.15,206.05
2024-04-17,208.59,206.01,1623482,208.59,206.01
2024-04-18,198.0,209.0,5230338,209.0,198.0
2024-04-19,201.68,200.0,2123553,201.68,200.0
2024-04-22,202.49,203.7,1604012,203.7,202.49
2024-04-23,197.21,202.0,1254857,202.0,197.21
2024-04-24,194.73,197.95,1091952,197.95,194.73
2024-04-25,196.51,195.5,3631747,196.51,195.5
2024-04-26,199.78,197.76,1745546,199.78,197.76
2024-04-29,191.45,195.1,1517912,195.1,191.45
2024-04-30,198.68,202.7,821836,202.7,198.68
2024-05-02,197.15,198.3,1008057,198.3,197.15
2024-05-03,200.43,197.9,917389,200.43,197.9
2024-05-06,200.05,202.98,338513,202.98,200.05
2024-05-07,197.12,200.0,1070008,200.0,197.12
2024-05-08,197.04,198.98,909953,198.98,197.04
2024-05-09,197.03,198.74,881765,198.74,197.03
2024-05-10,197.32,198.0,3379285,198.0,197.32
2024-05-13,197.05,197.0,807659,197.05,197.0
2024-05-14,203.03,197.05,1304562,203.03,197.05
2024-05-15,207.99,203.7,2617264,207.99,203.7
2024-05-16,210.18,208.7,3134728,210.18,208.7
2024-05-17,209.49,211.0,918987,211.0,209.49
2024-05-20,211.22,209.6,841740,211.22,209.6
2024-05-21,220.65,211.9,2757096,220.65,211.9
2024-05-22,222.18,221.0,1927786,222.18,221.0
2024-05-23,221.55,221.0,403204,221.55,221.0
2024-05-24,227.07,221.5,8615485,227.07,221.5
2024-05-27,227.36,227.07,865800,227.36,227.07
2024-05-29,226.92,228.0,962411,228.0,226.92
2024-05-30,226.94,227.92,1315420,227.92,226.94
2024-05-31,232.06,226.94,1048137,232.06,226.94
2024-06-03,229.07,232.1,1703377,232.1,229.07
2024-06-04,227.02,228.5,1636665,228.5,227.02
2024-06-05,226.96,226.21,1482973,226.96,226.21
2024-06-06,225.04,226.0,933385,226.0,225.04
2024-06-07,216.13,226.97,2707686,226.97,216.13
2024-06-10,212.79,216.98,521770,216.98,212.79
2024-06-11,208.23,215.0,1039627,215.0,208.23
2024-06-12,209.14,208.0,757265,209.14,208.0
2024-06-13,219.0,209.14,1584794,219.0,209.14
2024-06-14,228.49,220.5,3177696,228.49,220.5
2024-06-20,241.56,229.0,2276547,241.56,229.0
2024-06-21,233.35,241.5,2221530,241.5,233.35
2024-06-24,226.08,233.35,1004030,233.35,226.08
2024-06-25,226.23,226.02,1540226,226.23,226.02
2024-06-26,225.1,226.5,940542,226.5,225.1
2024-06-27,222.82,226.05,572608,226.05,222.82
2024-06-28,225.39,223.0,1001578,225.39,223.0
2024-07-01,224.4,226.0,751953,226.0,224.4
2024-07-02,226.37,224.5,933377,226.37,224.5
2024-07-03,225.96,227.0,1195930,227.0,225.96
2024-07-04,228.0,226.5,963460,228.0,226.5
2024-07-05,226.1,228.7,3371691,228.7,226.1
