date,close,open,volume,high,low
2023-09-15,7.4,7.4,25000,7.4,7.4
2023-09-18,7.4,7.4,11000,7.4,7.4
2023-09-19,7.3,7.4,7500,7.4,7.3
2023-09-20,7.25,7.25,2500,7.25,7.25
2023-09-21,7.19,7.2,23500,7.2,7.19
2023-09-22,7.5,7.5,5000,7.5,7.5
2023-09-25,7.5,7.5,10000,7.5,7.5
2023-09-26,7.79,7.51,131500,7.79,7.51
2023-09-27,8.0,7.9,25000,8.0,7.9
2023-09-28,8.0,8.0,16500,8.0,8.0
2023-10-02,7.25,7.65,15500,7.65,7.25
2023-10-03,7.84,7.5,8500,7.84,7.5
2023-10-04,7.5,7.51,7000,7.51,7.5
2023-10-05,7.49,7.69,14000,7.69,7.49
2023-10-06,7.7,7.6,1000,7.7,7.6
2023-10-09,8.02,7.75,56000,8.02,7.75
2023-10-10,8.02,7.98,37500,8.02,7.98
2023-10-11,7.88,8.01,99500,8.01,7.88
2023-10-12,8.06,7.61,127000,8.06,7.61
2023-10-13,8.73,8.18,233500,8.73,8.18
2023-10-16,8.58,8.75,149500,8.75,8.58
2023-10-17,8.27,8.5,143000,8.5,8.27
2023-10-18,8.46,8.21,36500,8.46,8.21
2023-10-19,8.59,8.5,94500,8.59,8.5
2023-10-20,8.6,8.51,96500,8.6,8.51
2023-10-23,8.4,8.5,186000,8.5,8.4
2023-10-25,8.23,8.27,10000,8.27,8.23
2023-10-26,8.1,8.39,13500,8.39,8.1
2023-10-27,8.25,8.1,1500,8.25,8.1
2023-10-30,8.39,8.34,41000,8.39,8.34
2023-10-31,8.3,8.14,4000,8.3,8.14
2023-11-01,8.0,8.2,142000,8.2,8.0
2023-11-02,8.17,8.15,182500,8.17,8.15
2023-11-03,8.03,8.11,225000,8.11,8.03
2023-11-06,8.91,8.18,2073000,8.91,8.18
2023-11-07,8.55,9.2,469000,9.2,8.55
2023-11-08,8.93,8.5,157500,8.93,8.5
2023-11-10,8.85,8.91,166000,8.91,8.85
2023-11-13,8.94,8.89,413500,8.94,8.89
2023-11-14,9.59,9.34,721000,9.59,9.34
2023-11-15,10.09,9.74,1991500,10.09,9.74
2023-11-16,11.09,10.26,3113500,11.09,10.26
2023-11-17,10.19,11.09,1542500,11.09,10.19
2023-11-20,11.11,10.45,957000,11.11,10.45
2023-11-21,10.65,11.06,511000,11.06,10.65
2023-11-22,10.64,10.75,386000,10.75,10.64
2023-11-23,10.41,10.51,252000,10.51,10.41
2023-11-24,10.35,10.79,80500,10.79,10.35
2023-11-27,10.54,10.3,136000,10.54,10.3
2023-11-28,10.29,10.51,320000,10.51,10.29
2023-11-29,10.36,10.11,175500,10.36,10.11
2023-11-30,10.11,10.45,112000,10.45,10.11
2023-12-01,10.61,10.1,662500,10.61,10.1
2023-12-04,10.64,10.29,318500,10.64,10.29
2023-12-05,10.42,10.56,71000,10.56,10.42
2023-12-06,10.5,10.4,191000,10.5,10.4
2023-12-07,10.58,10.55,97500,10.58,10.55
2023-12-08,10.44,10.25,184500,10.44,10.25
2023-12-11,10.5,10.32,174500,10.5,10.32
2023-12-12,10.44,10.5,207000,10.5,10.44
2023-12-13,10.08,10.45,265000,10.45,10.08
2023-12-14,10.35,10.25,89000,10.35,10.25
2023-12-15,10.55,10.49,371500,10.55,10.49
2023-12-18,10.41,10.55,1477000,10.55,10.41
2023-12-19,9.85,10.03,626000,10.03,9.85
2023-12-20,9.84,9.5,383500,9.84,9.5
2023-12-21,10.84,9.31,1395500,10.84,9.31
2023-12-22,11.03,10.97,689000,11.03,10.97
2023-12-26,10.4,11.05,283000,11.05,10.4
2023-12-27,10.89,10.2,146000,10.89,10.2
2023-12-28,11.36,10.9,800500,11.36,10.9
2023-12-29,12.36,11.4,1803000,12.36,11.4
2024-01-01,12.23,12.01,697000,12.23,12.01
2024-01-02,11.65,12.4,432000,12.4,11.65
2024-01-03,12.0,11.8,260500,12.0,11.8
2024-01-04,12.01,12.29,375000,12.29,12.01
2024-01-05,12.15,12.1,446500,12.15,12.1
2024-01-08,13.13,12.15,1835500,13.13,12.15
2024-01-09,13.34,13.29,1327000,13.34,13.29
2024-01-10,12.63,13.75,1399500,13.75,12.63
2024-01-11,12.47,12.6,508000,12.6,12.47
2024-01-12,12.41,12.45,221500,12.45,12.41
2024-01-15,12.35,12.19,35500,12.35,12.19
2024-01-16,12.2,12.06,31000,12.2,12.06
2024-01-17,12.19,12.01,8500,12.19,12.01
2024-01-18,11.79,11.75,131500,11.79,11.75
2024-01-19,11.76,11.99,88500,11.99,11.76
2024-01-22,12.42,11.75,90500,12.42,11.75
2024-01-23,12.41,12.29,90000,12.41,12.29
2024-01-24,12.26,12.75,171000,12.75,12.26
2024-01-25,12.19,12.2,77500,12.2,12.19
2024-01-26,12.19,12.02,51000,12.19,12.02
2024-01-29,12.1,12.1,41500,12.1,12.1
2024-01-30,11.75,12.0,22000,12.0,11.75
2024-01-31,11.53,11.53,2500,11.53,11.53
2024-02-01,11.79,11.79,500,11.79,11.79
2024-02-02,11.65,11.55,2500,11.65,11.55
2024-02-06,11.65,0.0,2000,11.65,0.0
2024-02-07,11.36,11.52,14500,11.52,11.36
2024-02-09,11.48,11.55,3500,11.55,11.48
2024-02-12,10.88,11.4,31000,11.4,10.88
2024-02-13,10.78,11.0,108000,11.0,10.78
2024-02-14,11.67,10.66,111500,11.67,10.66
2024-02-15,11.74,10.77,325500,11.74,10.77
2024-02-16,11.55,11.7,92000,11.7,11.55
2024-02-19,11.26,11.39,340000,11.39,11.26
2024-02-20,11.59,11.5,50500,11.59,11.5
2024-02-21,11.4,11.65,46500,11.65,11.4
2024-02-22,11.29,11.25,366500,11.29,11.25
2024-02-23,11.26,11.25,34000,11.26,11.25
2024-02-26,11.31,11.35,88500,11.35,11.31
2024-02-27,11.19,11.25,184000,11.25,11.19
2024-02-28,11.01,11.48,94500,11.48,11.01
2024-02-29,10.76,11.05,54500,11.05,10.76
2024-03-01,10.89,10.6,26000,10.89,10.6
2024-03-04,10.71,10.74,23500,10.74,10.71
2024-03-05,10.7,10.99,17000,10.99,10.7
2024-03-06,10.86,10.75,46500,10.86,10.75
2024-03-07,10.75,10.95,2000,10.95,10.75
2024-03-08,10.95,10.95,500,10.95,10.95
2024-03-11,10.61,10.9,6000,10.9,10.61
2024-03-12,10.85,10.99,16000,10.99,10.85
2024-03-13,10.49,10.51,37500,10.51,10.49
2024-03-14,10.47,10.95,2500,10.95,10.47
2024-03-15,10.15,10.95,40000,10.95,10.15
2024-03-18,10.47,10.85,12500,10.85,10.47
2024-03-19,10.58,10.49,65000,10.58,10.49
2024-03-20,10.5,10.55,42500,10.55,10.5
2024-03-21,10.17,10.27,26000,10.27,10.17
2024-03-22,10.02,10.03,500,10.03,10.02
2024-03-25,10.0,10.05,89000,10.05,10.0
2024-03-26,10.0,10.0,16500,10.0,10.0
2024-03-27,10.25,9.99,40500,10.25,9.99
2024-03-28,10.35,10.65,10000,10.65,10.35
2024-03-29,10.59,10.11,75500,10.59,10.11
2024-04-01,11.59,10.75,515500,11.59,10.75
2024-04-02,11.34,11.98,481500,11.98,11.34
2024-04-03,11.02,10.78,208500,11.02,10.78
2024-04-04,11.01,10.8,78000,11.01,10.8
2024-04-08,10.8,11.5,60000,11.5,10.8
2024-04-09,10.9,11.24,34000,11.24,10.9
2024-04-15,11.09,10.9,335500,11.09,10.9
2024-04-16,10.97,11.51,108500,11.51,10.97
2024-04-17,10.77,10.76,77500,10.77,10.76
2024-04-18,10.73,11.2,66500,11.2,10.73
2024-04-19,10.61,10.65,58000,10.65,10.61
2024-04-22,10.87,10.87,46500,10.87,10.87
2024-04-23,10.79,10.57,79000,10.79,10.57
2024-04-24,10.6,10.7,111000,10.7,10.6
2024-04-25,11.07,10.75,1028500,11.07,10.75
2024-04-26,11.33,10.82,40000,11.33,10.82
2024-04-29,11.12,11.2,54000,11.2,11.12
2024-04-30,11.72,11.39,335000,11.72,11.39
2024-05-02,11.29,11.75,87000,11.75,11.29
2024-05-03,11.25,11.4,33000,11.4,11.25
2024-05-06,11.33,11.26,132000,11.33,11.26
2024-05-07,11.82,11.59,489500,11.82,11.59
2024-05-08,11.8,11.52,113000,11.8,11.52
2024-05-09,11.53,11.52,66000,11.53,11.52
2024-05-10,11.46,11.73,116500,11.73,11.46
2024-05-13,12.22,11.7,478000,12.22,11.7
2024-05-14,11.83,12.25,76500,12.25,11.83
2024-05-15,11.62,12.0,80000,12.0,11.62
2024-05-16,11.33,11.26,97500,11.33,11.26
2024-05-17,11.26,11.25,114500,11.26,11.25
2024-05-20,11.3,11.65,8500,11.65,11.3
2024-05-21,11.25,11.03,41000,11.25,11.03
2024-05-22,11.25,11.06,33500,11.25,11.06
2024-05-23,12.25,12.25,176000,12.25,12.25
2024-05-24,13.25,13.25,1532000,13.25,13.25
2024-05-27,12.6,13.56,918051,13.56,12.6
2024-05-29,12.21,12.51,181162,12.51,12.21
2024-05-30,12.3,12.25,181627,12.3,12.25
2024-05-31,12.35,12.5,360561,12.5,12.35
2024-06-03,13.01,12.5,950334,13.01,12.5
2024-06-04,12.82,13.25,262777,13.25,12.82
2024-06-05,12.47,13.29,684725,13.29,12.47
2024-06-06,12.48,12.95,116630,12.95,12.48
2024-06-07,12.89,12.3,174942,12.89,12.3
2024-06-10,12.65,12.6,54015,12.65,12.6
2024-06-11,12.34,12.75,137253,12.75,12.34
2024-06-12,12.54,12.79,677975,12.79,12.54
2024-06-13,12.74,13.1,2029979,13.1,12.74
2024-06-14,12.65,12.9,1668371,12.9,12.65
2024-06-20,12.62,12.89,201887,12.89,12.62
2024-06-21,12.5,12.9,215359,12.9,12.5
2024-06-24,12.3,12.5,279004,12.5,12.3
2024-06-25,12.88,12.26,979064,12.88,12.26
2024-06-26,12.82,13.49,696089,13.49,12.82
2024-06-27,12.85,12.95,254650,12.95,12.85
2024-06-28,12.99,13.25,1801088,13.25,12.99
2024-07-01,12.88,13.1,860070,13.1,12.88
2024-07-02,12.73,13.0,99500,13.0,12.73
2024-07-03,12.14,13.0,2650617,13.0,12.14
2024-07-04,11.92,12.38,224891,12.38,11.92
2024-07-05,12.14,12.19,415932,12.19,12.14
2024-07-08,12.2,12.18,85432,12.2,12.18
2024-07-09,11.98,12.29,741723,12.29,11.98
2024-07-10,11.86,12.18,73937,12.18,11.86
2024-07-11,12.68,12.19,1424036,12.68,12.19
2024-07-12,12.76,12.7,2650844,12.76,12.7
2024-07-15,12.44,12.89,438652,12.89,12.44
2024-07-18,12.6,12.6,3618105,12.6,12.6
2024-07-19,12.15,12.6,164265,12.6,12.15
2024-07-22,11.89,12.35,156946,12.35,11.89
2024-07-23,12.23,12.59,366293,12.59,12.23
2024-07-24,12.2,11.95,338341,12.2,11.95
2024-07-25,12.47,12.38,3525963,12.47,12.38
2024-07-26,12.79,12.62,4536788,12.79,12.62
2024-07-29,13.32,13.0,4550823,13.32,13.0
2024-07-30,12.65,13.5,1383133,13.5,12.65
2024-07-31,12.18,12.75,4742974,12.75,12.18
2024-08-01,12.37,12.37,535119,12.37,12.37
2024-08-02,12.23,12.53,473200,12.53,12.23
2024-08-05,12.05,12.2,337980,12.2,12.05
2024-08-06,12.12,12.2,102100,12.2,12.12
2024-08-07,12.01,12.38,618235,12.38,12.01
2024-08-08,12.22,11.93,1020468,12.22,11.93
2024-08-09,12.31,12.45,504221,12.45,12.31
2024-08-12,12.17,12.55,586690,12.55,12.17
2024-08-13,11.88,12.02,444767,12.02,11.88
2024-08-15,11.9,12.1,410037,12.1,11.9
2024-08-16,12.07,12.0,2916536,12.07,12.0
2024-08-19,11.94,12.1,1258565,12.1,11.94
2024-08-20,12.01,11.81,616579,12.01,11.81
2024-08-21,12.07,12.23,412258,12.23,12.07
2024-08-22,12.04,12.29,281686,12.29,12.04
2024-08-23,11.76,12.0,1098898,12.0,11.76
2024-08-26,11.53,11.95,252078,11.95,11.53
2024-08-27,11.45,11.67,301853,11.67,11.45
2024-08-28,11.12,11.2,876892,11.2,11.12
2024-08-29,11.52,11.33,1273226,11.52,11.33
2024-08-30,11.79,11.69,2078423,11.79,11.69
2024-09-02,11.35,11.78,448402,11.78,11.35
2024-09-03,11.6,11.5,282052,11.6,11.5
2024-09-04,11.99,11.7,2307667,11.99,11.7
2024-09-05,11.88,12.15,880974,12.15,11.88
2024-09-06,11.63,11.29,201663,11.63,11.29
2024-09-09,11.38,11.41,239192,11.41,11.38
2024-09-10,11.32,11.35,138553,11.35,11.32
2024-09-11,11.07,11.6,935574,11.6,11.07
2024-09-12,11.08,11.1,133311,11.1,11.08
2024-09-13,11.1,11.15,406638,11.15,11.1
2024-09-16,11.05,11.35,109662,11.35,11.05
2024-09-18,10.91,10.99,82069,10.99,10.91
2024-09-19,10.49,10.9,398159,10.9,10.49
2024-09-20,10.4,10.78,122701,10.78,10.4
2024-09-23,10.13,10.5,469829,10.5,10.13
2024-09-24,10.06,10.12,145921,10.12,10.06
2024-09-25,10.24,10.06,140824,10.24,10.06
2024-09-26,10.1,10.38,588125,10.38,10.1
2024-09-27,10.1,10.1,642055,10.1,10.1
2024-09-30,9.93,10.0,190367,10.0,9.93
2024-10-01,10.36,9.9,633063,10.36,9.9
2024-10-02,10.28,10.4,37520,10.4,10.28
2024-10-03,10.31,10.49,161869,10.49,10.31
2024-10-04,10.3,10.1,44503,10.3,10.1
2024-10-07,10.34,10.22,187809,10.34,10.22
2024-10-08,10.15,10.6,198751,10.6,10.15
2024-10-09,10.11,10.06,239569,10.11,10.06
2024-10-10,9.92,10.43,198171,10.43,9.92
2024-10-11,9.86,10.2,141429,10.2,9.86
2024-10-14,9.55,10.0,115139,10.0,9.55
2024-10-15,9.69,9.8,97440,9.8,9.69
2024-10-16,10.18,9.75,580219,10.18,9.75
2024-10-17,10.34,10.2,82371,10.34,10.2
2024-10-18,10.44,10.25,414856,10.44,10.25
2024-10-21,10.29,10.5,110549,10.5,10.29
2024-10-22,10.35,10.4,390425,10.4,10.35
2024-10-23,10.31,10.55,60406,10.55,10.31
2024-10-24,10.28,10.31,181829,10.31,10.28
2024-10-25,10.07,10.26,281771,10.26,10.07
2024-10-28,10.09,10.1,47959,10.1,10.09
2024-10-29,10.02,10.27,184747,10.27,10.02
2024-10-30,9.76,10.0,266569,10.0,9.76
2024-10-31,9.6,9.88,64683,9.88,9.6
2024-11-01,9.52,9.79,29294,9.79,9.52
2024-11-04,9.77,9.75,109375,9.77,9.75
2024-11-05,10.0,9.99,386421,10.0,9.99
2024-11-06,9.99,10.0,79250,10.0,9.99
2024-11-07,10.27,9.81,782636,10.27,9.81
2024-11-08,10.14,10.25,507513,10.25,10.14
2024-11-11,10.7,10.35,816166,10.7,10.35
