date,close,open,volume,high,low
2023-09-18,28.97,29.45,3868268,29.45,28.97
2023-09-19,28.65,29.1,1741041,29.1,28.65
2023-09-20,28.51,28.6,3068649,28.6,28.51
2023-09-21,29.78,28.7,15320162,29.78,28.7
2023-09-22,29.25,29.99,6752226,29.99,29.25
2023-09-25,29.58,29.6,2832042,29.6,29.58
2023-09-26,29.48,29.75,2239136,29.75,29.48
2023-09-27,30.18,29.5,11085943,30.18,29.5
2023-09-28,29.94,30.25,3639888,30.25,29.94
2023-10-02,29.7,29.99,3015993,29.99,29.7
2023-10-03,29.83,29.85,3073236,29.85,29.83
2023-10-04,30.26,29.81,6395916,30.26,29.81
2023-10-05,32.35,30.5,21305930,32.35,30.5
2023-10-06,31.95,32.3,9535620,32.3,31.95
2023-10-09,32.25,31.51,4656325,32.25,31.51
2023-10-10,32.75,32.21,10934078,32.75,32.21
2023-10-11,33.02,32.7,6865449,33.02,32.7
2023-10-12,32.84,33.28,2218697,33.28,32.84
2023-10-13,33.42,33.2,6191548,33.42,33.2
2023-10-16,34.71,33.91,15081993,34.71,33.91
2023-10-17,35.58,34.9,20668090,35.58,34.9
2023-10-18,34.46,35.6,9213154,35.6,34.46
2023-10-19,34.93,34.79,10481148,34.93,34.79
2023-10-20,35.11,35.2,5040574,35.2,35.11
2023-10-23,34.7,35.44,3783642,35.44,34.7
2023-10-24,34.78,34.7,3253974,34.78,34.7
2023-10-25,35.22,34.52,9847237,35.22,34.52
2023-10-26,35.56,35.28,6112756,35.56,35.28
2023-10-27,35.69,35.0,7349579,35.69,35.0
2023-10-30,36.04,35.7,11324063,36.04,35.7
2023-10-31,35.9,35.95,7146142,35.95,35.9
2023-11-01,36.15,36.19,6513657,36.19,36.15
2023-11-02,36.7,36.4,15275315,36.7,36.4
2023-11-03,36.1,36.7,4708732,36.7,36.1
2023-11-06,36.68,36.13,12447134,36.68,36.13
2023-11-07,36.29,36.9,11659479,36.9,36.29
2023-11-08,36.63,36.61,5365590,36.63,36.61
2023-11-10,37.15,36.98,11148639,37.15,36.98
2023-11-13,38.28,37.25,21778867,38.28,37.25
2023-11-14,38.93,38.47,16702471,38.93,38.47
2023-11-15,38.52,38.75,10172241,38.75,38.52
2023-11-16,38.79,38.79,9889921,38.79,38.79
2023-11-17,39.07,38.82,13758673,39.07,38.82
2023-11-20,38.5,39.35,18047696,39.35,38.5
2023-11-21,38.75,38.75,9542244,38.75,38.75
2023-11-22,38.86,39.0,4744610,39.0,38.86
2023-11-23,38.96,39.0,8815725,39.0,38.96
2023-11-24,38.47,39.01,10686088,39.01,38.47
2023-11-27,39.17,38.7,17865589,39.17,38.7
2023-11-28,39.29,39.2,11213927,39.29,39.2
2023-11-29,39.14,39.46,13497925,39.46,39.14
2023-11-30,39.54,39.45,13230930,39.54,39.45
2023-12-01,42.36,39.55,43072746,42.36,39.55
2023-12-04,41.81,42.9,22423667,42.9,41.81
2023-12-05,41.54,41.99,9996001,41.99,41.54
2023-12-06,42.1,41.75,10587800,42.1,41.75
2023-12-07,42.12,42.4,10095805,42.4,42.12
2023-12-08,42.71,42.2,11810799,42.71,42.2
2023-12-11,41.76,42.71,6463320,42.71,41.76
2023-12-12,42.37,41.95,4284916,42.37,41.95
2023-12-13,41.28,42.81,10277634,42.81,41.28
2023-12-14,41.21,41.75,5697575,41.75,41.21
2023-12-15,41.07,41.25,6741224,41.25,41.07
2023-12-18,40.61,41.7,4779907,41.7,40.61
2023-12-19,38.22,40.56,9339107,40.56,38.22
2023-12-20,38.26,38.75,8820069,38.75,38.26
2023-12-21,38.97,38.74,3612273,38.97,38.74
2023-12-22,37.79,39.01,1942380,39.01,37.79
2023-12-26,36.24,38.0,5815890,38.0,36.24
2023-12-27,38.04,36.24,6801292,38.04,36.24
2023-12-28,38.5,38.0,6928866,38.5,38.0
2023-12-29,38.92,38.75,4080137,38.92,38.75
2024-01-01,40.83,39.19,5607766,40.83,39.19
2024-01-02,40.9,41.0,10870203,41.0,40.9
2024-01-03,40.68,41.0,6967398,41.0,40.68
2024-01-04,40.72,40.6,1557515,40.72,40.6
2024-01-05,40.54,40.51,3012885,40.54,40.51
2024-01-08,39.93,40.55,817993,40.55,39.93
2024-01-09,39.58,40.05,1419820,40.05,39.58
2024-01-10,39.33,39.4,1269331,39.4,39.33
2024-01-11,39.94,39.5,5324457,39.94,39.5
2024-01-12,39.54,40.51,2840231,40.51,39.54
2024-01-15,38.49,39.56,3529412,39.56,38.49
2024-01-16,38.1,38.79,2819853,38.79,38.1
2024-01-17,37.86,38.1,3552887,38.1,37.86
2024-01-18,38.18,37.65,5603198,38.18,37.65
2024-01-19,38.15,38.45,1098479,38.45,38.15
2024-01-22,38.22,38.4,1317723,38.4,38.22
2024-01-23,38.47,38.5,4373509,38.5,38.47
2024-01-24,38.79,38.5,4546201,38.79,38.5
2024-01-25,38.86,39.0,3434021,39.0,38.86
2024-01-26,38.51,39.19,1228477,39.19,38.51
2024-01-29,38.04,38.26,4192739,38.26,38.04
2024-01-30,38.0,38.0,2980059,38.0,38.0
2024-01-31,38.11,38.08,1166024,38.11,38.08
2024-02-01,37.92,38.48,830826,38.48,37.92
2024-02-02,38.69,38.12,1379179,38.69,38.12
2024-02-06,39.0,38.75,1940681,39.0,38.75
2024-02-07,38.88,39.11,1758260,39.11,38.88
2024-02-09,37.6,38.28,4671527,38.28,37.6
2024-02-12,36.54,37.02,2738356,37.02,36.54
2024-02-13,37.67,36.02,2216783,37.67,36.02
2024-02-14,38.31,37.98,1300865,38.31,37.98
2024-02-15,37.01,38.31,2704267,38.31,37.01
2024-02-16,35.86,36.75,1819752,36.75,35.86
2024-02-19,36.04,36.25,3172755,36.25,36.04
2024-02-20,36.34,36.45,1157827,36.45,36.34
2024-02-21,37.42,37.1,3304819,37.42,37.1
2024-02-22,37.35,37.5,1390222,37.5,37.35
2024-02-23,37.72,37.4,2007130,37.72,37.4
2024-02-26,38.02,37.73,2523828,38.02,37.73
2024-02-27,38.01,37.9,2898081,38.01,37.9
2024-02-28,38.89,37.75,4412669,38.89,37.75
2024-02-29,38.7,39.24,3258138,39.24,38.7
