date,close,open,volume,high,low
2021-02-26,1014.8399999999999,1028.84,30080,1028.84,1014.8399999999999
2021-03-01,1019.3800000000001,1020.03,28100,1020.03,1019.3800000000001
2021-03-02,1019.97,1025.0,28900,1025.0,1019.97
2021-03-03,1037.83,1020.0,46700,1037.83,1020.0
2021-03-04,1028.72,1010.0,37420,1028.72,1010.0
2021-03-05,1038.75,1040.0,32780,1040.0,1038.75
2021-03-08,1016.7,1041.11,58040,1041.11,1016.7
2021-03-09,997.2,1017.0,40880,1017.0,997.2
2021-03-10,845.79,870.0,30080,870.0,845.79
2021-03-11,832.4000000000001,850.0,45400,850.0,832.4000000000001
2021-03-12,834.71,849.9000000000001,35720,849.9000000000001,834.71
2021-03-15,864.3499999999999,840.0,39040,864.3499999999999,840.0
2021-03-16,875.8299999999999,856.0999999999999,13160,875.8299999999999,856.0999999999999
2021-03-17,886.55,880.0,26040,886.55,880.0
2021-03-18,876.5999999999999,889.99,39200,889.99,876.5999999999999
2021-03-19,865.0,874.01,29060,874.01,865.0
2021-03-22,864.3800000000001,870.0,5980,870.0,864.3800000000001
2021-03-24,890.5699999999999,871.0799999999999,16380,890.5699999999999,871.0799999999999
2021-03-25,893.75,897.05,14800,897.05,893.75
2021-03-26,888.5699999999999,900.0799999999999,33540,900.0799999999999,888.5699999999999
2021-03-29,885.8900000000001,886.0899999999999,48620,886.0899999999999,885.8900000000001
2021-03-30,894.76,890.0,16940,894.76,890.0
2021-03-31,889.75,899.98,31820,899.98,889.75
2021-04-01,894.6500000000001,901.74,23340,901.74,894.6500000000001
2021-04-02,889.96,892.05,9680,892.05,889.96
2021-04-05,890.0,885.01,19240,890.0,885.01
2021-04-06,889.3399999999999,897.99,18940,897.99,889.3399999999999
2021-04-07,856.25,885.5,79200,885.5,856.25
2021-04-08,881.4000000000001,860.0,11000,881.4000000000001,860.0
2021-04-09,875.25,880.0,24820,880.0,875.25
2021-04-12,874.9300000000001,875.0,33500,875.0,874.9300000000001
2021-04-13,875.1300000000001,875.2,16840,875.2,875.1300000000001
2021-04-14,880.0799999999999,877.0,40040,880.0799999999999,877.0
2021-04-15,873.1300000000001,880.0,9800,880.0,873.1300000000001
2021-04-16,879.4100000000001,872.5,10680,879.4100000000001,872.5
2021-04-19,866.9200000000001,868.0,9040,868.0,866.9200000000001
2021-04-20,875.3399999999999,865.0,11280,875.3399999999999,865.0
2021-04-21,873.9200000000001,865.0999999999999,8340,873.9200000000001,865.0999999999999
2021-04-22,860.72,860.3,2780,860.72,860.3
2021-04-23,859.8199999999999,860.0,2900,860.0,859.8199999999999
2021-04-26,870.56,862.0,22460,870.56,862.0
2021-04-27,860.1700000000001,880.0,27560,880.0,860.1700000000001
2021-04-28,857.1099999999999,860.0,14100,860.0,857.1099999999999
2021-04-29,846.75,841.01,8820,846.75,841.01
2021-04-30,833.74,849.99,15660,849.99,833.74
2021-05-03,838.25,840.0,15960,840.0,838.25
