date,close,open,volume,high,low
2023-09-18,48.3,47.879999999999995,124779,48.3,47.879999999999995
2023-09-19,47.529999999999994,48.669999999999995,59089,48.669999999999995,47.529999999999994
2023-09-20,47.01,47.809999999999995,72767,47.809999999999995,47.01
2023-09-21,46.989999999999995,47.769999999999996,301714,47.769999999999996,46.989999999999995
2023-09-22,47.72,47.8,1352241,47.8,47.72
2023-09-25,46.959999999999994,48.269999999999996,286447,48.269999999999996,46.959999999999994
2023-09-26,46.83,46.4,156397,46.83,46.4
2023-09-27,46.919999999999995,47.199999999999996,230581,47.199999999999996,46.919999999999995
2023-09-28,46.66,46.919999999999995,96294,46.919999999999995,46.66
2023-10-02,47.269999999999996,46.41,294869,47.269999999999996,46.41
2023-10-03,47.29,47.01,71635,47.29,47.01
2023-10-04,48.19,47.33,418727,48.19,47.33
2023-10-05,50.669999999999995,48.709999999999994,1738823,50.669999999999995,48.709999999999994
2023-10-06,49.86,50.8,479890,50.8,49.86
2023-10-09,49.32,48.97,314163,49.32,48.97
2023-10-10,51.199999999999996,49.349999999999994,1542738,51.199999999999996,49.349999999999994
2023-10-11,51.26,51.5,659978,51.5,51.26
2023-10-12,51.4,51.65,613276,51.65,51.4
2023-10-13,53.089999999999996,51.029999999999994,1881956,53.089999999999996,51.029999999999994
2023-10-16,56.919999999999995,52.949999999999996,4424800,56.919999999999995,52.949999999999996
2023-10-17,52.82,55.29,1483135,55.29,52.82
2023-10-18,55.09,56.0,821430,56.0,55.09
2023-10-19,56.59,54.25,857676,56.59,54.25
2023-10-20,58.61,56.25,1504622,58.61,56.25
2023-10-23,57.85,58.97,858523,58.97,57.85
2023-10-24,56.79,57.79,668170,57.79,56.79
2023-10-25,55.94,57.49,363181,57.49,55.94
2023-10-26,55.77,56.11,486249,56.11,55.77
2023-10-27,53.88,55.75,746674,55.75,53.88
2023-10-30,56.4,53.0,621768,56.4,53.0
2023-10-31,56.31,55.99,720105,56.31,55.99
2023-11-01,57.44,56.01,1226009,57.44,56.01
