date,close,open,volume,high,low
2023-09-13,92.57,90.0,89000,92.57,90.0
2023-09-14,92.5,93.0,15000,93.0,92.5
2023-09-15,92.51,94.49,61500,94.49,92.51
2023-09-18,92.99,92.5,23500,92.99,92.5
2023-09-19,92.5,93.5,9500,93.5,92.5
2023-09-20,92.51,92.6,13500,92.6,92.51
2023-09-21,92.42,92.1,5000,92.42,92.1
2023-09-22,93.9,91.5,32000,93.9,91.5
2023-09-25,99.0,94.0,672500,99.0,94.0
2023-09-26,97.54,100.5,23500,100.5,97.54
2023-09-27,97.74,97.49,21000,97.74,97.49
2023-09-28,100.47,97.0,104000,100.47,97.0
2023-10-02,100.64,99.0,72000,100.64,99.0
2023-10-03,101.45,99.1,77500,101.45,99.1
2023-10-04,102.19,102.5,283000,102.5,102.19
2023-10-05,99.96,102.15,31000,102.15,99.96
2023-10-06,99.14,100.55,20500,100.55,99.14
2023-10-09,99.31,100.0,20500,100.0,99.31
2023-10-10,100.4,99.2,81500,100.4,99.2
2023-10-11,98.08,99.51,48500,99.51,98.08
2023-10-12,100.5,100.0,419000,100.5,100.0
2023-10-13,101.95,100.75,63500,101.95,100.75
2023-10-16,104.55,101.95,227500,104.55,101.95
2023-10-17,107.61,106.25,456000,107.61,106.25
2023-10-18,105.0,107.8,29000,107.8,105.0
2023-10-19,106.93,106.1,75000,106.93,106.1
2023-10-20,105.18,106.3,64000,106.3,105.18
2023-10-23,104.5,104.51,17500,104.51,104.5
2023-10-24,102.5,103.5,12500,103.5,102.5
2023-10-25,100.43,101.6,54000,101.6,100.43
2023-10-26,101.5,101.0,56000,101.5,101.0
2023-10-27,100.65,100.0,15500,100.65,100.0
2023-10-30,99.51,101.0,13500,101.0,99.51
2023-10-31,99.38,98.6,29500,99.38,98.6
2023-11-01,99.53,99.5,25000,99.53,99.5
2023-11-02,102.0,101.14,37000,102.0,101.14
2023-11-03,104.87,100.05,110000,104.87,100.05
2023-11-06,108.04,104.6,110500,108.04,104.6
2023-11-07,109.28,107.5,111500,109.28,107.5
2023-11-08,110.63,110.0,43500,110.63,110.0
2023-11-10,117.95,111.5,371000,117.95,111.5
2023-11-13,114.77,120.0,123000,120.0,114.77
2023-11-14,116.05,114.79,75000,116.05,114.79
2023-11-15,115.13,117.4,25500,117.4,115.13
2023-11-16,116.61,115.5,103000,116.61,115.5
2023-11-17,116.6,117.35,50000,117.35,116.6
2023-11-20,119.14,116.5,222500,119.14,116.5
2023-11-21,118.86,120.0,183500,120.0,118.86
2023-11-22,123.35,119.0,704000,123.35,119.0
2023-11-23,128.13,124.99000000000001,482500,128.13,124.99000000000001
2023-11-24,126.28,129.4,206000,129.4,126.28
2023-11-27,135.79,127.49000000000001,561500,135.79,127.49000000000001
2023-11-28,132.52,137.5,385500,137.5,132.52
2023-11-29,128.54,132.6,168000,132.6,128.54
2023-11-30,125.22,128.5,47000,128.5,125.22
2023-12-01,128.83,125.25,122000,128.83,125.25
2023-12-04,135.31,128.5,196000,135.31,128.5
2023-12-05,145.94,135.5,335500,145.94,135.5
2023-12-06,145.59,150.38,223500,150.38,145.59
2023-12-07,140.55,145.5,105500,145.5,140.55
2023-12-08,141.61,138.55,153000,141.61,138.55
2023-12-11,143.51,141.5,216000,143.51,141.5
2023-12-12,147.1,144.49,116000,147.1,144.49
2023-12-13,140.26,146.5,194500,146.5,140.26
2023-12-14,135.52,139.0,78500,139.0,135.52
2023-12-15,142.56,135.62,233000,142.56,135.62
2023-12-18,136.74,143.0,90500,143.0,136.74
2023-12-19,130.41,135.5,131000,135.5,130.41
2023-12-20,128.77,126.5,81000,128.77,126.5
2023-12-21,127.07,132.5,58500,132.5,127.07
2023-12-22,128.88,131.5,174500,131.5,128.88
2023-12-26,121.71000000000001,129.5,186000,129.5,121.71000000000001
2023-12-27,130.09,120.5,110000,130.09,120.5
2023-12-28,138.6,132.4,225500,138.6,132.4
2023-12-29,138.5,138.5,120500,138.5,138.5
2024-01-01,140.38,140.5,27600,140.5,140.38
2024-01-02,142.1,140.51,71600,142.1,140.51
2024-01-03,143.3,141.52,220300,143.3,141.52
2024-01-04,142.5,142.0,21700,142.5,142.0
2024-01-05,144.36,141.5,277574,144.36,141.5
2024-01-08,148.03,143.5,72345,148.03,143.5
2024-01-09,154.05,148.5,126768,154.05,148.5
2024-01-10,151.06,154.5,22681,154.5,151.06
2024-01-11,151.86,150.52,241650,151.86,150.52
2024-01-12,153.54,150.21,56412,153.54,150.21
2024-01-15,152.0,154.5,27324,154.5,152.0
2024-01-16,150.93,153.0,49856,153.0,150.93
2024-01-17,148.59,150.45,33942,150.45,148.59
2024-01-18,156.96,148.0,2214291,156.96,148.0
2024-01-19,154.4,156.5,41980,156.5,154.4
2024-01-22,152.62,156.8,10924,156.8,152.62
2024-01-23,155.43,154.5,65751,155.43,154.5
2024-01-24,156.51,154.55,80150,156.51,154.55
2024-01-25,155.96,155.5,50042,155.96,155.5
2024-01-26,153.66,156.5,21429,156.5,153.66
2024-01-29,154.62,157.5,48816,157.5,154.62
2024-01-30,154.34,157.29,39008,157.29,154.34
2024-01-31,152.3,153.72,15735,153.72,152.3
2024-02-01,155.94,156.45,49794,156.45,155.94
2024-02-02,154.53,156.4,2157,156.4,154.53
2024-02-06,153.47,154.53,7842,154.53,153.47
2024-02-07,154.28,156.49,6025,156.49,154.28
2024-02-09,146.41,143.5,42885,146.41,143.5
2024-02-12,138.19,146.3,64273,146.3,138.19
2024-02-13,143.31,133.5,34146,143.31,133.5
2024-02-14,149.71,145.5,29907,149.71,145.5
2024-02-15,149.61,146.7,78983,149.61,146.7
2024-02-16,153.12,149.5,1533414,153.12,149.5
2024-02-19,152.3,153.5,15185,153.5,152.3
2024-02-20,151.69,153.5,8871,153.5,151.69
2024-02-21,152.54,154.49,3998,154.49,152.54
2024-02-22,152.47,152.5,11385,152.5,152.47
2024-02-23,153.56,152.5,7305,153.56,152.5
2024-02-26,154.5,154.5,6574,154.5,154.5
2024-02-27,151.32,154.5,36790,154.5,151.32
2024-02-28,149.76,152.5,8925,152.5,149.76
2024-02-29,150.35,152.9,11308,152.9,150.35
2024-03-01,149.4,149.5,7411,149.5,149.4
2024-03-04,149.5,146.25,8298,149.5,146.25
2024-03-05,153.0,148.52,35521,153.0,148.52
2024-03-06,151.4,155.4,19291,155.4,151.4
2024-03-07,149.94,150.01,25712,150.01,149.94
2024-03-08,147.94,151.4,19779,151.4,147.94
2024-03-11,151.24,151.99,3744,151.99,151.24
2024-03-12,148.02,148.11,8096,148.11,148.02
2024-03-13,147.0,146.15,9832,147.0,146.15
2024-03-14,148.11,146.15,73067,148.11,146.15
2024-03-15,149.07,151.99,4584,151.99,149.07
2024-03-18,149.27,153.0,5882,153.0,149.27
2024-03-19,150.44,148.0,49606,150.44,148.0
2024-03-20,151.87,151.87,148061,151.87,151.87
2024-03-21,151.86,151.99,27946,151.99,151.86
2024-03-22,150.28,151.0,33078,151.0,150.28
2024-03-25,153.99,152.0,24882,153.99,152.0
2024-03-26,157.97,153.0,942360,157.97,153.0
2024-03-27,157.0,159.0,12352,159.0,157.0
2024-03-28,157.47,157.8,9958,157.8,157.47
2024-03-29,158.13,159.0,17554,159.0,158.13
2024-04-01,157.0,159.99,22161,159.99,157.0
2024-04-02,157.33,158.9,52049,158.9,157.33
2024-04-03,158.87,156.0,18907,158.87,156.0
2024-04-04,158.25,160.0,13648,160.0,158.25
2024-04-08,158.89,158.25,9043,158.89,158.25
2024-04-09,158.51,160.0,19591,160.0,158.51
2024-04-15,157.41,156.22,9626,157.41,156.22
2024-04-16,156.0,158.95,11981,158.95,156.0
2024-04-17,155.72,158.94,10251,158.94,155.72
2024-04-18,155.0,152.01,73685,155.0,152.01
2024-04-19,158.66,157.0,76859,158.66,157.0
2024-04-22,158.98,158.67,23811,158.98,158.67
2024-04-23,157.34,160.0,10832,160.0,157.34
2024-04-24,157.12,158.22,14110,158.22,157.12
2024-04-25,156.03,157.0,29118,157.0,156.03
2024-04-26,168.11,157.0,150627,168.11,157.0
2024-04-29,177.38,168.12,273818,177.38,168.12
2024-04-30,165.4,176.5,109120,176.5,165.4
2024-05-02,160.69,165.0,27906,165.0,160.69
2024-05-03,164.42,162.99,68293,164.42,162.99
2024-05-06,172.44,166.49,135223,172.44,166.49
2024-05-07,170.87,172.0,67704,172.0,170.87
2024-05-08,164.0,168.55,134013,168.55,164.0
2024-05-09,166.39,167.49,75324,167.49,166.39
2024-05-10,166.07,165.25,73745,166.07,165.25
2024-05-13,170.58,167.0,99817,170.58,167.0
2024-05-14,169.28,171.0,32277,171.0,169.28
2024-05-15,173.07,169.28,220892,173.07,169.28
2024-05-16,170.44,173.0,19492,173.0,170.44
2024-05-17,170.17,172.9,16041,172.9,170.17
2024-05-20,167.06,169.52,16351,169.52,167.06
2024-05-21,168.01,170.98,55041,170.98,168.01
2024-05-22,168.82,169.49,78801,169.49,168.82
2024-05-23,168.01,170.0,39099,170.0,168.01
2024-05-24,166.51,169.15,17337,169.15,166.51
2024-05-27,164.77,168.0,24834,168.0,164.77
2024-05-29,162.25,164.2,11202,164.2,162.25
2024-05-30,164.87,160.01,42413,164.87,160.01
2024-05-31,164.85,165.5,11442,165.5,164.85
2024-06-03,164.03,165.0,23172,165.0,164.03
2024-06-04,162.44,163.0,18796,163.0,162.44
2024-06-05,162.01,164.98,5817,164.98,162.01
2024-06-06,161.07,164.98,8733,164.98,161.07
2024-06-07,158.44,158.01,16526,158.44,158.01
2024-06-10,162.7,158.46,23959,162.7,158.46
2024-06-11,166.15,167.0,55374,167.0,166.15
2024-06-12,164.94,166.0,16807,166.0,164.94
2024-06-13,168.74,167.0,37194,168.74,167.0
2024-06-14,170.19,166.0,55806,170.19,166.0
2024-06-20,170.11,176.0,99557,176.0,170.11
2024-06-21,168.0,171.0,57101,171.0,168.0
2024-06-24,167.54,171.5,11394,171.5,167.54
2024-06-25,167.04,167.98,6139,167.98,167.04
2024-06-26,167.52,169.0,14916,169.0,167.52
2024-06-27,169.65,166.01,14739,169.65,166.01
2024-06-28,169.71,169.98,62423,169.98,169.71
2024-07-01,167.93,168.5,13830,168.5,167.93
2024-07-02,170.79,169.0,60420,170.79,169.0
2024-07-03,172.81,174.0,33824,174.0,172.81
2024-07-04,183.76,173.58,138484,183.76,173.58
2024-07-05,183.91,185.0,37796,185.0,183.91
2024-07-08,189.86,184.88,53168,189.86,184.88
2024-07-09,194.71,190.0,65598,194.71,190.0
2024-07-10,192.85,198.49,54325,198.49,192.85
2024-07-11,188.15,196.0,11696,196.0,188.15
2024-07-12,188.33,188.0,24568,188.33,188.0
2024-07-15,188.04,191.68,13044,191.68,188.04
2024-07-18,190.27,187.73,25414,190.27,187.73
2024-07-19,186.35,190.99,14535,190.99,186.35
2024-07-22,180.57,186.38,21505,186.38,180.57
2024-07-23,179.59,184.99,12384,184.99,179.59
2024-07-24,181.56,181.98,40457,181.98,181.56
2024-07-25,179.85,186.95,12327,186.95,179.85
2024-07-26,177.91,183.63,13944,183.63,177.91
2024-07-29,178.73,177.99,59369,178.73,177.99
2024-07-30,173.71,178.97,27682,178.97,173.71
2024-07-31,169.71,178.0,21717,178.0,169.71
2024-08-01,168.55,170.0,27269,170.0,168.55
2024-08-02,181.41,169.0,416488,181.41,169.0
2024-08-05,183.57,190.85,345184,190.85,183.57
2024-08-06,184.82,184.0,65508,184.82,184.0
2024-08-07,182.48,184.89,40415,184.89,182.48
2024-08-08,188.6,182.48,87327,188.6,182.48
2024-08-09,189.47,189.0,131344,189.47,189.0
2024-08-12,189.52,190.01,86444,190.01,189.52
2024-08-13,190.0,189.74,36253,190.0,189.74
2024-08-15,189.97,191.9,94700,191.9,189.97
2024-08-16,195.13,191.0,5974988,195.13,191.0
2024-08-19,193.89,200.0,87556,200.0,193.89
2024-08-20,188.92,187.5,61165,188.92,187.5
2024-08-21,186.75,189.2,22846,189.2,186.75
2024-08-22,183.92,189.0,121687,189.0,183.92
2024-08-23,184.1,186.9,69563,186.9,184.1
2024-08-26,185.44,185.99,31814,185.99,185.44
2024-08-27,181.86,187.99,28365,187.99,181.86
2024-08-28,183.24,181.5,34045,183.24,181.5
2024-08-29,181.32,185.0,46479,185.0,181.32
2024-08-30,181.12,181.88,8660,181.88,181.12
2024-09-02,179.78,181.12,14752,181.12,179.78
2024-09-03,179.0,181.0,25463,181.0,179.0
2024-09-04,181.4,179.0,16293,181.4,179.0
2024-09-05,179.56,182.95,48246,182.95,179.56
2024-09-06,169.11,178.11,95964,178.11,169.11
2024-09-09,167.45,170.99,30521,170.99,167.45
2024-09-10,170.0,168.9,29841,170.0,168.9
2024-09-11,170.78,171.0,35671,171.0,170.78
2024-09-12,169.02,170.0,41296,170.0,169.02
2024-09-13,169.53,171.0,30091,171.0,169.53
2024-09-16,171.13,170.0,23397,171.13,170.0
2024-09-18,173.75,172.0,28213,173.75,172.0
2024-09-19,172.9,173.75,36197,173.75,172.9
2024-09-20,172.88,174.13,17397,174.13,172.88
2024-09-23,172.28,172.88,8301,172.88,172.28
2024-09-24,169.1,172.45,27515,172.45,169.1
2024-09-25,169.99,169.11,15109,169.99,169.11
2024-09-26,169.87,171.0,14563,171.0,169.87
2024-09-27,167.9,170.0,13628,170.0,167.9
2024-09-30,167.0,166.11,9148,167.0,166.11
2024-10-01,164.96,169.75,41087,169.75,164.96
2024-10-02,166.38,165.01,13907,166.38,165.01
2024-10-03,165.19,168.0,38656,168.0,165.19
2024-10-04,169.52,165.5,86685,169.52,165.5
2024-10-07,177.7,167.55,63780,177.7,167.55
2024-10-08,177.34,180.0,44654,180.0,177.34
2024-10-09,177.99,177.0,30080,177.99,177.0
2024-10-10,169.2,174.99,51167,174.99,169.2
2024-10-11,171.22,174.99,31260,174.99,171.22
2024-10-14,169.17,172.77,40696,172.77,169.17
2024-10-15,167.52,166.0,20436,167.52,166.0
2024-10-16,167.12,167.0,21787,167.12,167.0
2024-10-17,168.56,167.12,16218,168.56,167.12
2024-10-18,169.07,169.0,2617,169.07,169.0
2024-10-21,169.99,170.0,19935,170.0,169.99
2024-10-22,170.5,171.7,13526,171.7,170.5
2024-10-23,165.54,172.72,73097,172.72,165.54
2024-10-24,167.11,169.97,25030,169.97,167.11
2024-10-25,168.14,169.61,28539,169.61,168.14
2024-10-28,166.99,169.99,42209,169.99,166.99
2024-10-29,167.22,167.01,23548,167.22,167.01
2024-10-30,165.56,168.96,31310,168.96,165.56
2024-10-31,165.74,166.75,15867,166.75,165.74
2024-11-01,164.64,166.99,4972,166.99,164.64
2024-11-04,168.98,166.86,28304,168.98,166.86
2024-11-05,168.04,169.1,28793,169.1,168.04
2024-11-06,167.5,169.99,5712,169.99,167.5
2024-11-07,167.91,168.98,16272,168.98,167.91
2024-11-08,169.21,169.21,11577,169.21,169.21
2024-11-11,169.49,169.5,22671,169.5,169.49
2024-11-12,174.01,170.1,82251,174.01,170.1
2024-11-13,172.4,174.0,58102,174.0,172.4
2024-11-14,173.98,173.0,67303,173.98,173.0
2024-11-15,175.85,175.0,32262,175.85,175.0
2024-11-18,178.39,176.43,102772,178.39,176.43
2024-11-19,178.87,180.99,37729,180.99,178.87
2024-11-20,175.78,179.1,65093,179.1,175.78
2024-11-21,177.48,177.97,22188,177.97,177.48
2024-11-22,173.78,177.0,33488,177.0,173.78
2024-11-25,172.82,176.99,26253,176.99,172.82
2024-11-26,165.58,171.11,40137,171.11,165.58
2024-11-27,171.66,169.0,32351,171.66,169.0
2024-11-28,175.26,173.87,239929,175.26,173.87
2024-11-29,175.11,178.7,79687,178.7,175.11
2024-12-02,179.75,175.11,73978,179.75,175.11
2024-12-03,181.44,180.0,78137,181.44,180.0
2024-12-04,179.8,182.5,52747,182.5,179.8
2024-12-05,183.27,181.99,193025,183.27,181.99
2024-12-06,187.05,183.27,2836939,187.05,183.27
2024-12-09,187.84,188.0,493192,188.0,187.84
2024-12-10,184.51,191.0,369383,191.0,184.51
2024-12-11,189.39,180.0,193886,189.39,180.0
2024-12-12,199.22,189.5,381222,199.22,189.5
2024-12-13,195.25,198.99,138885,198.99,195.25
2024-12-16,189.93,196.0,222465,196.0,189.93
2024-12-17,186.37,189.0,80575,189.0,186.37
2024-12-18,182.64,186.0,110639,186.0,182.64
2024-12-19,183.06,181.0,200998,183.06,181.0
2024-12-20,183.07,183.0,143072,183.07,183.0
2024-12-23,190.17,185.5,126469,190.17,185.5
2024-12-24,189.41,191.0,131891,191.0,189.41
2024-12-26,190.05,189.42,47980,190.05,189.42
2024-12-27,187.31,191.36,43930,191.36,187.31
2024-12-30,194.95,187.31,169858,194.95,187.31
2024-12-31,193.28,195.0,49833,195.0,193.28
2025-01-01,193.14,194.0,125481,194.0,193.14
2025-01-02,190.11,190.0,39815,190.11,190.0
2025-01-03,192.59,192.0,139597,192.59,192.0
2025-01-06,190.04,192.5,78633,192.5,190.04
2025-01-07,189.21,190.51,74460,190.51,189.21
