date,close,open,volume,high,low
2021-02-26,277.68,280.5,9067000,280.5,277.68
2021-03-01,282.04,276.0,7775500,282.04,276.0
2021-03-02,291.77,285.49,8112000,291.77,285.49
2021-03-03,297.06,293.0,7577000,297.06,293.0
2021-03-04,281.76,283.0,4240500,283.0,281.76
2021-03-05,282.83,281.76,3405500,282.83,281.76
2021-03-08,284.14,289.0,5598000,289.0,284.14
2021-03-09,277.08,284.1,4656500,284.1,277.08
2021-03-10,261.02,277.5,6044000,277.5,261.02
2021-03-11,241.23,254.0,3174000,254.0,241.23
2021-03-12,237.0,234.0,6845000,237.0,234.0
2021-03-15,255.0,247.0,5269500,255.0,247.0
2021-03-16,265.95,257.55,7252000,265.95,257.55
2021-03-17,270.88,274.0,8356000,274.0,270.88
2021-03-18,250.92,268.49,7533000,268.49,250.92
2021-03-19,236.28,243.01,9072000,243.01,236.28
2021-03-22,236.25,229.0,5408500,236.25,229.0
2021-03-24,248.2,238.0,8259000,248.2,238.0
2021-03-25,236.13,251.0,10598500,251.0,236.13
2021-03-26,229.82,233.93,8377000,233.93,229.82
2021-03-29,212.36,228.02,3995500,228.02,212.36
2021-03-30,217.59,204.0,15954000,217.59,204.0
2021-03-31,201.05,221.9,7645000,221.9,201.05
2021-04-01,185.75,194.01,9463500,194.01,185.75
2021-04-02,172.94,179.05,9462000,179.05,172.94
2021-04-05,159.75,172.99,7413500,172.99,159.75
2021-04-06,169.52,156.0,19228000,169.52,156.0
2021-04-07,156.59,170.6,6416000,170.6,156.59
2021-04-08,162.25,155.0,11915000,162.25,155.0
2021-04-09,168.16,162.5,10182000,168.16,162.5
2021-04-12,157.02,164.8,6160000,164.8,157.02
2021-04-13,168.11,153.99,9578000,168.11,153.99
2021-04-14,180.94,172.0,6761500,180.94,172.0
2021-04-15,173.94,182.0,9268500,182.0,173.94
2021-04-16,171.93,175.0,2417000,175.0,171.93
2021-04-19,159.33,165.0,4072000,165.0,159.33
2021-04-20,168.58,164.0,4181500,168.58,164.0
2021-04-21,163.66,169.5,4106500,169.5,163.66
2021-04-22,155.54,162.05,2265000,162.05,155.54
2021-04-23,153.19,152.0,2734500,153.19,152.0
2021-04-26,152.0,150.9,3067500,152.0,150.9
2021-04-27,162.69,152.97,5074500,162.69,152.97
2021-04-28,175.11,167.0,6514000,175.11,167.0
2021-04-29,167.48,175.99,5433000,175.99,167.48
2021-04-30,154.69,161.0,1648000,161.0,154.69
2021-05-03,142.88,146.06,1375000,146.06,142.88
2021-05-04,131.94,131.94,4119000,131.94,131.94
2021-05-05,134.72,131.0,10790500,134.72,131.0
2021-05-06,134.44,135.61,2819500,135.61,134.44
2021-05-17,144.75,137.0,6295500,144.75,137.0
2021-05-18,140.04,143.0,4939000,143.0,140.04
2021-05-19,140.29,136.0,5851500,140.29,136.0
2021-05-20,151.03,140.98,11773000,151.03,140.98
2021-05-21,162.58,152.75,6220000,162.58,152.75
2021-05-24,173.13,167.5,13153000,173.13,167.5
2021-05-25,180.9,174.4,14300000,180.9,174.4
2021-05-26,181.03,180.89,8866000,181.03,180.89
2021-05-27,181.64,183.6,4483500,183.6,181.64
2021-05-28,181.69,182.01,7405000,182.01,181.69
2021-05-31,174.34,182.0,6933000,182.0,174.34
2021-06-01,170.22,174.4,6424500,174.4,170.22
2021-06-02,166.18,169.9,4041000,169.9,166.18
2021-06-03,178.3,166.5,12080500,178.3,166.5
2021-06-04,187.99,178.3,15979000,187.99,178.3
2021-06-07,177.89,190.0,16919000,190.0,177.89
2021-06-08,182.0,177.76,11564500,182.0,177.76
2021-06-09,185.97,183.0,11123000,185.97,183.0
2021-06-10,189.95,187.5,11028500,189.95,187.5
2021-06-11,180.27,190.0,12154500,190.0,180.27
2021-06-14,183.71,183.0,5033000,183.71,183.0
2021-06-15,178.21,183.4,3054000,183.4,178.21
2021-06-16,174.45,178.47,1585000,178.47,174.45
2021-06-17,172.38,174.0,1695000,174.0,172.38
2021-06-18,173.62,174.69,1894000,174.69,173.62
2021-06-21,171.28,172.1,1006000,172.1,171.28
2021-06-22,169.09,172.24,1096500,172.24,169.09
2021-06-23,169.88,169.25,1572500,169.88,169.25
2021-06-24,170.08,171.3,1412000,171.3,170.08
2021-06-25,163.43,170.4,2684000,170.4,163.43
2021-06-28,159.0,163.0,1196000,163.0,159.0
2021-06-29,162.59,160.25,1305500,162.59,160.25
2021-06-30,166.98,164.0,1813500,166.98,164.0
2021-07-01,172.79,167.9,3324200,172.79,167.9
2021-07-02,169.62,173.9,1537600,173.9,169.62
2021-07-05,166.81,170.07,955200,170.07,166.81
2021-07-06,160.22,167.5,881800,167.5,160.22
2021-07-07,158.65,159.0,975900,159.0,158.65
2021-07-08,170.77,159.1,2524400,170.77,159.1
2021-07-09,164.9,171.0,2650100,171.0,164.9
2021-07-12,161.71,163.13,606000,163.13,161.71
2021-07-13,173.93,161.0,8267800,173.93,161.0
2021-07-14,168.73,173.5,4958400,173.5,168.73
2021-07-15,165.34,170.5,3006300,170.5,165.34
2021-07-16,165.75,166.5,1721100,166.5,165.75
2021-07-19,165.64,166.0,953400,166.0,165.64
2021-07-23,162.36,166.98,865700,166.98,162.36
2021-07-26,164.57,163.85,1434900,164.57,163.85
2021-07-27,162.82,165.34,553800,165.34,162.82
2021-07-28,156.27,163.15,1411100,163.15,156.27
2021-07-29,154.43,159.15,1293000,159.15,154.43
2021-07-30,146.5,153.98,1928700,153.98,146.5
2021-08-02,155.41,146.55,1626700,155.41,146.55
2021-08-03,158.91,155.6,2168400,158.91,155.6
2021-08-04,157.78,159.34,1069800,159.34,157.78
2021-08-05,158.38,158.02,847500,158.38,158.02
2021-08-06,154.63,158.31,557100,158.31,154.63
2021-08-09,144.59,156.0,1507100,156.0,144.59
2021-08-10,148.63,143.75,1417600,148.63,143.75
2021-08-11,151.19,150.0,1441600,151.19,150.0
2021-08-12,148.93,151.0,1086900,151.0,148.93
2021-08-13,149.86,149.15,2000500,149.86,149.15
2021-08-16,146.3,149.87,1398200,149.87,146.3
2021-08-17,149.16,147.01,1040400,149.16,147.01
2021-08-20,149.94,150.0,470000,150.0,149.94
2021-08-23,150.56,150.5,585400,150.56,150.5
2021-08-24,151.91,151.9,2374400,151.91,151.9
2021-08-25,148.88,152.0,906400,152.0,148.88
2021-08-26,145.91,149.37,711800,149.37,145.91
2021-08-27,147.24,144.17,953200,147.24,144.17
2021-08-30,152.59,148.5,2497500,152.59,148.5
2021-08-31,151.59,153.7,1687400,153.7,151.59
2021-09-01,151.63,150.52,1036500,151.63,150.52
2021-09-02,151.59,152.0,1144900,152.0,151.59
2021-09-03,149.68,151.7,848800,151.7,149.68
2021-09-06,149.78,150.8,323400,150.8,149.78
2021-09-07,147.19,150.0,743900,150.0,147.19
2021-09-08,147.93,148.44,591500,148.44,147.93
2021-09-09,151.3,148.5,2099400,151.3,148.5
2021-09-10,162.87,152.95,5205600,162.87,152.95
2021-09-13,156.76,165.0,2761300,165.0,156.76
2021-09-14,149.71,156.1,1838100,156.1,149.71
2021-09-15,151.61,151.0,1265200,151.61,151.0
2021-09-16,154.93,152.0,2696400,154.93,152.0
2021-09-17,150.57,156.1,1064300,156.1,150.57
2021-09-20,148.63,149.99,578000,149.99,148.63
2021-09-21,144.38,148.98,696500,148.98,144.38
2021-09-22,136.88,144.0,1621900,144.0,136.88
2021-09-23,126.56,136.0,2089800,136.0,126.56
2021-09-24,116.85,125.5,1766200,125.5,116.85
2021-09-27,109.55,116.0,1733300,116.0,109.55
2021-09-28,117.99,110.4,1394100,117.99,110.4
2021-09-29,118.07,118.1,4212000,118.1,118.07
2021-09-30,121.88,117.0,2031800,121.88,117.0
2021-10-01,121.48,121.0,1057500,121.48,121.0
2021-10-04,130.32,120.51,3871700,130.32,120.51
2021-10-05,125.50999999999999,129.74,1896900,129.74,125.50999999999999
2021-10-06,121.96,125.5,695600,125.5,121.96
2021-10-07,121.7,122.05,690300,122.05,121.7
2021-10-08,119.78,121.09,557700,121.09,119.78
2021-10-11,110.78,120.86,1222400,120.86,110.78
2021-10-12,107.34,108.26,1341200,108.26,107.34
2021-10-13,99.92,107.1,1316000,107.1,99.92
2021-10-14,105.31,98.0,1459300,105.31,98.0
2021-10-15,103.34,106.0,780000,106.0,103.34
2021-10-18,98.35,101.01,599200,101.01,98.35
2021-10-20,105.92,99.99,1660900,105.92,99.99
2021-10-21,100.15,106.5,1629600,106.5,100.15
2021-10-22,98.16,98.0,1300800,98.16,98.0
2021-10-25,99.61,98.65,244100,99.61,98.65
2021-10-26,99.59,100.9,421800,100.9,99.59
2021-10-27,105.14,101.99,959100,105.14,101.99
2021-10-28,104.33,105.0,2133500,105.0,104.33
2021-10-29,102.41,104.0,1509900,104.0,102.41
2021-11-01,106.68,103.0,2566300,106.68,103.0
2021-11-02,110.25,107.4,2240600,110.25,107.4
2021-11-03,113.35,110.98,2198400,113.35,110.98
2021-11-04,122.07,113.8,3977700,122.07,113.8
2021-11-05,125.0,125.99000000000001,4982800,125.99000000000001,125.0
2021-11-08,117.31,124.78,2452900,124.78,117.31
