date,close,open,volume,high,low
2021-02-26,597.13,600.25,839900,600.25,597.13
2021-03-01,603.29,594.98,906600,603.29,594.98
2021-03-02,610.99,605.0,1336900,610.99,605.0
2021-03-03,616.45,617.0,1754800,617.0,616.45
2021-03-04,596.96,595.0,904900,596.96,595.0
2021-03-05,607.47,600.0,1083400,607.47,600.0
2021-03-08,609.02,623.0,1677900,623.0,609.02
2021-03-09,573.25,603.73,1060200,603.73,573.25
2021-03-10,566.34,574.0,1472500,574.0,566.34
2021-03-11,527.46,564.95,619300,564.95,527.46
2021-03-12,520.92,510.0,1907400,520.92,510.0
2021-03-15,558.3,530.0,2543600,558.3,530.0
2021-03-16,564.42,561.9,2598400,564.42,561.9
2021-03-17,563.39,573.0,1970100,573.0,563.39
2021-03-18,521.51,559.0,1796000,559.0,521.51
2021-03-19,557.78,512.49,4527600,557.78,512.49
2021-03-22,580.75,544.0,3616400,580.75,544.0
2021-03-24,580.8,579.4,2854800,580.8,579.4
2021-03-25,582.36,579.0,3576600,582.36,579.0
2021-03-26,603.26,582.01,3565000,603.26,582.01
2021-03-29,559.91,603.26,1620100,603.26,559.91
2021-03-30,567.78,552.07,1554800,567.78,552.07
2021-03-31,564.15,577.55,2588700,577.55,564.15
2021-04-01,535.12,575.0,1970900,575.0,535.12
2021-04-02,517.98,535.0,828000,535.0,517.98
2021-04-05,477.26,517.8,1037400,517.8,477.26
2021-04-06,512.42,474.99,1666200,512.42,474.99
2021-04-07,514.44,514.5,1655700,514.5,514.44
2021-04-08,531.79,515.0,1043800,531.79,515.0
2021-04-09,572.15,534.0,2992300,572.15,534.0
2021-04-12,561.0,570.0,864500,570.0,561.0
2021-04-13,556.9,555.0,452400,556.9,555.0
2021-04-14,566.59,555.0,1155600,566.59,555.0
2021-04-15,565.4,567.0,474400,567.0,565.4
2021-04-16,559.88,563.11,247100,563.11,559.88
2021-04-19,539.19,555.0,296200,555.0,539.19
2021-04-20,533.76,547.05,724100,547.05,533.76
2021-04-21,516.13,533.0,763700,533.0,516.13
2021-04-22,512.73,525.0,687800,525.0,512.73
2021-04-23,521.36,505.0,490500,521.36,505.0
2021-04-26,531.39,515.0,708500,531.39,515.0
2021-04-27,554.85,531.99,2332300,554.85,531.99
2021-04-28,576.66,555.01,2374500,576.66,555.01
2021-04-29,576.01,579.03,1811700,579.03,576.01
2021-04-30,537.38,576.0,515400,576.0,537.38
2021-05-03,524.45,525.0,519800,525.0,524.45
2021-05-04,539.88,534.0,188600,539.88,534.0
2021-05-05,526.91,545.0,1423300,545.0,526.91
2021-05-06,533.6,528.0,686400,533.6,528.0
2021-05-17,520.86,539.0,1705300,539.0,520.86
