date,close,open,volume,high,low
2021-02-11,12.19,13.34,11381500,13.34,12.19
2021-02-12,11.71,11.65,2787000,11.71,11.65
2021-02-15,11.7,11.94,1374000,11.94,11.7
2021-02-16,11.74,11.8,1011500,11.8,11.74
2021-02-17,11.55,11.96,1231500,11.96,11.55
2021-02-18,11.3,11.59,934000,11.59,11.3
2021-02-19,11.23,11.49,620000,11.49,11.23
2021-02-22,11.68,11.24,2955000,11.68,11.24
2021-02-23,11.26,11.75,1499500,11.75,11.26
2021-02-24,10.99,11.26,1650000,11.26,10.99
2021-02-25,11.18,10.75,440000,11.18,10.75
2021-02-26,10.9,10.92,289000,10.92,10.9
2021-03-01,10.76,10.46,513500,10.76,10.46
2021-03-02,11.01,10.7,1156500,11.01,10.7
2021-03-03,11.47,10.98,2160500,11.47,10.98
2021-03-04,10.6,11.0,2414000,11.0,10.6
2021-03-05,10.73,10.84,506500,10.84,10.73
2021-03-08,10.39,10.95,665000,10.95,10.39
2021-03-09,9.72,10.21,356500,10.21,9.72
2021-03-10,9.87,10.0,1139000,10.0,9.87
2021-03-11,9.49,10.15,412000,10.15,9.49
2021-03-12,9.52,9.02,628000,9.52,9.02
2021-03-15,10.27,9.7,794000,10.27,9.7
2021-03-16,10.57,10.22,731500,10.57,10.22
2021-03-17,11.18,10.98,1097000,11.18,10.98
2021-03-18,10.72,10.96,530000,10.96,10.72
2021-03-19,10.92,10.51,248500,10.92,10.51
2021-03-22,10.71,10.7,354500,10.71,10.7
2021-03-24,10.88,10.71,243000,10.88,10.71
2021-03-25,10.75,10.88,383000,10.88,10.75
2021-03-26,10.69,10.57,218500,10.69,10.57
2021-03-29,10.02,10.88,403000,10.88,10.02
2021-03-30,10.22,9.82,131500,10.22,9.82
2021-03-31,10.59,10.22,425000,10.59,10.22
2021-04-01,10.58,10.85,158000,10.85,10.58
2021-04-02,10.53,10.5,157500,10.53,10.5
2021-04-05,10.02,10.5,801500,10.5,10.02
2021-04-06,10.59,10.08,196500,10.59,10.08
2021-04-07,10.98,10.6,751500,10.98,10.6
2021-04-08,11.8,11.2,3420500,11.8,11.2
2021-04-09,12.23,11.8,2985500,12.23,11.8
2021-04-12,12.47,12.2,1678000,12.47,12.2
2021-04-13,12.33,12.25,722000,12.33,12.25
2021-04-14,12.6,12.33,1157000,12.6,12.33
2021-04-15,12.78,12.6,2793500,12.78,12.6
2021-04-16,12.78,12.9,403500,12.9,12.78
2021-04-19,12.46,12.49,1092500,12.49,12.46
2021-04-20,12.97,12.7,1514000,12.97,12.7
2021-04-21,12.71,12.98,1607500,12.98,12.71
2021-04-22,13.01,12.55,6635500,13.01,12.55
2021-04-23,12.02,12.6,3481000,12.6,12.02
2021-04-26,11.86,11.9,3566500,11.9,11.86
2021-04-27,12.32,12.15,5637000,12.32,12.15
2021-04-28,12.43,12.5,3109500,12.5,12.43
2021-04-29,12.26,12.9,532000,12.9,12.26
2021-04-30,11.72,12.15,868500,12.15,11.72
2021-05-03,11.37,11.45,923000,11.45,11.37
2021-05-04,11.61,11.65,195500,11.65,11.61
2021-05-05,12.01,11.9,1467000,12.01,11.9
2021-05-06,12.47,12.1,1544500,12.47,12.1
2021-05-17,13.48,12.53,10182500,13.48,12.53
2021-05-18,14.56,13.75,9357000,14.56,13.75
2021-05-19,15.71,14.7,22491000,15.71,14.7
2021-05-20,16.07,16.0,31209000,16.07,16.0
2021-05-21,16.82,16.5,16354500,16.82,16.5
2021-05-24,16.29,17.2,5256000,17.2,16.29
2021-05-25,16.61,16.26,3610500,16.61,16.26
2021-05-26,17.93,16.7,11325000,17.93,16.7
2021-05-27,19.34,19.34,4869500,19.34,19.34
2021-05-28,20.79,20.38,21934000,20.79,20.38
2021-05-31,21.36,21.49,9661000,21.49,21.36
2021-06-01,20.46,21.57,5888500,21.57,20.46
2021-06-02,20.2,20.79,3060000,20.79,20.2
2021-06-03,19.82,20.29,2545500,20.29,19.82
2021-06-04,20.25,19.9,3914000,20.25,19.9
2021-06-07,19.98,20.4,2552500,20.4,19.98
2021-06-08,19.38,20.35,1666500,20.35,19.38
2021-06-09,18.89,19.42,1778000,19.42,18.89
2021-06-10,19.36,18.9,3394000,19.36,18.9
2021-06-11,18.95,19.17,1267000,19.17,18.95
2021-06-14,20.44,19.5,9971500,20.44,19.5
2021-06-15,19.61,20.6,5868000,20.6,19.61
2021-06-16,19.95,19.65,3978000,19.95,19.65
2021-06-17,19.04,20.0,2222000,20.0,19.04
2021-06-18,19.45,19.15,2956000,19.45,19.15
2021-06-21,19.56,19.65,3764000,19.65,19.56
2021-06-22,19.81,19.89,3358500,19.89,19.81
2021-06-23,21.19,19.75,15458500,21.19,19.75
2021-06-24,20.46,21.3,9462000,21.3,20.46
2021-06-25,19.61,20.25,3017000,20.25,19.61
2021-06-28,18.48,19.6,3765000,19.6,18.48
2021-06-29,18.82,18.37,1978000,18.82,18.37
2021-06-30,19.14,18.82,1922000,19.14,18.82
2021-07-01,19.97,19.15,6430000,19.97,19.15
2021-07-02,19.29,20.23,2526000,20.23,19.29
2021-07-05,18.0,19.3,2929000,19.3,18.0
2021-07-06,17.48,18.2,983500,18.2,17.48
2021-07-07,17.13,17.25,1604000,17.25,17.13
2021-07-08,17.76,17.15,3270500,17.76,17.15
2021-07-09,17.51,17.7,712500,17.7,17.51
2021-07-12,17.82,17.31,1280000,17.82,17.31
2021-07-13,17.88,18.0,2383000,18.0,17.88
2021-07-14,17.41,17.97,780000,17.97,17.41
2021-07-15,17.21,17.64,1222500,17.64,17.21
2021-07-16,17.22,17.21,353500,17.22,17.21
2021-07-19,17.77,17.24,852500,17.77,17.24
2021-07-23,19.17,18.14,5727500,19.17,18.14
2021-07-26,19.49,20.18,9202000,20.18,19.49
2021-07-27,18.01,19.49,5185000,19.49,18.01
2021-07-28,17.29,18.03,4161500,18.03,17.29
2021-07-29,17.48,17.1,1666500,17.48,17.1
2021-07-30,16.91,17.5,2770000,17.5,16.91
2021-08-02,16.72,16.65,776500,16.72,16.65
2021-08-03,16.96,16.98,1749500,16.98,16.96
2021-08-04,17.72,17.01,3015500,17.72,17.01
2021-08-17,38.47,35.12,5550500,38.47,35.12
2021-08-20,36.93,38.88,848500,38.88,36.93
2021-08-23,36.88,37.1,526500,37.1,36.88
2021-08-24,36.4,36.47,564000,36.47,36.4
2021-08-25,35.38,36.26,378500,36.26,35.38
2021-08-26,35.17,35.13,858500,35.17,35.13
2021-08-27,34.59,34.61,280500,34.61,34.59
2021-08-30,34.17,34.65,244000,34.65,34.17
2021-08-31,35.21,34.02,616000,35.21,34.02
2021-09-01,36.47,35.1,872500,36.47,35.1
2021-09-02,36.44,36.52,354500,36.52,36.44
2021-09-03,35.97,36.5,275500,36.5,35.97
2021-09-06,35.71,35.51,192000,35.71,35.51
2021-09-07,34.4,35.5,251500,35.5,34.4
2021-09-08,34.08,35.0,113500,35.0,34.08
2021-09-09,33.45,34.11,256500,34.11,33.45
2021-09-10,33.09,33.75,197000,33.75,33.09
2021-09-13,31.060000000000002,33.09,622500,33.09,31.060000000000002
2021-09-14,33.15,31.5,687000,33.15,31.5
2021-09-15,33.65,33.0,288000,33.65,33.0
2021-09-16,32.61,33.65,340000,33.65,32.61
2021-09-17,31.47,32.83,100500,32.83,31.47
2021-09-20,30.93,31.03,214500,31.03,30.93
2021-09-21,29.98,30.5,113500,30.5,29.98
2021-09-22,28.72,29.67,867500,29.67,28.72
2021-09-23,27.01,28.02,413000,28.02,27.01
2021-09-24,27.92,26.15,390500,27.92,26.15
2021-09-27,26.27,27.11,129000,27.11,26.27
2021-09-28,27.24,26.6,244500,27.24,26.6
2021-09-29,26.76,27.75,635500,27.75,26.76
2021-09-30,26.38,26.0,298000,26.38,26.0
2021-10-01,26.64,25.7,66000,26.64,25.7
2021-10-04,27.31,26.0,277000,27.31,26.0
2021-10-05,25.96,26.85,442500,26.85,25.96
2021-10-06,25.29,26.1,143500,26.1,25.29
2021-10-07,25.16,25.5,439000,25.5,25.16
2021-10-08,25.0,25.16,277000,25.16,25.0
2021-10-11,24.07,25.0,1145500,25.0,24.07
2021-10-12,23.2,23.82,645000,23.82,23.2
2021-10-13,21.4,23.25,561500,23.25,21.4
2021-10-14,22.41,21.4,182500,22.41,21.4
2021-10-15,22.49,22.1,621000,22.49,22.1
2021-10-18,21.94,22.0,476500,22.0,21.94
2021-10-20,22.36,22.4,154500,22.4,22.36
2021-10-21,22.51,22.2,138000,22.51,22.2
2021-10-22,22.42,22.0,137000,22.42,22.0
2021-10-25,22.09,21.76,57500,22.09,21.76
2021-10-26,21.26,22.05,120000,22.05,21.26
2021-10-27,21.35,21.5,73000,21.5,21.35
2021-10-28,21.25,21.43,96000,21.43,21.25
2021-10-29,21.25,21.0,61500,21.25,21.0
2021-11-01,21.89,21.01,396000,21.89,21.01
2021-11-02,22.23,21.63,229500,22.23,21.63
2021-11-03,22.52,22.03,540000,22.52,22.03
2021-11-04,23.46,22.79,1295000,23.46,22.79
2021-11-05,22.99,23.5,323500,23.5,22.99
2021-11-08,22.12,23.0,151000,23.0,22.12
2021-11-09,21.53,22.0,185000,22.0,21.53
2021-11-10,21.34,21.6,83500,21.6,21.34
2021-11-11,20.8,21.2,443500,21.2,20.8
2021-11-12,20.31,20.66,42000,20.66,20.31
2021-11-15,20.12,19.61,80000,20.12,19.61
2021-11-16,20.78,20.09,629500,20.78,20.09
2021-11-17,20.21,20.55,98000,20.55,20.21
2021-11-18,20.18,20.75,112000,20.75,20.18
2021-11-19,21.03,20.12,392000,21.03,20.12
2021-11-22,20.86,20.6,89000,20.86,20.6
2021-11-23,19.28,21.0,290000,21.0,19.28
2021-11-24,18.5,19.1,912000,19.1,18.5
2021-11-25,18.27,18.26,131500,18.27,18.26
2021-11-26,17.89,18.17,95000,18.17,17.89
2021-11-29,18.3,17.03,95000,18.3,17.03
2021-11-30,18.44,18.5,66000,18.5,18.44
2021-12-01,19.42,18.2,443500,19.42,18.2
2021-12-02,17.89,18.96,200500,18.96,17.89
2021-12-03,17.03,17.7,99500,17.7,17.03
2021-12-06,16.47,16.5,64000,16.5,16.47
2021-12-07,17.1,16.5,60000,17.1,16.5
2021-12-08,17.07,17.25,134000,17.25,17.07
2021-12-09,16.17,16.98,208500,16.98,16.17
2021-12-10,15.98,16.39,126000,16.39,15.98
2021-12-13,15.260000000000002,16.38,240000,16.38,15.260000000000002
2021-12-14,16.22,15.0,162500,16.22,15.0
2021-12-15,17.0,16.75,589000,17.0,16.75
2021-12-16,17.57,16.75,342500,17.57,16.75
2021-12-17,17.91,17.2,135000,17.91,17.2
2021-12-20,18.66,17.9,217000,18.66,17.9
2021-12-21,18.8,18.3,291500,18.8,18.3
2021-12-22,18.39,18.51,48500,18.51,18.39
2021-12-23,18.3,18.2,25000,18.3,18.2
2021-12-24,18.63,18.05,70500,18.63,18.05
2021-12-27,18.6,18.1,10500,18.6,18.1
2021-12-28,18.23,18.5,6500,18.5,18.23
2021-12-29,18.3,18.01,56500,18.3,18.01
2021-12-30,18.07,18.5,55500,18.5,18.07
2021-12-31,17.86,18.21,84500,18.21,17.86
2022-01-03,17.77,17.8,232500,17.8,17.77
2022-01-04,18.12,17.8,218000,18.12,17.8
2022-01-05,18.07,18.12,93000,18.12,18.07
2022-01-06,18.0,18.1,75000,18.1,18.0
2022-01-07,17.37,17.5,119500,17.5,17.37
2022-01-10,17.52,17.37,39000,17.52,17.37
2022-01-11,17.3,17.5,83000,17.5,17.3
2022-01-12,17.23,17.15,280500,17.23,17.15
2022-01-13,16.76,17.15,65000,17.15,16.76
2022-01-14,16.66,17.0,44000,17.0,16.66
2022-01-17,16.41,16.8,25000,16.8,16.41
2022-01-18,16.35,16.27,28000,16.35,16.27
2022-01-19,15.23,16.4,194000,16.4,15.23
2022-01-20,15.0,15.100000000000001,674500,15.100000000000001,15.0
2022-01-21,15.129999999999999,15.2,720000,15.2,15.129999999999999
