date,close,open,volume,high,low
2020-01-15,4.22,4.06,21500,4.22,4.06
2020-01-16,4.24,4.39,48500,4.39,4.24
2020-01-17,4.25,4.21,26500,4.25,4.21
2020-01-20,4.17,4.35,9000,4.35,4.17
2020-01-21,4.11,3.85,49000,4.11,3.85
2020-01-22,3.94,4.0,5500,4.0,3.94
2020-01-23,3.81,3.8,14000,3.81,3.8
2020-01-24,3.8,3.82,8500,3.82,3.8
2020-01-27,3.66,3.64,19500,3.66,3.64
2020-01-28,3.62,3.7,15500,3.7,3.62
2020-01-29,3.75,3.51,5500,3.75,3.51
2020-01-30,3.75,3.41,2500,3.75,3.41
2020-01-31,3.65,3.79,7500,3.79,3.65
2020-02-03,3.6,3.5,32000,3.6,3.5
2020-02-04,3.81,3.65,21500,3.81,3.65
2020-02-06,3.7,3.6,8000,3.7,3.6
2020-02-07,3.55,4.38,33000,4.38,3.55
2020-02-10,3.25,3.2,13500,3.25,3.2
2020-02-11,3.31,3.69,9500,3.69,3.31
2020-02-12,3.35,3.3,23500,3.35,3.3
2020-02-13,3.3,3.31,3500,3.31,3.3
2020-02-17,3.0,3.11,6500,3.11,3.0
2020-02-18,3.0,3.0,2000,3.0,3.0
2020-02-19,3.37,3.4,22500,3.4,3.37
2020-02-20,3.27,3.4,25000,3.4,3.27
2020-02-21,3.69,3.3,4000,3.69,3.3
2020-02-24,3.18,3.45,3500,3.45,3.18
2020-02-25,3.26,3.6,7500,3.6,3.26
2020-02-26,3.0,3.15,5000,3.15,3.0
2020-02-27,2.99,2.51,19500,2.99,2.51
2020-02-28,3.1,3.0,8500,3.1,3.0
2020-03-02,3.1,3.1,9000,3.1,3.1
2020-03-03,3.2,2.9,9000,3.2,2.9
2020-03-04,3.09,3.49,10000,3.49,3.09
2020-03-05,3.25,3.0,29000,3.25,3.0
2020-03-06,3.07,3.08,7000,3.08,3.07
2020-03-09,3.0,2.99,9000,3.0,2.99
2020-03-10,3.0,3.09,6500,3.09,3.0
2020-03-11,2.82,2.91,23000,2.91,2.82
2020-03-12,2.75,2.67,16000,2.75,2.67
2020-03-13,2.7,2.9,25000,2.9,2.7
2020-03-16,2.54,2.4,9000,2.54,2.4
2020-03-17,2.2,2.15,38000,2.2,2.15
2020-03-18,1.8,2.05,4500,2.05,1.8
2020-03-19,1.95,1.97,1500,1.97,1.95
2020-03-20,2.02,2.05,10500,2.05,2.02
2020-03-24,2.23,2.23,1000,2.23,2.23
2020-03-25,1.72,1.71,8500,1.72,1.71
2020-03-26,2.0,2.1,1500,2.1,2.0
2020-03-27,1.6,1.65,30000,1.65,1.6
2020-03-30,1.89,1.99,8000,1.99,1.89
2020-03-31,2.0,1.81,20500,2.0,1.81
2020-04-01,2.0,1.77,4000,2.0,1.77
2020-04-02,2.0,2.0,13000,2.0,2.0
2020-04-03,2.04,2.02,7500,2.04,2.02
2020-04-06,2.0,2.05,8000,2.05,2.0
2020-04-07,1.97,2.0,15500,2.0,1.97
2020-04-08,1.99,2.0,7000,2.0,1.99
2020-04-09,2.0,2.0,5500,2.0,2.0
2020-04-10,2.0,2.0,500,2.0,2.0
2020-04-13,2.0,1.9,7500,2.0,1.9
2020-04-14,2.02,1.9,2500,2.02,1.9
2020-04-15,2.0,2.0,10000,2.0,2.0
2020-04-17,2.25,2.1,15500,2.25,2.1
2020-04-20,2.25,2.35,12000,2.35,2.25
2020-04-21,2.35,2.35,2000,2.35,2.35
2020-04-22,2.27,2.28,3500,2.28,2.27
2020-04-23,2.2,2.21,1000,2.21,2.2
2020-04-28,2.15,2.15,1500,2.15,2.15
2020-05-04,2.02,2.01,1500,2.02,2.01
2020-05-06,2.33,2.1,52000,2.33,2.1
2020-05-07,2.42,2.41,10000,2.42,2.41
2020-05-08,2.57,2.54,18000,2.57,2.54
2020-05-11,2.9,2.5,87000,2.9,2.5
2020-05-12,2.97,2.77,9500,2.97,2.77
2020-05-13,3.22,3.19,36000,3.22,3.19
2020-05-14,3.1,3.05,18000,3.1,3.05
2020-05-15,3.24,3.24,500,3.24,3.24
2020-05-18,3.0,3.0,16000,3.0,3.0
2020-05-19,3.05,2.71,7500,3.05,2.71
2020-05-20,3.0,3.0,7000,3.0,3.0
2020-05-29,3.07,3.0,16000,3.07,3.0
2020-06-01,3.0,3.16,3500,3.16,3.0
2020-06-02,3.0,3.0,13000,3.0,3.0
2020-06-04,2.66,2.66,1000,2.66,2.66
2020-06-08,2.89,2.6,10500,2.89,2.6
2020-06-09,2.97,2.9,1000,2.97,2.9
2020-06-10,2.99,2.75,19000,2.99,2.75
2020-06-11,2.94,2.81,19500,2.94,2.81
2020-06-16,2.85,2.81,11000,2.85,2.81
2020-06-17,2.79,2.8,1500,2.8,2.79
2020-06-18,2.9,2.61,21000,2.9,2.61
2020-06-19,2.6,2.6,4000,2.6,2.6
2020-06-24,2.52,2.6,58000,2.6,2.52
2020-06-25,2.46,2.41,37000,2.46,2.41
2020-06-26,2.27,2.28,1000,2.28,2.27
2020-06-29,2.25,2.44,4500,2.44,2.25
2020-06-30,2.45,2.56,5000,2.56,2.45
2020-07-01,2.27,2.03,149500,2.27,2.03
2020-07-02,2.27,2.33,3500,2.33,2.27
2020-07-03,2.29,2.26,11500,2.29,2.26
2020-07-06,2.29,2.3,1000,2.3,2.29
2020-07-07,2.35,2.35,500,2.35,2.35
2020-07-08,2.44,2.45,8000,2.45,2.44
2020-07-09,2.5,2.5,1000,2.5,2.5
2020-07-10,2.48,2.49,1500,2.49,2.48
2020-07-13,2.5,2.49,11000,2.5,2.49
2020-07-14,2.65,2.5,8500,2.65,2.5
2020-07-15,2.5,2.5,1500,2.5,2.5
2020-07-17,2.88,2.78,57500,2.88,2.78
2020-07-20,2.57,2.79,65000,2.79,2.57
2020-07-21,2.99,2.51,124500,2.99,2.51
2020-07-22,3.99,3.25,406000,3.99,3.25
2020-07-23,4.59,4.2,535500,4.59,4.2
2020-07-24,4.38,4.59,148000,4.59,4.38
2020-07-27,4.01,4.6,179500,4.6,4.01
2020-07-28,3.55,3.83,220000,3.83,3.55
2020-07-29,3.44,3.44,111500,3.44,3.44
2020-07-30,3.66,3.4,41500,3.66,3.4
2020-08-03,3.79,3.55,28500,3.79,3.55
2020-08-04,3.55,3.53,26000,3.55,3.53
2020-08-05,3.74,3.31,24000,3.74,3.31
2020-08-06,3.6,3.63,22500,3.63,3.6
2020-08-07,3.51,3.3,9500,3.51,3.3
2020-08-10,3.41,3.42,16500,3.42,3.41
2020-08-11,3.31,3.4,9500,3.4,3.31
2020-08-12,3.24,3.37,47000,3.37,3.24
2020-08-13,3.44,3.11,42000,3.44,3.11
2020-08-17,3.34,3.25,25500,3.34,3.25
2020-08-18,3.83,3.17,560500,3.83,3.17
2020-08-19,3.86,3.66,313500,3.86,3.66
2020-08-20,3.6,3.95,304500,3.95,3.6
2020-08-21,3.4,3.68,47000,3.68,3.4
2020-08-24,3.55,3.4,45000,3.55,3.4
2020-08-25,3.5,3.36,13000,3.5,3.36
2020-08-26,3.33,3.33,98000,3.33,3.33
2020-08-27,3.3,3.32,171000,3.32,3.3
2020-08-28,3.35,3.38,9500,3.38,3.35
2020-08-31,3.19,3.38,221000,3.38,3.19
2020-09-01,3.44,3.65,15500,3.65,3.44
2020-09-02,3.6,3.58,62000,3.6,3.58
2020-09-03,3.81,3.44,146500,3.81,3.44
2020-09-04,3.59,3.75,84000,3.75,3.59
2020-09-07,3.6,3.78,130500,3.78,3.6
2020-09-08,4.5,3.52,983000,4.5,3.52
2020-09-09,4.42,4.6,186500,4.6,4.42
2020-09-10,4.45,3.6,136000,4.45,3.6
2020-09-11,4.0,4.16,159500,4.16,4.0
2020-09-14,4.01,4.14,48000,4.14,4.01
2020-09-15,4.05,3.94,38000,4.05,3.94
2020-09-16,4.32,3.86,74500,4.32,3.86
2020-09-17,4.75,4.53,428000,4.75,4.53
2020-09-18,5.01,4.52,397500,5.01,4.52
2020-09-21,5.0,5.0,132000,5.0,5.0
2020-09-22,5.33,4.8,320000,5.33,4.8
2020-09-23,5.11,5.31,34500,5.31,5.11
2020-09-24,5.03,5.08,76000,5.08,5.03
2020-09-25,4.82,4.83,7500,4.83,4.82
2020-09-28,5.0,4.65,118000,5.0,4.65
2020-09-29,5.19,4.99,89000,5.19,4.99
2020-09-30,5.01,4.91,68000,5.01,4.91
2020-10-01,5.0,4.63,84000,5.0,4.63
2020-10-02,5.0,5.02,46000,5.02,5.0
2020-10-05,5.0,5.3,170000,5.3,5.0
2020-10-06,5.05,5.01,9000,5.05,5.01
2020-10-07,5.8,5.17,71500,5.8,5.17
2020-10-08,5.89,5.5,56000,5.89,5.5
2020-10-09,6.53,5.94,146000,6.53,5.94
2020-10-12,6.96,6.1,145000,6.96,6.1
2020-10-13,7.04,6.51,57000,7.04,6.51
2020-10-14,8.03,7.25,576500,8.03,7.25
2020-10-15,8.02,9.04,279500,9.04,8.02
2020-10-16,7.8,7.99,68500,7.99,7.8
2020-10-19,7.64,7.35,5000,7.64,7.35
2020-10-20,7.32,7.2,26500,7.32,7.2
2020-10-21,7.74,7.49,41500,7.74,7.49
2020-10-23,7.57,7.12,7000,7.57,7.12
2020-10-26,7.5,7.15,8000,7.5,7.15
2020-10-27,6.5,6.5,488000,6.5,6.5
2020-10-28,6.63,6.05,79500,6.63,6.05
2020-10-29,6.57,6.01,51000,6.57,6.01
2020-11-02,7.44,6.5,57000,7.44,6.5
2020-11-03,8.21,8.3,88000,8.3,8.21
2020-11-04,7.26,8.5,91500,8.5,7.26
2020-11-05,7.66,7.21,148000,7.66,7.21
2020-11-06,8.56,7.06,2125500,8.56,7.06
2020-11-09,7.91,7.88,127500,7.91,7.88
2020-11-10,7.37,7.5,231500,7.5,7.37
2020-11-11,6.95,6.61,97500,6.95,6.61
2020-11-12,6.07,5.95,151500,6.07,5.95
2020-11-13,5.73,5.07,66500,5.73,5.07
2020-11-16,5.5,5.75,74500,5.75,5.5
2021-10-25,5.5,0.0,0,5.5,0.0
2021-10-29,5.5,0.0,0,5.5,0.0
2021-12-13,6.5,6.5,1500,6.5,6.5
2021-12-14,7.5,7.5,6500,7.5,7.5
2021-12-15,8.5,8.5,11500,8.5,8.5
2021-12-16,9.5,9.5,49500,9.5,9.5
2021-12-17,10.5,10.5,44000,10.5,10.5
2021-12-20,11.5,11.5,10500,11.5,11.5
2021-12-21,12.5,12.5,11000,12.5,12.5
2021-12-22,13.5,13.5,136500,13.5,13.5
2021-12-23,14.51,14.51,23000,14.51,14.51
2021-12-24,15.59,15.59,34000,15.59,15.59
