date,close,open,volume,high,low
2023-09-18,36.95,37.0,63000,37.0,36.95
2023-09-19,37.29,37.37,112000,37.37,37.29
2023-09-20,37.35,37.08,62000,37.35,37.08
2023-09-21,37.93,37.4,98500,37.93,37.4
2023-09-22,38.14,37.51,43000,38.14,37.51
2023-09-25,38.06,38.0,61500,38.06,38.0
2023-09-26,37.9,38.05,42000,38.05,37.9
2023-09-27,38.1,38.1,55000,38.1,38.1
2023-09-28,37.72,38.35,3500,38.35,37.72
2023-10-02,38.2,38.4,26500,38.4,38.2
2023-10-03,38.29,38.49,30500,38.49,38.29
2023-10-04,38.0,38.49,17000,38.49,38.0
2023-10-05,39.07,38.29,171500,39.07,38.29
2023-10-06,40.72,39.2,522000,40.72,39.2
2023-10-09,39.51,40.0,818500,40.0,39.51
2023-10-10,40.63,39.65,1037500,40.63,39.65
2023-10-11,40.96,41.0,862000,41.0,40.96
2023-10-12,40.1,40.95,472000,40.95,40.1
2023-10-13,40.86,40.21,1088000,40.86,40.21
2023-10-16,42.48,40.65,2547500,42.48,40.65
2023-10-17,42.53,42.6,815500,42.6,42.53
2023-10-18,41.08,41.75,398500,41.75,41.08
2023-10-19,41.92,40.91,875500,41.92,40.91
2023-10-20,43.04,42.39,1842000,43.04,42.39
2023-10-23,41.89,43.98,857000,43.98,41.89
2023-10-24,42.22,42.15,287500,42.22,42.15
2023-10-25,41.73,42.37,201000,42.37,41.73
2023-10-26,41.9,41.77,156500,41.9,41.77
2023-10-27,39.04,41.75,293500,41.75,39.04
2023-10-30,38.97,38.8,257000,38.97,38.8
2023-10-31,39.22,38.41,130500,39.22,38.41
2023-11-01,40.38,39.6,810000,40.38,39.6
2023-11-02,39.99,40.49,508000,40.49,39.99
2023-11-03,40.29,40.0,601500,40.29,40.0
2023-11-06,40.29,40.45,273500,40.45,40.29
2023-11-07,39.79,40.5,517000,40.5,39.79
2023-11-08,39.34,39.98,317000,39.98,39.34
2023-11-10,39.83,39.48,366000,39.83,39.48
2023-11-13,40.52,40.17,641000,40.52,40.17
2023-11-14,41.37,40.69,811000,41.37,40.69
2023-11-15,41.62,40.77,1182500,41.62,40.77
2023-11-16,44.74,42.24,2212000,44.74,42.24
2023-11-17,44.28,45.75,2088500,45.75,44.28
2023-11-20,44.03,44.18,748000,44.18,44.03
2023-11-21,44.26,44.36,1667000,44.36,44.26
2023-11-22,45.47,44.5,1214500,45.47,44.5
2023-11-23,47.87,46.1,4097500,47.87,46.1
2023-11-24,46.5,48.21,1868000,48.21,46.5
2023-11-27,45.83,46.89,537000,46.89,45.83
2023-11-28,45.95,46.0,718500,46.0,45.95
2023-11-29,45.07,46.01,523000,46.01,45.07
2023-11-30,44.57,45.55,360500,45.55,44.57
2023-12-01,45.28,44.97,417500,45.28,44.97
2023-12-04,45.86,45.26,630000,45.86,45.26
2023-12-05,45.88,46.01,288000,46.01,45.88
2023-12-06,47.16,46.4,2140500,47.16,46.4
2023-12-07,46.85,47.1,1529500,47.1,46.85
2023-12-08,47.95,47.48,3791000,47.95,47.48
2023-12-11,50.1,47.95,5127000,50.1,47.95
2023-12-12,51.08,50.53,3393000,51.08,50.53
2023-12-13,48.37,51.35,2796500,51.35,48.37
2023-12-14,48.31,48.7,780000,48.7,48.31
2023-12-15,48.56,48.9,1015500,48.9,48.56
2023-12-18,47.49,49.19,740000,49.19,47.49
2023-12-19,44.06,46.77,1234000,46.77,44.06
2023-12-20,41.59,42.64,921000,42.64,41.59
2023-12-21,42.97,42.49,476000,42.97,42.49
2023-12-22,41.75,43.25,225500,43.25,41.75
2023-12-26,38.92,41.3,328000,41.3,38.92
2023-12-27,41.29,39.89,284500,41.29,39.89
2023-12-28,44.39,42.35,690000,44.39,42.35
2023-12-29,47.72,45.5,449500,47.72,45.5
2024-01-01,48.72,50.0,2801500,50.0,48.72
2024-01-02,46.84,49.1,1017500,49.1,46.84
2024-01-03,46.05,46.8,355500,46.8,46.05
2024-01-04,45.87,46.0,333500,46.0,45.87
2024-01-05,45.42,46.0,258000,46.0,45.42
2024-01-08,44.66,45.99,195500,45.99,44.66
2024-01-09,44.71,45.49,218500,45.49,44.71
2024-01-10,44.88,45.49,251500,45.49,44.88
2024-01-11,44.67,44.75,102500,44.75,44.67
2024-01-12,44.52,45.0,198500,45.0,44.52
2024-01-15,44.03,45.0,95000,45.0,44.03
2024-01-16,43.28,43.6,125500,43.6,43.28
2024-01-17,43.23,43.5,334000,43.5,43.23
2024-01-18,42.51,43.5,231500,43.5,42.51
2024-01-19,42.38,42.4,80500,42.4,42.38
2024-01-22,42.11,42.08,103500,42.11,42.08
2024-01-23,43.81,42.7,784500,43.81,42.7
2024-01-24,43.65,43.55,261500,43.65,43.55
2024-01-25,43.27,43.65,44000,43.65,43.27
2024-01-26,42.21,43.15,73500,43.15,42.21
2024-01-29,41.77,43.5,81500,43.5,41.77
2024-01-30,40.14,41.99,239000,41.99,40.14
2024-01-31,40.47,40.95,122000,40.95,40.47
2024-02-01,40.38,41.9,59000,41.9,40.38
2024-02-02,41.59,40.99,158500,41.59,40.99
2024-02-06,42.22,41.9,37500,42.22,41.9
2024-02-07,42.05,42.08,173500,42.08,42.05
2024-02-09,40.54,40.97,130000,40.97,40.54
2024-02-12,39.79,40.25,38500,40.25,39.79
2024-02-13,40.24,40.0,243000,40.24,40.0
2024-02-14,41.23,40.99,140000,41.23,40.99
2024-02-15,40.65,40.71,62500,40.71,40.65
2024-02-16,39.43,40.0,109000,40.0,39.43
2024-02-19,41.24,38.16,91500,41.24,38.16
2024-02-20,40.49,41.48,304000,41.48,40.49
2024-02-21,42.76,41.11,487000,42.76,41.11
2024-02-22,43.94,43.5,913500,43.94,43.5
2024-02-23,43.25,43.85,226500,43.85,43.25
2024-02-26,43.33,43.25,845500,43.33,43.25
2024-02-27,43.21,43.75,433000,43.75,43.21
2024-02-28,42.64,42.5,160000,42.64,42.5
2024-02-29,42.77,43.2,213000,43.2,42.77
2024-03-01,43.09,43.0,218000,43.09,43.0
2024-03-04,43.51,43.45,768000,43.51,43.45
2024-03-05,43.7,43.75,850000,43.75,43.7
2024-03-06,43.08,44.0,178500,44.0,43.08
2024-03-07,42.52,42.95,242500,42.95,42.52
2024-03-08,42.55,42.6,46500,42.6,42.55
2024-03-11,42.58,42.16,200500,42.58,42.16
2024-03-12,42.38,42.6,158000,42.6,42.38
2024-03-13,41.22,42.8,119000,42.8,41.22
2024-03-14,42.35,41.4,60500,42.35,41.4
2024-03-15,42.21,42.51,148500,42.51,42.21
2024-03-18,42.04,42.07,28500,42.07,42.04
2024-03-19,42.47,42.1,112500,42.47,42.1
2024-03-20,42.05,42.3,81500,42.3,42.05
2024-03-21,41.4,41.82,40000,41.82,41.4
2024-03-22,41.48,41.06,59000,41.48,41.06
2024-03-25,40.39,41.55,249000,41.55,40.39
2024-03-26,40.95,40.6,92000,40.95,40.6
2024-03-27,40.25,41.0,189000,41.0,40.25
2024-03-28,43.27,40.0,1277000,43.27,40.0
2024-03-29,42.55,43.97,472000,43.97,42.55
2024-04-01,42.23,42.1,165500,42.23,42.1
2024-04-02,42.5,42.25,184000,42.5,42.25
2024-04-03,42.71,42.55,873500,42.71,42.55
2024-04-04,42.34,42.0,254000,42.34,42.0
2024-04-08,45.52,43.29,1593000,45.52,43.29
2024-04-09,46.04,46.33,1245500,46.33,46.04
2024-04-15,45.49,45.56,1007000,45.56,45.49
2024-04-16,45.17,45.52,235500,45.52,45.17
2024-04-17,44.94,45.03,236500,45.03,44.94
2024-04-18,45.23,45.25,323000,45.25,45.23
2024-04-19,46.03,45.45,501000,46.03,45.45
2024-04-22,49.48,46.0,1667000,49.48,46.0
2024-04-23,53.19,49.97,3675500,53.19,49.97
2024-04-24,57.18,54.69,960000,57.18,54.69
2024-04-25,61.47,61.0,886500,61.47,61.0
2024-04-26,57.07,61.58,4685500,61.58,57.07
2024-04-29,61.35,57.0,2095000,61.35,57.0
2024-04-30,61.08,63.25,4259500,63.25,61.08
2024-05-02,60.25,61.9,2979500,61.9,60.25
2024-05-03,62.13,56.52,6075000,62.13,56.52
2024-05-06,62.38,63.5,1802500,63.5,62.38
2024-05-07,67.06,62.97,5017000,67.06,62.97
2024-05-08,64.16,69.89,8825000,69.89,64.16
2024-05-09,68.97,64.95,2540000,68.97,64.95
2024-05-10,74.14,71.97,3097500,74.14,71.97
2024-05-13,74.45,79.69,4986296,79.69,74.45
2024-05-14,75.7,75.5,7048835,75.7,75.5
2024-05-15,78.08,76.11,9616777,78.08,76.11
2024-05-16,77.02,78.0,2465003,78.0,77.02
2024-05-17,76.16,77.0,2963408,77.0,76.16
2024-05-20,70.45,77.69,5138021,77.69,70.45
2024-05-21,65.17,69.0,2883633,69.0,65.17
2024-05-22,60.28,63.5,12155239,63.5,60.28
2024-05-23,56.56,59.0,7436671,59.0,56.56
2024-05-24,60.8,56.97,6374740,60.8,56.97
2024-05-27,61.99,62.01,4854993,62.01,61.99
2024-05-29,61.61,62.0,1957690,62.0,61.61
2024-05-30,62.6,61.2,1205871,62.6,61.2
2024-05-31,67.61,63.0,2563473,67.61,63.0
2024-06-03,73.02,69.25,5028974,73.02,69.25
2024-06-04,72.14,74.0,4374782,74.0,72.14
2024-06-05,68.68,72.0,3412710,72.0,68.68
2024-06-06,66.27,69.45,1125513,69.45,66.27
2024-06-07,68.14,66.0,1652223,68.14,66.0
2024-06-10,68.04,68.51,1494513,68.51,68.04
2024-06-11,67.87,68.5,1052898,68.5,67.87
2024-06-12,70.55,68.5,1626878,70.55,68.5
2024-06-13,76.55,70.0,3924363,76.55,70.0
2024-06-14,83.06,78.48,2468999,83.06,78.48
2024-06-20,84.75,82.5,3365571,84.75,82.5
2024-06-21,84.74,85.0,2053368,85.0,84.74
2024-06-24,83.28,84.6,744296,84.6,83.28
2024-06-25,82.21,83.98,1007092,83.98,82.21
2024-06-26,87.61,83.5,5219541,87.61,83.5
2024-06-27,89.03,86.8,3374005,89.03,86.8
2024-06-28,86.87,88.47,1609914,88.47,86.87
2024-07-01,87.17,86.97,1707432,87.17,86.97
2024-07-02,91.89,86.8,5547879,91.89,86.8
2024-07-03,91.97,91.47,4641010,91.97,91.47
2024-07-04,92.92,91.1,1308948,92.92,91.1
2024-07-05,85.42,93.0,11546364,93.0,85.42
2024-07-08,87.21,85.0,1139350,87.21,85.0
2024-07-09,87.26,88.0,2173939,88.0,87.26
2024-07-10,83.57,87.41,2462164,87.41,83.57
2024-07-11,85.86,84.0,1431699,85.86,84.0
2024-07-12,93.79,86.2,5500619,93.79,86.2
2024-07-15,98.35,96.5,6684193,98.35,96.5
2024-07-18,101.56,99.0,10463789,101.56,99.0
2024-07-19,94.92,102.0,4036933,102.0,94.92
2024-07-22,93.98,94.0,2233350,94.0,93.98
2024-07-23,95.65,95.1,2421891,95.65,95.1
2024-07-24,94.85,95.97,4873236,95.97,94.85
2024-07-25,91.93,95.27,1068652,95.27,91.93
2024-07-26,91.19,92.0,685513,92.0,91.19
2024-07-29,94.56,91.5,1318606,94.56,91.5
2024-07-30,92.47,95.37,854391,95.37,92.47
2024-07-31,90.1,92.48,299064,92.48,90.1
2024-08-01,90.88,91.0,242532,91.0,90.88
2024-08-02,91.58,92.0,705806,92.0,91.58
2024-08-05,88.98,91.91,533367,91.91,88.98
2024-08-06,97.88,89.55,4964819,97.88,89.55
2024-08-07,107.67,101.48,3232100,107.67,101.48
2024-08-08,103.17,113.5,7884403,113.5,103.17
2024-08-09,113.45,106.0,10869112,113.45,106.0
2024-08-12,110.07,115.0,4841530,115.0,110.07
2024-08-13,115.65,110.0,7818385,115.65,110.0
2024-08-15,117.04,119.7,12040303,119.7,117.04
2024-08-16,105.34,119.59,6870777,119.59,105.34
2024-08-19,105.34,102.98,4041904,105.34,102.98
2024-08-20,104.3,106.1,1913008,106.1,104.3
2024-08-21,101.74,104.1,3231898,104.1,101.74
2024-08-22,101.79,102.1,1144866,102.1,101.79
2024-08-23,100.17,101.15,1889928,101.15,100.17
