date,close,open,volume,high,low
2023-09-18,47.27,47.01,137756,47.27,47.01
2023-09-19,47.58,47.97,130669,47.97,47.58
2023-09-20,47.99,48.25,115659,48.25,47.99
2023-09-21,48.04,47.6,147238,48.04,47.6
2023-09-22,48.21,48.0,48165,48.21,48.0
2023-09-25,47.52,48.53,75000,48.53,47.52
2023-09-26,48.04,47.8,77487,48.04,47.8
2023-09-27,48.37,48.02,34340,48.37,48.02
2023-09-28,49.5,48.5,240275,49.5,48.5
2023-10-02,49.85,50.49,58861,50.49,49.85
2023-10-03,50.78,50.65,123275,50.78,50.65
2023-10-04,50.77,50.75,34198,50.77,50.75
2023-10-05,50.88,50.7,68661,50.88,50.7
2023-10-06,50.6,51.49,53076,51.49,50.6
2023-10-09,50.2,50.7,13070,50.7,50.2
2023-10-10,50.06,50.5,241525,50.5,50.06
2023-10-11,49.01,50.5,1026327,50.5,49.01
2023-10-12,48.99,48.52,320801,48.99,48.52
2023-10-13,49.55,48.75,2479787,49.55,48.75
2023-10-16,50.24,49.99,624038,50.24,49.99
2023-10-17,50.1,50.25,195378,50.25,50.1
2023-10-18,49.72,50.0,269882,50.0,49.72
2023-10-19,50.32,49.4,86963,50.32,49.4
2023-10-20,54.09,50.7,1487961,54.09,50.7
2023-10-23,53.84,55.0,706747,55.0,53.84
2023-10-24,54.13,53.9,1144488,54.13,53.9
2023-10-25,57.92,54.19,2839534,57.92,54.19
2023-10-26,57.44,58.27,575654,58.27,57.44
2023-10-27,60.16,58.06,1834333,60.16,58.06
2023-10-30,59.23,60.37,404632,60.37,59.23
2023-10-31,58.88,59.6,238209,59.6,58.88
2023-11-01,58.89,58.62,633683,58.89,58.62
2023-11-02,57.94,58.15,834344,58.15,57.94
2023-11-03,61.83,58.0,3091893,61.83,58.0
2023-11-06,62.53,61.8,1102881,62.53,61.8
2023-11-07,61.39,62.98,582221,62.98,61.39
2023-11-08,61.42,62.49,425889,62.49,61.42
2023-11-10,60.41,62.0,1105516,62.0,60.41
2023-11-13,59.73,61.0,543846,61.0,59.73
2023-11-14,59.92,59.99,340452,59.99,59.92
2023-11-15,58.57,60.0,422306,60.0,58.57
2023-11-16,58.56,58.89,560013,58.89,58.56
2023-11-17,58.05,59.0,505677,59.0,58.05
2023-11-20,60.19,58.5,1305471,60.19,58.5
2023-11-21,60.15,60.88,351594,60.88,60.15
2023-11-22,60.18,60.9,498374,60.9,60.18
2023-11-23,62.29,60.49,1168988,62.29,60.49
2023-11-24,65.31,62.02,4471725,65.31,62.02
2023-11-27,70.2,66.0,2739108,70.2,66.0
2023-11-28,72.43,73.0,3462261,73.0,72.43
2023-11-29,73.66,72.43,784057,73.66,72.43
2023-11-30,72.47,73.98,842418,73.98,72.47
2023-12-01,72.28,73.9,1012888,73.9,72.28
2023-12-04,75.63,72.51,3294313,75.63,72.51
2023-12-05,76.64,76.0,3389897,76.64,76.0
2023-12-06,79.12,77.5,2080409,79.12,77.5
2023-12-07,78.84,81.0,935426,81.0,78.84
2023-12-08,77.48,79.2,602274,79.2,77.48
2023-12-11,74.59,75.12,805613,75.12,74.59
2023-12-12,74.15,73.02,1456846,74.15,73.02
2023-12-13,70.81,74.32,642028,74.32,70.81
2023-12-14,69.59,71.0,636535,71.0,69.59
2023-12-15,71.47,70.4,1856968,71.47,70.4
2023-12-18,71.2,71.7,805843,71.7,71.2
2023-12-19,66.58,70.5,749130,70.5,66.58
2023-12-20,66.84,66.5,644666,66.84,66.5
2023-12-21,69.59,67.9,885802,69.59,67.9
2023-12-22,71.9,70.02,1022755,71.9,70.02
2023-12-26,67.44,72.26,327671,72.26,67.44
2023-12-27,69.58,68.9,483322,69.58,68.9
2023-12-28,74.16,69.9,989601,74.16,69.9
2023-12-29,75.56,74.5,997685,75.56,74.5
2024-01-01,75.68,76.35,687669,76.35,75.68
2024-01-02,73.27,76.99,359908,76.99,73.27
2024-01-03,72.72,74.48,289660,74.48,72.72
2024-01-04,71.2,73.0,152279,73.0,71.2
2024-01-05,72.44,72.8,648731,72.8,72.44
2024-01-08,72.48,72.79,327258,72.79,72.48
2024-01-09,73.03,72.72,513397,73.03,72.72
2024-01-10,73.7,73.99,547774,73.99,73.7
2024-01-11,78.68,74.0,1828697,78.68,74.0
2024-01-12,76.58,78.75,1615883,78.75,76.58
2024-01-15,77.69,77.0,1176890,77.69,77.0
2024-01-16,76.3,77.8,1926661,77.8,76.3
2024-01-17,75.36,76.89,325886,76.89,75.36
2024-01-18,72.26,75.36,363731,75.36,72.26
2024-01-19,71.58,73.94,379908,73.94,71.58
