date,close,open,volume,high,low
2021-02-26,38.15,39.55,5997500,39.55,38.15
2021-03-01,37.04,38.2,3363500,38.2,37.04
2021-03-02,37.22,37.1,2550500,37.22,37.1
2021-03-03,38.46,37.42,5024500,38.46,37.42
2021-03-04,36.53,37.25,5449500,37.25,36.53
2021-03-05,37.15,36.7,2348500,37.15,36.7
2021-03-08,35.04,38.0,7620500,38.0,35.04
2021-03-09,33.39,34.69,10080500,34.69,33.39
2021-03-10,32.4,33.22,6447000,33.22,32.4
2021-03-11,30.79,32.56,7275000,32.56,30.79
2021-03-12,32.03,31.01,3300500,32.03,31.01
2021-03-15,34.07,32.66,7634500,34.07,32.66
2021-03-16,33.76,34.33,4820000,34.33,33.76
2021-03-17,34.38,34.46,4701000,34.46,34.38
2021-03-18,32.93,34.5,2715500,34.5,32.93
2021-03-19,33.36,32.75,1793000,33.36,32.75
2021-03-22,32.97,33.0,2631000,33.0,32.97
2021-03-24,33.1,32.95,1232500,33.1,32.95
2021-03-25,34.44,33.35,6008500,34.44,33.35
2021-03-26,33.71,34.55,6201000,34.55,33.71
2021-03-29,31.47,33.32,3196500,33.32,31.47
2021-03-30,33.21,31.0,3790000,33.21,31.0
2021-03-31,33.04,33.6,5690000,33.6,33.04
2021-04-01,32.18,33.05,2344500,33.05,32.18
2021-04-02,32.71,32.35,2952000,32.71,32.35
2021-04-05,30.95,32.85,3500500,32.85,30.95
2021-04-06,32.83,30.91,3788000,32.83,30.91
2021-04-07,32.38,33.0,5633500,33.0,32.38
2021-04-08,33.65,32.5,4553000,33.65,32.5
2021-04-09,36.08,33.51,27380500,36.08,33.51
2021-04-12,35.21,36.15,5311500,36.15,35.21
2021-04-13,35.19,35.0,1464000,35.19,35.0
2021-04-14,35.22,35.47,1084500,35.47,35.22
2021-04-15,35.67,35.48,2330500,35.67,35.48
2021-04-16,35.64,35.85,1427500,35.85,35.64
2021-04-19,34.69,34.7,1443000,34.7,34.69
2021-04-20,35.88,35.19,2933000,35.88,35.19
2021-04-21,34.17,35.95,3605500,35.95,34.17
2021-04-22,32.57,34.2,3528000,34.2,32.57
2021-04-23,32.58,32.4,1819000,32.58,32.4
2021-04-26,32.17,31.0,3234500,32.17,31.0
2021-04-27,32.11,32.25,1242500,32.25,32.11
