date,close,open,volume,high,low
2023-09-18,3.63,3.56,168500,3.63,3.56
2023-09-19,3.62,3.65,485000,3.65,3.62
2023-09-20,3.6,3.68,446000,3.68,3.6
2023-09-21,3.64,3.64,794000,3.64,3.64
2023-09-22,3.72,3.69,2168000,3.72,3.69
2023-09-25,3.83,3.79,1075500,3.83,3.79
2023-09-26,3.92,3.81,3944000,3.92,3.81
2023-09-27,3.91,3.89,625500,3.91,3.89
2023-09-28,3.86,3.9,483000,3.9,3.86
2023-10-02,3.75,3.89,1698000,3.89,3.75
2023-10-03,3.75,3.83,878500,3.83,3.75
2023-10-04,3.75,3.73,520500,3.75,3.73
2023-10-05,3.84,3.79,1360000,3.84,3.79
2023-10-06,3.88,3.87,824000,3.88,3.87
2023-10-09,3.84,3.83,1789500,3.84,3.83
2023-10-10,4.0,3.85,4538000,4.0,3.85
2023-10-11,4.11,4.04,2658000,4.11,4.04
2023-10-12,4.05,4.12,1222500,4.12,4.05
2023-10-13,4.17,4.19,4168000,4.19,4.17
2023-10-16,4.59,4.21,22073500,4.59,4.21
2023-10-17,4.61,4.6,21502500,4.61,4.6
2023-10-18,4.67,4.65,23634000,4.67,4.65
2023-10-19,4.55,4.7,3911000,4.7,4.55
2023-10-20,4.45,4.59,8156500,4.59,4.45
2023-10-23,4.71,4.5,7520500,4.71,4.5
2023-10-24,4.83,4.71,6614500,4.83,4.71
2023-10-25,4.83,4.87,3213000,4.87,4.83
2023-10-26,4.68,4.87,983500,4.87,4.68
2023-10-27,4.51,4.7,2289000,4.7,4.51
2023-10-30,4.55,4.47,1186500,4.55,4.47
2023-10-31,4.63,4.54,3006000,4.63,4.54
2023-11-01,4.57,4.65,2098500,4.65,4.57
2023-11-02,4.66,4.74,3063000,4.74,4.66
2023-11-03,4.8,4.65,17424000,4.8,4.65
2023-11-06,5.51,4.81,34524000,5.51,4.81
2023-11-07,5.21,5.6,11698500,5.6,5.21
2023-11-08,5.18,5.15,8391000,5.18,5.15
2023-11-10,5.47,5.15,12327000,5.47,5.15
2023-11-13,5.31,5.4,7407000,5.4,5.31
2023-11-14,5.25,5.44,3859500,5.44,5.25
2023-11-15,5.39,5.37,11224000,5.39,5.37
2023-11-16,5.33,5.5,8404000,5.5,5.33
2023-11-17,5.51,5.32,15884000,5.51,5.32
2023-11-20,5.57,5.59,6334500,5.59,5.57
2023-11-21,5.81,5.71,21801500,5.81,5.71
2023-11-22,5.68,5.85,8232500,5.85,5.68
2023-11-23,5.57,5.78,8242500,5.78,5.57
2023-11-24,5.65,5.61,38907000,5.65,5.61
2023-11-27,5.83,5.9,9602500,5.9,5.83
2023-11-28,5.71,5.9,8023000,5.9,5.71
2023-11-29,5.55,5.75,7036000,5.75,5.55
2023-11-30,5.4,5.6,4014000,5.6,5.4
2023-12-01,5.46,5.39,2601500,5.46,5.39
2023-12-04,5.53,5.47,4453500,5.53,5.47
2023-12-05,5.53,5.52,3744000,5.53,5.52
2023-12-06,5.71,5.65,9869000,5.71,5.65
2023-12-07,5.83,5.81,15902000,5.83,5.81
2023-12-08,6.11,5.85,25443500,6.11,5.85
2023-12-11,6.25,6.19,17487000,6.25,6.19
2023-12-12,6.37,6.3,11536500,6.37,6.3
2023-12-13,6.66,6.49,50532000,6.66,6.49
2023-12-14,7.12,6.74,33496000,7.12,6.74
2023-12-15,7.94,7.26,63170000,7.94,7.26
2023-12-18,7.73,8.31,42268000,8.31,7.73
2023-12-19,6.78,7.73,47019500,7.73,6.78
2023-12-20,6.49,6.7,23123500,6.7,6.49
2023-12-21,6.75,6.7,17368500,6.75,6.7
2023-12-22,6.43,6.75,7750000,6.75,6.43
2023-12-26,5.75,6.35,15709000,6.35,5.75
2023-12-27,6.21,5.7,12431500,6.21,5.7
2023-12-28,6.34,6.3,14218000,6.34,6.3
2023-12-29,6.67,6.27,12954000,6.67,6.27
