date,close,open,volume,high,low
2021-02-26,114.35,116.80000000000001,1683500,116.80000000000001,114.35
2021-03-01,112.12,116.0,1806500,116.0,112.12
2021-03-02,113.27000000000001,112.0,521500,113.27000000000001,112.0
2021-03-03,116.97,113.5,1710000,116.97,113.5
2021-03-04,111.31,112.5,1494500,112.5,111.31
2021-03-05,111.99000000000001,112.1,1198500,112.1,111.99000000000001
2021-03-08,103.67,114.19999999999999,2924500,114.19999999999999,103.67
2021-03-09,94.6,104.2,5247500,104.2,94.6
2021-03-10,93.94,94.05,3008500,94.05,93.94
2021-03-11,95.26,92.0,2257500,95.26,92.0
2021-03-12,103.9,93.55,2381500,103.9,93.55
2021-03-15,113.1,109.44,5024000,113.1,109.44
2021-03-16,110.07,114.0,3919000,114.0,110.07
2021-03-17,112.16,112.5,3061000,112.5,112.16
2021-03-18,106.98,114.0,3925500,114.0,106.98
2021-03-19,108.84,107.0,1812000,108.84,107.0
2021-03-22,105.21,108.5,1821000,108.5,105.21
2021-03-24,108.22,105.0,1478000,108.22,105.0
2021-03-25,107.98,110.0,1934500,110.0,107.98
2021-03-26,106.01,109.15,1526500,109.15,106.01
2021-03-29,98.71,105.7,1797500,105.7,98.71
2021-03-30,101.35,97.1,1275000,101.35,97.1
2021-03-31,101.8,103.27,1439000,103.27,101.8
2021-04-01,98.83,102.48,1096500,102.48,98.83
2021-04-02,98.96,99.0,1139500,99.0,98.96
2021-04-05,96.63,100.1,1092000,100.1,96.63
2021-04-06,105.1,97.1,2593500,105.1,97.1
2021-04-07,107.02,106.3,3046500,107.02,106.3
2021-04-08,110.08000000000001,107.51,2058500,110.08000000000001,107.51
2021-04-09,111.31,110.9,1835500,111.31,110.9
2021-04-12,108.68,111.0,2235500,111.0,108.68
2021-04-13,110.55000000000001,108.5,1923500,110.55000000000001,108.5
2021-04-14,113.36000000000001,111.0,1816500,113.36000000000001,111.0
2021-04-15,112.13,112.6,369500,112.6,112.13
2021-04-16,113.49000000000001,112.99000000000001,443500,113.49000000000001,112.99000000000001
2021-04-19,109.94,112.75,1556000,112.75,109.94
2021-04-20,111.81,111.9,606500,111.9,111.81
2021-04-21,109.69,111.81,969500,111.81,109.69
2021-04-22,106.13,109.5,775500,109.5,106.13
2021-04-23,103.49,105.0,1059500,105.0,103.49
2021-04-26,106.14,101.01,1504500,106.14,101.01
2021-04-27,106.42,106.25,682000,106.42,106.25
2021-04-28,105.31,105.3,891500,105.31,105.3
2021-04-29,103.96,106.8,1230000,106.8,103.96
2021-04-30,101.6,103.5,1317500,103.5,101.6
2021-05-03,97.47,99.51,982500,99.51,97.47
2021-05-04,97.89,97.47,309500,97.89,97.47
2021-05-05,100.44,99.9,618000,100.44,99.9
2021-05-06,103.62,100.5,518500,103.62,100.5
2021-05-17,109.96000000000001,105.75,3085500,109.96000000000001,105.75
2021-05-18,109.33000000000001,108.00999999999999,2353000,109.33000000000001,108.00999999999999
2021-05-19,105.6,107.6,899500,107.6,105.6
2021-05-20,105.07,106.5,477000,106.5,105.07
2021-05-21,106.54,104.75,567500,106.54,104.75
2021-05-24,110.91,107.83,2437500,110.91,107.83
2021-05-25,110.97,112.1,2265500,112.1,110.97
2021-05-26,110.0,112.4,1661000,112.4,110.0
2021-05-27,108.03999999999999,110.0,848500,110.0,108.03999999999999
2021-05-28,108.68,108.0,718000,108.68,108.0
2021-05-31,115.35,110.5,4001000,115.35,110.5
2021-06-01,114.46000000000001,114.5,1944500,114.5,114.46000000000001
2021-06-02,114.53999999999999,114.46000000000001,2032500,114.53999999999999,114.46000000000001
