date,close,open,volume,high,low
2023-09-25,0.96,1.0599999999999998,87000,1.0599999999999998,0.96
2023-09-26,0.95,0.9199999999999999,9500,0.95,0.9199999999999999
2023-09-27,1.0399999999999998,0.95,122000,1.0399999999999998,0.95
2023-09-28,1.0899999999999999,1.0599999999999998,208000,1.0899999999999999,1.0599999999999998
2023-10-02,1.3199999999999998,1.2,5527500,1.3199999999999998,1.2
2023-10-03,1.24,1.3699999999999999,383000,1.3699999999999999,1.24
2023-10-04,1.19,1.2,259500,1.2,1.19
2023-10-05,1.19,1.19,84500,1.19,1.19
2023-10-06,1.14,1.21,124000,1.21,1.14
2023-10-09,1.17,1.13,398500,1.17,1.13
2023-10-10,1.21,1.15,211000,1.21,1.15
2023-10-11,0.96,1.1099999999999999,259000,1.1099999999999999,0.96
2023-10-12,1.21,1.3499999999999999,182500,1.3499999999999999,1.21
2023-10-13,1.29,1.2,300500,1.29,1.2
2023-10-16,1.3299999999999998,1.31,34000,1.3299999999999998,1.31
2023-10-17,1.29,1.28,429500,1.29,1.28
2023-10-18,1.25,1.26,177000,1.26,1.25
2023-10-19,1.26,1.25,28500,1.26,1.25
2023-10-20,1.3,1.24,11500,1.3,1.24
2023-10-23,1.32,1.22,49000,1.32,1.22
2023-10-24,1.25,1.31,23000,1.31,1.25
2023-10-25,1.25,1.25,21500,1.25,1.25
2023-10-26,1.3,1.24,63000,1.3,1.24
2023-10-27,1.19,1.21,453000,1.21,1.19
2023-10-30,1.2,1.2,80000,1.2,1.2
2023-10-31,1.22,1.24,63000,1.24,1.22
2023-11-01,1.22,1.26,31000,1.26,1.22
2023-11-02,1.26,1.21,142500,1.26,1.21
2023-11-03,1.29,1.27,68500,1.29,1.27
2023-11-06,1.23,1.3699999999999999,29000,1.3699999999999999,1.23
2023-11-07,1.21,1.22,72000,1.22,1.21
2023-11-08,1.31,1.23,176500,1.31,1.23
2023-11-10,1.31,1.3399999999999999,14500,1.3399999999999999,1.31
2023-11-13,1.32,1.31,268000,1.32,1.31
2023-11-14,1.3699999999999999,1.25,488500,1.3699999999999999,1.25
2023-11-15,1.39,1.3499999999999999,359500,1.39,1.3499999999999999
2023-11-16,1.43,1.3499999999999999,201000,1.43,1.3499999999999999
2023-11-17,1.47,1.43,161000,1.47,1.43
2023-11-20,1.48,1.5,19500,1.5,1.48
2023-11-21,1.5,1.5,531000,1.5,1.5
2023-11-22,1.56,1.55,35500,1.56,1.55
2023-11-23,1.48,1.5799999999999998,231000,1.5799999999999998,1.48
2023-11-24,1.6199999999999999,1.44,812500,1.6199999999999999,1.44
2023-11-27,1.65,1.6099999999999999,150000,1.65,1.6099999999999999
2023-11-28,1.56,1.65,168000,1.65,1.56
2023-11-29,1.74,1.5999999999999999,2188000,1.74,1.5999999999999999
2023-11-30,1.7,1.76,161500,1.76,1.7
2023-12-01,1.68,1.8299999999999998,646000,1.8299999999999998,1.68
2023-12-04,1.68,1.65,52000,1.68,1.65
2023-12-05,1.72,1.67,297500,1.72,1.67
2023-12-06,1.66,1.7499999999999998,321500,1.7499999999999998,1.66
2023-12-07,1.6199999999999999,1.74,68000,1.74,1.6199999999999999
2023-12-08,1.8,1.64,1234500,1.8,1.64
2023-12-11,1.72,1.84,1097000,1.84,1.72
2023-12-12,1.7,1.7499999999999998,206000,1.7499999999999998,1.7
2023-12-13,1.68,1.7899999999999998,561500,1.7899999999999998,1.68
2023-12-14,1.78,1.64,352000,1.78,1.64
2023-12-15,1.95,1.84,1440000,1.95,1.84
2023-12-18,1.8800000000000001,1.9599999999999997,4660500,1.9599999999999997,1.8800000000000001
2023-12-19,1.7,1.86,989500,1.86,1.7
2023-12-20,1.5799999999999998,1.7,515500,1.7,1.5799999999999998
2023-12-21,1.65,1.56,615500,1.65,1.56
2023-12-22,1.66,1.8,275500,1.8,1.66
2023-12-26,1.5899999999999999,1.67,349500,1.67,1.5899999999999999
2023-12-27,1.6199999999999999,1.5799999999999998,356500,1.6199999999999999,1.5799999999999998
2023-12-28,1.6199999999999999,1.69,100000,1.69,1.6199999999999999
2023-12-29,1.6099999999999999,1.7,303500,1.7,1.6099999999999999
2024-01-01,1.7,1.69,164500,1.7,1.69
2024-01-02,1.66,1.7,79000,1.7,1.66
2024-01-03,1.68,1.7299999999999998,220500,1.7299999999999998,1.68
2024-01-04,1.6099999999999999,1.65,107000,1.65,1.6099999999999999
2024-01-05,1.68,1.65,352000,1.68,1.65
2024-01-08,1.7,1.53,93000,1.7,1.53
2024-01-09,1.65,1.53,391500,1.65,1.53
2024-01-10,1.84,1.6099999999999999,508500,1.84,1.6099999999999999
2024-01-11,1.8499999999999999,1.8499999999999999,188000,1.8499999999999999,1.8499999999999999
2024-01-12,1.82,1.8499999999999999,187500,1.8499999999999999,1.82
2024-01-15,1.8499999999999999,1.8800000000000001,202500,1.8800000000000001,1.8499999999999999
2024-01-16,1.84,1.8,100500,1.84,1.8
2024-01-17,1.95,1.99,256000,1.99,1.95
2024-01-18,1.8699999999999999,1.97,66500,1.97,1.8699999999999999
2024-01-19,1.8699999999999999,1.9000000000000001,20500,1.9000000000000001,1.8699999999999999
2024-01-22,1.78,1.8,47500,1.8,1.78
2024-01-23,1.8099999999999998,1.8800000000000001,15000,1.8800000000000001,1.8099999999999998
2024-01-24,1.8499999999999999,1.93,23500,1.93,1.8499999999999999
2024-01-25,1.91,1.7499999999999998,1500,1.91,1.7499999999999998
2024-01-26,1.8499999999999999,1.93,4500,1.93,1.8499999999999999
2024-01-29,1.7,1.7099999999999997,114500,1.7099999999999997,1.7
2024-01-30,1.69,1.86,54000,1.86,1.69
2024-01-31,1.69,1.7,24500,1.7,1.69
2024-02-01,1.76,1.64,3000,1.76,1.64
2024-02-02,1.78,1.65,50500,1.78,1.65
2024-02-06,1.78,1.8,15000,1.8,1.78
2024-02-07,1.76,1.6199999999999999,24000,1.76,1.6199999999999999
2024-02-09,1.63,1.6199999999999999,11000,1.63,1.6199999999999999
2024-02-12,1.64,1.65,60000,1.65,1.64
2024-02-13,1.65,1.5799999999999998,12500,1.65,1.5799999999999998
2024-02-14,1.72,1.8,30000,1.8,1.72
2024-02-15,1.7,1.7899999999999998,2500,1.7899999999999998,1.7
2024-02-16,1.7899999999999998,1.7899999999999998,500,1.7899999999999998,1.7899999999999998
2024-02-19,1.67,1.5,120000,1.67,1.5
2024-02-20,1.7899999999999998,1.7899999999999998,1000,1.7899999999999998,1.7899999999999998
2024-02-21,1.51,1.6199999999999999,1004500,1.6199999999999999,1.51
2024-02-22,1.5999999999999999,1.69,46500,1.69,1.5999999999999999
2024-02-23,1.7,1.74,8500,1.74,1.7
2024-02-26,1.7,1.7699999999999998,42000,1.7699999999999998,1.7
2024-02-27,1.6199999999999999,1.66,18500,1.66,1.6199999999999999
2024-02-28,1.5999999999999999,1.57,180500,1.5999999999999999,1.57
2024-02-29,1.52,1.6099999999999999,108500,1.6099999999999999,1.52
