date,close,open,volume,high,low
2021-02-26,10.53,10.7,6620000,10.7,10.53
2021-03-01,10.29,10.7,3751500,10.7,10.29
2021-03-02,10.47,10.22,2852000,10.47,10.22
2021-03-03,10.65,10.58,2784000,10.65,10.58
2021-03-04,10.13,10.11,6559000,10.13,10.11
2021-03-05,10.22,10.25,3099500,10.25,10.22
2021-03-08,9.73,10.41,7035500,10.41,9.73
2021-03-09,9.14,9.73,10362000,9.73,9.14
2021-03-10,9.08,9.16,4072000,9.16,9.08
2021-03-11,8.91,9.03,8048000,9.03,8.91
2021-03-12,9.27,8.81,5317500,9.27,8.81
2021-03-15,9.52,9.54,4453000,9.54,9.52
2021-03-16,9.41,9.55,3272000,9.55,9.41
2021-03-17,9.52,9.53,3504500,9.53,9.52
2021-03-18,9.39,9.5,6798000,9.5,9.39
2021-03-19,9.44,9.42,4335000,9.44,9.42
2021-03-22,9.39,9.44,2749500,9.44,9.39
2021-03-24,9.57,9.4,2053500,9.57,9.4
2021-03-25,9.69,9.61,4464500,9.69,9.61
2021-03-26,9.51,9.7,3009000,9.7,9.51
2021-03-29,9.09,9.67,6284500,9.67,9.09
2021-03-30,9.17,9.03,1717000,9.17,9.03
2021-03-31,9.21,9.29,4180500,9.29,9.21
2021-04-01,9.1,9.38,1269000,9.38,9.1
2021-04-02,9.19,9.12,1066500,9.19,9.12
2021-04-05,9.01,9.15,2950000,9.15,9.01
2021-04-06,9.28,9.1,1890500,9.28,9.1
2021-04-07,9.19,9.25,2055500,9.25,9.19
2021-04-08,9.19,9.15,1902000,9.19,9.15
2021-04-09,9.34,9.46,3882000,9.46,9.34
2021-04-12,9.26,9.4,1698000,9.4,9.26
2021-04-13,9.15,9.27,2023000,9.27,9.15
2021-04-14,9.24,9.17,1644500,9.24,9.17
2021-04-15,9.19,9.28,783000,9.28,9.19
2021-04-16,9.21,9.22,992500,9.22,9.21
2021-04-19,9.15,9.13,971500,9.15,9.13
2021-04-20,9.17,9.25,4961000,9.25,9.17
2021-04-21,8.85,9.24,10568000,9.24,8.85
2021-04-22,8.66,8.98,3676000,8.98,8.66
2021-04-23,8.69,8.6,2690000,8.69,8.6
2021-04-26,8.65,8.58,2683000,8.65,8.58
2021-04-27,8.61,8.6,1782000,8.61,8.6
2021-04-28,8.42,8.61,3461500,8.61,8.42
2021-04-29,8.32,8.45,2143500,8.45,8.32
2021-04-30,8.09,8.32,2764000,8.32,8.09
2021-05-03,8.09,8.05,1844000,8.09,8.05
2021-05-04,8.17,8.08,1282000,8.17,8.08
2021-05-05,8.44,8.29,1458000,8.44,8.29
2021-05-06,8.61,8.32,856000,8.61,8.32
2021-05-17,8.83,8.75,2117000,8.83,8.75
2021-05-18,8.8,8.92,3612500,8.92,8.8
2021-05-19,8.69,8.67,1558500,8.69,8.67
2021-05-20,9.01,8.7,4294500,9.01,8.7
2021-05-21,9.07,9.05,3894000,9.07,9.05
2021-05-24,9.11,9.15,3190500,9.15,9.11
2021-05-25,9.23,9.32,2742000,9.32,9.23
2021-05-26,9.19,9.3,4085000,9.3,9.19
2021-05-27,9.1,9.28,5033500,9.28,9.1
2021-05-28,9.08,9.14,2858000,9.14,9.08
2021-05-31,9.98,9.18,24599500,9.98,9.18
2021-06-01,9.84,10.19,8449500,10.19,9.84
2021-06-02,9.65,9.8,4475500,9.8,9.65
2021-06-03,9.69,9.65,6058500,9.69,9.65
2021-06-04,9.71,9.75,3074500,9.75,9.71
2021-06-07,10.18,9.83,18074000,10.18,9.83
2021-06-08,10.17,10.29,10569500,10.29,10.17
2021-06-09,9.97,10.29,8133500,10.29,9.97
2021-06-10,10.11,10.0,6636500,10.11,10.0
2021-06-11,10.09,10.25,8252500,10.25,10.09
2021-06-14,10.6,10.35,20909000,10.6,10.35
2021-06-15,10.52,10.75,29854000,10.75,10.52
2021-06-16,10.34,10.6,7178500,10.6,10.34
2021-06-17,10.11,10.34,5409500,10.34,10.11
2021-06-18,10.14,10.16,7541000,10.16,10.14
2021-06-21,9.99,10.19,3824000,10.19,9.99
2021-06-22,9.89,10.0,5952500,10.0,9.89
2021-06-23,9.9,9.95,2534500,9.95,9.9
2021-06-24,9.91,9.91,6374000,9.91,9.91
2021-06-25,9.77,9.99,3821000,9.99,9.77
2021-06-28,9.46,9.85,4295500,9.85,9.46
2021-06-29,9.69,9.6,2367500,9.69,9.6
2021-06-30,9.61,9.69,2103000,9.69,9.61
2021-07-01,9.93,9.7,6682500,9.93,9.7
2021-07-02,9.75,9.91,2335500,9.91,9.75
2021-07-05,9.5,9.93,2899500,9.93,9.5
2021-07-06,9.56,9.51,2860500,9.56,9.51
2021-07-07,9.41,9.7,2364000,9.7,9.41
2021-07-08,9.69,9.49,3647000,9.69,9.49
