date,close,open,volume,high,low
2023-09-18,63.2,63.480000000000004,1432531,63.480000000000004,63.2
2023-09-19,63.64,63.489999999999995,4000236,63.64,63.489999999999995
2023-09-20,62.120000000000005,63.900000000000006,6149595,63.900000000000006,62.120000000000005
2023-09-21,62.900000000000006,62.0,2382619,62.900000000000006,62.0
2023-09-22,64.58,62.900000000000006,6762444,64.58,62.900000000000006
2023-09-25,64.67,64.58,2907911,64.67,64.58
2023-09-26,63.47,64.96,2896927,64.96,63.47
2023-09-27,64.97,63.31,9115995,64.97,63.31
2023-09-28,64.56,65.34,5897086,65.34,64.56
2023-10-02,65.97,64.99,6591768,65.97,64.99
2023-10-03,65.66,66.49,3056591,66.49,65.66
2023-10-04,65.01,65.45,1990783,65.45,65.01
2023-10-05,64.31,65.05,4785992,65.05,64.31
2023-10-06,63.31,64.5,5713471,64.5,63.31
2023-10-09,64.22,62.599999999999994,6484440,64.22,62.599999999999994
2023-10-10,64.43,64.49,3084894,64.49,64.43
2023-10-11,66.25,65.06,7355736,66.25,65.06
2023-10-12,67.27,66.74,6826631,67.27,66.74
2023-10-13,71.12,67.36,15178339,71.12,67.36
2023-10-16,70.83,71.55,9554904,71.55,70.83
2023-10-17,68.2,70.25,3791020,70.25,68.2
2023-10-18,69.48,69.6,3589409,69.6,69.48
2023-10-19,74.95,69.14,18911504,74.95,69.14
2023-10-20,74.56,74.9,7552252,74.9,74.56
2023-10-23,77.22,75.01,24259049,77.22,75.01
2023-10-24,74.72,78.0,10255853,78.0,74.72
2023-10-25,74.46,74.65,8207368,74.65,74.46
2023-10-26,72.83,74.45,4518629,74.45,72.83
2023-10-27,71.26,72.85,4258249,72.85,71.26
2023-10-30,72.73,71.37,4802381,72.73,71.37
2023-10-31,73.11,75.0,7796581,75.0,73.11
2023-11-01,73.01,73.51,6350377,73.51,73.01
2023-11-02,73.37,73.1,5718084,73.37,73.1
2023-11-03,74.02,73.12,6010320,74.02,73.12
2023-11-06,73.42,74.5,3862892,74.5,73.42
2023-11-07,72.45,73.81,4243204,73.81,72.45
2023-11-08,72.62,72.11,4665469,72.62,72.11
2023-11-10,73.96,73.55,10555014,73.96,73.55
2023-11-13,74.67,73.9,9183312,74.67,73.9
2023-11-14,75.52,75.06,9040327,75.52,75.06
2023-11-15,78.31,76.0,19292737,78.31,76.0
2023-11-16,84.56,79.02,24336213,84.56,79.02
2023-11-17,83.88,85.49,16643997,85.49,83.88
2023-11-20,82.77,83.89,6097426,83.89,82.77
2023-11-21,81.48,82.81,5862888,82.81,81.48
2023-11-22,84.31,81.0,10655403,84.31,81.0
2023-11-23,82.53,84.55,7358871,84.55,82.53
2023-11-24,82.83,82.99,6139710,82.99,82.83
2023-11-27,83.58,83.5,7028494,83.58,83.5
2023-11-28,85.27,84.0,12452024,85.27,84.0
2023-11-29,84.12,85.27,14409867,85.27,84.12
2023-11-30,83.77,84.5,6286258,84.5,83.77
2023-12-01,86.72,84.44,9506132,86.72,84.44
2023-12-04,92.04,88.01,23518237,92.04,88.01
2023-12-05,99.36,92.5,26934622,99.36,92.5
2023-12-06,102.98,101.89,35324615,102.98,101.89
2023-12-07,102.71,100.99,15352002,102.71,100.99
2023-12-08,105.85,104.0,16604019,105.85,104.0
2023-12-11,105.96,105.0,8672394,105.96,105.0
2023-12-12,107.04,106.0,6735735,107.04,106.0
2023-12-13,107.14,108.5,17870916,108.5,107.14
2023-12-14,112.77,106.5,17322231,112.77,106.5
2023-12-15,118.26,117.0,20844934,118.26,117.0
2023-12-18,115.07,118.0,11710100,118.0,115.07
2023-12-19,110.64,113.8,24378331,113.8,110.64
2023-12-20,112.37,112.3,24173128,112.37,112.3
2023-12-21,114.81,116.01,14079720,116.01,114.81
2023-12-22,109.83,115.0,7362326,115.0,109.83
2023-12-26,100.99,108.6,19050579,108.6,100.99
2023-12-27,103.18,99.25,11154977,103.18,99.25
2023-12-28,103.04,104.5,10430061,104.5,103.04
2023-12-29,107.03,104.0,13683173,107.03,104.0
2024-01-01,115.66,109.01,7405974,115.66,109.01
2024-01-02,118.01,119.5,34951008,119.5,118.01
