date,close,open,volume,high,low
2023-09-25,15.85,15.83,40000,15.85,15.83
2023-09-26,15.71,15.9,34000,15.9,15.71
2023-09-27,15.7,15.97,70500,15.97,15.7
2023-09-28,14.95,15.96,922500,15.96,14.95
2023-10-02,14.92,15.15,310000,15.15,14.92
2023-10-03,14.65,15.0,380500,15.0,14.65
2023-10-04,14.68,14.65,496000,14.68,14.65
2023-10-05,14.8,14.99,839000,14.99,14.8
2023-10-06,14.9,14.85,268500,14.9,14.85
2023-10-09,15.27,14.7,1517500,15.27,14.7
2023-10-10,15.54,15.32,3649000,15.54,15.32
2023-10-11,15.65,15.8,760000,15.8,15.65
2023-10-12,15.71,15.6,906500,15.71,15.6
2023-10-13,16.19,15.6,2555000,16.19,15.6
2023-10-16,15.97,16.6,507000,16.6,15.97
2023-10-17,15.89,15.62,791000,15.89,15.62
2023-10-18,15.71,15.76,69000,15.76,15.71
2023-10-19,16.01,15.68,306000,16.01,15.68
2023-10-20,15.82,16.15,150000,16.15,15.82
2023-10-23,15.61,15.81,366500,15.81,15.61
2023-10-24,15.72,15.65,304500,15.72,15.65
2023-10-25,15.47,15.75,482000,15.75,15.47
2023-10-26,15.58,15.5,281500,15.58,15.5
2023-10-27,15.0,15.6,489500,15.6,15.0
2023-10-30,14.97,15.01,309500,15.01,14.97
2023-10-31,14.75,14.9,444000,14.9,14.75
2023-11-01,14.84,14.95,169500,14.95,14.84
2023-11-02,15.2,14.8,1231500,15.2,14.8
2023-11-03,15.23,15.38,616500,15.38,15.23
2023-11-06,15.04,15.25,1520500,15.25,15.04
2023-11-07,14.81,15.2,638000,15.2,14.81
2023-11-08,14.75,14.97,353000,14.97,14.75
2023-11-10,15.13,14.9,731000,15.13,14.9
2023-11-13,15.66,15.31,2814000,15.66,15.31
2023-11-14,16.13,15.7,2794500,16.13,15.7
2023-11-15,16.3,16.35,3641500,16.35,16.3
2023-11-16,16.13,16.35,1337000,16.35,16.13
2023-11-17,16.14,16.22,2169000,16.22,16.14
2023-11-20,16.28,16.16,1343000,16.28,16.16
2023-11-21,16.64,16.45,3554500,16.64,16.45
2023-11-22,17.3,16.7,3220500,17.3,16.7
2023-11-23,17.07,17.48,1858000,17.48,17.07
2023-11-24,16.71,17.02,636000,17.02,16.71
2023-11-27,17.45,16.98,3281000,17.45,16.98
2023-11-28,17.42,17.6,1188000,17.6,17.42
2023-11-29,17.16,17.5,1362000,17.5,17.16
2023-11-30,16.62,17.39,712500,17.39,16.62
2023-12-01,16.96,16.55,473500,16.96,16.55
2023-12-04,16.75,17.0,769000,17.0,16.75
2023-12-05,17.13,16.79,1769500,17.13,16.79
2023-12-06,17.19,17.1,1985000,17.19,17.1
2023-12-07,17.23,17.31,1827000,17.31,17.23
2023-12-08,17.39,17.31,1183500,17.39,17.31
2023-12-11,16.57,17.3,2088500,17.3,16.57
2023-12-12,16.73,16.62,1423500,16.73,16.62
2023-12-13,16.22,16.57,888000,16.57,16.22
2023-12-14,15.99,16.04,657000,16.04,15.99
2023-12-15,16.14,16.05,443500,16.14,16.05
2023-12-18,15.91,16.29,644000,16.29,15.91
2023-12-19,14.81,15.97,975000,15.97,14.81
2023-12-20,14.33,15.01,1164500,15.01,14.33
2023-12-21,14.42,14.34,414500,14.42,14.34
2023-12-22,14.12,14.42,638000,14.42,14.12
2023-12-26,13.58,14.12,683000,14.12,13.58
2023-12-27,13.71,13.99,1707000,13.99,13.71
2023-12-28,13.93,13.88,1546000,13.93,13.88
2023-12-29,13.85,14.11,555500,14.11,13.85
2024-01-01,14.41,14.0,853500,14.41,14.0
2024-01-02,14.5,14.37,570500,14.5,14.37
2024-01-03,14.67,14.51,838500,14.67,14.51
2024-01-04,15.18,14.8,1115500,15.18,14.8
2024-01-05,14.94,15.25,636500,15.25,14.94
2024-01-08,14.53,15.02,309500,15.02,14.53
2024-01-09,14.53,14.59,183500,14.59,14.53
2024-01-10,14.55,14.69,104000,14.69,14.55
2024-01-11,14.36,14.2,133500,14.36,14.2
2024-01-12,14.27,14.58,205500,14.58,14.27
2024-01-15,14.07,14.4,146500,14.4,14.07
2024-01-16,13.97,14.01,122500,14.01,13.97
2024-01-17,13.97,14.13,173500,14.13,13.97
2024-01-18,14.0,13.9,97000,14.0,13.9
2024-01-19,13.84,13.86,120000,13.86,13.84
2024-01-22,13.85,13.99,104000,13.99,13.85
2024-01-23,13.81,13.81,170500,13.81,13.81
2024-01-24,13.91,13.75,57000,13.91,13.75
2024-01-25,13.73,13.81,124500,13.81,13.73
2024-01-26,13.72,13.72,77500,13.72,13.72
2024-01-29,13.64,13.71,129500,13.71,13.64
2024-01-30,13.21,13.77,269000,13.77,13.21
2024-01-31,13.24,13.4,91000,13.4,13.24
2024-02-01,13.21,13.1,65500,13.21,13.1
2024-02-02,13.48,13.48,28500,13.48,13.48
2024-02-06,13.61,13.69,98500,13.69,13.61
2024-02-07,13.64,13.65,81000,13.65,13.64
2024-02-09,13.48,13.5,60000,13.5,13.48
2024-02-12,13.18,13.48,137000,13.48,13.18
2024-02-13,13.26,13.2,126000,13.26,13.2
2024-02-14,13.61,13.47,96500,13.61,13.47
2024-02-15,13.19,13.5,97000,13.5,13.19
2024-02-16,13.09,13.15,131000,13.15,13.09
2024-02-19,13.25,13.39,28500,13.39,13.25
2024-02-20,13.55,13.37,98500,13.55,13.37
2024-02-21,13.71,13.6,88000,13.71,13.6
2024-02-22,13.75,13.9,46500,13.9,13.75
2024-02-23,13.63,13.49,78500,13.63,13.49
2024-02-26,13.69,13.35,66000,13.69,13.35
2024-02-27,13.5,13.46,130500,13.5,13.46
2024-02-28,13.46,13.68,82000,13.68,13.46
2024-02-29,13.51,13.62,112500,13.62,13.51
2024-03-01,13.36,13.4,140000,13.4,13.36
2024-03-04,13.52,13.35,67500,13.52,13.35
2024-03-05,13.4,13.45,79500,13.45,13.4
2024-03-06,13.3,13.3,192500,13.3,13.3
2024-03-07,13.1,13.2,868000,13.2,13.1
2024-03-08,13.18,13.1,217500,13.18,13.1
2024-03-11,13.41,13.29,450000,13.41,13.29
2024-03-12,13.36,13.6,219000,13.6,13.36
2024-03-13,13.2,13.5,38000,13.5,13.2
2024-03-14,13.34,13.11,39500,13.34,13.11
2024-03-15,13.25,13.68,294000,13.68,13.25
2024-03-18,13.51,13.25,165000,13.51,13.25
2024-03-19,13.16,13.55,293500,13.55,13.16
2024-03-20,13.19,13.39,421500,13.39,13.19
2024-03-21,12.81,13.14,760500,13.14,12.81
2024-03-22,12.65,12.9,378000,12.9,12.65
2024-03-25,12.5,12.79,286000,12.79,12.5
2024-03-26,12.27,12.77,381500,12.77,12.27
2024-03-27,12.05,12.33,471000,12.33,12.05
2024-03-28,12.15,12.25,616000,12.25,12.15
2024-03-29,12.52,12.25,748000,12.52,12.25
2024-04-01,12.69,12.74,174500,12.74,12.69
2024-04-02,13.07,12.58,223000,13.07,12.58
2024-04-03,13.12,13.2,104000,13.2,13.12
2024-04-04,13.15,13.11,96000,13.15,13.11
2024-04-08,13.13,13.42,290000,13.42,13.13
2024-04-09,13.01,13.35,145000,13.35,13.01
2024-04-15,13.19,12.85,337000,13.19,12.85
2024-04-16,13.3,13.39,169000,13.39,13.3
2024-04-17,13.15,13.25,283500,13.25,13.15
2024-04-18,13.13,13.11,147000,13.13,13.11
2024-04-19,13.25,13.02,388500,13.25,13.02
2024-04-22,13.51,13.35,1068500,13.51,13.35
2024-04-23,13.5,13.45,825500,13.5,13.45
2024-04-24,14.51,13.68,2803500,14.51,13.68
2024-04-25,14.71,14.98,2958000,14.98,14.71
2024-04-26,14.34,14.84,719000,14.84,14.34
2024-04-29,14.02,14.21,894000,14.21,14.02
2024-04-30,13.58,13.94,613500,13.94,13.58
2024-05-02,13.36,13.45,455000,13.45,13.36
2024-05-03,13.51,13.28,247000,13.51,13.28
2024-05-06,14.45,13.65,1767000,14.45,13.65
2024-05-07,14.71,14.2,692500,14.71,14.2
2024-05-08,14.6,14.7,1047500,14.7,14.6
2024-05-09,14.64,15.0,273000,15.0,14.64
2024-05-10,14.48,14.7,193000,14.7,14.48
2024-05-13,14.71,14.55,870500,14.71,14.55
2024-05-14,14.5,14.57,94000,14.57,14.5
2024-05-15,14.66,14.51,208000,14.66,14.51
2024-05-16,14.42,14.2,67000,14.42,14.2
2024-05-17,14.4,14.7,44000,14.7,14.4
2024-05-20,15.1,14.58,978538,15.1,14.58
2024-05-21,15.87,15.26,3422768,15.87,15.26
