date,close,open,volume,high,low
2023-09-18,12.78,12.5,7869080,12.78,12.5
2023-09-19,12.96,12.99,4465115,12.99,12.96
2023-09-20,12.81,13.14,1120181,13.14,12.81
2023-09-21,13.07,12.8,1688188,13.07,12.8
2023-09-22,13.21,13.2,4160774,13.21,13.2
2023-09-25,13.24,13.3,3309704,13.3,13.24
2023-09-26,13.43,13.31,8249804,13.43,13.31
2023-09-27,13.29,13.45,2362126,13.45,13.29
2023-09-28,13.22,13.39,3105098,13.39,13.22
2023-10-02,13.43,13.19,3199137,13.43,13.19
2023-10-03,13.59,13.5,5287550,13.59,13.5
2023-10-04,13.89,13.64,12978337,13.89,13.64
2023-10-05,13.7,13.92,2531957,13.92,13.7
2023-10-06,13.68,13.74,1297059,13.74,13.68
2023-10-09,13.76,13.49,2696951,13.76,13.49
2023-10-10,14.43,13.94,26344125,14.43,13.94
2023-10-11,14.46,14.649999999999999,18138704,14.649999999999999,14.46
2023-10-12,14.23,14.46,11579946,14.46,14.23
2023-10-13,14.09,14.34,9494821,14.34,14.09
2023-10-16,14.32,14.3,8273732,14.32,14.3
2023-10-17,14.14,14.260000000000002,5508812,14.260000000000002,14.14
2023-10-18,14.870000000000001,14.2,75718044,14.870000000000001,14.2
2023-10-19,15.469999999999999,15.100000000000001,37666822,15.469999999999999,15.100000000000001
2023-10-20,16.13,15.8,42467382,16.13,15.8
2023-10-23,16.16,16.3,15395890,16.3,16.16
2023-10-24,16.64,16.27,33555439,16.64,16.27
2023-10-25,16.64,16.74,12845060,16.74,16.64
2023-10-26,16.26,16.76,6685946,16.76,16.26
2023-10-27,16.35,16.45,8154284,16.45,16.35
2023-10-30,17.3,16.47,32398721,17.3,16.47
2023-10-31,18.69,17.49,51538473,18.69,17.49
2023-11-01,19.57,19.4,55036194,19.57,19.4
2023-11-02,19.57,19.59,25930078,19.59,19.57
2023-11-03,20.65,19.69,41824973,20.65,19.69
2023-11-06,21.3,20.95,37317387,21.3,20.95
2023-11-07,19.67,21.38,36253663,21.38,19.67
2023-11-08,20.68,19.5,40299656,20.68,19.5
2023-11-10,21.18,20.87,31064288,21.18,20.87
2023-11-13,21.09,21.24,23831505,21.24,21.09
2023-11-14,21.65,21.0,35147843,21.65,21.0
2023-11-15,22.24,21.7,37133521,22.24,21.7
2023-11-16,22.97,22.5,39582534,22.97,22.5
2023-11-17,22.63,23.1,22838424,23.1,22.63
2023-11-20,22.75,22.65,19368276,22.75,22.65
2023-11-21,22.84,22.75,29063069,22.84,22.75
2023-11-22,23.04,23.0,13920397,23.04,23.0
2023-11-23,23.53,23.21,32348031,23.53,23.21
2023-11-24,23.1,23.68,15400511,23.68,23.1
2023-11-27,23.02,23.29,9661883,23.29,23.02
2023-11-28,23.47,23.1,23647647,23.47,23.1
2023-11-29,23.01,23.65,35409231,23.65,23.01
2023-11-30,22.95,23.1,8356656,23.1,22.95
2023-12-01,23.32,23.0,9358620,23.32,23.0
2023-12-04,23.64,23.49,22669534,23.64,23.49
2023-12-05,24.98,23.71,53701236,24.98,23.71
2023-12-06,25.52,25.0,42648059,25.52,25.0
2023-12-07,27.58,27.58,14366436,27.58,27.58
2023-12-08,29.8,29.21,15027877,29.8,29.21
2023-12-11,28.11,27.42,42320733,28.11,27.42
2023-12-12,30.36,28.44,29486449,30.36,28.44
2023-12-13,30.72,31.11,39797617,31.11,30.72
2023-12-14,31.630000000000003,30.700000000000003,24058219,31.630000000000003,30.700000000000003
2023-12-15,33.1,31.990000000000002,26779275,33.1,31.990000000000002
2023-12-18,31.64,33.7,18036373,33.7,31.64
2023-12-19,29.27,31.9,21463537,31.9,29.27
2023-12-20,28.11,29.0,20280222,29.0,28.11
2023-12-21,30.11,28.62,18715509,30.11,28.62
2023-12-22,28.92,30.700000000000003,14461638,30.700000000000003,28.92
2023-12-26,26.6,28.51,12393140,28.51,26.6
2023-12-27,28.56,25.5,27952032,28.56,25.5
2023-12-28,27.79,28.7,20487171,28.7,27.79
2023-12-29,27.19,27.9,8858634,27.9,27.19
2024-01-01,29.38,27.44,19531948,29.38,27.44
2024-01-02,27.97,29.84,17631918,29.84,27.97
2024-01-03,26.06,27.8,35835842,27.8,26.06
2024-01-04,27.04,26.0,25660546,27.04,26.0
2024-01-05,26.44,27.0,16634971,27.0,26.44
2024-01-08,26.34,26.5,10772719,26.5,26.34
2024-01-09,26.7,26.65,14019066,26.7,26.65
2024-01-10,27.16,26.95,34994821,27.16,26.95
2024-01-11,27.9,27.49,15697012,27.9,27.49
2024-01-12,27.75,28.39,12215461,28.39,27.75
2024-01-15,26.88,28.1,4179110,28.1,26.88
2024-01-16,27.21,26.92,13193998,27.21,26.92
2024-01-17,26.26,27.0,6290013,27.0,26.26
2024-01-18,25.8,26.25,8791573,26.25,25.8
2024-01-19,25.19,26.01,5415714,26.01,25.19
2024-01-22,25.87,25.25,5950737,25.87,25.25
2024-01-23,27.18,26.14,17874942,27.18,26.14
2024-01-24,27.15,27.3,12677451,27.3,27.15
2024-01-25,26.3,27.16,5228089,27.16,26.3
2024-01-26,26.3,26.15,7879901,26.3,26.15
2024-01-29,25.73,26.6,11324967,26.6,25.73
2024-01-30,23.65,25.5,19705399,25.5,23.65
2024-01-31,23.13,23.59,7461420,23.59,23.13
2024-02-01,24.49,23.28,26126125,24.49,23.28
2024-02-02,24.29,24.75,5691753,24.75,24.29
2024-02-06,26.26,24.35,21261134,26.26,24.35
2024-02-07,27.15,26.99,18717352,27.15,26.99
2024-02-09,26.08,25.9,14886196,26.08,25.9
2024-02-12,23.97,25.85,9136323,25.85,23.97
2024-02-13,23.63,23.2,28602808,23.63,23.2
2024-02-14,24.96,24.4,14482048,24.96,24.4
2024-02-15,23.73,25.04,13907974,25.04,23.73
