date,close,open,volume,high,low
2021-02-26,194.13,195.6,1472174,195.6,194.13
2021-03-01,191.48,194.5,598982,194.5,191.48
2021-03-02,197.89,192.5,1949369,197.89,192.5
2021-03-03,199.2,200.48,444040,200.48,199.2
2021-03-04,193.65,191.5,777305,193.65,191.5
2021-03-05,196.33,194.5,524016,196.33,194.5
2021-03-08,191.74,201.45,959937,201.45,191.74
2021-03-09,183.81,192.97,590807,192.97,183.81
2021-03-10,179.34,184.95,566874,184.95,179.34
2021-03-11,174.97,177.75,1378091,177.75,174.97
2021-03-12,178.78,172.5,812843,178.78,172.5
2021-03-15,198.19,187.55,944838,198.19,187.55
2021-03-16,194.73,198.5,482204,198.5,194.73
2021-03-17,196.47,197.0,599715,197.0,196.47
2021-03-18,189.44,196.46,434065,196.46,189.44
2021-03-19,196.0,189.5,609876,196.0,189.5
2021-03-22,204.82,197.0,2092507,204.82,197.0
2021-03-24,205.4,202.01,899233,205.4,202.01
2021-03-25,204.02,206.6,572057,206.6,204.02
2021-03-26,199.21,203.49,427778,203.49,199.21
2021-03-29,191.57,199.49,782778,199.49,191.57
2021-03-30,190.34,190.45,448301,190.45,190.34
2021-03-31,193.13,191.1,1945617,193.13,191.1
2021-04-01,189.27,193.13,285398,193.13,189.27
2021-04-02,188.86,192.49,240616,192.49,188.86
2021-04-05,184.37,190.75,351202,190.75,184.37
2021-04-06,189.51,184.5,657662,189.51,184.5
2021-04-07,183.94,191.25,554292,191.25,183.94
2021-04-08,188.23,184.49,338498,188.23,184.49
2021-04-09,188.87,190.5,436947,190.5,188.87
2021-04-12,183.76,187.63,376282,187.63,183.76
2021-04-13,183.0,184.48,397890,184.48,183.0
2021-04-14,184.83,183.48,314043,184.83,183.48
2021-04-15,184.11,187.01,482849,187.01,184.11
2021-04-16,183.41,184.05,148195,184.05,183.41
2021-04-19,180.17,180.51,382648,180.51,180.17
2021-04-20,179.81,182.99,450036,182.99,179.81
2021-04-21,178.36,180.5,359967,180.5,178.36
2021-04-22,177.59,177.06,862221,177.59,177.06
2021-04-23,175.71,177.0,445386,177.0,175.71
2021-04-26,186.01,173.0,1816013,186.01,173.0
2021-04-27,177.87,184.01,732651,184.01,177.87
2021-04-28,177.75,179.0,815961,179.0,177.75
2021-04-29,178.96,177.4,1194360,178.96,177.4
2021-04-30,174.74,179.52,464658,179.52,174.74
2021-05-03,175.65,175.4,546282,175.65,175.4
2021-05-04,176.86,175.5,275784,176.86,175.5
2021-05-05,183.68,182.5,1190131,183.68,182.5
2021-05-06,184.19,186.5,846694,186.5,184.19
2021-05-17,183.29,186.0,1028596,186.0,183.29
2021-05-18,193.5,184.39,3726803,193.5,184.39
2021-05-19,188.96,195.3,1068975,195.3,188.96
2021-05-20,187.86,189.01,408768,189.01,187.86
2021-05-21,191.84,187.6,765532,191.84,187.6
2021-05-24,189.42,191.84,286900,191.84,189.42
2021-05-25,187.71,189.95,1031078,189.95,187.71
2021-05-26,191.15,189.0,2375909,191.15,189.0
2021-05-27,189.71,193.11,1922386,193.11,189.71
2021-05-28,194.19,189.5,3146827,194.19,189.5
2021-05-31,202.61,196.5,3896698,202.61,196.5
2021-06-01,200.59,204.5,1614510,204.5,200.59
2021-06-02,203.2,201.5,2581553,203.2,201.5
2021-06-03,205.67,207.5,4500280,207.5,205.67
2021-06-04,205.54,206.98,2438321,206.98,205.54
2021-06-07,203.14,210.5,2819175,210.5,203.14
2021-06-08,198.26,201.6,1648975,201.6,198.26
2021-06-09,194.53,199.25,1261588,199.25,194.53
2021-06-10,197.68,195.29,1099462,197.68,195.29
2021-06-11,195.29,198.5,1080036,198.5,195.29
2021-06-14,196.77,200.25,1640245,200.25,196.77
2021-06-15,199.02,197.5,2379998,199.02,197.5
2021-06-16,197.38,200.5,1811010,200.5,197.38
2021-06-17,195.16,196.5,636617,196.5,195.16
2021-06-18,195.99,195.16,1779605,195.99,195.16
2021-06-21,191.61,195.49,660225,195.49,191.61
2021-06-22,190.57,192.0,1035031,192.0,190.57
2021-06-23,188.36,190.6,1232807,190.6,188.36
2021-06-24,189.85,188.49,530214,189.85,188.49
2021-06-25,186.9,191.49,1098470,191.49,186.9
2021-06-28,183.18,186.9,4588746,186.9,183.18
2021-06-29,184.32,183.6,818098,184.32,183.6
2021-06-30,186.75,185.7,1048507,186.75,185.7
2021-07-01,187.91,186.75,706794,187.91,186.75
2021-07-02,186.64,188.89,476989,188.89,186.64
2021-07-05,185.66,186.0,3538422,186.0,185.66
2021-07-06,188.64,185.8,1345807,188.64,185.8
2021-07-07,188.34,189.5,675890,189.5,188.34
2021-07-08,192.57,189.49,1647015,192.57,189.49
2021-07-09,190.46,192.7,807934,192.7,190.46
2021-07-12,188.68,190.49,285749,190.49,188.68
2021-07-13,187.39,188.9,257872,188.9,187.39
2021-07-14,189.23,187.55,402559,189.23,187.55
2021-07-15,191.9,188.56,1206603,191.9,188.56
2021-07-16,190.61,191.5,527768,191.5,190.61
2021-07-19,189.69,191.4,383606,191.4,189.69
2021-07-23,187.72,189.5,328892,189.5,187.72
2021-07-26,188.11,188.5,551459,188.5,188.11
2021-07-27,182.69,188.5,710689,188.5,182.69
2021-07-28,182.09,185.5,525890,185.5,182.09
2021-07-29,182.59,182.48,597756,182.59,182.48
2021-07-30,183.34,182.99,611132,183.34,182.99
2021-08-02,183.85,182.49,621948,183.85,182.49
2021-08-03,186.72,183.75,755664,186.72,183.75
2021-08-04,185.64,187.4,454804,187.4,185.64
2021-08-05,184.25,185.99,117881,185.99,184.25
2021-08-06,183.17,184.5,111174,184.5,183.17
2021-08-09,181.58,183.5,402948,183.5,181.58
2021-08-10,180.44,181.51,226856,181.51,180.44
2021-08-11,181.1,180.57,741270,181.1,180.57
2021-08-12,177.77,181.55,607670,181.55,177.77
2021-08-13,176.82,178.39,489646,178.39,176.82
2021-08-16,177.64,177.0,397206,177.64,177.0
2021-08-17,182.18,177.76,508625,182.18,177.76
2021-08-20,188.35,183.49,1150578,188.35,183.49
2021-08-23,193.8,190.7,3228383,193.8,190.7
2021-08-24,185.49,190.05,3432799,190.05,185.49
2021-08-25,183.21,185.26,620371,185.26,183.21
2021-08-26,180.36,183.51,500853,183.51,180.36
2021-08-27,179.45,180.5,731273,180.5,179.45
2021-08-30,180.37,179.0,746275,180.37,179.0
2021-08-31,179.12,180.1,294496,180.1,179.12
2021-09-01,180.58,180.01,342156,180.58,180.01
2021-09-02,178.7,179.78,526249,179.78,178.7
2021-09-03,177.63,178.8,334152,178.8,177.63
2021-09-06,178.17,177.47,382961,178.17,177.47
2021-09-07,175.5,177.6,579993,177.6,175.5
2021-09-08,175.41,175.52,494199,175.52,175.41
2021-09-09,176.31,176.5,121798,176.5,176.31
2021-09-10,176.67,175.5,211983,176.67,175.5
2021-09-13,178.83,177.5,492097,178.83,177.5
2021-09-14,176.37,179.0,520390,179.0,176.37
2021-09-15,174.65,176.61,283946,176.61,174.65
2021-09-16,174.81,175.95,234340,175.95,174.81
2021-09-17,170.37,175.4,617453,175.4,170.37
2021-09-20,168.45,170.5,208407,170.5,168.45
2021-09-21,166.82,168.5,428633,168.5,166.82
2021-09-22,164.68,167.23,804947,167.23,164.68
2021-09-23,162.64,165.51,332474,165.51,162.64
2021-09-24,161.12,162.49,577735,162.49,161.12
2021-09-27,157.95,160.02,722958,160.02,157.95
2021-09-28,162.09,159.5,495924,162.09,159.5
2021-09-29,158.01,161.35,787079,161.35,158.01
2021-09-30,163.49,157.49,1158987,163.49,157.49
2021-10-01,161.0,165.49,974301,165.49,161.0
2021-10-04,162.88,160.4,502445,162.88,160.4
2021-10-05,162.45,162.51,143874,162.51,162.45
2021-10-06,161.18,162.5,117627,162.5,161.18
2021-10-07,161.02,160.0,114698,161.02,160.0
2021-10-08,159.53,160.5,138660,160.5,159.53
2021-10-11,155.74,158.5,351818,158.5,155.74
2021-10-12,156.81,154.51,889337,156.81,154.51
2021-10-13,145.2,149.5,504402,149.5,145.2
2021-10-14,159.96,154.5,412007,159.96,154.5
2021-10-15,162.52,161.49,427290,162.52,161.49
2021-10-18,160.36,159.8,787815,160.36,159.8
2021-10-20,162.06,160.0,506769,162.06,160.0
2021-10-21,162.89,162.97,499391,162.97,162.89
2021-10-22,157.28,162.85,698277,162.85,157.28
2021-10-25,157.22,155.51,162970,157.22,155.51
2021-10-26,155.16,157.49,151015,157.49,155.16
2021-10-27,158.84,157.7,809602,158.84,157.7
2021-10-28,163.43,160.01,1168328,163.43,160.01
2021-10-29,162.81,164.0,278370,164.0,162.81
2021-11-01,168.03,163.5,866589,168.03,163.5
2021-11-02,168.97,168.5,630051,168.97,168.5
2021-11-03,164.7,169.0,753617,169.0,164.7
2021-11-04,164.96,166.0,335843,166.0,164.96
2021-11-05,166.0,167.5,539160,167.5,166.0
2021-11-08,164.02,166.84,278698,166.84,164.02
2021-11-09,160.84,164.07,543304,164.07,160.84
2021-11-10,161.3,161.05,361509,161.3,161.05
2021-11-11,158.44,160.5,236088,160.5,158.44
2021-11-12,156.22,157.51,253856,157.51,156.22
2021-11-15,154.67,155.5,162269,155.5,154.67
2021-11-16,158.53,156.3,469007,158.53,156.3
2021-11-17,154.75,158.4,274896,158.4,154.75
2021-11-18,153.9,153.8,493243,153.9,153.8
2021-11-19,153.53,154.9,378742,154.9,153.53
2021-11-22,151.33,153.49,835628,153.49,151.33
2021-11-23,146.02,151.69,915247,151.69,146.02
2021-11-24,139.79,146.41,2737292,146.41,139.79
2021-11-25,136.59,141.4,1891318,141.4,136.59
2021-11-26,137.5,138.09,2615394,138.09,137.5
2021-11-29,148.96,137.2,1940503,148.96,137.2
2021-11-30,152.0,151.3,7106828,152.0,151.3
2021-12-01,152.79,153.5,572567,153.5,152.79
2021-12-02,145.19,152.3,1887180,152.3,145.19
2021-12-03,147.7,141.61,1374891,147.7,141.61
2021-12-06,149.42,150.5,1878974,150.5,149.42
2021-12-07,150.63,149.75,1525571,150.63,149.75
2021-12-08,149.62,152.5,529704,152.5,149.62
2021-12-09,150.67,150.49,992350,150.67,150.49
2021-12-10,149.75,151.5,185668,151.5,149.75
2021-12-13,147.1,149.13,535435,149.13,147.1
2021-12-14,148.42,147.2,170250,148.42,147.2
2021-12-15,158.29,150.5,2308008,158.29,150.5
2021-12-16,152.54,158.29,1566457,158.29,152.54
2021-12-17,153.35,153.3,442337,153.35,153.3
2021-12-20,155.09,152.5,397366,155.09,152.5
2021-12-21,151.67,155.9,489513,155.9,151.67
2021-12-22,150.66,151.67,327167,151.67,150.66
2021-12-23,150.81,151.58,359953,151.58,150.81
2021-12-24,150.09,150.6,133968,150.6,150.09
2021-12-27,150.33,150.7,343240,150.7,150.33
2021-12-28,150.53,149.62,297119,150.53,149.62
2021-12-29,155.31,150.48,1532318,155.31,150.48
2021-12-30,153.16,153.75,842211,153.75,153.16
2021-12-31,154.39,153.5,1330642,154.39,153.5
2022-01-03,155.13,154.41,390101,155.13,154.41
2022-01-04,155.96,155.48,378408,155.96,155.48
2022-01-05,160.48,155.5,1344040,160.48,155.5
2022-01-06,156.16,159.5,345220,159.5,156.16
2022-01-07,156.44,155.52,428870,156.44,155.52
2022-01-10,159.66,156.21,877123,159.66,156.21
2022-01-11,158.63,160.25,483496,160.25,158.63
2022-01-12,159.96,158.08,629202,159.96,158.08
2022-01-13,158.17,161.19,419530,161.19,158.17
2022-01-14,158.85,160.35,569858,160.35,158.85
2022-01-17,158.52,159.49,241125,159.49,158.52
2022-01-18,158.67,158.5,342172,158.67,158.5
2022-01-19,152.24,159.0,607202,159.0,152.24
2022-01-20,154.0,152.0,529319,154.0,152.0
2022-01-21,154.75,154.0,258434,154.75,154.0
2022-01-24,157.6,153.7,1163989,157.6,153.7
2022-01-25,159.02,159.0,1788495,159.02,159.0
2022-01-26,158.66,159.3,318582,159.3,158.66
2022-01-27,159.01,160.26,713428,160.26,159.01
2022-01-28,158.03,159.5,474151,159.5,158.03
2022-01-31,160.35,158.25,511081,160.35,158.25
2022-02-01,160.9,160.47,646684,160.9,160.47
