date,close,open,volume,high,low
2021-02-18,4.84,4.85,566500,4.85,4.84
2021-02-19,4.92,4.94,427000,4.94,4.92
2021-02-22,5.05,5.0,1426000,5.05,5.0
2021-02-23,5.12,4.92,1268000,5.12,4.92
2021-02-24,4.84,5.2,718500,5.2,4.84
2021-02-25,4.88,4.91,584500,4.91,4.88
2021-02-26,4.82,5.0,59000,5.0,4.82
2021-03-01,4.76,4.83,107000,4.83,4.76
2021-03-02,4.8,4.76,180500,4.8,4.76
2021-03-03,4.87,4.88,171500,4.88,4.87
2021-03-04,4.58,4.55,737500,4.58,4.55
2021-03-05,4.63,4.78,386500,4.78,4.63
2021-03-08,4.51,4.72,509000,4.72,4.51
2021-03-09,4.38,4.51,270500,4.51,4.38
2021-03-10,4.3,4.4,196500,4.4,4.3
2021-03-11,4.09,4.49,97000,4.49,4.09
2021-03-12,4.3,4.15,402500,4.3,4.15
2021-03-15,4.48,4.32,212500,4.48,4.32
2021-03-16,4.57,4.32,120500,4.57,4.32
2021-03-17,4.68,4.7,319000,4.7,4.68
2021-03-18,4.61,4.57,723000,4.61,4.57
2021-03-19,4.63,4.6,292000,4.63,4.6
2021-03-22,4.62,4.63,54500,4.63,4.62
2021-03-24,4.63,4.7,90500,4.7,4.63
2021-03-25,4.51,4.61,250000,4.61,4.51
2021-03-26,4.42,4.55,152500,4.55,4.42
2021-03-29,4.26,4.33,306000,4.33,4.26
2021-03-30,4.46,4.34,36500,4.46,4.34
2021-03-31,4.49,4.55,124500,4.55,4.49
2021-04-01,4.38,4.5,148000,4.5,4.38
2021-04-02,4.49,4.36,123000,4.49,4.36
2021-04-05,4.3,4.25,87000,4.3,4.25
2021-04-06,4.47,4.3,58500,4.47,4.3
2021-04-07,4.4,4.47,44000,4.47,4.4
2021-04-08,4.55,4.5,202500,4.55,4.5
2021-04-09,4.61,4.48,270000,4.61,4.48
2021-04-12,4.54,4.51,233500,4.54,4.51
2021-04-13,4.5,4.6,149000,4.6,4.5
2021-04-14,4.62,4.59,710000,4.62,4.59
2021-04-15,4.57,4.56,119000,4.57,4.56
2021-04-16,4.51,4.6,22500,4.6,4.51
2021-04-19,4.57,4.36,110000,4.57,4.36
2021-04-20,4.84,4.66,1167000,4.84,4.66
2021-04-21,4.67,4.89,308500,4.89,4.67
2021-04-22,4.98,4.8,6291000,4.98,4.8
2021-04-23,4.96,5.07,1196500,5.07,4.96
2021-04-26,4.74,4.8,489000,4.8,4.74
2021-04-27,4.71,4.7,420000,4.71,4.7
2021-04-28,4.74,4.68,922500,4.74,4.68
2021-04-29,4.57,4.55,495000,4.57,4.55
2021-04-30,4.51,4.6,282000,4.6,4.51
2021-05-03,4.5,4.43,235000,4.5,4.43
2021-05-04,4.61,4.55,124000,4.61,4.55
2021-05-05,4.59,4.73,101000,4.73,4.59
2021-05-06,4.59,4.53,699500,4.59,4.53
2021-05-17,4.65,4.5,205500,4.65,4.5
2021-05-18,4.94,4.62,3034500,4.94,4.62
2021-05-19,4.7,5.0,5231000,5.0,4.7
2021-05-20,4.8,4.71,1595500,4.8,4.71
2021-05-21,4.84,5.15,439500,5.15,4.84
2021-05-24,4.8,4.81,258000,4.81,4.8
2021-05-25,4.86,4.81,409500,4.86,4.81
2021-05-26,5.24,4.9,8319000,5.24,4.9
2021-05-27,5.01,5.2,5130000,5.2,5.01
2021-05-28,5.0,5.18,666500,5.18,5.0
2021-05-31,5.12,5.0,803500,5.12,5.0
2021-06-01,5.64,5.22,18157500,5.64,5.22
2021-06-02,5.46,5.56,2800000,5.56,5.46
2021-06-03,5.38,5.5,2055500,5.5,5.38
2021-06-04,5.5,5.59,1051000,5.59,5.5
