date,close,open,volume,high,low
2019-10-16,4.46,3.55,151500,4.46,3.55
2019-10-17,4.4,4.4,500,4.4,4.4
2019-10-18,4.51,4.6,141500,4.6,4.51
2019-10-21,4.5,3.56,77000,4.5,3.56
2019-10-22,4.51,4.5,22000,4.51,4.5
2019-10-23,4.5,4.51,30000,4.51,4.5
2019-10-25,4.55,4.6,4500,4.6,4.55
2019-10-28,4.99,4.6,45500,4.99,4.6
2019-10-30,4.02,5.3,179500,5.3,4.02
2019-10-31,4.0,4.01,18000,4.01,4.0
2019-11-01,4.08,4.19,17000,4.19,4.08
2019-11-04,4.5,4.0,74500,4.5,4.0
2019-11-05,4.5,4.5,33000,4.5,4.5
2019-11-06,5.01,4.5,101500,5.01,4.5
2019-11-07,4.6,5.01,126000,5.01,4.6
2019-11-08,4.65,4.6,9500,4.65,4.6
2019-11-11,4.45,4.5,46000,4.5,4.45
2019-11-12,4.75,4.6,47000,4.75,4.6
2019-11-13,4.75,4.75,21000,4.75,4.75
2019-11-14,5.0,4.63,79000,5.0,4.63
2019-11-15,5.03,5.0,18500,5.03,5.0
2019-11-18,4.59,5.1,180000,5.1,4.59
2019-11-19,4.42,4.41,18500,4.42,4.41
2019-11-20,4.43,4.7,70500,4.7,4.43
2019-11-21,4.5,4.52,13500,4.52,4.5
2019-11-22,4.7,4.5,13000,4.7,4.5
2019-11-25,4.88,4.75,69000,4.88,4.75
2019-11-26,4.7,4.65,17500,4.7,4.65
2019-11-28,4.63,4.89,6500,4.89,4.63
2019-11-29,5.25,4.63,156000,5.25,4.63
2019-12-02,5.28,5.2,28500,5.28,5.2
2019-12-03,5.25,5.25,102500,5.25,5.25
2019-12-04,5.5,5.3,47500,5.5,5.3
2019-12-05,5.5,5.31,46000,5.5,5.31
2019-12-06,5.5,5.5,54000,5.5,5.5
2019-12-09,5.56,5.5,56500,5.56,5.5
2019-12-10,5.52,5.52,10500,5.52,5.52
2019-12-11,5.51,5.6,35500,5.6,5.51
2019-12-12,5.5,5.5,28000,5.5,5.5
2019-12-13,5.51,5.51,500,5.51,5.51
2019-12-16,5.6,5.51,38000,5.6,5.51
2019-12-17,5.5,5.5,1500,5.5,5.5
2019-12-18,5.5,5.5,6500,5.5,5.5
2019-12-19,6.27,5.49,125500,6.27,5.49
2019-12-20,6.0,6.0,44000,6.0,6.0
2019-12-23,5.48,5.8,64000,5.8,5.48
2019-12-26,5.97,5.22,3500,5.97,5.22
2019-12-27,5.46,5.5,44500,5.5,5.46
2019-12-30,5.25,5.5,4000,5.5,5.25
2019-12-31,5.2,5.25,5500,5.25,5.2
2020-01-01,6.2,5.2,143000,6.2,5.2
2020-01-02,6.55,6.9,280500,6.9,6.55
2020-01-06,6.02,6.02,2000,6.02,6.02
2020-01-07,6.3,6.01,35500,6.3,6.01
2020-01-08,6.56,6.15,150000,6.56,6.15
2020-01-09,6.82,7.2,47000,7.2,6.82
2020-01-10,6.35,6.71,35500,6.71,6.35
2020-01-13,6.21,6.11,15500,6.21,6.11
2020-01-14,6.27,6.2,18000,6.27,6.2
2020-01-15,6.73,6.75,14000,6.75,6.73
2020-01-16,6.47,6.6,20500,6.6,6.47
2020-01-17,6.25,6.36,13000,6.36,6.25
2020-01-20,6.08,6.03,8500,6.08,6.03
2020-01-21,6.05,6.06,3500,6.06,6.05
2020-01-22,6.0,6.0,2500,6.0,6.0
2020-01-23,6.2,6.15,25500,6.2,6.15
2020-01-27,6.35,6.1,38500,6.35,6.1
2020-01-28,6.26,6.0,29500,6.26,6.0
2020-01-29,6.35,6.5,48500,6.5,6.35
2020-01-30,6.52,6.4,19000,6.52,6.4
2020-01-31,6.42,6.5,31000,6.5,6.42
2020-02-03,6.68,6.3,67000,6.68,6.3
2020-02-04,6.61,6.57,54500,6.61,6.57
2020-02-06,6.66,6.75,28500,6.75,6.66
2020-02-07,6.51,6.51,27500,6.51,6.51
2020-02-10,6.4,6.5,16500,6.5,6.4
2020-02-11,6.9,6.31,73000,6.9,6.31
2020-02-12,6.52,6.52,1000,6.52,6.52
2020-02-13,6.51,6.5,13000,6.51,6.5
2020-02-14,6.5,6.5,17500,6.5,6.5
2020-02-17,6.5,6.5,2500,6.5,6.5
2020-02-18,6.1,6.69,10500,6.69,6.1
2020-02-19,6.74,6.5,197000,6.74,6.5
2020-02-20,6.81,6.94,90000,6.94,6.81
2020-02-21,6.95,6.81,9000,6.95,6.81
2020-02-24,6.49,6.53,16500,6.53,6.49
2020-02-25,6.41,6.41,3500,6.41,6.41
2020-02-26,6.25,6.25,5500,6.25,6.25
2020-02-27,6.5,6.05,13000,6.5,6.05
2020-02-28,6.51,6.85,11500,6.85,6.51
2020-03-02,6.52,6.6,8500,6.6,6.52
2020-03-03,6.42,6.7,10000,6.7,6.42
2020-03-04,6.38,6.42,39500,6.42,6.38
2020-03-05,6.5,6.42,19500,6.5,6.42
2020-03-06,6.5,6.5,2500,6.5,6.5
2020-03-12,6.7,7.48,2000,7.48,6.7
2020-03-16,5.7,5.7,7000,5.7,5.7
2020-03-17,5.92,5.02,15500,5.92,5.02
2020-03-18,4.92,4.92,11000,4.92,4.92
2020-03-19,4.48,4.99,7000,4.99,4.48
2020-03-20,4.79,4.32,5500,4.79,4.32
2020-03-26,5.0,5.0,3000,5.0,5.0
2020-03-31,4.59,4.51,12500,4.59,4.51
2020-04-02,4.65,4.5,16500,4.65,4.5
2020-04-03,4.68,4.65,8500,4.68,4.65
2020-04-07,4.59,4.0,15000,4.59,4.0
2020-04-08,4.5,4.5,43000,4.5,4.5
2020-04-09,5.24,4.81,21000,5.24,4.81
2020-04-10,5.46,5.43,17500,5.46,5.43
2020-04-13,5.0,5.01,4500,5.01,5.0
2020-04-14,5.65,5.25,34000,5.65,5.25
2020-04-15,5.9,6.0,4500,6.0,5.9
2020-04-16,6.35,6.0,10500,6.35,6.0
2020-04-17,5.9,6.5,19500,6.5,5.9
2020-04-20,6.18,6.11,9000,6.18,6.11
2020-04-22,6.0,5.51,10000,6.0,5.51
2020-04-23,6.0,0.0,1000,6.0,0.0
2020-04-27,5.6,5.26,4000,5.6,5.26
2020-04-29,5.96,5.9,37500,5.96,5.9
2020-04-30,6.24,6.49,4000,6.49,6.24
2020-05-04,5.84,5.84,500,5.84,5.84
2020-05-05,5.88,6.0,2500,6.0,5.88
2020-05-08,5.8,6.59,29500,6.59,5.8
2020-05-11,6.0,6.0,500,6.0,6.0
2020-05-18,5.94,5.7,1500,5.94,5.7
2020-05-19,5.95,5.95,1000,5.95,5.95
2020-05-20,5.99,5.99,1500,5.99,5.99
2020-05-28,5.9,5.76,12000,5.9,5.76
2020-05-29,6.13,6.05,24000,6.13,6.05
2020-06-01,6.19,6.15,1500,6.19,6.15
2020-06-02,6.15,6.05,2500,6.15,6.05
2020-06-03,6.6,6.25,43500,6.6,6.25
2020-06-05,6.06,6.06,7000,6.06,6.06
2020-06-08,6.0,6.02,13000,6.02,6.0
2020-06-09,6.7,6.18,46500,6.7,6.18
2020-06-10,7.38,6.9,116000,7.38,6.9
2020-06-11,7.26,7.21,49000,7.26,7.21
2020-06-12,7.0,7.0,2000,7.0,7.0
2020-06-15,7.39,7.69,15500,7.69,7.39
2020-06-16,6.56,7.48,82500,7.48,6.56
2020-06-17,6.79,6.89,4000,6.89,6.79
2020-06-18,6.49,6.2,10500,6.49,6.2
2020-06-19,6.38,6.7,6000,6.7,6.38
2020-06-22,6.5,6.5,500,6.5,6.5
2020-06-23,6.38,6.25,32500,6.38,6.25
2020-06-24,6.53,6.39,4500,6.53,6.39
2020-06-25,6.4,6.49,4000,6.49,6.4
2020-06-29,6.25,6.25,500,6.25,6.25
2020-06-30,6.05,6.1,8000,6.1,6.05
2020-07-01,6.02,6.02,15500,6.02,6.02
2020-07-02,5.8,6.1,82500,6.1,5.8
2020-07-03,6.01,5.81,4000,6.01,5.81
2020-07-06,6.0,5.95,12000,6.0,5.95
2020-07-07,5.66,5.66,1000,5.66,5.66
2020-07-08,6.0,5.99,25500,6.0,5.99
2020-07-09,5.92,5.6,65500,5.92,5.6
2020-07-10,5.95,5.95,1000,5.95,5.95
2020-07-13,5.58,5.8,32500,5.8,5.58
2020-07-14,5.75,5.61,6500,5.75,5.61
2020-07-15,5.72,5.66,12000,5.72,5.66
2020-07-16,5.7,5.7,5500,5.7,5.7
2020-07-17,5.8,5.88,21000,5.88,5.8
2020-07-23,5.7,5.7,7000,5.7,5.7
2020-07-27,5.51,5.75,124500,5.75,5.51
2020-07-28,5.96,5.55,336500,5.96,5.55
2020-07-29,5.83,5.96,12500,5.96,5.83
2020-07-30,6.14,6.14,500,6.14,6.14
2020-08-03,6.06,5.82,5500,6.06,5.82
2020-08-04,5.65,5.8,6000,5.8,5.65
2020-08-05,5.99,5.99,9000,5.99,5.99
2020-08-06,5.76,5.76,2000,5.76,5.76
2020-08-07,6.41,6.0,916500,6.41,6.0
2020-08-10,6.45,6.3,238500,6.45,6.3
2020-08-11,6.8,6.3,89500,6.8,6.3
2020-08-12,6.75,6.8,44000,6.8,6.75
2020-08-13,6.68,6.75,99500,6.75,6.68
2020-08-17,6.9,6.9,60000,6.9,6.9
2020-08-18,7.0,7.0,39500,7.0,7.0
2020-08-19,7.0,7.0,9500,7.0,7.0
2020-08-21,6.95,7.25,2000,7.25,6.95
2020-08-24,7.14,7.14,1000,7.14,7.14
2020-08-25,6.8,6.8,1000,6.8,6.8
2020-08-26,7.09,6.5,60500,7.09,6.5
2020-08-27,7.21,7.38,99000,7.38,7.21
2020-08-31,7.05,7.0,23000,7.05,7.0
2020-09-01,7.05,7.4,9500,7.4,7.05
2020-09-02,7.01,7.29,139000,7.29,7.01
2020-09-03,7.25,7.29,1500,7.29,7.25
2020-09-04,6.99,7.01,8500,7.01,6.99
2020-09-07,7.2,6.99,5500,7.2,6.99
2020-09-08,7.09,7.3,150000,7.3,7.09
2020-09-09,7.02,7.09,26000,7.09,7.02
2020-09-10,7.01,7.2,150500,7.2,7.01
2020-09-11,7.11,7.2,86500,7.2,7.11
2020-09-14,7.05,7.05,1000,7.05,7.05
2020-09-15,7.0,7.02,8000,7.02,7.0
2020-09-16,6.8,6.8,4000,6.8,6.8
2020-09-18,6.69,6.71,3000,6.71,6.69
2020-09-21,6.8,6.65,2500,6.8,6.65
2020-09-22,6.9,6.89,2000,6.9,6.89
2020-09-23,6.6,6.7,2500,6.7,6.6
