date,close,open,volume,high,low
2023-09-18,8.4,8.2,135000,8.4,8.2
2023-09-19,8.22,8.31,12500,8.31,8.22
2023-09-20,8.15,8.11,25500,8.15,8.11
2023-09-21,8.19,8.03,140500,8.19,8.03
2023-09-22,8.19,8.1,78000,8.19,8.1
2023-09-25,9.19,8.35,925000,9.19,8.35
2023-09-26,9.26,9.5,1676000,9.5,9.26
2023-09-27,9.27,9.58,140000,9.58,9.27
2023-09-28,9.12,9.31,357500,9.31,9.12
2023-10-02,9.51,9.65,860500,9.65,9.51
2023-10-03,9.64,9.49,183500,9.64,9.49
2023-10-04,9.75,9.84,689000,9.84,9.75
2023-10-05,10.21,9.9,611000,10.21,9.9
2023-10-06,10.46,9.91,499000,10.46,9.91
2023-10-09,10.37,10.43,240000,10.43,10.37
2023-10-10,11.01,10.37,1677500,11.01,10.37
2023-10-11,11.26,11.19,1027500,11.26,11.19
2023-10-12,11.56,11.47,3010500,11.56,11.47
2023-10-13,12.01,11.65,7140500,12.01,11.65
2023-10-16,11.86,12.1,940500,12.1,11.86
2023-10-17,11.97,11.95,2594000,11.97,11.95
2023-10-18,11.36,11.5,677000,11.5,11.36
2023-10-19,12.65,12.44,951500,12.65,12.44
2023-10-20,12.66,12.7,365500,12.7,12.66
2023-10-23,12.59,12.7,281000,12.7,12.59
2023-10-24,12.4,12.41,50500,12.41,12.4
2023-10-25,11.98,12.17,3193500,12.17,11.98
2023-10-26,11.39,11.41,2144500,11.41,11.39
2023-10-27,12.39,11.5,5872500,12.39,11.5
2023-10-30,12.23,12.75,2756500,12.75,12.23
2023-10-31,11.91,12.1,721500,12.1,11.91
2023-11-01,12.12,11.75,255500,12.12,11.75
2023-11-02,13.03,12.29,4823000,13.03,12.29
2023-11-03,13.16,13.05,2013500,13.16,13.05
2023-11-06,13.34,13.5,1671500,13.5,13.34
2023-11-07,12.89,13.4,1459000,13.4,12.89
2023-11-08,13.84,12.7,2895000,13.84,12.7
2023-11-10,14.15,14.0,1747000,14.15,14.0
2023-11-13,13.79,14.38,1399000,14.38,13.79
2023-11-14,13.82,13.79,993500,13.82,13.79
2023-11-15,13.92,13.65,768500,13.92,13.65
2023-11-16,14.17,14.01,1818500,14.17,14.01
2023-11-17,13.75,14.19,925500,14.19,13.75
2023-11-20,14.0,13.89,662500,14.0,13.89
2023-11-21,13.76,13.65,600000,13.76,13.65
2023-11-22,13.67,13.63,344500,13.67,13.63
2023-11-23,13.66,13.89,854000,13.89,13.66
2023-11-24,13.51,13.8,420000,13.8,13.51
2023-11-27,14.6,13.66,3766000,14.6,13.66
2023-11-28,14.02,14.85,1702000,14.85,14.02
2023-11-29,13.72,13.99,698500,13.99,13.72
2023-11-30,13.59,13.94,273500,13.94,13.59
2023-12-01,14.02,13.98,777500,14.02,13.98
2023-12-04,14.14,14.16,1110500,14.16,14.14
2023-12-05,13.95,14.2,1169000,14.2,13.95
2023-12-06,14.02,14.06,1154000,14.06,14.02
2023-12-07,14.43,14.06,2751000,14.43,14.06
2023-12-08,15.23,14.83,3519500,15.23,14.83
2023-12-11,15.41,15.25,1784000,15.41,15.25
2023-12-12,16.01,15.649999999999999,2295000,16.01,15.649999999999999
2023-12-13,14.98,16.14,1828500,16.14,14.98
2023-12-14,14.75,14.7,863500,14.75,14.7
2023-12-15,14.83,15.190000000000001,2281000,15.190000000000001,14.83
2023-12-18,14.65,14.83,1399500,14.83,14.65
2023-12-19,13.48,14.5,1294000,14.5,13.48
2023-12-20,12.75,13.2,1187000,13.2,12.75
2023-12-21,13.35,12.97,372000,13.35,12.97
2023-12-22,12.88,13.4,369000,13.4,12.88
2023-12-26,12.1,12.76,2058000,12.76,12.1
2023-12-27,12.54,12.11,1947000,12.54,12.11
2023-12-28,12.74,12.54,757500,12.74,12.54
2023-12-29,12.9,12.85,156500,12.9,12.85
2024-01-01,13.43,13.15,389000,13.43,13.15
2024-01-02,13.28,13.56,668500,13.56,13.28
2024-01-03,13.42,13.44,316000,13.44,13.42
2024-01-04,13.79,13.4,1135500,13.79,13.4
2024-01-05,13.47,13.95,381000,13.95,13.47
2024-01-08,13.18,13.69,321500,13.69,13.18
2024-01-09,13.25,13.47,126000,13.47,13.25
2024-01-10,13.13,13.06,315500,13.13,13.06
2024-01-11,13.14,13.12,221000,13.14,13.12
2024-01-12,12.92,13.16,243500,13.16,12.92
2024-01-15,12.8,13.13,90500,13.13,12.8
2024-01-16,12.49,12.7,116500,12.7,12.49
2024-01-17,12.5,12.5,84500,12.5,12.5
2024-01-18,12.32,12.19,115000,12.32,12.19
2024-01-19,12.29,12.69,70000,12.69,12.29
2024-01-22,12.28,12.16,142000,12.28,12.16
2024-01-23,12.42,12.12,165000,12.42,12.12
2024-01-24,12.42,12.54,90500,12.54,12.42
2024-01-25,12.1,12.38,110500,12.38,12.1
2024-01-26,11.97,12.17,225500,12.17,11.97
2024-01-29,11.96,12.0,98000,12.0,11.96
2024-01-30,11.72,11.9,145000,11.9,11.72
2024-01-31,11.84,11.61,826500,11.84,11.61
2024-02-01,11.78,11.99,753000,11.99,11.78
2024-02-02,11.86,11.8,67500,11.86,11.8
2024-02-06,11.95,11.76,39000,11.95,11.76
2024-02-07,12.02,12.0,144500,12.02,12.0
2024-02-09,11.92,11.56,40000,11.92,11.56
2024-02-12,11.58,11.65,778500,11.65,11.58
2024-02-13,11.63,11.31,949000,11.63,11.31
2024-02-14,11.79,11.89,107000,11.89,11.79
2024-02-15,11.48,11.6,48000,11.6,11.48
2024-02-16,11.15,11.7,59500,11.7,11.15
2024-02-19,10.95,10.79,419500,10.95,10.79
2024-02-20,10.88,11.09,187500,11.09,10.88
2024-02-21,10.97,10.99,504500,10.99,10.97
2024-02-22,11.89,11.07,1486500,11.89,11.07
2024-02-23,11.85,11.85,418500,11.85,11.85
2024-02-26,12.06,11.6,279000,12.06,11.6
2024-02-27,11.9,12.0,131500,12.0,11.9
2024-02-28,11.95,12.1,772000,12.1,11.95
2024-02-29,11.44,11.97,250000,11.97,11.44
2024-03-01,11.18,11.5,385000,11.5,11.18
2024-03-04,11.36,11.26,185000,11.36,11.26
2024-03-05,11.15,11.3,637000,11.3,11.15
2024-03-06,11.26,11.85,106500,11.85,11.26
2024-03-07,11.33,11.17,724500,11.33,11.17
2024-03-08,11.24,11.21,164500,11.24,11.21
2024-03-11,11.6,11.2,595500,11.6,11.2
2024-03-12,11.18,11.74,95000,11.74,11.18
2024-03-13,11.02,11.3,586000,11.3,11.02
2024-03-14,11.16,11.2,128500,11.2,11.16
2024-03-15,11.1,11.24,55500,11.24,11.1
2024-03-18,11.05,11.36,27000,11.36,11.05
2024-03-19,11.08,11.24,202500,11.24,11.08
2024-03-20,11.04,11.0,93500,11.04,11.0
2024-03-21,10.97,11.0,83000,11.0,10.97
2024-03-22,10.98,11.0,81000,11.0,10.98
2024-03-25,10.79,10.8,45000,10.8,10.79
2024-03-26,10.84,10.81,287500,10.84,10.81
2024-03-27,10.66,10.86,64500,10.86,10.66
2024-03-28,10.93,10.65,49500,10.93,10.65
2024-03-29,10.79,10.99,105500,10.99,10.79
2024-04-01,10.76,11.1,12000,11.1,10.76
2024-04-02,10.8,10.6,6500,10.8,10.6
2024-04-03,10.89,10.62,815500,10.89,10.62
2024-04-04,11.05,11.15,26500,11.15,11.05
2024-04-08,11.36,11.06,129000,11.36,11.06
2024-04-09,11.29,11.3,96000,11.3,11.29
2024-04-15,11.31,11.3,67000,11.31,11.3
2024-04-16,11.08,11.22,77000,11.22,11.08
2024-04-17,11.2,11.09,155500,11.2,11.09
2024-04-18,12.07,11.15,1989500,12.07,11.15
2024-04-19,11.85,12.1,466500,12.1,11.85
2024-04-22,11.96,11.9,577500,11.96,11.9
2024-04-23,12.11,12.19,379000,12.19,12.11
2024-04-24,12.38,12.1,596000,12.38,12.1
2024-04-25,12.62,12.55,808500,12.62,12.55
2024-04-26,13.07,12.79,2166500,13.07,12.79
2024-04-29,13.85,13.1,3101500,13.85,13.1
2024-04-30,13.41,14.39,2235000,14.39,13.41
2024-05-02,13.66,13.48,1891000,13.66,13.48
2024-05-03,13.5,13.85,726500,13.85,13.5
2024-05-06,13.23,13.62,591500,13.62,13.23
