date,close,open,volume,high,low
2021-02-26,142.49,149.5,438200,149.5,142.49
2021-03-01,139.44,143.77,303300,143.77,139.44
2021-03-02,151.93,139.76,1936200,151.93,139.76
2021-03-03,149.59,152.5,443600,152.5,149.59
2021-03-04,141.3,138.5,689300,141.3,138.5
2021-03-05,142.98,142.89,282000,142.98,142.89
2021-03-08,140.64,146.9,452200,146.9,140.64
2021-03-09,126.80000000000001,141.0,1127700,141.0,126.80000000000001
2021-03-10,114.66,126.1,2062000,126.1,114.66
2021-03-11,102.9,113.0,777500,113.0,102.9
2021-03-12,113.91,102.19999999999999,641200,113.91,102.19999999999999
2021-03-15,125.75,122.99000000000001,663000,125.75,122.99000000000001
2021-03-16,130.5,130.61,887500,130.61,130.5
2021-03-17,139.51,135.0,1247300,139.51,135.0
2021-03-18,132.2,140.5,1851500,140.5,132.2
2021-03-19,135.94,130.99,700300,135.94,130.99
2021-03-22,138.28,134.99,774100,138.28,134.99
2021-03-24,137.9,137.2,255300,137.9,137.2
2021-03-25,138.39,138.11,540400,138.39,138.11
2021-03-26,136.2,137.11,334800,137.11,136.2
2021-03-29,123.65,134.0,583300,134.0,123.65
2021-03-30,131.11,122.00999999999999,915600,131.11,122.00999999999999
2021-03-31,133.96,133.3,1397100,133.96,133.3
2021-04-01,129.15,135.5,418000,135.5,129.15
2021-04-02,128.99,130.7,226800,130.7,128.99
2021-04-05,119.16,129.0,365500,129.0,119.16
2021-04-06,128.34,121.85,524900,128.34,121.85
2021-04-07,125.06,130.0,347400,130.0,125.06
2021-04-08,127.9,127.9,258300,127.9,127.9
2021-04-09,130.5,128.5,767800,130.5,128.5
2021-04-12,126.28999999999999,128.68,348800,128.68,126.28999999999999
2021-04-13,129.04,125.11000000000001,624400,129.04,125.11000000000001
2021-04-14,130.58,130.0,272500,130.58,130.0
2021-04-15,129.15,132.25,267800,132.25,129.15
2021-04-16,128.01,129.98,167700,129.98,128.01
2021-04-19,124.30000000000001,125.0,243500,125.0,124.30000000000001
2021-04-20,128.43,126.30000000000001,267300,128.43,126.30000000000001
2021-04-21,127.49000000000001,130.49,312900,130.49,127.49000000000001
2021-04-22,123.21000000000001,128.99,302800,128.99,123.21000000000001
2021-04-23,121.75999999999999,122.99000000000001,196600,122.99000000000001,121.75999999999999
2021-04-26,122.34,120.0,208100,122.34,120.0
2021-04-27,123.59,123.9,178600,123.9,123.59
2021-04-28,122.83000000000001,125.99000000000001,237000,125.99000000000001,122.83000000000001
2021-04-29,120.74000000000001,122.75,92900,122.75,120.74000000000001
2021-04-30,114.84,122.99000000000001,180200,122.99000000000001,114.84
2021-05-03,111.1,115.5,113700,115.5,111.1
2021-05-04,113.61000000000001,110.50999999999999,74500,113.61000000000001,110.50999999999999
2021-05-05,116.53,114.94999999999999,133100,116.53,114.94999999999999
2021-05-06,110.22,117.9,608800,117.9,110.22
2021-05-17,121.52000000000001,112.08000000000001,700600,121.52000000000001,112.08000000000001
2021-05-18,126.85,121.69999999999999,1454300,126.85,121.69999999999999
2021-05-19,125.35,126.0,407100,126.0,125.35
2021-05-20,124.13,124.0,175800,124.13,124.0
2021-05-21,125.38,124.15,251400,125.38,124.15
2021-05-24,126.38,126.37,538800,126.38,126.37
2021-05-25,125.77000000000001,126.5,349400,126.5,125.77000000000001
2021-05-26,126.81,127.0,591400,127.0,126.81
2021-05-27,124.24000000000001,127.0,317200,127.0,124.24000000000001
2021-05-28,124.02000000000001,124.24000000000001,228500,124.24000000000001,124.02000000000001
2021-05-31,127.88999999999999,124.69999999999999,759000,127.88999999999999,124.69999999999999
2021-06-01,133.62,129.04,2178300,133.62,129.04
2021-06-02,138.92,135.85,1697200,138.92,135.85
2021-06-03,137.25,139.03,878500,139.03,137.25
2021-06-04,141.31,137.25,1436800,141.31,137.25
2021-06-07,140.81,142.98,885800,142.98,140.81
2021-06-08,136.67,140.5,511200,140.5,136.67
2021-06-09,134.91,138.2,347500,138.2,134.91
2021-06-10,136.18,135.55,442800,136.18,135.55
2021-06-11,134.4,137.97,285300,137.97,134.4
2021-06-14,137.16,139.0,594500,139.0,137.16
2021-06-15,135.16,137.5,156400,137.5,135.16
