date,close,open,volume,high,low
2023-09-13,35.71,35.56,767864,35.71,35.56
2023-09-14,37.36,36.02,4704250,37.36,36.02
2023-09-15,37.28,38.11,1976270,38.11,37.28
2023-09-18,36.82,37.01,1010011,37.01,36.82
2023-09-19,36.39,36.9,1332735,36.9,36.39
2023-09-20,36.04,36.39,1877206,36.39,36.04
2023-09-21,36.25,36.01,2127677,36.25,36.01
2023-09-22,36.4,36.44,2947779,36.44,36.4
2023-09-25,36.25,36.64,1249580,36.64,36.25
2023-09-26,35.97,36.35,1590762,36.35,35.97
2023-09-27,35.96,36.16,898698,36.16,35.96
2023-09-28,35.19,36.3,3157176,36.3,35.19
2023-10-02,35.0,35.3,777490,35.3,35.0
2023-10-03,34.94,35.01,967193,35.01,34.94
2023-10-04,34.9,35.02,685848,35.02,34.9
2023-10-05,36.47,35.0,4541197,36.47,35.0
2023-10-06,36.83,36.7,2347006,36.83,36.7
2023-10-09,36.72,36.75,1251378,36.75,36.72
2023-10-10,37.29,36.8,3632466,37.29,36.8
2023-10-11,37.03,37.5,1299197,37.5,37.03
2023-10-12,37.28,37.2,1694866,37.28,37.2
2023-10-13,39.68,37.31,9562276,39.68,37.31
2023-10-16,40.36,40.0,4162674,40.36,40.0
2023-10-17,39.6,40.21,2169341,40.21,39.6
2023-10-18,39.11,39.02,1281456,39.11,39.02
2023-10-19,39.61,38.81,2356127,39.61,38.81
2023-10-20,40.14,40.0,4768152,40.14,40.0
2023-10-23,41.24,40.3,7187941,41.24,40.3
2023-10-24,41.88,41.2,4579584,41.88,41.2
2023-10-25,41.65,42.25,3036743,42.25,41.65
2023-10-26,41.12,41.51,1726007,41.51,41.12
2023-10-27,39.74,41.1,6277626,41.1,39.74
2023-10-30,40.42,39.7,1815051,40.42,39.7
2023-10-31,40.29,40.5,1631299,40.5,40.29
2023-11-01,41.87,40.47,6173733,41.87,40.47
2023-11-02,42.3,42.0,4749807,42.3,42.0
2023-11-03,45.41,42.79,13949393,45.41,42.79
2023-11-06,48.19,46.5,13136283,48.19,46.5
2023-11-07,46.94,48.69,7159558,48.69,46.94
2023-11-08,46.76,47.01,4556851,47.01,46.76
2023-11-10,49.09,47.24,15868072,49.09,47.24
2023-11-13,52.56,49.8,21848177,52.56,49.8
2023-11-14,52.25,52.99,12295657,52.99,52.25
2023-11-15,53.67,52.55,10566304,53.67,52.55
2023-11-16,54.04,54.45,7399971,54.45,54.04
2023-11-17,57.5,54.09,16891752,57.5,54.09
2023-11-20,59.28,57.7,11745081,59.28,57.7
2023-11-21,58.52,59.65,8396296,59.65,58.52
2023-11-22,58.71,58.5,6332185,58.71,58.5
2023-11-23,58.95,59.14,7742057,59.14,58.95
2023-11-24,57.74,58.8,6307393,58.8,57.74
2023-11-27,57.87,58.0,5841386,58.0,57.87
2023-11-28,59.19,58.01,12454526,59.19,58.01
2023-11-29,55.04,59.51,21694598,59.51,55.04
2023-11-30,55.22,55.48,6925456,55.48,55.22
2023-12-01,55.95,55.5,5561104,55.95,55.5
2023-12-04,57.34,56.1,9745112,57.34,56.1
2023-12-05,59.39,57.99,15196519,59.39,57.99
2023-12-06,63.27,61.01,28896273,63.27,61.01
2023-12-07,62.71,63.24,12162256,63.24,62.71
2023-12-08,62.57,63.5,6331915,63.5,62.57
2023-12-11,60.8,62.0,7509959,62.0,60.8
2023-12-12,61.43,60.5,12339261,61.43,60.5
2023-12-13,58.04,62.0,15125954,62.0,58.04
2023-12-14,60.11,58.0,11906785,60.11,58.0
2023-12-15,61.19,61.5,10887949,61.5,61.19
2023-12-18,59.05,62.26,6606093,62.26,59.05
2023-12-19,55.13,58.66,9393956,58.66,55.13
2023-12-20,53.72,54.05,11158069,54.05,53.72
2023-12-21,55.92,54.4,6517853,55.92,54.4
2023-12-22,53.48,56.49,4128733,56.49,53.48
2023-12-26,49.47,53.0,5314252,53.0,49.47
2023-12-27,51.96,49.0,7574498,51.96,49.0
2023-12-28,52.51,52.5,6204019,52.51,52.5
2023-12-29,51.48,52.5,3573337,52.5,51.48
2024-01-01,55.34,51.7,6165602,55.34,51.7
2024-01-02,54.49,56.3,7855265,56.3,54.49
2024-01-03,54.88,55.0,6482503,55.0,54.88
2024-01-04,54.89,54.94,3707266,54.94,54.89
2024-01-05,58.07,55.6,21496822,58.07,55.6
2024-01-08,58.38,58.31,10136722,58.38,58.31
2024-01-09,57.34,59.5,8387662,59.5,57.34
2024-01-10,56.73,57.7,3643710,57.7,56.73
2024-01-11,56.95,56.8,3545340,56.95,56.8
2024-01-12,55.72,57.39,3892860,57.39,55.72
2024-01-15,54.69,56.0,2931440,56.0,54.69
2024-01-16,53.61,54.3,4718826,54.3,53.61
2024-01-17,52.46,53.6,2330693,53.6,52.46
2024-01-18,51.89,52.4,2397182,52.4,51.89
2024-01-19,51.11,52.29,3226879,52.29,51.11
2024-01-22,52.27,51.49,2577283,52.27,51.49
2024-01-23,53.28,52.5,5336820,53.28,52.5
2024-01-24,53.39,53.5,3689064,53.5,53.39
2024-01-25,51.92,53.8,2574437,53.8,51.92
2024-01-26,51.32,52.1,3894629,52.1,51.32
2024-01-29,49.04,51.0,2594371,51.0,49.04
2024-01-30,46.85,49.0,3786562,49.0,46.85
2024-01-31,48.43,47.0,3248894,48.43,47.0
2024-02-01,49.66,48.79,2856441,49.66,48.79
2024-02-02,50.84,50.5,5639794,50.84,50.5
2024-02-06,51.57,50.79,4271438,51.57,50.79
2024-02-07,52.05,52.1,4077305,52.1,52.05
2024-02-09,49.97,50.6,2885617,50.6,49.97
2024-02-12,46.34,49.83,4853981,49.83,46.34
2024-02-13,46.86,46.0,7548403,46.86,46.0
2024-02-14,48.4,47.51,4405467,48.4,47.51
2024-02-15,47.19,48.75,3863828,48.75,47.19
2024-02-16,44.82,46.05,3467651,46.05,44.82
2024-02-19,46.16,44.1,3344553,46.16,44.1
2024-02-20,49.62,47.88,2334353,49.62,47.88
2024-02-21,53.34,53.34,17622141,53.34,53.34
2024-02-22,52.0,53.89,7174717,53.89,52.0
2024-02-23,52.85,52.0,6989833,52.85,52.0
2024-02-26,52.86,53.06,5030314,53.06,52.86
2024-02-27,52.05,53.09,2200920,53.09,52.05
2024-02-28,51.55,51.51,2084336,51.55,51.51
2024-02-29,51.82,51.6,2295383,51.82,51.6
2024-03-01,51.91,51.2,5357290,51.91,51.2
2024-03-04,51.8,53.0,2615059,53.0,51.8
2024-03-05,50.47,52.0,3414414,52.0,50.47
2024-03-06,51.48,50.6,4878510,51.48,50.6
2024-03-07,51.67,51.48,2861064,51.67,51.48
2024-03-08,53.05,52.06,6766747,53.05,52.06
2024-03-11,54.89,53.74,13478451,54.89,53.74
2024-03-12,52.49,55.4,3779892,55.4,52.49
2024-03-13,50.97,52.5,3422307,52.5,50.97
2024-03-14,53.51,52.5,4408514,53.51,52.5
2024-03-15,52.91,53.8,2078993,53.8,52.91
2024-03-18,53.1,52.95,2086770,53.1,52.95
2024-03-19,53.02,53.21,3086296,53.21,53.02
2024-03-20,52.71,53.6,1330067,53.6,52.71
2024-03-21,52.79,53.05,8723170,53.05,52.79
2024-03-22,52.38,53.14,1415487,53.14,52.38
2024-03-25,54.72,52.4,12179548,54.72,52.4
2024-03-26,53.63,54.84,3941911,54.84,53.63
2024-03-27,52.87,53.8,2236912,53.8,52.87
2024-03-28,52.98,53.01,2352639,53.01,52.98
2024-03-29,52.3,53.0,2199789,53.0,52.3
2024-04-01,51.74,52.11,939400,52.11,51.74
2024-04-02,52.5,51.75,2573229,52.5,51.75
2024-04-03,53.73,52.99,6455050,53.73,52.99
2024-04-04,57.76,57.76,15793227,57.76,57.76
2024-04-08,61.86,60.99,21100371,61.86,60.99
2024-04-09,60.74,61.85,11107406,61.85,60.74
2024-04-15,60.7,60.02,13178271,60.7,60.02
2024-04-16,59.78,61.1,7482580,61.1,59.78
2024-04-17,58.31,59.49,11478976,59.49,58.31
2024-04-18,57.07,58.01,8651523,58.01,57.07
2024-04-19,57.63,57.03,6985957,57.63,57.03
2024-04-22,57.37,57.6,5344461,57.6,57.37
2024-04-23,56.53,57.51,3133558,57.51,56.53
2024-04-24,56.41,56.15,13563602,56.41,56.15
2024-04-25,57.27,56.99,18061128,57.27,56.99
2024-04-26,57.04,57.27,7455080,57.27,57.04
2024-04-29,56.55,57.32,4042803,57.32,56.55
2024-04-30,53.69,56.5,5429091,56.5,53.69
2024-05-02,52.06,53.0,3215290,53.0,52.06
2024-05-03,52.46,52.59,2990751,52.59,52.46
2024-05-06,54.31,53.0,6982454,54.31,53.0
2024-05-07,54.78,54.49,6928711,54.78,54.49
2024-05-08,56.19,55.1,7108450,56.19,55.1
2024-05-09,60.4,57.1,27648764,60.4,57.1
2024-05-10,60.64,60.9,20435132,60.9,60.64
2024-05-13,60.28,61.45,14767022,61.45,60.28
2024-05-14,61.76,60.11,15328722,61.76,60.11
2024-05-15,59.39,62.65,41142937,62.65,59.39
2024-05-16,58.73,60.0,8988567,60.0,58.73
2024-05-17,61.36,58.99,15471683,61.36,58.99
2024-05-20,59.87,62.01,9391539,62.01,59.87
2024-05-21,59.06,60.45,7412617,60.45,59.06
2024-05-22,57.18,59.0,8392594,59.0,57.18
2024-05-23,59.08,57.15,7441699,59.08,57.15
2024-05-24,58.53,59.49,6983615,59.49,58.53
2024-05-27,57.22,58.6,3359545,58.6,57.22
2024-05-29,57.15,57.64,4753641,57.64,57.15
2024-05-30,57.09,57.15,3378539,57.15,57.09
2024-05-31,57.69,57.15,6061155,57.69,57.15
2024-06-03,57.71,58.0,2123082,58.0,57.71
2024-06-04,57.24,57.51,4032219,57.51,57.24
2024-06-05,56.55,57.39,2643278,57.39,56.55
2024-06-06,56.13,56.99,2912140,56.99,56.13
2024-06-07,59.52,56.02,23341177,59.52,56.02
2024-06-10,58.66,59.5,2003304,59.5,58.66
2024-06-11,58.13,60.0,3618490,60.0,58.13
2024-06-12,58.61,58.13,2470811,58.61,58.13
2024-06-13,61.17,59.49,16964687,61.17,59.49
2024-06-14,59.86,61.0,4531135,61.0,59.86
2024-06-20,59.6,60.18,3084192,60.18,59.6
2024-06-21,59.2,60.0,4213170,60.0,59.2
2024-06-24,58.43,59.98,1072192,59.98,58.43
2024-06-25,58.01,58.25,1483266,58.25,58.01
2024-06-26,56.79,58.0,3366330,58.0,56.79
2024-06-27,57.46,57.45,1428386,57.46,57.45
2024-06-28,57.12,57.73,2396090,57.73,57.12
2024-07-01,58.15,57.25,4145865,58.15,57.25
2024-07-02,58.74,58.34,4566059,58.74,58.34
2024-07-03,59.11,59.25,2806055,59.25,59.11
2024-07-04,59.25,59.44,2888142,59.44,59.25
2024-07-05,58.11,59.25,2883212,59.25,58.11
2024-07-08,58.91,58.59,1496305,58.91,58.59
2024-07-09,61.55,59.1,16740626,61.55,59.1
2024-07-10,60.56,61.89,4925587,61.89,60.56
2024-07-11,59.58,60.1,2991914,60.1,59.58
2024-07-12,59.23,59.6,3456063,59.6,59.23
2024-07-15,60.22,60.0,6927374,60.22,60.0
2024-07-18,60.14,60.5,2786582,60.5,60.14
2024-07-19,57.26,60.01,4828249,60.01,57.26
2024-07-22,54.63,57.8,6307314,57.8,54.63
2024-07-23,55.58,54.98,2294587,55.58,54.98
2024-07-24,55.82,55.9,2225847,55.9,55.82
2024-07-25,55.48,56.25,1919200,56.25,55.48
2024-07-26,54.87,55.2,2182401,55.2,54.87
2024-07-29,58.43,55.0,6684432,58.43,55.0
2024-07-30,60.31,59.0,24067099,60.31,59.0
2024-07-31,57.84,60.98,7698808,60.98,57.84
2024-08-01,58.42,57.5,7180353,58.42,57.5
2024-08-02,58.74,58.5,1864787,58.74,58.5
2024-08-05,57.48,58.75,2062214,58.75,57.48
2024-08-06,58.36,57.4,1492295,58.36,57.4
2024-08-07,58.3,58.6,2895074,58.6,58.3
2024-08-08,57.97,58.5,849713,58.5,57.97
2024-08-09,58.19,58.3,939163,58.3,58.19
2024-08-12,57.03,58.5,1077528,58.5,57.03
2024-08-13,57.08,57.0,1908615,57.08,57.0
2024-08-15,56.84,57.08,2554977,57.08,56.84
2024-08-16,55.96,56.84,1208370,56.84,55.96
2024-08-19,55.83,56.29,1237259,56.29,55.83
2024-08-20,56.01,56.0,445231,56.01,56.0
2024-08-21,57.61,56.1,2546123,57.61,56.1
2024-08-22,57.84,58.35,3393772,58.35,57.84
2024-08-23,59.53,57.95,13367295,59.53,57.95
2024-08-26,60.65,59.95,9419427,60.65,59.95
2024-08-27,58.9,61.25,3114618,61.25,58.9
2024-08-28,58.06,59.19,1552415,59.19,58.06
2024-08-29,58.76,58.5,1640080,58.76,58.5
2024-08-30,57.48,58.99,2539829,58.99,57.48
2024-09-02,57.14,57.9,1382931,57.9,57.14
2024-09-03,57.31,57.47,581260,57.47,57.31
2024-09-04,57.95,57.43,3703582,57.95,57.43
2024-09-05,57.66,58.2,2097177,58.2,57.66
2024-09-06,57.44,57.87,750361,57.87,57.44
2024-09-09,57.75,57.8,780914,57.8,57.75
2024-09-10,57.83,58.07,362658,58.07,57.83
2024-09-11,57.51,58.19,1865349,58.19,57.51
2024-09-12,58.3,57.6,2438477,58.3,57.6
2024-09-13,57.76,59.13,2743757,59.13,57.76
2024-09-16,57.48,58.25,458764,58.25,57.48
2024-09-18,57.98,57.4,1062472,57.98,57.4
2024-09-19,58.33,57.65,1781391,58.33,57.65
2024-09-20,58.49,58.3,1214276,58.49,58.3
2024-09-23,58.86,58.9,2601666,58.9,58.86
2024-09-24,58.21,58.86,410689,58.86,58.21
2024-09-25,58.73,58.49,1089528,58.73,58.49
2024-09-26,58.28,59.01,1171446,59.01,58.28
2024-09-27,57.51,58.3,1140834,58.3,57.51
2024-09-30,56.95,57.94,992103,57.94,56.95
2024-10-01,57.67,56.95,871966,57.67,56.95
2024-10-02,57.43,58.25,887779,58.25,57.43
2024-10-03,56.85,57.11,906318,57.11,56.85
2024-10-04,56.09,57.0,1182212,57.0,56.09
2024-10-07,55.44,56.29,2265558,56.29,55.44
2024-10-08,57.18,55.0,6774566,57.18,55.0
2024-10-09,57.31,57.49,2149165,57.49,57.31
2024-10-10,58.9,57.95,5061421,58.9,57.95
2024-10-11,57.83,59.0,2263954,59.0,57.83
2024-10-14,57.88,57.99,2586412,57.99,57.88
2024-10-15,58.03,57.53,2104787,58.03,57.53
