date,close,open,volume,high,low
2021-04-28,45.62,47.69,10409000,47.69,45.62
2021-04-29,44.48,45.41,1408000,45.41,44.48
2021-04-30,43.14,43.95,1054500,43.95,43.14
2021-05-03,43.89,42.65,2268000,43.89,42.65
2021-05-04,44.72,44.3,1979000,44.72,44.3
2021-05-05,44.56,44.85,562500,44.85,44.56
2021-05-06,44.55,44.95,674000,44.95,44.55
2021-05-17,43.79,45.05,389000,45.05,43.79
2021-05-18,43.35,43.81,865500,43.81,43.35
2021-05-19,42.2,43.27,550500,43.27,42.2
2021-05-20,43.68,42.15,1672000,43.68,42.15
2021-05-21,44.26,43.98,2916500,44.26,43.98
2021-05-24,43.55,44.01,706500,44.01,43.55
2021-05-25,43.11,43.51,296500,43.51,43.11
2021-05-26,42.65,43.35,595000,43.35,42.65
2021-05-27,42.68,42.57,655000,42.68,42.57
2021-05-28,42.91,42.4,178500,42.91,42.4
2021-05-31,43.86,43.48,1018500,43.86,43.48
2021-06-01,45.35,43.75,3036000,45.35,43.75
2021-06-02,47.03,45.6,3551500,47.03,45.6
2021-06-03,46.03,47.01,612500,47.01,46.03
2021-06-04,45.46,46.0,457500,46.0,45.46
2021-06-07,45.55,45.2,900000,45.55,45.2
2021-06-08,46.25,46.0,2032500,46.25,46.0
2021-06-09,45.04,46.5,959500,46.5,45.04
2021-06-10,45.3,45.04,305000,45.3,45.04
2021-06-11,45.44,45.91,632000,45.91,45.44
2021-06-14,49.53,46.55,6417000,49.53,46.55
2021-06-15,48.46,49.51,751500,49.51,48.46
2021-06-16,52.17,49.2,4474500,52.17,49.2
2021-06-17,52.37,52.5,1627500,52.5,52.37
2021-06-18,54.32,52.5,2426500,54.32,52.5
2021-06-21,53.11,54.75,397000,54.75,53.11
2021-06-22,51.66,52.91,762000,52.91,51.66
2021-06-23,51.2,51.5,1561500,51.5,51.2
2021-06-24,51.17,51.5,420000,51.5,51.17
2021-06-25,50.75,51.91,321500,51.91,50.75
2021-06-28,47.62,50.8,873500,50.8,47.62
2021-06-29,48.51,48.4,352500,48.51,48.4
2021-06-30,48.33,49.4,400500,49.4,48.33
2021-07-01,49.18,49.27,450500,49.27,49.18
2021-07-02,49.36,50.15,265500,50.15,49.36
2021-07-05,49.85,49.51,701000,49.85,49.51
2021-07-06,49.46,49.92,549500,49.92,49.46
2021-07-07,49.09,48.55,188500,49.09,48.55
2021-07-08,49.6,48.75,484500,49.6,48.75
2021-07-09,49.22,49.2,395000,49.22,49.2
2021-07-12,48.64,49.5,211500,49.5,48.64
2021-07-13,48.35,49.0,180000,49.0,48.35
2021-07-14,47.67,48.3,65500,48.3,47.67
2021-07-15,47.57,47.52,175000,47.57,47.52
2021-07-16,47.55,47.51,82000,47.55,47.51
2021-07-19,47.94,47.22,154000,47.94,47.22
2021-07-23,47.85,47.9,183000,47.9,47.85
2021-07-26,48.16,48.3,137500,48.3,48.16
2021-07-27,52.48,48.35,2588000,52.48,48.35
2021-07-28,51.35,53.0,968000,53.0,51.35
2021-07-29,50.88,51.01,343500,51.01,50.88
2021-07-30,50.05,51.27,419000,51.27,50.05
2021-08-02,50.08,50.6,283000,50.6,50.08
2021-08-03,50.28,49.75,372500,50.28,49.75
2021-08-04,50.74,50.3,790500,50.74,50.3
2021-08-05,50.26,51.0,309500,51.0,50.26
2021-08-06,49.3,50.05,87500,50.05,49.3
2021-08-09,47.75,49.99,255000,49.99,47.75
2021-08-10,47.8,47.6,201500,47.8,47.6
2021-08-11,47.42,48.85,182000,48.85,47.42
2021-08-12,47.01,47.14,231500,47.14,47.01
2021-08-13,47.12,46.75,28500,47.12,46.75
2021-08-16,45.57,45.95,234500,45.95,45.57
2021-08-17,48.07,45.75,600000,48.07,45.75
2021-08-20,49.18,48.5,229500,49.18,48.5
2021-08-23,49.31,49.5,285500,49.5,49.31
2021-08-24,48.93,49.45,195000,49.45,48.93
2021-08-25,47.36,48.75,196500,48.75,47.36
2021-08-26,43.1,44.4,944000,44.4,43.1
2021-08-27,40.06,41.55,1188500,41.55,40.06
2021-08-30,39.89,39.75,446000,39.89,39.75
2021-08-31,39.54,39.56,191000,39.56,39.54
2021-09-01,40.05,39.65,266500,40.05,39.65
2021-09-02,39.17,39.91,341000,39.91,39.17
2021-09-03,39.46,39.0,119000,39.46,39.0
2021-09-06,39.15,38.75,192500,39.15,38.75
2021-09-07,38.9,38.7,43500,38.9,38.7
2021-09-08,38.55,39.0,86000,39.0,38.55
2021-09-09,39.54,38.7,123000,39.54,38.7
2021-09-10,40.33,40.45,186000,40.45,40.33
2021-09-13,39.69,40.6,68000,40.6,39.69
2021-09-14,38.63,39.35,86500,39.35,38.63
2021-09-15,38.64,38.6,193500,38.64,38.6
2021-09-16,38.51,38.55,161500,38.55,38.51
2021-09-17,38.29,37.8,30000,38.29,37.8
2021-09-20,37.14,37.5,32500,37.5,37.14
2021-09-21,36.49,36.51,157500,36.51,36.49
2021-09-22,34.79,36.47,233000,36.47,34.79
2021-09-23,34.82,34.5,224000,34.82,34.5
2021-09-24,35.65,34.5,47000,35.65,34.5
2021-09-27,34.49,35.5,59000,35.5,34.49
2021-09-28,35.51,33.7,314500,35.51,33.7
2021-09-29,34.49,35.5,264000,35.5,34.49
2021-09-30,35.39,34.5,29000,35.39,34.5
2021-10-01,36.19,35.75,973000,36.19,35.75
2021-10-04,36.5,34.5,97500,36.5,34.5
2021-10-05,35.63,36.5,10500,36.5,35.63
2021-10-06,34.6,35.5,27000,35.5,34.6
2021-10-07,34.6,34.7,217500,34.7,34.6
2021-10-08,34.19,34.5,12500,34.5,34.19
2021-10-11,33.18,34.63,37000,34.63,33.18
2021-10-12,32.73,33.0,62500,33.0,32.73
2021-10-13,31.619999999999997,31.35,43000,31.619999999999997,31.35
2021-10-14,33.17,31.5,61000,33.17,31.5
2021-10-15,34.0,32.63,44500,34.0,32.63
2021-10-18,33.48,32.54,71500,33.48,32.54
2021-10-20,35.31,33.5,124500,35.31,33.5
2021-10-21,35.61,35.5,149500,35.61,35.5
2021-10-22,35.67,36.49,72500,36.49,35.67
2021-10-25,36.45,36.49,6500,36.49,36.45
2021-10-26,34.49,35.72,738500,35.72,34.49
2021-10-27,34.74,37.49,16500,37.49,34.74
2021-10-28,35.62,34.51,75500,35.62,34.51
2021-10-29,35.98,35.5,193500,35.98,35.5
2021-11-01,38.25,37.48,520000,38.25,37.48
2021-11-02,41.83,38.5,1669000,41.83,38.5
2021-11-03,43.02,44.5,1706000,44.5,43.02
2021-11-04,44.56,43.35,694500,44.56,43.35
2021-11-05,43.42,43.5,108500,43.5,43.42
2021-11-08,43.43,43.44,179000,43.44,43.43
2021-11-09,41.77,42.5,149000,42.5,41.77
2021-11-10,41.57,43.19,42000,43.19,41.57
2021-11-11,40.55,41.5,70500,41.5,40.55
2021-11-12,40.28,41.25,70000,41.25,40.28
2021-11-15,40.87,39.05,42000,40.87,39.05
2021-11-16,42.13,40.62,51500,42.13,40.62
2021-11-17,40.87,40.77,34000,40.87,40.77
2021-11-18,40.93,41.1,139500,41.1,40.93
2021-11-19,42.05,39.35,168500,42.05,39.35
2021-11-22,41.24,41.5,329500,41.5,41.24
2021-11-23,41.33,41.1,400500,41.33,41.1
2021-11-24,40.3,40.6,75500,40.6,40.3
2021-11-25,40.45,40.0,140500,40.45,40.0
2021-11-26,40.63,40.5,176500,40.63,40.5
2021-11-29,41.79,41.0,123000,41.79,41.0
2021-11-30,40.96,41.52,104000,41.52,40.96
2021-12-01,41.71,41.0,137000,41.71,41.0
2021-12-02,37.87,40.78,134500,40.78,37.87
2021-12-03,35.18,36.98,230500,36.98,35.18
2021-12-06,35.5,35.7,55500,35.7,35.5
2021-12-07,36.2,36.5,77500,36.5,36.2
