date,close,open,volume,high,low
2023-09-06,116.5,125.63,400,125.63,116.5
2023-09-07,116.5,111.68,200,116.5,111.68
2023-09-08,112.5,112.5,800,112.5,112.5
2023-09-11,111.56,112.5,3500,112.5,111.56
2023-09-12,109.54,111.75,2600,111.75,109.54
2023-09-13,112.38,109.5,55900,112.38,109.5
2023-09-14,119.97,121.22,52600,121.22,119.97
2023-09-15,110.57,111.61,35100,111.61,110.57
2023-09-18,110.5,110.5,500,110.5,110.5
2023-09-19,111.5,108.5,2300,111.5,108.5
2023-09-20,110.5,110.5,1600,110.5,110.5
2023-09-21,109.87,111.3,1600,111.3,109.87
2023-09-22,114.8,118.39,300,118.39,114.8
2023-09-25,113.93,113.5,900,113.93,113.5
2023-09-26,109.66,110.02,62500,110.02,109.66
2023-09-27,110.67,110.6,800,110.67,110.6
2023-09-28,111.28,110.5,3200,111.28,110.5
2023-10-02,110.49,110.1,67400,110.49,110.1
2023-10-03,110.5,107.5,3200,110.5,107.5
2023-10-04,110.5,108.06,4200,110.5,108.06
2023-10-05,110.06,114.5,14100,114.5,110.06
2023-10-06,109.5,109.5,500,109.5,109.5
2023-10-09,115.92,110.9,214300,115.92,110.9
2023-10-10,111.61,117.49,96600,117.49,111.61
2023-10-11,113.74,112.99,153500,113.74,112.99
2023-10-12,112.66,114.5,57000,114.5,112.66
2023-10-13,110.72,113.49,51300,113.49,110.72
2023-10-16,111.81,111.0,91100,111.81,111.0
2023-10-17,110.56,112.5,76800,112.5,110.56
2023-10-18,111.56,110.5,60400,111.56,110.5
2023-10-19,113.13,114.0,89900,114.0,113.13
2023-10-20,113.0,111.0,15000,113.0,111.0
2023-10-23,113.03,114.23,18900,114.23,113.03
2023-10-24,112.7,112.1,3600,112.7,112.1
2023-10-25,116.52,114.0,118200,116.52,114.0
2023-10-26,120.76,117.0,235100,120.76,117.0
2023-10-27,117.44,119.0,71900,119.0,117.44
2023-10-30,114.93,116.01,15500,116.01,114.93
2023-10-31,113.39,115.5,42800,115.5,113.39
2023-11-01,113.8,118.0,64700,118.0,113.8
2023-11-02,112.97,112.65,23000,112.97,112.65
2023-11-03,115.72,114.0,51600,115.72,114.0
2023-11-06,119.27,116.0,54400,119.27,116.0
2023-11-07,118.45,120.0,35500,120.0,118.45
2023-11-08,117.62,116.2,6600,117.62,116.2
2023-11-10,120.94,119.0,88200,120.94,119.0
2023-11-13,126.02000000000001,122.0,162800,126.02000000000001,122.0
2023-11-14,126.72,130.5,117800,130.5,126.72
2023-11-15,127.91,126.25,13700,127.91,126.25
2023-11-16,127.66,126.00999999999999,28900,127.66,126.00999999999999
2023-11-17,128.0,126.00999999999999,16900,128.0,126.00999999999999
2023-11-20,126.0,126.00999999999999,12700,126.00999999999999,126.0
2023-11-21,127.9,119.06,34500,127.9,119.06
2023-11-22,127.78,128.79,60900,128.79,127.78
2023-11-23,129.03,129.99,12900,129.99,129.03
2023-11-24,134.9,133.95,115100,134.9,133.95
2023-11-27,136.44,136.0,37100,136.44,136.0
2023-11-28,135.83,136.01,29300,136.01,135.83
2023-11-29,134.34,135.5,223300,135.5,134.34
2023-11-30,133.99,134.02,9800,134.02,133.99
2023-12-01,139.81,133.99,53900,139.81,133.99
2023-12-04,144.36,140.01,29600,144.36,140.01
2023-12-05,142.6,145.85,6300,145.85,142.6
2023-12-06,144.84,142.5,37100,144.84,142.5
2023-12-07,144.75,146.0,6700,146.0,144.75
2023-12-08,147.99,147.8,117900,147.99,147.8
2023-12-11,144.9,147.0,4300,147.0,144.9
2023-12-12,142.65,143.0,2900,143.0,142.65
2023-12-13,141.94,142.77,24500,142.77,141.94
2023-12-14,138.47,141.4,38300,141.4,138.47
2023-12-15,140.4,138.0,11100,140.4,138.0
2023-12-18,138.96,140.0,2100,140.0,138.96
2023-12-19,136.88,138.35,18100,138.35,136.88
2023-12-20,132.31,136.0,46600,136.0,132.31
2023-12-21,140.09,135.75,46400,140.09,135.75
2023-12-22,138.88,140.15,33000,140.15,138.88
2023-12-26,134.69,134.01,33400,134.69,134.01
2023-12-27,140.11,132.0,43300,140.11,132.0
2023-12-28,138.38,141.0,46400,141.0,138.38
2023-12-29,136.27,136.01,2700,136.27,136.01
2024-01-01,138.0,139.98,1200,139.98,138.0
2024-01-02,137.49,137.01,1600,137.49,137.01
2024-01-03,138.29,137.3,24700,138.29,137.3
2024-01-04,136.01,137.99,1500,137.99,136.01
2024-01-10,135.5,135.5,200,135.5,135.5
2024-01-11,135.99,135.5,6100,135.99,135.5
2024-01-12,135.0,135.99,800,135.99,135.0
2024-01-15,135.5,135.5,2500,135.5,135.5
2024-01-16,136.0,135.0,21900,136.0,135.0
2024-01-17,135.49,135.0,162500,135.49,135.0
2024-01-18,135.49,-4.0,100,135.49,-4.0
2024-01-19,135.66,135.1,1600,135.66,135.1
2024-01-22,137.5,139.0,800,139.0,137.5
2024-01-23,134.55,136.5,1200,136.5,134.55
2024-01-24,140.19,134.5,44900,140.19,134.5
2024-01-25,135.99,136.0,3500,136.0,135.99
2024-01-26,134.06,135.0,1700,135.0,134.06
2024-01-29,132.68,134.0,1700,134.0,132.68
2024-01-30,133.33,131.01,1000,133.33,131.01
2024-02-01,133.0,133.0,200,133.0,133.0
2024-02-06,131.26,131.5,1400,131.5,131.26
2024-02-07,133.19,133.0,21800,133.19,133.0
2024-02-09,129.69,131.0,3100,131.0,129.69
2024-02-12,126.0,133.0,6000,133.0,126.0
2024-02-13,129.79,126.0,1400,129.79,126.0
2024-02-14,130.99,130.99,500,130.99,130.99
2024-02-15,130.99,131.0,100,131.0,130.99
2024-02-21,135.0,135.0,500,135.0,135.0
2024-02-22,134.91,134.75,2100,134.91,134.75
2024-02-23,135.0,135.99,500,135.99,135.0
2024-02-26,131.66,132.0,800,132.0,131.66
2024-02-27,135.53,136.0,2300,136.0,135.53
2024-02-28,135.25,135.5,1400,135.5,135.25
2024-02-29,136.0,133.0,7300,136.0,133.0
2024-03-01,134.99,134.0,200,134.99,134.0
2024-03-04,135.41,133.01,4600,135.41,133.01
2024-03-05,127.72,131.15,6900,131.15,127.72
2024-03-06,132.07,128.02,6400,132.07,128.02
2024-03-07,131.5,130.01,2500,131.5,130.01
2024-03-08,130.5,128.01,700,130.5,128.01
2024-03-11,131.85,130.49,5400,131.85,130.49
2024-03-12,132.06,127.5,5700,132.06,127.5
2024-03-13,128.0,127.06,13100,128.0,127.06
2024-03-14,129.5,128.0,7500,129.5,128.0
2024-03-15,129.08,128.11,2200,129.08,128.11
2024-03-18,130.0,128.1,500,130.0,128.1
2024-03-19,128.85,128.02,1500,128.85,128.02
2024-03-20,129.13,128.01,2700,129.13,128.01
2024-03-21,129.51,129.13,3600,129.51,129.13
2024-03-22,130.6,135.0,500,135.0,130.6
2024-03-25,131.38,130.1,3200,131.38,130.1
2024-03-26,133.9,131.1,2300,133.9,131.1
2024-03-27,134.71,130.0,15300,134.71,130.0
2024-03-28,134.66,133.01,28400,134.66,133.01
2024-03-29,134.02,131.0,21900,134.02,131.0
2024-04-01,132.33,131.01,5200,132.33,131.01
2024-04-02,131.0,128.06,7500,131.0,128.06
2024-04-03,132.5,131.5,7600,132.5,131.5
2024-04-04,132.5,130.02,600,132.5,130.02
2024-04-08,135.86,132.2,24500,135.86,132.2
2024-04-09,133.5,131.06,16900,133.5,131.06
2024-04-15,132.54,132.5,5800,132.54,132.5
2024-04-16,132.0,131.5,600,132.0,131.5
2024-04-17,131.15,129.05,17300,131.15,129.05
2024-04-18,135.97,131.28,900,135.97,131.28
2024-04-19,132.79,129.03,6600,132.79,129.03
2024-04-22,130.88,127.05000000000001,11412,130.88,127.05000000000001
2024-04-23,130.35,131.0,8200,131.0,130.35
2024-04-24,130.04,130.0,26526,130.04,130.0
2024-04-25,128.37,130.8,12628,130.8,128.37
2024-04-26,130.0,127.0,23281,130.0,127.0
2024-04-29,127.74000000000001,130.0,9694,130.0,127.74000000000001
2024-04-30,128.93,128.73,5177,128.93,128.73
2024-05-02,124.97,127.0,24563,127.0,124.97
2024-05-03,127.94,128.0,17991,128.0,127.94
2024-05-06,130.46,127.94999999999999,7632,130.46,127.94999999999999
2024-05-07,128.02,133.99,21055,133.99,128.02
2024-05-08,127.47,132.98,9117,132.98,127.47
2024-05-09,129.5,131.48,28360,131.48,129.5
2024-05-10,132.49,130.2,35379,132.49,130.2
2024-05-13,137.41,135.28,65058,137.41,135.28
2024-05-14,137.5,140.38,20681,140.38,137.5
2024-05-15,138.6,137.2,7498,138.6,137.2
2024-05-16,137.5,139.5,12051,139.5,137.5
2024-05-17,136.16,138.5,813,138.5,136.16
2024-05-20,134.5,135.0,13704,135.0,134.5
2024-05-21,144.78,133.61,247833,144.78,133.61
2024-05-22,147.63,149.38,102176,149.38,147.63
2024-05-23,144.65,143.0,15184,144.65,143.0
2024-05-24,148.26,148.49,38033,148.49,148.26
2024-05-27,145.15,149.5,15647,149.5,145.15
2024-05-29,140.5,143.5,5650,143.5,140.5
2024-05-30,139.5,144.5,19507,144.5,139.5
2024-05-31,140.6,142.49,14147,142.49,140.6
2024-06-03,141.57,141.5,17836,141.57,141.5
2024-06-04,140.09,145.5,7088,145.5,140.09
2024-06-05,138.49,140.48,762,140.48,138.49
2024-06-06,135.87,141.48,3155,141.48,135.87
2024-06-07,140.31,135.8,13763,140.31,135.8
2024-06-10,135.5,142.33,12536,142.33,135.5
2024-06-11,133.71,137.45,34085,137.45,133.71
2024-06-12,134.47,135.45,11524,135.45,134.47
2024-06-13,143.63,137.45,42478,143.63,137.45
2024-06-14,147.47,143.5,5912,147.47,143.5
2024-06-20,144.78,147.47,16115,147.47,144.78
2024-06-21,145.13,147.5,11109,147.5,145.13
2024-06-24,138.91,140.01,17231,140.01,138.91
2024-06-25,138.91,142.7,17830,142.7,138.91
2024-06-26,142.05,142.38,14148,142.38,142.05
2024-06-27,146.09,132.51,34128,146.09,132.51
2024-06-28,144.11,137.5,9805,144.11,137.5
2024-07-01,141.51,155.47,1237,155.47,141.51
2024-07-02,145.47,150.37,1563,150.37,145.47
2024-07-03,141.79,133.65,2721,141.79,133.65
2024-07-04,142.38,147.5,4477,147.5,142.38
2024-07-05,141.79,146.8,561,146.8,141.79
2024-07-08,144.51,140.5,28766,144.51,140.5
2024-07-09,144.24,141.5,287,144.24,141.5
2024-07-10,140.55,146.5,2620,146.5,140.55
2024-07-11,139.19,144.5,13431,144.5,139.19
2024-07-12,137.49,142.5,3628,142.5,137.49
2024-07-15,137.9,137.5,40856,137.9,137.5
2024-07-18,138.66,139.49,402,139.49,138.66
2024-07-19,136.63,138.51,16536,138.51,136.63
2024-07-22,138.44,142.48,2995,142.48,138.44
2024-07-23,140.41,143.99,1008,143.99,140.41
2024-07-24,136.5,138.51,23265,138.51,136.5
2024-07-25,135.19,140.49,2507,140.49,135.19
2024-07-26,137.19,142.5,10522,142.5,137.19
2024-07-29,137.19,137.5,18,137.5,137.19
2024-07-30,136.41,137.5,10612,137.5,136.41
2024-07-31,134.81,137.49,27086,137.49,134.81
2024-08-01,135.97,132.5,13656,135.97,132.5
2024-08-02,134.02,135.02,11982,135.02,134.02
2024-08-05,132.94,136.5,10582,136.5,132.94
2024-08-06,134.13,134.5,10370,134.5,134.13
2024-08-07,127.0,133.51,110096,133.51,127.0
2024-08-08,128.5,127.49000000000001,19270,128.5,127.49000000000001
2024-08-09,128.82,130.83,11053,130.83,128.82
2024-08-12,128.15,128.5,12734,128.5,128.15
2024-08-13,127.93,128.5,18183,128.5,127.93
2024-08-15,131.47,127.0,22309,131.47,127.0
2024-08-16,130.94,128.6,13516,130.94,128.6
2024-08-19,130.94,131.0,10173,131.0,130.94
2024-08-20,130.27,130.83,12689,130.83,130.27
2024-08-21,128.51,130.01,11241,130.01,128.51
2024-08-22,131.3,129.01,14240,131.3,129.01
2024-08-23,130.86,131.2,10447,131.2,130.86
2024-08-26,130.5,133.0,12181,133.0,130.5
2024-08-27,130.47,130.51,47158,130.51,130.47
2024-08-28,130.47,129.88,10842,130.47,129.88
2024-08-29,125.9,131.2,26511,131.2,125.9
2024-08-30,126.21000000000001,127.5,2034,127.5,126.21000000000001
2024-09-02,124.44,125.75999999999999,11438,125.75999999999999,124.44
2024-09-03,125.66,124.01,51915,125.66,124.01
2024-09-04,131.46,129.9,138980,131.46,129.9
2024-09-05,139.21,132.98,190101,139.21,132.98
