date,close,open,volume,high,low
2023-06-15,12.69,12.55,13500,12.69,12.55
2023-06-16,13.5,13.47,23500,13.5,13.47
2023-06-19,13.5,-2.0,10000,13.5,-2.0
2023-06-20,13.5,13.51,1500,13.51,13.5
2023-06-23,13.45,13.25,15500,13.45,13.25
2023-06-26,14.25,14.27,3500,14.27,14.25
2023-06-27,15.3,14.0,17000,15.3,14.0
2023-07-03,14.010000000000002,14.2,12000,14.2,14.010000000000002
2023-07-04,13.38,13.22,6000,13.38,13.22
2023-07-05,13.61,13.61,500,13.61,13.61
2023-07-06,13.61,13.61,500,13.61,13.61
2023-07-11,14.64,14.649999999999999,1000,14.649999999999999,14.64
2023-07-12,13.4,13.4,4500,13.4,13.4
2023-07-13,12.5,12.51,21500,12.51,12.5
2023-07-17,12.4,11.53,1000,12.4,11.53
2023-07-18,11.89,11.82,3000,11.89,11.82
2023-07-20,12.0,11.85,39000,12.0,11.85
2023-07-21,10.97,11.02,284000,11.02,10.97
2023-07-24,11.0,10.98,15000,11.0,10.98
2023-07-25,10.75,11.13,17500,11.13,10.75
2023-07-26,10.99,10.9,1000,10.99,10.9
2023-07-31,11.0,10.05,12500,11.0,10.05
2023-08-01,11.1,11.03,13000,11.1,11.03
2023-08-02,11.08,11.03,6000,11.08,11.03
2023-08-03,11.0,11.0,15500,11.0,11.0
2023-08-04,11.13,10.1,3000,11.13,10.1
2023-08-07,11.5,11.5,19500,11.5,11.5
2023-08-09,11.11,11.25,27000,11.25,11.11
2023-08-10,11.25,11.3,2500,11.3,11.25
2023-08-15,10.96,11.1,3500,11.1,10.96
2023-08-17,11.4,11.4,1000,11.4,11.4
2023-08-21,10.54,10.75,18500,10.75,10.54
2023-08-22,11.4,11.37,7000,11.4,11.37
2023-08-23,11.4,11.6,2000,11.6,11.4
2023-08-29,11.0,11.0,8500,11.0,11.0
2023-08-30,11.5,11.45,13000,11.5,11.45
2023-08-31,11.9,11.87,2500,11.9,11.87
2023-09-01,12.17,11.52,7000,12.17,11.52
2023-09-05,11.26,11.4,3000,11.4,11.26
2023-09-11,11.95,11.75,26500,11.95,11.75
2023-09-13,11.95,11.2,107000,11.95,11.2
2023-09-15,11.98,11.9,2000,11.98,11.9
2023-09-18,10.93,11.98,45500,11.98,10.93
2023-09-19,10.14,10.15,58500,10.15,10.14
2023-09-20,10.95,10.35,55000,10.95,10.35
2023-09-21,10.97,11.0,89000,11.0,10.97
2023-09-22,10.7,10.7,500,10.7,10.7
2023-09-25,11.07,11.0,80500,11.07,11.0
2023-09-26,11.0,11.15,11500,11.15,11.0
2023-09-27,11.0,11.01,5000,11.01,11.0
2023-10-05,11.3,11.3,1000,11.3,11.3
2023-10-10,11.0,11.0,1000,11.0,11.0
2023-10-11,11.0,11.0,500,11.0,11.0
2023-10-13,11.0,-2.0,4000,11.0,-2.0
2023-10-17,11.3,11.3,500,11.3,11.3
2023-10-19,11.01,11.65,2500,11.65,11.01
2023-10-20,11.37,11.55,12000,11.55,11.37
2023-10-23,11.01,11.1,3500,11.1,11.01
2023-10-26,11.3,11.5,3000,11.5,11.3
2023-10-27,11.0,11.01,1500,11.01,11.0
2023-10-31,11.6,11.5,67000,11.6,11.5
2023-11-01,10.99,11.01,67500,11.01,10.99
2023-11-02,11.0,11.35,18500,11.35,11.0
2023-11-03,11.0,10.7,9500,11.0,10.7
2023-11-07,10.8,11.0,4500,11.0,10.8
2023-11-08,10.55,10.7,70000,10.7,10.55
2023-11-10,10.8,11.0,9500,11.0,10.8
2023-11-13,10.77,10.95,5000,10.95,10.77
2023-11-14,11.0,11.0,500,11.0,11.0
2023-11-15,11.0,11.29,12500,11.29,11.0
2023-11-16,11.0,11.0,4000,11.0,11.0
2023-11-17,11.0,11.3,17000,11.3,11.0
2023-11-20,11.0,11.0,2000,11.0,11.0
2023-11-21,10.81,11.0,4500,11.0,10.81
2023-11-22,11.3,11.0,1000,11.3,11.0
2023-11-23,11.0,11.0,500,11.0,11.0
2023-11-24,11.0,11.0,500,11.0,11.0
2023-11-27,10.7,10.75,2000,10.75,10.7
2023-11-28,11.55,11.0,28000,11.55,11.0
2023-11-29,12.17,11.5,33000,12.17,11.5
2023-11-30,12.0,12.0,12000,12.0,12.0
2023-12-04,12.05,12.05,2000,12.05,12.05
2023-12-05,12.0,12.0,1500,12.0,12.0
2023-12-06,11.75,12.0,7000,12.0,11.75
2023-12-07,11.95,11.6,3500,11.95,11.6
2023-12-08,12.52,12.49,2000,12.52,12.49
2023-12-12,11.78,11.5,15000,11.78,11.5
2023-12-13,11.6,11.8,8000,11.8,11.6
2023-12-14,11.55,11.6,1000,11.6,11.55
2023-12-18,11.73,11.3,13000,11.73,11.3
2023-12-19,10.98,11.47,23000,11.47,10.98
2023-12-20,11.0,11.0,2500,11.0,11.0
2023-12-22,11.4,10.62,10000,11.4,10.62
2023-12-26,11.45,11.0,2500,11.45,11.0
2023-12-27,11.2,11.55,12500,11.55,11.2
2023-12-29,11.9,11.3,1500,11.9,11.3
2024-01-01,12.0,12.1,11000,12.1,12.0
2024-01-02,11.85,12.0,2000,12.0,11.85
2024-01-03,11.55,11.55,500,11.55,11.55
2024-01-04,12.07,12.07,2500,12.07,12.07
2024-01-10,11.9,11.5,4000,11.9,11.5
2024-01-11,12.15,12.0,9500,12.15,12.0
2024-01-15,11.15,12.0,14500,12.0,11.15
2024-01-16,12.1,11.55,7000,12.1,11.55
2024-01-17,11.8,11.6,4500,11.8,11.6
2024-01-18,11.8,11.4,4500,11.8,11.4
2024-01-19,11.88,11.84,2500,11.88,11.84
2024-01-24,11.5,11.5,1500,11.5,11.5
2024-01-25,11.5,11.5,1000,11.5,11.5
2024-01-26,11.4,11.3,3000,11.4,11.3
2024-01-29,11.75,11.74,5000,11.75,11.74
2024-01-31,11.0,11.2,1000,11.2,11.0
2024-02-02,11.01,11.01,1000,11.01,11.01
2024-02-06,11.01,11.01,500,11.01,11.01
2024-02-12,10.95,10.5,1500,10.95,10.5
2024-02-13,10.95,10.95,5000,10.95,10.95
2024-02-14,11.3,10.9,2500,11.3,10.9
2024-02-16,10.6,10.6,500,10.6,10.6
2024-02-19,11.19,11.0,1000,11.19,11.0
2024-02-21,11.11,10.65,6500,11.11,10.65
2024-02-22,11.0,11.0,1000,11.0,11.0
2024-02-28,11.5,11.5,1000,11.5,11.5
2024-02-29,11.5,-2.0,500,11.5,-2.0
2024-03-04,10.61,10.76,22000,10.76,10.61
2024-03-05,11.4,11.39,1000,11.4,11.39
2024-03-06,10.5,10.71,6000,10.71,10.5
2024-03-07,10.9,10.9,2000,10.9,10.9
2024-03-08,10.79,10.51,12500,10.79,10.51
2024-03-11,10.99,10.83,3000,10.99,10.83
2024-03-12,10.7,10.95,1500,10.95,10.7
2024-03-14,10.2,10.5,1000,10.5,10.2
2024-03-15,10.73,9.8,6500,10.73,9.8
2024-03-19,10.79,10.75,1500,10.79,10.75
2024-03-20,10.98,10.98,1000,10.98,10.98
2024-03-21,10.7,10.7,500,10.7,10.7
2024-03-26,10.31,10.31,1000,10.31,10.31
2024-03-27,10.57,10.5,1500,10.57,10.5
2024-03-28,10.3,10.31,1000,10.31,10.3
2024-03-29,10.98,10.7,2000,10.98,10.7
2024-04-01,10.98,10.98,1000,10.98,10.98
2024-04-02,10.98,10.98,1000,10.98,10.98
2024-04-03,10.98,10.98,1500,10.98,10.98
2024-04-04,10.99,10.4,2000,10.99,10.4
2024-04-09,10.99,10.41,2000,10.99,10.41
2024-04-16,10.98,10.98,1000,10.98,10.98
2024-04-18,11.2,11.2,500,11.2,11.2
2024-04-19,11.3,11.1,7500,11.3,11.1
2024-04-22,11.5,10.76,9500,11.5,10.76
2024-04-24,11.47,10.9,3000,11.47,10.9
2024-04-25,11.52,11.49,3500,11.52,11.49
2024-04-26,11.5,11.85,16500,11.85,11.5
2024-04-29,11.5,11.5,500,11.5,11.5
2024-04-30,12.2,11.0,31500,12.2,11.0
2024-05-02,13.27,12.8,123000,13.27,12.8
2024-05-03,14.420000000000002,14.25,101000,14.420000000000002,14.25
2024-05-06,15.64,15.649999999999999,298000,15.649999999999999,15.64
2024-05-07,16.16,16.97,751500,16.97,16.16
2024-05-08,16.0,16.0,172500,16.0,16.0
2024-05-09,17.35,16.5,394000,17.35,16.5
2024-05-10,18.8,18.0,3501500,18.8,18.0
2024-05-13,18.14,20.2,446000,20.2,18.14
2024-05-14,18.81,18.4,851500,18.81,18.4
2024-05-15,18.19,18.36,125500,18.36,18.19
2024-05-16,17.8,19.0,151000,19.0,17.8
2024-05-17,19.27,18.49,2366000,19.27,18.49
2024-05-20,20.8,19.51,1600000,20.8,19.51
2024-05-21,19.21,21.05,961500,21.05,19.21
2024-05-22,17.73,18.8,122500,18.8,17.73
2024-05-23,16.25,17.23,241500,17.23,16.25
2024-05-24,14.879999999999999,15.86,214500,15.86,14.879999999999999
2024-05-27,15.129999999999999,14.5,281619,15.129999999999999,14.5
2024-05-29,16.05,16.47,177609,16.47,16.05
2024-05-30,16.76,15.620000000000001,142363,16.76,15.620000000000001
2024-05-31,16.1,17.45,606349,17.45,16.1
2024-06-03,16.95,16.48,213026,16.95,16.48
2024-06-04,17.48,16.55,109601,17.48,16.55
2024-06-05,18.03,17.48,292701,18.03,17.48
2024-06-06,18.73,18.37,97222,18.73,18.37
2024-06-07,17.37,17.25,139490,17.37,17.25
2024-06-10,16.61,17.68,5341,17.68,16.61
2024-06-11,16.46,17.24,18502,17.24,16.46
2024-06-12,16.0,16.87,5986,16.87,16.0
2024-06-13,17.53,16.86,322930,17.53,16.86
2024-06-14,17.66,17.71,9364,17.71,17.66
2024-06-20,18.05,17.95,36831,18.05,17.95
2024-06-21,17.6,17.95,3048,17.95,17.6
2024-06-24,17.5,18.0,4940,18.0,17.5
2024-06-25,17.38,16.6,3000,17.38,16.6
2024-06-26,15.98,16.99,25551,16.99,15.98
2024-06-27,17.61,16.02,857189,17.61,16.02
2024-06-28,17.3,17.99,114625,17.99,17.3
2024-07-01,17.64,17.0,254996,17.64,17.0
2024-07-02,18.13,17.99,913053,18.13,17.99
2024-07-03,17.97,18.25,142128,18.25,17.97
2024-07-04,17.53,18.0,28255,18.0,17.53
2024-07-05,17.0,17.53,27131,17.53,17.0
2024-07-08,16.77,17.5,79891,17.5,16.77
