date,close,open,volume,high,low
2023-09-18,41.31,40.16,3136736,41.31,40.16
2023-09-19,41.02,41.49,3352726,41.49,41.02
2023-09-20,40.77,41.35,1488863,41.35,40.77
2023-09-21,41.09,40.95,1095023,41.09,40.95
2023-09-22,41.82,41.39,2928570,41.82,41.39
2023-09-25,41.94,42.0,1576639,42.0,41.94
2023-09-26,41.77,41.94,882216,41.94,41.77
2023-09-27,42.28,41.79,5152021,42.28,41.79
2023-09-28,42.48,42.48,3773894,42.48,42.48
2023-10-02,43.17,42.1,4588557,43.17,42.1
2023-10-03,42.74,42.9,1850390,42.9,42.74
2023-10-04,41.98,42.95,1643328,42.95,41.98
2023-10-05,41.68,41.79,1451373,41.79,41.68
2023-10-06,42.22,41.51,4813938,42.22,41.51
2023-10-09,42.09,41.51,2092366,42.09,41.51
2023-10-10,41.98,42.27,1528302,42.27,41.98
2023-10-11,43.02,42.94,6805125,43.02,42.94
2023-10-12,43.15,43.0,3763426,43.15,43.0
2023-10-13,44.12,43.01,4845067,44.12,43.01
2023-10-16,43.86,43.9,4830268,43.9,43.86
2023-10-17,43.48,44.35,3751288,44.35,43.48
2023-10-18,43.08,43.5,1541452,43.5,43.08
2023-10-19,46.65,43.29,16372026,46.65,43.29
2023-10-20,47.25,47.8,10333310,47.8,47.25
2023-10-23,49.43,48.99,9002839,49.43,48.99
2023-10-24,47.85,50.2,8092288,50.2,47.85
2023-10-25,47.59,47.62,5003721,47.62,47.59
2023-10-26,46.64,47.87,1498171,47.87,46.64
2023-10-27,46.22,46.5,2838194,46.5,46.22
2023-10-30,46.78,46.84,2510673,46.84,46.78
2023-10-31,47.51,48.2,3937129,48.2,47.51
2023-11-01,47.26,47.75,3020214,47.75,47.26
2023-11-02,47.17,47.44,2692554,47.44,47.17
2023-11-03,49.24,47.55,10726301,49.24,47.55
2023-11-06,48.68,49.24,4599320,49.24,48.68
2023-11-07,48.37,48.8,3286515,48.8,48.37
2023-11-08,48.45,48.89,3468810,48.89,48.45
2023-11-10,48.85,49.25,3304387,49.25,48.85
2023-11-13,49.01,49.02,3397449,49.02,49.01
2023-11-14,49.61,49.06,4416908,49.61,49.06
2023-11-15,49.46,50.0,22477958,50.0,49.46
2023-11-16,50.62,49.5,9999683,50.62,49.5
2023-11-17,54.17,51.34,21611746,54.17,51.34
2023-11-20,56.36,54.18,13077204,56.36,54.18
2023-11-21,55.76,56.65,4977894,56.65,55.76
2023-11-22,58.65,56.02,16825691,58.65,56.02
2023-11-23,58.25,58.5,4042133,58.5,58.25
2023-11-24,57.42,57.79,5165925,57.79,57.42
