date,close,open,volume,high,low
2023-09-18,9.11,9.1,271344,9.11,9.1
2023-09-19,9.01,9.0,388009,9.01,9.0
2023-09-20,9.07,9.05,534854,9.07,9.05
2023-09-21,9.08,9.07,1023797,9.08,9.07
2023-09-22,9.13,9.1,1035351,9.13,9.1
2023-09-25,9.09,9.18,513704,9.18,9.09
2023-09-26,9.07,9.06,1353730,9.07,9.06
2023-09-27,9.35,9.1,1457825,9.35,9.1
2023-09-28,9.19,9.35,410119,9.35,9.19
2023-10-02,9.39,9.29,903941,9.39,9.29
2023-10-03,9.36,9.45,691344,9.45,9.36
2023-10-04,9.17,9.34,616269,9.34,9.17
2023-10-05,9.26,9.25,723387,9.26,9.25
2023-10-06,9.36,9.3,922179,9.36,9.3
2023-10-09,9.27,9.42,905086,9.42,9.27
2023-10-10,9.27,9.29,295000,9.29,9.27
2023-10-11,9.76,9.46,6437956,9.76,9.46
2023-10-12,9.8,9.81,1447000,9.81,9.8
2023-10-13,10.21,9.82,5276483,10.21,9.82
2023-10-16,10.11,10.25,2250779,10.25,10.11
2023-10-17,10.08,10.3,1999725,10.3,10.08
2023-10-18,9.89,10.1,1373921,10.1,9.89
2023-10-19,10.87,9.9,15262544,10.87,9.9
2023-10-20,10.74,10.9,7825312,10.9,10.74
2023-10-23,11.01,10.81,8441577,11.01,10.81
2023-10-24,10.73,11.25,3911091,11.25,10.73
2023-10-25,10.62,10.84,4678674,10.84,10.62
2023-10-26,10.19,10.58,1677874,10.58,10.19
2023-10-27,10.02,10.12,1896934,10.12,10.02
2023-10-30,10.19,10.05,1324886,10.19,10.05
2023-10-31,10.28,10.32,1785458,10.32,10.28
2023-11-01,10.17,10.28,1186987,10.28,10.17
2023-11-02,10.14,10.12,827145,10.14,10.12
2023-11-03,10.25,10.11,2988998,10.25,10.11
2023-11-06,10.21,10.21,1190237,10.21,10.21
2023-11-07,9.97,10.21,1551351,10.21,9.97
2023-11-08,10.16,10.1,1118816,10.16,10.1
2023-11-10,10.28,10.2,1860331,10.28,10.2
2023-11-13,10.11,10.5,1753321,10.5,10.11
2023-11-14,10.19,10.24,2001895,10.24,10.19
2023-11-15,11.19,10.25,19951794,11.19,10.25
2023-11-16,11.03,11.2,11513906,11.2,11.03
2023-11-17,12.03,11.13,15153529,12.03,11.13
2023-11-20,12.43,12.0,20124231,12.43,12.0
2023-11-21,12.3,12.4,4883798,12.4,12.3
2023-11-22,12.99,12.39,15578128,12.99,12.39
2023-11-23,12.74,12.84,8723741,12.84,12.74
2023-11-24,12.51,12.71,2157140,12.71,12.51
2023-11-27,12.23,12.5,3641939,12.5,12.23
2023-11-28,12.07,12.24,9093828,12.24,12.07
2023-11-29,11.84,12.35,3812491,12.35,11.84
2023-11-30,11.89,11.94,1865852,11.94,11.89
2023-12-01,12.26,11.98,3885107,12.26,11.98
2023-12-04,12.54,12.5,17012766,12.54,12.5
2023-12-05,12.81,12.63,9552204,12.81,12.63
2023-12-06,13.18,13.0,17208457,13.18,13.0
2023-12-07,13.77,13.9,28907224,13.9,13.77
2023-12-08,13.76,13.94,7321780,13.94,13.76
2023-12-11,13.56,13.69,6172667,13.69,13.56
2023-12-12,13.87,13.65,18903565,13.87,13.65
2023-12-13,13.11,14.18,19518355,14.18,13.11
2023-12-14,12.87,13.29,7932300,13.29,12.87
2023-12-15,13.3,12.95,8500003,13.3,12.95
2023-12-18,12.9,13.59,4719145,13.59,12.9
2023-12-19,11.96,13.01,6449889,13.01,11.96
2023-12-20,11.69,12.1,3381799,12.1,11.69
2023-12-21,12.05,11.9,5232332,12.05,11.9
2023-12-22,12.07,12.14,4168843,12.14,12.07
2023-12-26,11.07,12.12,3490349,12.12,11.07
2023-12-27,11.29,10.82,2558300,11.29,10.82
2023-12-28,11.26,11.3,2655552,11.3,11.26
2023-12-29,11.33,11.45,4959830,11.45,11.33
2024-01-01,12.33,11.49,10727610,12.33,11.49
2024-01-02,12.13,12.5,7136254,12.5,12.13
2024-01-03,12.01,12.25,3663947,12.25,12.01
2024-01-04,11.89,12.03,2297799,12.03,11.89
2024-01-05,12.17,11.99,5928829,12.17,11.99
2024-01-08,12.43,12.47,9340644,12.47,12.43
2024-01-09,12.42,12.6,2318117,12.6,12.42
2024-01-10,12.46,12.59,4843084,12.59,12.46
2024-01-11,12.57,12.63,3831687,12.63,12.57
2024-01-12,12.35,12.69,2573924,12.69,12.35
2024-01-15,12.36,12.59,5661072,12.59,12.36
2024-01-16,12.1,12.44,2968130,12.44,12.1
2024-01-17,11.99,12.18,2947457,12.18,11.99
2024-01-18,11.68,11.8,2653953,11.8,11.68
2024-01-19,11.6,11.84,1158855,11.84,11.6
2024-01-22,12.13,11.81,3433938,12.13,11.81
2024-01-23,12.11,12.29,2062667,12.29,12.11
2024-01-24,12.22,12.06,3759561,12.22,12.06
2024-01-25,12.19,12.39,4904610,12.39,12.19
2024-01-26,11.86,12.39,1989021,12.39,11.86
2024-01-29,11.47,12.0,1793909,12.0,11.47
2024-01-30,11.04,11.33,1820259,11.33,11.04
2024-01-31,11.12,11.25,765458,11.25,11.12
2024-02-01,11.09,11.32,679529,11.32,11.09
2024-02-02,11.3,11.08,1524441,11.3,11.08
2024-02-06,11.84,11.46,3058524,11.84,11.46
2024-02-07,11.74,12.0,1628593,12.0,11.74
2024-02-09,11.36,11.7,1101603,11.7,11.36
2024-02-12,10.67,11.28,1593898,11.28,10.67
2024-02-13,10.54,10.5,2293148,10.54,10.5
2024-02-14,11.43,10.75,3481292,11.43,10.75
2024-02-15,11.22,11.65,2931969,11.65,11.22
2024-02-16,10.65,11.49,2029330,11.49,10.65
2024-02-19,10.91,10.55,1972633,10.91,10.55
2024-02-20,10.8,10.9,689695,10.9,10.8
2024-02-21,10.94,11.06,1025856,11.06,10.94
2024-02-22,10.93,11.04,1979319,11.04,10.93
2024-02-23,11.01,10.91,2611854,11.01,10.91
2024-02-26,11.39,11.1,2822550,11.39,11.1
2024-02-27,11.64,11.44,8289342,11.64,11.44
2024-02-28,11.56,11.59,3457505,11.59,11.56
2024-02-29,11.4,11.69,2348395,11.69,11.4
2024-03-01,11.29,11.36,579377,11.36,11.29
2024-03-04,11.46,11.49,1692742,11.49,11.46
2024-03-05,11.2,11.46,2521780,11.46,11.2
2024-03-06,11.21,11.3,969108,11.3,11.21
2024-03-07,11.0,11.25,1882739,11.25,11.0
2024-03-08,11.15,11.0,2335805,11.15,11.0
2024-03-11,11.05,11.1,1560970,11.1,11.05
2024-03-12,10.9,11.06,2801607,11.06,10.9
2024-03-13,10.77,10.91,778537,10.91,10.77
2024-03-14,11.15,11.0,1938423,11.15,11.0
2024-03-15,10.95,11.1,549275,11.1,10.95
2024-03-18,11.01,11.18,5954955,11.18,11.01
2024-03-19,10.83,11.02,1151255,11.02,10.83
2024-03-20,11.04,10.91,727951,11.04,10.91
2024-03-21,11.03,11.47,3423204,11.47,11.03
2024-03-22,10.97,10.93,373093,10.97,10.93
