date,close,open,volume,high,low
2021-02-23,22.52,22.3,916500,22.52,22.3
2021-02-24,21.66,22.25,488500,22.25,21.66
2021-02-25,22.37,21.65,842500,22.37,21.65
2021-02-26,22.26,22.35,142500,22.35,22.26
2021-03-01,23.84,22.25,3083500,23.84,22.25
2021-03-02,24.27,24.63,828500,24.63,24.27
2021-03-03,23.81,24.6,131000,24.6,23.81
2021-03-04,22.49,23.25,542500,23.25,22.49
2021-03-05,21.77,22.5,1644000,22.5,21.77
2021-03-08,20.53,22.01,1626000,22.01,20.53
2021-03-09,19.33,20.25,2410500,20.25,19.33
2021-03-10,20.96,19.8,2146500,20.96,19.8
2021-03-11,19.65,21.24,1128500,21.24,19.65
2021-03-12,21.31,20.25,866500,21.31,20.25
2021-03-15,22.6,22.5,820000,22.6,22.5
2021-03-16,22.25,22.1,605000,22.25,22.1
2021-03-17,23.4,22.46,956500,23.4,22.46
2021-03-18,22.47,23.25,749500,23.25,22.47
2021-03-19,22.6,22.2,95500,22.6,22.2
2021-03-22,22.17,23.05,69000,23.05,22.17
2021-03-24,22.05,22.17,47500,22.17,22.05
2021-03-25,21.44,21.9,361500,21.9,21.44
2021-03-26,21.69,21.74,1105500,21.74,21.69
2021-03-29,20.97,21.28,118000,21.28,20.97
2021-03-30,20.95,20.65,170000,20.95,20.65
2021-03-31,20.87,21.26,250500,21.26,20.87
2021-04-01,20.75,20.81,63500,20.81,20.75
2021-04-02,20.76,20.75,52500,20.76,20.75
2021-04-05,19.95,20.75,170500,20.75,19.95
2021-04-06,20.55,20.25,75500,20.55,20.25
2021-04-07,20.5,21.0,72000,21.0,20.5
2021-04-08,21.68,20.5,314000,21.68,20.5
2021-04-09,21.8,21.9,1029000,21.9,21.8
2021-04-12,21.75,21.8,118000,21.8,21.75
2021-04-13,21.92,21.74,33000,21.92,21.74
2021-04-14,21.76,22.22,20000,22.22,21.76
2021-04-15,22.12,21.75,28000,22.12,21.75
2021-04-16,22.23,21.81,69000,22.23,21.81
2021-04-19,21.94,21.3,85000,21.94,21.3
2021-04-20,22.01,22.36,68500,22.36,22.01
2021-04-21,22.23,22.05,169000,22.23,22.05
2021-04-22,21.26,22.24,256000,22.24,21.26
2021-04-23,21.26,21.41,29000,21.41,21.26
2021-04-26,21.67,20.35,389500,21.67,20.35
2021-04-27,21.87,21.99,54500,21.99,21.87
2021-04-28,22.33,21.9,1067000,22.33,21.9
2021-04-29,22.79,22.49,805500,22.79,22.49
2021-04-30,22.06,23.15,154500,23.15,22.06
2021-05-03,22.18,22.25,121500,22.25,22.18
2021-05-04,22.25,22.25,233500,22.25,22.25
2021-05-05,21.79,22.65,51500,22.65,21.79
2021-05-06,22.4,21.76,18500,22.4,21.76
2021-05-17,22.75,22.5,51000,22.75,22.5
2021-05-18,23.34,22.95,808500,23.34,22.95
2021-05-19,23.89,23.5,747500,23.89,23.5
2021-05-20,25.22,24.22,1367500,25.22,24.22
2021-05-21,25.15,25.25,514500,25.25,25.15
2021-05-24,25.17,25.35,1000500,25.35,25.17
2021-05-25,24.89,24.36,817000,24.89,24.36
2021-05-26,24.52,24.4,518500,24.52,24.4
2021-05-27,24.52,24.75,533500,24.75,24.52
2021-05-28,24.76,24.26,239500,24.76,24.26
2021-05-31,25.42,24.55,563500,25.42,24.55
2021-06-01,27.53,25.75,1023500,27.53,25.75
2021-06-02,29.79,28.73,2126000,29.79,28.73
2021-06-03,29.61,29.85,1808000,29.85,29.61
2021-06-04,30.71,29.5,1039000,30.71,29.5
2021-06-07,31.79,30.950000000000003,1100000,31.79,30.950000000000003
2021-06-08,31.03,31.799999999999997,823000,31.799999999999997,31.03
2021-06-09,30.92,31.65,741000,31.65,30.92
2021-06-10,30.5,30.799999999999997,225000,30.799999999999997,30.5
2021-06-11,32.14,30.75,804000,32.14,30.75
2021-06-14,31.270000000000003,32.75,462500,32.75,31.270000000000003
2021-06-15,30.25,31.270000000000003,224000,31.270000000000003,30.25
2021-06-16,29.939999999999998,30.25,144000,30.25,29.939999999999998
2021-06-17,29.75,29.85,282500,29.85,29.75
2021-06-18,30.72,29.75,253500,30.72,29.75
2021-06-21,30.11,30.72,75000,30.72,30.11
2021-06-22,30.590000000000003,29.770000000000003,159000,30.590000000000003,29.770000000000003
2021-06-23,30.310000000000002,30.15,68000,30.310000000000002,30.15
2021-06-24,29.78,29.86,649500,29.86,29.78
2021-06-25,29.79,30.090000000000003,88500,30.090000000000003,29.79
2021-06-28,28.9,29.79,1110000,29.79,28.9
2021-06-29,30.700000000000003,29.19,320000,30.700000000000003,29.19
2021-06-30,30.6,30.75,262500,30.75,30.6
2021-07-01,30.509999999999998,30.060000000000002,343000,30.509999999999998,30.060000000000002
