date,close,open,volume,high,low
2023-09-18,3.07,2.9499999999999997,1034000,3.07,2.9499999999999997
2023-09-19,3.01,3.0,430000,3.01,3.0
2023-09-20,2.98,3.08,334500,3.08,2.98
2023-09-21,3.25,3.06,5385000,3.25,3.06
2023-09-22,3.31,3.3,1318500,3.31,3.3
2023-09-25,3.1599999999999997,3.36,911500,3.36,3.1599999999999997
2023-09-26,3.09,3.11,312500,3.11,3.09
2023-09-27,3.14,3.11,76500,3.14,3.11
2023-09-28,3.07,3.11,99500,3.11,3.07
2023-10-02,3.07,3.12,124500,3.12,3.07
2023-10-03,2.9699999999999998,3.05,554500,3.05,2.9699999999999998
2023-10-04,2.9899999999999998,3.05,137000,3.05,2.9899999999999998
2023-10-05,3.05,3.03,887500,3.05,3.03
2023-10-06,3.02,3.0,564000,3.02,3.0
2023-10-09,3.12,2.9499999999999997,3062000,3.12,2.9499999999999997
2023-10-10,3.1599999999999997,3.1999999999999997,2732500,3.1999999999999997,3.1599999999999997
2023-10-11,3.13,3.1999999999999997,979500,3.1999999999999997,3.13
2023-10-12,3.01,3.1999999999999997,855500,3.1999999999999997,3.01
2023-10-13,3.14,3.02,1141000,3.14,3.02
2023-10-16,3.02,3.1999999999999997,806500,3.1999999999999997,3.02
2023-10-17,3.01,3.14,370500,3.14,3.01
2023-10-18,2.9899999999999998,3.05,564500,3.05,2.9899999999999998
2023-10-19,3.01,3.03,690500,3.03,3.01
2023-10-20,2.98,3.01,390000,3.01,2.98
2023-10-23,2.98,3.01,636000,3.01,2.98
2023-10-24,2.98,3.0,239500,3.0,2.98
2023-10-25,3.0,3.06,603000,3.06,3.0
2023-10-26,2.9699999999999998,3.05,615500,3.05,2.9699999999999998
2023-10-27,2.87,2.9499999999999997,879000,2.9499999999999997,2.87
2023-10-30,2.94,2.9,390500,2.94,2.9
2023-10-31,3.0,2.9899999999999998,960000,3.0,2.9899999999999998
2023-11-01,2.9899999999999998,3.01,665000,3.01,2.9899999999999998
2023-11-02,3.19,2.9099999999999997,7524000,3.19,2.9099999999999997
2023-11-03,3.1799999999999997,3.25,2605000,3.25,3.1799999999999997
2023-11-06,3.14,3.1999999999999997,853500,3.1999999999999997,3.14
2023-11-07,3.11,3.12,1136000,3.12,3.11
2023-11-08,3.07,3.15,1244000,3.15,3.07
2023-11-10,3.09,3.08,1425500,3.09,3.08
2023-11-13,3.09,3.12,1319000,3.12,3.09
2023-11-14,3.06,3.05,663500,3.06,3.05
2023-11-15,3.08,3.06,950500,3.08,3.06
2023-11-16,3.53,3.54,834000,3.54,3.53
2023-11-17,3.55,3.59,1056000,3.59,3.55
2023-11-20,3.57,3.52,961500,3.57,3.52
2023-11-21,3.69,3.6,2530500,3.69,3.6
2023-11-22,3.69,3.6999999999999997,1238500,3.6999999999999997,3.69
