date,close,open,volume,high,low
2021-02-26,481.64,471.5,131400,481.64,471.5
2021-03-01,475.05,480.5,69400,480.5,475.05
2021-03-02,474.28,475.5,33000,475.5,474.28
2021-03-03,472.83,473.0,74600,473.0,472.83
2021-03-04,471.84,470.5,276800,471.84,470.5
2021-03-05,472.24,472.77,59700,472.77,472.24
2021-03-08,461.49,477.5,56700,477.5,461.49
2021-03-09,432.57,463.5,96600,463.5,432.57
2021-03-10,402.29,435.0,136500,435.0,402.29
2021-03-11,408.11,399.5,212000,408.11,399.5
2021-03-12,432.82,420.5,147700,432.82,420.5
2021-03-15,464.18,443.0,251100,464.18,443.0
2021-03-16,472.88,470.49,271500,472.88,470.49
2021-03-17,468.87,479.5,115700,479.5,468.87
2021-03-18,460.66,470.5,146100,470.5,460.66
2021-03-19,470.73,465.5,36600,470.73,465.5
2021-03-22,439.99,445.0,100600,445.0,439.99
2021-03-24,438.72,444.0,109500,444.0,438.72
2021-03-25,440.06,439.0,679400,440.06,439.0
2021-03-26,441.23,439.0,198200,441.23,439.0
2021-03-29,451.22,443.87,438900,451.22,443.87
2021-03-30,444.06,434.0,150800,444.06,434.0
2021-03-31,454.53,447.0,170900,454.53,447.0
2021-04-01,449.26,450.05,54000,450.05,449.26
2021-04-02,442.24,444.25,21200,444.25,442.24
2021-04-05,417.41,434.0,54700,434.0,417.41
2021-04-06,431.87,417.1,54300,431.87,417.1
2021-04-07,428.23,431.89,32200,431.89,428.23
2021-04-08,430.92,428.0,70500,430.92,428.0
2021-04-09,441.45,429.05,296900,441.45,429.05
2021-04-12,436.12,444.0,162200,444.0,436.12
2021-04-13,439.86,430.0,30700,439.86,430.0
2021-04-14,445.28,443.0,97800,445.28,443.0
2021-04-15,445.85,441.5,22900,445.85,441.5
2021-04-16,447.5,445.0,9400,447.5,445.0
2021-04-19,449.44,434.5,33700,449.44,434.5
2021-04-20,447.91,449.0,65000,449.0,447.91
2021-04-21,440.6,448.98,23100,448.98,440.6
2021-04-22,427.46,440.01,54500,440.01,427.46
2021-04-23,422.11,416.0,25100,422.11,416.0
2021-04-26,433.16,422.08,67000,433.16,422.08
2021-04-27,433.29,430.0,43600,433.29,430.0
