date,close,open,volume,high,low
2020-03-06,16.6,16.51,2000,16.6,16.51
2020-03-09,15.46,15.6,3500,15.6,15.46
2020-03-10,16.01,16.4,17500,16.4,16.01
2020-03-11,16.45,16.0,2500,16.45,16.0
2020-03-12,16.45,15.7,2000,16.45,15.7
2020-03-13,15.9,16.0,8000,16.0,15.9
2020-03-16,14.8,15.0,37500,15.0,14.8
2020-03-17,15.5,14.7,45500,15.5,14.7
2020-03-18,14.34,14.37,22500,14.37,14.34
2020-03-19,14.3,13.27,22000,14.3,13.27
2020-03-20,15.0,15.0,500,15.0,15.0
2020-03-24,13.88,13.88,4500,13.88,13.88
2020-03-26,14.48,14.0,4000,14.48,14.0
2020-03-30,15.0,15.45,2000,15.45,15.0
2020-03-31,15.0,14.99,9000,15.0,14.99
2020-04-01,13.91,14.02,85000,14.02,13.91
2020-04-02,13.97,13.3,46500,13.97,13.3
2020-04-03,14.21,14.0,99500,14.21,14.0
2020-04-06,13.62,13.8,21500,13.8,13.62
2020-04-07,13.2,13.5,18500,13.5,13.2
2020-04-08,13.81,13.35,4000,13.81,13.35
2020-04-09,14.49,14.0,14500,14.49,14.0
2020-04-10,14.1,13.81,2000,14.1,13.81
2020-04-14,14.01,13.5,5500,14.01,13.5
2020-04-15,14.0,14.0,2000,14.0,14.0
2020-04-16,13.9,13.9,500,13.9,13.9
2020-04-17,14.94,14.47,40000,14.94,14.47
2020-04-20,15.58,15.38,24000,15.58,15.38
2020-04-21,16.0,16.15,11000,16.15,16.0
2020-04-23,16.2,16.15,5000,16.2,16.15
2020-04-24,15.08,15.2,5000,15.2,15.08
2020-04-27,15.14,14.6,7000,15.14,14.6
2020-04-28,14.01,14.5,4000,14.5,14.01
2020-04-29,14.44,14.25,23000,14.44,14.25
2020-04-30,14.49,14.49,10000,14.49,14.49
2020-05-04,14.39,14.49,3500,14.49,14.39
2020-05-05,14.1,14.5,14000,14.5,14.1
2020-05-06,14.81,14.81,4000,14.81,14.81
2020-05-07,14.5,14.5,5000,14.5,14.5
2020-05-08,14.0,14.01,1000,14.01,14.0
2020-05-11,14.25,14.25,10500,14.25,14.25
2020-05-12,14.87,14.35,30500,14.87,14.35
2020-05-13,14.12,14.12,1000,14.12,14.12
2020-05-14,14.15,14.0,12500,14.15,14.0
2020-05-18,14.7,14.74,1500,14.74,14.7
2020-05-19,14.55,14.85,5500,14.85,14.55
2020-05-20,14.25,14.05,4500,14.25,14.05
2020-05-21,14.63,14.01,57500,14.63,14.01
2020-05-28,14.58,14.02,64500,14.58,14.02
2020-05-29,13.88,14.13,22500,14.13,13.88
2020-06-01,14.01,13.5,41000,14.01,13.5
2020-06-02,14.0,13.9,3000,14.0,13.9
2020-06-03,14.0,14.2,2000,14.2,14.0
2020-06-04,14.0,14.4,3000,14.4,14.0
2020-06-05,13.8,13.9,7000,13.9,13.8
2020-06-08,13.98,13.5,4000,13.98,13.5
2020-06-10,14.01,14.0,49000,14.01,14.0
2020-06-11,14.71,14.4,32500,14.71,14.4
2020-06-12,14.07,14.17,9000,14.17,14.07
2020-06-16,14.2,14.1,40000,14.2,14.1
2020-06-17,13.82,14.2,3500,14.2,13.82
