date,close,open,volume,high,low
2023-09-18,6.9,6.99,455475,6.99,6.9
2023-09-19,6.89,6.9,1366020,6.9,6.89
2023-09-20,6.81,6.85,706790,6.85,6.81
2023-09-21,6.93,6.9,562740,6.93,6.9
2023-09-22,6.93,6.87,1027289,6.93,6.87
2023-09-25,6.91,6.91,1042616,6.91,6.91
2023-09-26,6.93,6.91,3106347,6.93,6.91
2023-09-27,6.93,6.95,1928675,6.95,6.93
2023-09-28,6.7,6.97,3044958,6.97,6.7
2023-10-02,6.84,6.75,1805893,6.84,6.75
2023-10-03,6.87,6.85,1353923,6.87,6.85
2023-10-04,6.89,6.9,1186139,6.9,6.89
2023-10-05,7.14,6.91,6346283,7.14,6.91
2023-10-06,7.3,7.05,11768834,7.3,7.05
2023-10-09,7.43,7.1,8435084,7.43,7.1
2023-10-10,7.51,7.47,7140193,7.51,7.47
2023-10-11,7.49,7.55,4477738,7.55,7.49
2023-10-12,7.23,7.5,3739154,7.5,7.23
2023-10-13,7.31,7.17,4907207,7.31,7.17
2023-10-16,7.34,7.25,4216678,7.34,7.25
2023-10-17,7.19,7.36,1939060,7.36,7.19
2023-10-18,7.13,7.2,3468002,7.2,7.13
2023-10-19,7.17,7.13,1334180,7.17,7.13
2023-10-20,7.18,7.17,3823649,7.18,7.17
2023-10-23,7.14,7.35,1281117,7.35,7.14
2023-10-24,7.12,7.16,770002,7.16,7.12
2023-10-25,7.11,7.24,1350358,7.24,7.11
2023-10-26,7.04,7.08,3191594,7.08,7.04
2023-10-27,6.81,7.05,3829741,7.05,6.81
2023-10-30,6.94,6.8,2592948,6.94,6.8
2023-10-31,6.9,6.95,1676943,6.95,6.9
2023-11-01,7.2,6.91,8003249,7.2,6.91
2023-11-02,7.31,7.32,5932251,7.32,7.31
2023-11-03,7.37,7.31,7603192,7.37,7.31
2023-11-06,7.45,7.35,5300245,7.45,7.35
2023-11-07,7.32,7.55,7439419,7.55,7.32
2023-11-08,7.18,7.34,2737883,7.34,7.18
2023-11-10,7.43,7.3,10641439,7.43,7.3
2023-11-13,7.75,7.4,17733907,7.75,7.4
2023-11-14,7.82,7.66,12895676,7.82,7.66
