date,close,open,volume,high,low
2021-02-26,84.04,84.5,1802000,84.5,84.04
2021-03-01,84.5,85.4,1359500,85.4,84.5
2021-03-02,91.79,85.0,3497000,91.79,85.0
2021-03-03,89.51,92.8,1765000,92.8,89.51
2021-03-04,89.33,85.0,3493000,89.33,85.0
2021-03-05,90.03,90.56,1996500,90.56,90.03
2021-03-08,86.2,92.0,1912000,92.0,86.2
2021-03-09,82.66,85.75,2273500,85.75,82.66
2021-03-10,79.65,82.85,1208500,82.85,79.65
2021-03-11,76.48,79.01,1644000,79.01,76.48
2021-03-12,81.64,77.89,1551500,81.64,77.89
2021-03-15,88.96,85.0,1840000,88.96,85.0
2021-03-16,86.6,90.0,977000,90.0,86.6
2021-03-17,88.23,87.99,962500,88.23,87.99
2021-03-18,85.32,88.01,639500,88.01,85.32
2021-03-19,86.8,84.35,695500,86.8,84.35
2021-03-22,86.63,87.0,1108500,87.0,86.63
2021-03-24,67.05,66.25,732500,67.05,66.25
2021-03-25,66.27,67.5,421000,67.5,66.27
2021-03-26,66.32,65.25,702000,66.32,65.25
2021-03-29,60.84,65.9,827000,65.9,60.84
2021-03-30,61.730000000000004,61.0,547500,61.730000000000004,61.0
2021-03-31,61.66,62.519999999999996,549000,62.519999999999996,61.66
2021-04-01,60.44,61.0,219500,61.0,60.44
2021-04-02,59.91,60.5,248500,60.5,59.91
2021-04-05,54.730000000000004,59.209999999999994,630000,59.209999999999994,54.730000000000004
2021-04-06,57.260000000000005,53.519999999999996,295000,57.260000000000005,53.519999999999996
2021-04-07,59.16,57.599999999999994,435500,59.16,57.599999999999994
2021-04-08,62.239999999999995,59.81,185500,62.239999999999995,59.81
2021-04-09,67.33,62.5,1724000,67.33,62.5
2021-04-12,67.76,68.04,1267000,68.04,67.76
2021-04-13,66.77,68.5,837500,68.5,66.77
2021-04-14,66.0,67.0,1141000,67.0,66.0
2021-04-15,64.56,66.0,91500,66.0,64.56
2021-04-16,64.74,64.0,102500,64.74,64.0
2021-04-19,63.14,63.0,163500,63.14,63.0
2021-04-20,65.01,63.599999999999994,418500,65.01,63.599999999999994
2021-04-21,63.519999999999996,64.2,153500,64.2,63.519999999999996
2021-04-22,60.95,63.150000000000006,265000,63.150000000000006,60.95
2021-04-23,59.269999999999996,59.11,93500,59.269999999999996,59.11
2021-04-26,62.31999999999999,58.5,749500,62.31999999999999,58.5
2021-04-27,60.290000000000006,62.33,166000,62.33,60.290000000000006
2021-04-28,61.06999999999999,60.0,341500,61.06999999999999,60.0
2021-04-29,64.15,59.510000000000005,1302000,64.15,59.510000000000005
2021-04-30,62.18000000000001,64.05,354500,64.05,62.18000000000001
2021-05-03,60.09,61.010000000000005,349500,61.010000000000005,60.09
2021-05-04,60.7,60.25,230000,60.7,60.25
2021-05-05,61.53,61.010000000000005,200000,61.53,61.010000000000005
2021-05-06,63.08,61.150000000000006,166000,63.08,61.150000000000006
2021-05-17,64.71,63.099999999999994,389000,64.71,63.099999999999994
2021-05-18,64.65,63.5,395000,64.65,63.5
2021-05-19,68.65,64.7,2390000,68.65,64.7
2021-05-20,75.44,69.4,4229000,75.44,69.4
2021-05-21,78.94,76.0,3035500,78.94,76.0
2021-05-24,77.46,80.0,753000,80.0,77.46
2021-05-25,74.95,77.02,720500,77.02,74.95
2021-05-26,74.16,75.1,712000,75.1,74.16
2021-05-27,72.94,74.01,686000,74.01,72.94
2021-05-28,77.34,72.3,1089000,77.34,72.3
2021-05-31,83.69,78.5,3007500,83.69,78.5
2021-06-01,84.26,83.5,1393000,84.26,83.5
2021-06-02,84.93,83.0,998500,84.93,83.0
2021-06-03,91.64,84.5,2149000,91.64,84.5
2021-06-04,95.43,92.0,3319500,95.43,92.0
2021-06-07,96.13,98.0,2116500,98.0,96.13
2021-06-08,94.82,95.9,2053500,95.9,94.82
2021-06-09,91.72,95.0,762000,95.0,91.72
2021-06-10,91.89,92.0,957500,92.0,91.89
2021-06-11,91.23,92.11,1366000,92.11,91.23
2021-06-14,93.02,94.01,1297000,94.01,93.02
2021-06-15,92.81,92.01,711500,92.81,92.01
2021-06-16,91.67,93.9,248500,93.9,91.67
2021-06-17,90.1,92.49,614000,92.49,90.1
2021-06-18,90.26,90.1,340000,90.26,90.1
2021-06-21,88.78,90.03,498000,90.03,88.78
2021-06-22,86.98,88.0,287500,88.0,86.98
2021-06-23,83.85,86.15,393000,86.15,83.85
2021-06-24,84.85,83.4,881000,84.85,83.4
2021-06-25,83.32,85.25,592500,85.25,83.32
2021-06-28,81.59,83.0,454500,83.0,81.59
2021-06-29,85.48,81.89,505000,85.48,81.89
2021-06-30,84.38,85.5,188500,85.5,84.38
2021-07-01,86.79,85.39,403000,86.79,85.39
2021-07-02,85.71,88.75,172600,88.75,85.71
2021-07-05,82.96,85.51,262400,85.51,82.96
2021-07-06,81.28,83.0,235100,83.0,81.28
2021-07-07,83.3,82.34,240300,83.3,82.34
2021-07-08,86.28,84.0,465400,86.28,84.0
2021-07-09,83.98,86.5,106500,86.5,83.98
2021-07-12,83.43,84.69,169300,84.69,83.43
2021-07-13,82.85,83.74,161200,83.74,82.85
2021-07-14,82.38,83.95,208600,83.95,82.38
2021-07-15,83.1,82.15,92300,83.1,82.15
2021-07-16,83.18,83.0,127100,83.18,83.0
2021-07-19,82.56,82.6,203400,82.6,82.56
2021-07-23,83.46,82.5,275000,83.46,82.5
2021-07-26,82.61,82.5,127700,82.61,82.5
2021-07-27,82.04,82.5,107000,82.5,82.04
2021-07-28,80.1,82.5,205400,82.5,80.1
2021-07-29,79.13,79.75,326800,79.75,79.13
2021-07-30,78.06,79.0,347400,79.0,78.06
2021-08-02,85.56,78.2,614200,85.56,78.2
2021-08-03,87.98,86.97,1349800,87.98,86.97
2021-08-04,88.64,88.69,878200,88.69,88.64
2021-08-05,86.02,87.13,222000,87.13,86.02
2021-08-06,87.12,86.1,334100,87.12,86.1
2021-08-09,86.16,87.51,252500,87.51,86.16
2021-08-10,86.11,86.0,265200,86.11,86.0
2021-08-11,84.8,86.97,162200,86.97,84.8
2021-08-12,83.51,83.9,307400,83.9,83.51
2021-08-13,81.8,83.51,201800,83.51,81.8
2021-08-16,82.45,81.8,248900,82.45,81.8
2021-08-17,83.52,83.0,133300,83.52,83.0
2021-08-20,84.46,85.97,127600,85.97,84.46
2021-08-23,84.14,84.98,128200,84.98,84.14
2021-08-24,82.99,84.25,241700,84.25,82.99
2021-08-25,81.58,83.25,179200,83.25,81.58
2021-08-26,81.1,81.99,274200,81.99,81.1
2021-08-27,79.43,80.85,436600,80.85,79.43
2021-08-30,81.21,80.97,147800,81.21,80.97
2021-08-31,82.38,82.0,173900,82.38,82.0
2021-09-01,85.6,82.99,354300,85.6,82.99
2021-09-02,82.78,86.0,399200,86.0,82.78
2021-09-03,83.11,81.5,98900,83.11,81.5
2021-09-06,81.59,82.25,73000,82.25,81.59
2021-09-07,80.2,81.99,225800,81.99,80.2
2021-09-08,80.11,80.6,158400,80.6,80.11
2021-09-09,79.85,80.12,150700,80.12,79.85
2021-09-10,82.22,80.99,344000,82.22,80.99
2021-09-13,84.37,83.0,219800,84.37,83.0
2021-09-14,83.24,84.51,332600,84.51,83.24
2021-09-15,82.04,83.1,180400,83.1,82.04
2021-09-16,82.15,82.9,182400,82.9,82.15
2021-09-17,80.61,83.4,433800,83.4,80.61
2021-09-20,84.49,83.55,1555800,84.49,83.55
2021-09-21,82.09,84.5,631800,84.5,82.09
2021-09-22,81.19,82.1,903000,82.1,81.19
2021-09-23,82.31,81.5,399900,82.31,81.5
2021-09-24,82.63,81.7,292700,82.63,81.7
2021-09-27,81.95,82.6,157100,82.6,81.95
2021-09-28,80.1,82.95,526600,82.95,80.1
2021-09-29,77.47,80.0,372400,80.0,77.47
2021-09-30,79.45,76.75,148000,79.45,76.75
2021-10-01,80.73,78.5,228500,80.73,78.5
2021-10-04,82.32,80.74,226000,82.32,80.74
2021-10-05,82.05,82.35,166900,82.35,82.05
2021-10-06,82.06,82.0,102800,82.06,82.0
2021-10-07,81.54,82.06,126000,82.06,81.54
2021-10-08,81.03,81.56,101500,81.56,81.03
2021-10-11,79.16,80.8,172300,80.8,79.16
2021-10-12,78.12,79.16,188900,79.16,78.12
2021-10-13,78.87,78.5,248600,78.87,78.5
2021-10-14,80.1,80.87,187500,80.87,80.1
2021-10-15,79.95,79.5,279900,79.95,79.5
2021-10-18,79.82,79.0,570300,79.82,79.0
2021-10-20,69.09,68.1,137000,69.09,68.1
2021-10-21,79.69,81.5,78700,81.5,79.69
2021-10-22,78.88,79.6,105200,79.6,78.88
2021-10-25,78.94,79.7,71400,79.7,78.94
2021-10-26,79.68,79.0,62800,79.68,79.0
2021-10-27,79.96,80.0,62400,80.0,79.96
2021-10-28,86.7,80.0,272300,86.7,80.0
2021-10-29,93.95,93.95,498900,93.95,93.95
2021-11-01,99.43,101.74,1998200,101.74,99.43
2021-11-02,101.37,100.49,1075300,101.37,100.49
2021-11-03,100.52,100.25,502600,100.52,100.25
2021-11-04,98.88,100.65,191500,100.65,98.88
2021-11-05,98.95,98.5,277500,98.95,98.5
2021-11-08,96.53,97.75,433300,97.75,96.53
2021-11-09,93.35,96.54,836000,96.54,93.35
2021-11-10,97.69,93.25,571400,97.69,93.25
2021-11-11,96.74,97.89,312100,97.89,96.74
2021-11-12,95.08,96.0,271200,96.0,95.08
2021-11-15,94.5,94.5,145000,94.5,94.5
2021-11-16,96.08,94.5,166800,96.08,94.5
2021-11-17,94.34,96.08,102600,96.08,94.34
2021-11-18,96.28,95.0,248800,96.28,95.0
2021-11-19,96.16,96.25,216400,96.25,96.16
2021-11-22,94.93,94.11,89400,94.93,94.11
2021-11-23,92.7,93.0,173400,93.0,92.7
2021-11-24,90.59,92.16,170900,92.16,90.59
2021-11-25,91.33,91.8,100600,91.8,91.33
2021-11-26,93.28,92.0,280400,93.28,92.0
2021-11-29,95.95,91.25,362900,95.95,91.25
2021-11-30,94.87,96.0,209500,96.0,94.87
2021-12-01,94.99,96.35,74900,96.35,94.99
2021-12-02,88.33,92.85,602900,92.85,88.33
2021-12-03,87.77,87.99,336000,87.99,87.77
2021-12-06,88.1,86.01,232900,88.1,86.01
2021-12-07,89.46,88.99,110000,89.46,88.99
2021-12-08,90.97,89.52,62300,90.97,89.52
2021-12-09,89.24,90.3,125200,90.3,89.24
2021-12-10,90.19,87.3,282100,90.19,87.3
2021-12-13,89.78,91.0,275700,91.0,89.78
2021-12-14,91.9,89.01,204200,91.9,89.01
2021-12-15,96.78,93.88,785100,96.78,93.88
2021-12-16,94.5,96.01,78300,96.01,94.5
2021-12-17,96.0,95.29,372200,96.0,95.29
2021-12-20,99.12,96.95,265600,99.12,96.95
2021-12-21,97.95,99.0,275300,99.0,97.95
2021-12-22,97.29,99.25,62400,99.25,97.29
2021-12-23,97.37,97.03,120500,97.37,97.03
2021-12-24,96.03,97.37,103800,97.37,96.03
2021-12-27,95.97,95.1,28200,95.97,95.1
2021-12-28,96.12,96.83,73600,96.83,96.12
2021-12-29,96.84,96.01,39600,96.84,96.01
2021-12-30,96.87,97.78,149000,97.78,96.87
2021-12-31,98.52,96.95,406000,98.52,96.95
2022-01-03,104.95,97.4,569600,104.95,97.4
2022-01-04,105.2,105.05,341200,105.2,105.05
2022-01-05,105.06,105.97,100900,105.97,105.06
2022-01-06,102.61,105.4,138700,105.4,102.61
2022-01-07,102.0,103.0,206700,103.0,102.0
2022-01-10,104.66,102.0,386100,104.66,102.0
2022-01-11,104.43,104.2,86800,104.43,104.2
2022-01-12,104.05,104.05,168900,104.05,104.05
2022-01-13,104.74,104.0,67700,104.74,104.0
2022-01-14,104.2,105.77,198400,105.77,104.2
2022-01-17,104.62,104.0,262200,104.62,104.0
2022-01-18,105.26,104.5,360800,105.26,104.5
2022-01-19,104.08,105.5,891600,105.5,104.08
2022-01-20,108.7,103.1,709400,108.7,103.1
2022-01-21,115.14,109.5,2171100,115.14,109.5
2022-01-24,113.2,117.11,509200,117.11,113.2
2022-01-25,113.02,112.75,201800,113.02,112.75
2022-01-26,113.79,113.5,752800,113.79,113.5
2022-01-27,109.46,115.9,415300,115.9,109.46
2022-01-28,110.35,109.7,1394300,110.35,109.7
2022-01-31,109.85,111.0,178300,111.0,109.85
2022-02-01,111.74,110.1,266800,111.74,110.1
2022-02-02,116.37,112.5,934600,116.37,112.5
2022-02-03,117.95,116.8,1960200,117.95,116.8
2022-02-04,120.0,116.8,1396500,120.0,116.8
2022-02-07,117.51,120.0,150200,120.0,117.51
2022-02-08,117.84,116.5,350500,117.84,116.5
2022-02-09,119.27000000000001,117.5,743400,119.27000000000001,117.5
2022-02-10,117.77,121.19,952000,121.19,117.77
2022-02-11,115.11,117.5,349800,117.5,115.11
2022-02-14,107.35,113.51,956700,113.51,107.35
2022-02-15,111.56,108.45,852300,111.56,108.45
2022-02-16,111.46,113.47,249400,113.47,111.46
2022-02-17,112.91,110.5,497000,112.91,110.5
2022-02-18,112.98,112.89,78500,112.98,112.89
2022-02-21,116.24,113.1,878900,116.24,113.1
2022-02-22,114.45,116.24,371800,116.24,114.45
2022-02-23,114.97,114.6,165800,114.97,114.6
2022-02-24,110.07,111.99,327900,111.99,110.07
2022-02-25,118.05000000000001,112.9,3390800,118.05000000000001,112.9
2022-02-28,118.91,116.5,1034400,118.91,116.5
