date,close,open,volume,high,low
2023-09-18,10.46,10.15,310000,10.46,10.15
2023-09-19,10.51,10.11,104500,10.51,10.11
2023-09-20,10.39,10.11,9500,10.39,10.11
2023-09-21,10.48,10.16,289500,10.48,10.16
2023-09-22,10.87,10.5,500000,10.87,10.5
2023-09-25,11.87,10.87,4528000,11.87,10.87
2023-09-26,12.57,12.5,4351500,12.57,12.5
2023-09-27,12.37,13.0,2326000,13.0,12.37
2023-09-28,12.07,12.35,800500,12.35,12.07
2023-10-02,11.95,11.76,758500,11.95,11.76
2023-10-03,11.98,11.99,305000,11.99,11.98
2023-10-04,11.98,12.2,157000,12.2,11.98
2023-10-05,12.83,12.0,1467000,12.83,12.0
2023-10-06,13.32,12.85,1431000,13.32,12.85
2023-10-09,13.38,12.7,742000,13.38,12.7
2023-10-10,13.29,13.44,544000,13.44,13.29
2023-10-11,13.11,13.6,440500,13.6,13.11
2023-10-12,12.96,13.25,534500,13.25,12.96
2023-10-13,13.55,13.25,1849000,13.55,13.25
2023-10-16,13.66,13.9,1165500,13.9,13.66
2023-10-17,13.28,13.51,996000,13.51,13.28
2023-10-18,13.24,13.2,246000,13.24,13.2
2023-10-19,13.3,13.11,522000,13.3,13.11
2023-10-20,13.38,13.35,390000,13.38,13.35
2023-10-23,13.52,13.58,237500,13.58,13.52
2023-10-24,13.49,13.3,125500,13.49,13.3
2023-10-25,13.54,13.69,385000,13.69,13.54
2023-10-26,14.05,13.5,3995500,14.05,13.5
2023-10-27,15.25,14.2,2706500,15.25,14.2
2023-10-30,15.43,16.24,2452000,16.24,15.43
2023-10-31,14.55,15.25,1192500,15.25,14.55
2023-11-01,14.82,14.600000000000001,520500,14.82,14.600000000000001
2023-11-02,14.969999999999999,14.95,494000,14.969999999999999,14.95
2023-11-03,14.64,14.969999999999999,237000,14.969999999999999,14.64
2023-11-06,15.010000000000002,14.7,2382500,15.010000000000002,14.7
2023-11-07,14.629999999999999,15.010000000000002,930500,15.010000000000002,14.629999999999999
2023-11-08,14.8,14.629999999999999,1834000,14.8,14.629999999999999
2023-11-10,14.940000000000001,14.96,516500,14.96,14.940000000000001
2023-11-13,15.02,15.02,1508500,15.02,15.02
2023-11-14,15.280000000000001,14.899999999999999,1360000,15.280000000000001,14.899999999999999
2023-11-15,15.260000000000002,15.48,447500,15.48,15.260000000000002
2023-11-16,15.16,15.309999999999999,633500,15.309999999999999,15.16
2023-11-17,14.89,15.2,748000,15.2,14.89
2023-11-20,14.780000000000001,14.899999999999999,4542000,14.899999999999999,14.780000000000001
2023-11-21,14.940000000000001,14.969999999999999,530000,14.969999999999999,14.940000000000001
2023-11-22,14.93,14.89,806500,14.93,14.89
