date,close,open,volume,high,low
2021-02-26,32.17,32.79,1579500,32.79,32.17
2021-03-01,32.02,32.01,2599000,32.02,32.01
2021-03-02,34.33,32.65,5633000,34.33,32.65
2021-03-03,32.27,35.0,2348500,35.0,32.27
2021-03-04,31.15,30.94,788500,31.15,30.94
2021-03-05,30.98,31.5,415500,31.5,30.98
2021-03-08,30.31,31.85,1103000,31.85,30.31
2021-03-09,29.18,30.21,902500,30.21,29.18
2021-03-10,27.94,29.49,1172500,29.49,27.94
2021-03-11,26.69,27.92,788500,27.92,26.69
2021-03-12,27.98,27.47,749500,27.98,27.47
2021-03-15,29.0,28.8,373000,29.0,28.8
2021-03-16,29.33,28.75,350500,29.33,28.75
2021-03-17,30.24,30.0,607500,30.24,30.0
2021-03-18,30.76,30.9,1095500,30.9,30.76
2021-03-19,30.94,30.51,292000,30.94,30.51
2021-03-22,31.3,30.82,471500,31.3,30.82
2021-03-24,31.47,31.01,873500,31.47,31.01
2021-03-25,31.48,31.2,828000,31.48,31.2
2021-03-26,30.92,31.0,656000,31.0,30.92
2021-03-29,28.74,30.65,297000,30.65,28.74
2021-03-30,29.7,28.78,512500,29.7,28.78
2021-03-31,30.56,30.0,1169000,30.56,30.0
2021-04-01,31.26,30.02,1528500,31.26,30.02
2021-04-02,30.92,31.39,2877500,31.39,30.92
2021-04-05,29.25,31.19,720500,31.19,29.25
2021-04-06,30.43,29.16,647500,30.43,29.16
2021-04-07,29.74,30.7,331500,30.7,29.74
2021-04-08,29.84,29.65,186500,29.84,29.65
2021-04-09,29.56,29.99,3570500,29.99,29.56
2021-04-12,29.49,29.56,596000,29.56,29.49
2021-04-13,28.91,29.0,395500,29.0,28.91
2021-04-14,29.18,29.06,264000,29.18,29.06
2021-04-15,29.99,29.02,677000,29.99,29.02
2021-04-16,30.15,29.71,1122000,30.15,29.71
2021-04-19,30.54,29.61,918500,30.54,29.61
2021-04-20,30.17,30.8,2845000,30.8,30.17
2021-04-21,29.99,30.43,641500,30.43,29.99
2021-04-22,29.9,29.85,679500,29.9,29.85
2021-04-23,28.71,29.75,2797000,29.75,28.71
2021-04-26,27.87,27.81,1009000,27.87,27.81
2021-04-27,27.0,28.0,1030500,28.0,27.0
2021-04-28,27.74,27.39,881500,27.74,27.39
2021-04-29,28.73,27.76,690500,28.73,27.76
2021-04-30,28.14,28.51,336000,28.51,28.14
2021-05-03,27.99,27.71,279000,27.99,27.71
2021-05-04,27.87,28.0,90000,28.0,27.87
2021-05-05,28.59,28.0,862500,28.59,28.0
2021-05-06,28.85,28.35,304000,28.85,28.35
2021-05-17,28.74,28.51,366000,28.74,28.51
2021-05-18,28.19,28.75,540000,28.75,28.19
2021-05-19,28.01,28.02,785000,28.02,28.01
2021-05-20,28.5,28.01,406000,28.5,28.01
2021-05-21,28.55,28.88,251000,28.88,28.55
2021-05-24,28.55,28.67,384500,28.67,28.55
2021-05-25,28.4,28.6,399500,28.6,28.4
2021-05-26,28.64,28.75,454000,28.75,28.64
2021-05-27,28.35,28.97,493500,28.97,28.35
2021-05-28,30.47,28.4,5589000,30.47,28.4
2021-05-31,32.75,32.7,4666500,32.75,32.7
2021-06-01,35.2,33.45,12337000,35.2,33.45
2021-06-02,37.56,36.9,13298500,37.56,36.9
2021-06-03,37.17,37.37,5941000,37.37,37.17
2021-06-04,36.24,37.16,942500,37.16,36.24
2021-06-07,36.65,36.2,5527000,36.65,36.2
2021-06-08,35.4,37.4,762500,37.4,35.4
2021-06-09,33.89,35.02,1138000,35.02,33.89
2021-06-10,34.86,34.0,1310500,34.86,34.0
2021-06-11,37.35,35.45,3807500,37.35,35.45
2021-06-14,38.79,38.8,7776500,38.8,38.79
2021-06-15,36.79,38.95,3848000,38.95,36.79
2021-06-16,36.61,37.0,1185500,37.0,36.61
2021-06-17,34.5,36.62,4788000,36.62,34.5
2021-06-18,35.65,34.7,1938000,35.65,34.7
2021-06-21,35.0,35.98,288500,35.98,35.0
2021-06-22,34.9,34.9,526000,34.9,34.9
2021-06-23,34.78,34.62,1172500,34.78,34.62
2021-06-24,36.28,35.2,3594000,36.28,35.2
2021-06-25,36.79,36.9,3144500,36.9,36.79
2021-06-28,36.04,37.5,1803000,37.5,36.04
