date,close,open,volume,high,low
2024-05-20,16.5,18.0,648538,18.0,16.5
2024-05-21,16.41,16.5,315682,16.5,16.41
2024-05-22,16.17,16.5,377100,16.5,16.17
2024-05-23,16.22,16.3,9000,16.3,16.22
2024-05-24,15.81,15.1,2150,15.81,15.1
2024-05-27,16.05,15.92,5550,16.05,15.92
2024-05-29,15.35,15.05,1925,15.35,15.05
2024-05-30,15.26,15.4,2000,15.4,15.26
2024-05-31,15.26,15.92,11,15.92,15.26
2024-06-03,15.59,15.1,742,15.59,15.1
2024-06-04,15.51,15.9,3366,15.9,15.51
2024-06-05,15.51,16.0,370,16.0,15.51
2024-06-06,15.69,15.11,4601,15.69,15.11
2024-06-07,15.6,15.03,8587,15.6,15.03
2024-06-10,15.42,15.0,6864,15.42,15.0
2024-06-11,15.38,15.01,17200,15.38,15.01
2024-06-12,14.9,14.07,13323,14.9,14.07
2024-06-13,15.41,15.28,12507,15.41,15.28
2024-06-14,15.8,14.15,13721,15.8,14.15
2024-06-20,15.61,15.0,20006,15.61,15.0
2024-06-21,15.79,15.05,5092,15.79,15.05
2024-06-24,14.87,14.7,1003,14.87,14.7
2024-06-25,15.22,15.84,14633,15.84,15.22
2024-06-26,15.56,14.02,7816,15.56,14.02
2024-06-27,15.54,15.95,36802,15.95,15.54
2024-06-28,15.0,14.36,4078,15.0,14.36
2024-07-01,15.45,15.95,2562,15.95,15.45
2024-07-02,15.14,15.39,2840,15.39,15.14
2024-07-03,15.2,15.0,1620,15.2,15.0
2024-07-04,15.18,15.64,13384,15.64,15.18
2024-07-05,15.08,15.0,1401,15.08,15.0
2024-07-08,14.81,15.01,4500,15.01,14.81
2024-07-09,14.8,14.81,10699,14.81,14.8
2024-07-10,14.75,14.8,1168,14.8,14.75
2024-07-11,14.6,14.6,1500,14.6,14.6
2024-07-12,14.5,14.3,2401,14.5,14.3
2024-07-15,14.45,14.6,800,14.6,14.45
2024-07-18,14.7,14.7,3184,14.7,14.7
2024-07-19,14.28,14.5,4900,14.5,14.28
2024-07-22,13.46,13.3,2115,13.46,13.3
2024-07-23,13.46,13.7,1502,13.7,13.46
2024-07-24,14.05,14.05,1000,14.05,14.05
2024-07-25,13.75,13.8,13497,13.8,13.75
2024-07-26,14.0,14.0,500,14.0,14.0
2024-07-29,13.51,13.5,3908,13.51,13.5
2024-07-30,14.1,13.93,1976,14.1,13.93
2024-07-31,14.38,14.1,12727,14.38,14.1
2024-08-01,14.3,14.29,10000,14.3,14.29
2024-08-02,15.0,14.5,6000,15.0,14.5
2024-08-05,15.69,14.5,34711,15.69,14.5
2024-08-06,15.56,14.31,11623,15.56,14.31
2024-08-07,15.93,15.6,5000,15.93,15.6
2024-08-08,15.91,14.5,6200,15.91,14.5
2024-08-09,15.84,15.0,15300,15.84,15.0
2024-08-12,15.54,14.55,9000,15.54,14.55
2024-08-13,14.42,14.6,2500,14.6,14.42
2024-08-15,14.2,14.11,5250,14.2,14.11
2024-08-16,14.25,14.2,2800,14.25,14.2
2024-08-19,15.39,14.32,10011,15.39,14.32
2024-08-20,14.7,14.5,10376,14.7,14.5
2024-08-21,15.78,15.0,19114,15.78,15.0
2024-08-22,16.0,15.78,5300,16.0,15.78
2024-08-23,15.82,15.0,6500,15.82,15.0
2024-08-26,15.71,15.0,78435,15.71,15.0
2024-08-27,14.14,14.17,58200,14.17,14.14
2024-08-28,14.14,14.2,10,14.2,14.14
2024-08-29,13.6,14.0,8863,14.0,13.6
2024-08-30,13.55,14.44,1610,14.44,13.55
2024-09-02,14.72,14.47,14414,14.72,14.47
2024-09-03,14.7,14.6,2414,14.7,14.6
2024-09-04,14.6,15.3,2750,15.3,14.6
2024-09-05,14.92,14.8,10700,14.92,14.8
2024-09-06,15.22,14.4,80602,15.22,14.4
2024-09-09,14.93,14.98,1051,14.98,14.93
2024-09-10,14.03,14.5,326584,14.5,14.03
2024-09-11,13.56,14.0,8951,14.0,13.56
2024-09-12,14.33,13.5,13305,14.33,13.5
2024-09-13,14.33,0.0,2,14.33,0.0
2024-09-16,13.59,13.51,10538,13.59,13.51
2024-09-18,13.62,13.59,6007,13.62,13.59
2024-09-19,13.55,13.85,13507,13.85,13.55
2024-09-20,13.7,13.55,4018,13.7,13.55
2024-09-23,13.5,13.75,14550,13.75,13.5
2024-09-24,13.5,0.0,0,13.5,0.0
2024-09-25,13.5,13.2,4882,13.5,13.2
2024-09-26,13.22,13.5,1755,13.5,13.22
2024-09-27,13.22,13.22,1000,13.22,13.22
2024-09-30,14.0,12.0,276549,14.0,12.0
2024-10-01,13.51,14.2,4051,14.2,13.51
2024-10-02,13.6,13.8,5723,13.8,13.6
2024-10-03,14.23,13.65,15498,14.23,13.65
2024-10-04,14.3,13.6,4600,14.3,13.6
2024-10-07,14.47,14.48,6000,14.48,14.47
2024-10-08,14.38,13.53,2810,14.38,13.53
2024-10-09,14.14,14.31,12102,14.31,14.14
2024-10-10,14.06,14.0,1150,14.06,14.0
2024-10-11,14.46,14.06,8000,14.46,14.06
2024-10-14,14.49,15.0,4700,15.0,14.49
2024-10-15,13.51,14.75,26670,14.75,13.51
2024-10-16,13.01,13.51,17435,13.51,13.01
2024-10-17,13.0,13.0,18920,13.0,13.0
2024-10-18,13.0,13.05,2200,13.05,13.0
2024-10-21,13.7,13.2,7500,13.7,13.2
2024-10-22,13.7,13.66,3883,13.7,13.66
2024-10-23,14.24,13.6,4707,14.24,13.6
2024-10-24,13.65,14.2,1500,14.2,13.65
2024-10-25,13.63,13.4,1210,13.63,13.4
2024-10-28,13.15,13.51,17260,13.51,13.15
2024-10-29,13.73,13.2,5510,13.73,13.2
2024-10-30,13.73,13.5,105,13.73,13.5
2024-11-01,14.21,13.6,15115,14.21,13.6
2024-11-04,14.3,14.0,20450,14.3,14.0
