date,close,open,volume,high,low
2020-12-29,9.91,9.98,50500,9.98,9.91
2020-12-30,10.0,9.78,6000,10.0,9.78
2020-12-31,10.15,9.76,278000,10.15,9.76
2021-01-01,10.22,10.0,48000,10.22,10.0
2021-01-04,10.17,9.77,27500,10.17,9.77
2021-01-05,10.07,10.0,16000,10.07,10.0
2021-01-06,10.09,10.0,49000,10.09,10.0
2021-01-07,10.11,9.86,51000,10.11,9.86
2021-01-08,10.11,9.9,60500,10.11,9.9
2021-01-11,10.07,9.86,53500,10.07,9.86
2021-01-12,10.0,9.86,100000,10.0,9.86
2021-01-13,9.97,9.92,118000,9.97,9.92
2021-01-14,9.97,9.95,46500,9.97,9.95
2021-01-15,9.98,9.85,54000,9.98,9.85
2021-01-18,9.94,9.75,130000,9.94,9.75
2021-01-19,9.97,9.85,108000,9.97,9.85
2021-01-20,9.9,9.75,61000,9.9,9.75
2021-01-21,9.85,9.88,121000,9.88,9.85
2021-01-22,9.94,9.9,170500,9.94,9.9
2021-01-25,9.92,9.77,161500,9.92,9.77
2021-01-26,9.94,10.23,77500,10.23,9.94
2021-01-27,9.94,9.97,11000,9.97,9.94
2021-01-28,9.77,9.85,45000,9.85,9.77
2021-01-29,9.88,9.75,99000,9.88,9.75
2021-02-01,9.98,9.97,10000,9.98,9.97
2021-02-02,9.98,9.96,12000,9.98,9.96
2021-02-03,9.98,9.88,16000,9.98,9.88
2021-02-04,9.98,9.85,15500,9.98,9.85
2021-02-08,9.97,9.97,19500,9.97,9.97
2021-02-09,9.84,9.8,130000,9.84,9.8
2021-02-10,9.97,9.84,29500,9.97,9.84
2021-02-11,9.89,9.78,90000,9.89,9.78
2021-02-12,9.91,9.98,105000,9.98,9.91
2021-02-15,9.89,9.81,154500,9.89,9.81
2021-02-16,9.86,9.75,61000,9.86,9.75
2021-02-17,9.88,9.75,103000,9.88,9.75
2021-02-18,9.9,9.67,81000,9.9,9.67
2021-02-19,10.0,9.97,52000,10.0,9.97
2021-02-22,9.89,10.01,182500,10.01,9.89
2021-02-23,9.91,9.8,136500,9.91,9.8
2021-02-24,9.92,9.75,169000,9.92,9.75
2021-02-25,9.86,9.8,118000,9.86,9.8
2021-02-26,9.89,9.89,25500,9.89,9.89
2021-03-01,9.85,9.85,100000,9.85,9.85
2021-03-02,9.84,9.71,69500,9.84,9.71
2021-03-03,9.85,9.8,22000,9.85,9.8
2021-03-04,9.93,9.72,44000,9.93,9.72
2021-03-05,10.0,9.83,16500,10.0,9.83
2021-03-08,10.0,9.99,22500,10.0,9.99
2021-03-09,9.99,9.81,17000,9.99,9.81
2021-03-10,9.97,9.85,8500,9.97,9.85
2021-03-11,9.91,9.8,35500,9.91,9.8
2021-03-12,9.94,9.75,15500,9.94,9.75
2021-03-15,9.94,9.75,35500,9.94,9.75
2021-03-16,9.9,9.75,80500,9.9,9.75
2021-03-17,9.91,9.91,62500,9.91,9.91
2021-03-18,9.97,9.98,7500,9.98,9.97
2021-03-19,9.84,9.75,100000,9.84,9.75
2021-03-22,9.94,9.8,11000,9.94,9.8
2021-03-24,9.94,9.89,35000,9.94,9.89
2021-03-25,10.55,9.94,264500,10.55,9.94
2021-03-26,10.56,11.48,139000,11.48,10.56
2021-03-29,10.38,10.5,72500,10.5,10.38
2021-03-31,9.92,9.7,119000,9.92,9.7
2021-04-01,9.76,9.75,8000,9.76,9.75
2021-04-02,9.94,9.71,15000,9.94,9.71
2021-04-05,9.88,9.7,32000,9.88,9.7
2021-04-06,10.41,9.72,8500,10.41,9.72
2021-04-07,10.3,10.3,2500,10.3,10.3
2021-04-08,10.11,11.0,19000,11.0,10.11
2021-04-09,10.48,9.8,36000,10.48,9.8
2021-04-12,10.81,9.87,93500,10.81,9.87
2021-04-13,10.51,11.49,110000,11.49,10.51
2021-04-14,11.25,11.25,10000,11.25,11.25
2021-04-15,10.53,10.32,23000,10.53,10.32
2021-04-16,10.5,10.5,1000,10.5,10.5
2021-04-19,10.31,9.85,3000,10.31,9.85
2021-04-20,10.3,10.3,1000,10.3,10.3
2021-04-21,10.5,10.42,14000,10.5,10.42
2021-04-22,10.45,11.28,39500,11.28,10.45
2021-04-23,10.05,10.05,1000,10.05,10.05
2021-04-26,10.89,9.95,10500,10.89,9.95
2021-04-27,10.79,11.0,39000,11.0,10.79
2021-04-28,10.5,10.5,14000,10.5,10.5
2021-04-29,10.6,10.55,6000,10.6,10.55
2021-04-30,10.65,10.85,5500,10.85,10.65
2021-05-04,10.29,10.25,26500,10.29,10.25
2021-05-05,10.84,10.98,2000,10.98,10.84
2021-05-17,10.84,10.84,1500,10.84,10.84
2021-05-18,10.31,10.5,2500,10.5,10.31
2021-05-19,10.45,9.86,2500,10.45,9.86
2021-05-20,11.26,10.83,15000,11.26,10.83
2021-05-21,11.02,10.56,49000,11.02,10.56
2021-05-24,11.0,10.35,4500,11.0,10.35
2021-05-25,11.0,10.5,5500,11.0,10.5
2021-05-26,10.66,11.1,11000,11.1,10.66
2021-05-27,11.05,10.3,50000,11.05,10.3
2021-05-28,11.89,11.15,96000,11.89,11.15
2021-05-31,11.91,11.12,422500,11.91,11.12
2021-06-01,11.85,12.0,174000,12.0,11.85
2021-06-02,11.81,11.9,424000,11.9,11.81
2021-06-03,11.99,11.98,1786000,11.99,11.98
2021-06-04,11.89,11.99,1234500,11.99,11.89
2021-06-07,11.7,12.0,85500,12.0,11.7
2021-06-08,11.77,11.95,51500,11.95,11.77
2021-06-09,11.56,11.51,4000,11.56,11.51
2021-06-10,11.9,11.8,330500,11.9,11.8
2021-06-11,11.71,12.0,182500,12.0,11.71
2021-06-14,11.88,11.5,262500,11.88,11.5
2021-06-15,11.8,11.8,148000,11.8,11.8
2021-06-16,11.9,11.89,217500,11.9,11.89
2021-06-17,12.9,11.9,6603500,12.9,11.9
2021-06-18,13.9,13.9,1050500,13.9,13.9
2021-06-21,14.94,14.94,4047500,14.94,14.94
2021-06-22,15.98,14.9,5770000,15.98,14.9
2021-06-23,16.27,16.1,4722500,16.27,16.1
2021-06-24,16.45,16.5,5570000,16.5,16.45
2021-06-25,16.62,15.75,6053500,16.62,15.75
2021-06-28,16.93,16.95,2390500,16.95,16.93
2021-06-29,17.36,17.0,3204000,17.36,17.0
2021-06-30,17.51,17.15,4776000,17.51,17.15
2021-07-01,17.17,17.75,1168500,17.75,17.17
2021-07-02,17.07,16.6,2566500,17.07,16.6
2021-07-05,17.1,16.8,910500,17.1,16.8
2021-07-06,16.57,17.3,1536500,17.3,16.57
2021-07-07,16.62,16.57,915500,16.62,16.57
2021-07-08,17.05,16.89,2334500,17.05,16.89
2021-07-09,18.32,17.0,5140500,18.32,17.0
2021-07-12,19.0,18.44,6089000,19.0,18.44
2021-07-13,19.01,19.4,3505500,19.4,19.01
2021-07-14,20.17,18.99,6511500,20.17,18.99
2021-07-15,20.67,20.49,7566000,20.67,20.49
2021-07-16,21.03,20.7,3294000,21.03,20.7
2021-07-19,21.02,21.03,1498500,21.03,21.02
2021-07-23,21.0,21.0,1394500,21.0,21.0
2021-07-26,20.64,20.75,900500,20.75,20.64
2021-07-27,20.05,20.95,1620500,20.95,20.05
2021-07-28,18.93,20.0,2894500,20.0,18.93
2021-07-29,18.77,18.5,1988000,18.77,18.5
2021-07-30,19.23,19.0,881000,19.23,19.0
2021-08-02,19.05,19.15,411000,19.15,19.05
2021-08-03,19.07,19.0,302500,19.07,19.0
2021-08-04,19.05,19.24,1728000,19.24,19.05
2021-08-05,19.03,19.0,1598500,19.03,19.0
2021-08-06,18.42,19.0,629500,19.0,18.42
2021-08-09,18.32,18.2,755000,18.32,18.2
