date,close,open,volume,high,low
2023-09-13,16.18,16.41,949680,16.41,16.18
2023-09-14,16.19,16.03,488156,16.19,16.03
2023-09-15,16.28,16.55,632634,16.55,16.28
2023-09-18,16.73,16.25,3608997,16.73,16.25
2023-09-19,16.55,16.75,1102407,16.75,16.55
2023-09-20,17.12,16.7,17803918,17.12,16.7
2023-09-21,17.04,17.12,1490129,17.12,17.04
2023-09-22,16.89,17.09,947692,17.09,16.89
2023-09-25,16.98,17.0,486329,17.0,16.98
2023-09-26,17.13,17.0,1240859,17.13,17.0
2023-09-27,17.11,17.29,2244984,17.29,17.11
2023-09-28,16.61,17.29,2158618,17.29,16.61
2023-10-02,16.57,16.82,422844,16.82,16.57
2023-10-03,16.22,16.6,733159,16.6,16.22
2023-10-04,16.19,16.2,828386,16.2,16.19
2023-10-05,16.38,16.06,684530,16.38,16.06
2023-10-06,16.38,16.5,519429,16.5,16.38
2023-10-09,16.21,16.4,657667,16.4,16.21
2023-10-10,16.64,16.25,1416880,16.64,16.25
2023-10-11,16.96,16.7,1402331,16.96,16.7
2023-10-12,17.23,17.19,4429159,17.23,17.19
2023-10-13,17.62,17.33,3677773,17.62,17.33
2023-10-16,17.64,18.0,2916620,18.0,17.64
2023-10-17,17.23,17.75,1336734,17.75,17.23
2023-10-18,17.12,17.16,619055,17.16,17.12
2023-10-19,17.29,17.24,998194,17.29,17.24
2023-10-20,17.2,17.39,1758162,17.39,17.2
2023-10-23,17.2,17.47,901231,17.47,17.2
2023-10-24,18.05,17.25,5969111,18.05,17.25
2023-10-25,17.46,18.13,2889284,18.13,17.46
2023-10-26,17.09,17.5,1381577,17.5,17.09
2023-10-27,16.98,17.18,1797955,17.18,16.98
2023-10-30,17.07,17.0,764068,17.07,17.0
2023-10-31,17.02,17.2,830248,17.2,17.02
2023-11-01,17.94,17.15,6953252,17.94,17.15
2023-11-02,17.71,18.0,2036313,18.0,17.71
2023-11-03,17.86,17.75,3562674,17.86,17.75
2023-11-06,17.92,17.85,1108693,17.92,17.85
2023-11-07,17.68,18.18,1503566,18.18,17.68
2023-11-08,18.25,17.69,5693089,18.25,17.69
2023-11-10,15.94,16.01,4401120,16.01,15.94
2023-11-13,16.35,16.03,3364330,16.35,16.03
2023-11-14,16.78,16.49,4126705,16.78,16.49
2023-11-15,16.68,16.89,2437858,16.89,16.68
2023-11-16,16.8,16.66,1631192,16.8,16.66
2023-11-17,17.2,16.89,4596145,17.2,16.89
2023-11-20,17.8,17.45,4101653,17.8,17.45
2023-11-21,18.04,17.99,6399889,18.04,17.99
2023-11-22,18.6,18.19,9528418,18.6,18.19
2023-11-23,18.7,18.73,4736842,18.73,18.7
2023-11-24,17.39,18.7,8009527,18.7,17.39
2023-11-27,17.14,17.25,2672589,17.25,17.14
2023-11-28,17.39,16.8,4281965,17.39,16.8
2023-11-29,17.3,17.39,2221422,17.39,17.3
2023-11-30,17.44,17.4,3489188,17.44,17.4
2023-12-01,17.62,17.5,2629067,17.62,17.5
2023-12-04,17.82,17.75,3219100,17.82,17.75
2023-12-05,17.66,17.85,1888690,17.85,17.66
2023-12-06,18.91,17.88,9469770,18.91,17.88
2023-12-07,18.67,19.1,3507793,19.1,18.67
2023-12-08,18.69,18.68,1638318,18.69,18.68
2023-12-11,19.23,18.65,7522214,19.23,18.65
2023-12-12,19.47,19.45,3956489,19.47,19.45
2023-12-13,18.48,19.65,5576128,19.65,18.48
2023-12-14,19.73,18.45,9520293,19.73,18.45
2023-12-15,21.21,20.69,12379925,21.21,20.69
2023-12-18,21.59,22.48,11373541,22.48,21.59
2023-12-19,19.97,21.58,9588819,21.58,19.97
2023-12-20,18.95,20.0,5359220,20.0,18.95
2023-12-21,19.82,19.01,3926582,19.82,19.01
2023-12-22,19.09,20.0,2213076,20.0,19.09
2023-12-26,17.66,19.25,1982860,19.25,17.66
2023-12-27,18.22,17.2,2457993,18.22,17.2
2023-12-28,18.32,18.24,2853295,18.32,18.24
2023-12-29,18.62,18.13,1546356,18.62,18.13
2024-01-01,19.84,18.64,3300094,19.84,18.64
2024-01-02,19.1,19.83,2117902,19.83,19.1
2024-01-03,19.48,19.02,4009584,19.48,19.02
2024-01-04,19.55,19.66,2686259,19.66,19.55
2024-01-05,19.14,19.7,4102524,19.7,19.14
2024-01-08,18.77,19.17,1133969,19.17,18.77
2024-01-09,18.71,19.0,1076942,19.0,18.71
2024-01-10,18.3,18.51,2263282,18.51,18.3
2024-01-11,19.68,18.2,14913475,19.68,18.2
2024-01-12,20.05,20.99,18214818,20.99,20.05
2024-01-15,19.03,20.24,3888916,20.24,19.03
2024-01-16,18.98,19.05,6152848,19.05,18.98
2024-01-17,20.05,19.09,36390498,20.05,19.09
2024-01-18,19.41,19.98,9636888,19.98,19.41
2024-01-19,18.54,19.6,7116926,19.6,18.54
2024-01-22,18.02,18.5,4693594,18.5,18.02
2024-01-23,18.45,18.2,5180591,18.45,18.2
2024-01-24,18.32,18.4,3833358,18.4,18.32
2024-01-25,18.05,18.4,2217170,18.4,18.05
2024-01-26,18.28,18.1,6522205,18.28,18.1
2024-01-29,17.76,18.3,14506217,18.3,17.76
2024-01-30,16.48,17.75,12470125,17.75,16.48
2024-01-31,16.72,16.6,3187609,16.72,16.6
2024-02-01,16.69,16.81,1414443,16.81,16.69
2024-02-02,17.05,16.7,4694276,17.05,16.7
2024-02-06,17.59,17.0,7002087,17.59,17.0
2024-02-07,17.82,17.75,4156225,17.82,17.75
2024-02-09,17.14,17.5,3912826,17.5,17.14
2024-02-12,16.12,17.13,5384854,17.13,16.12
2024-02-13,16.5,16.1,5782546,16.5,16.1
2024-02-14,17.25,16.73,3102801,17.25,16.73
