date,close,open,volume,high,low
2023-01-03,0.95,0.95,4000,0.95,0.95
2023-01-05,1.05,1.05,500,1.05,1.05
2023-01-09,0.8999999999999999,0.95,5000,0.95,0.8999999999999999
2023-01-13,1.14,1.14,500,1.14,1.14
2023-01-19,0.8500000000000001,0.8,2500,0.8500000000000001,0.8
2023-01-20,1.05,1.0,1000,1.05,1.0
2023-01-27,1.0,0.8,1000,1.0,0.8
2023-01-31,1.0,1.0,2000,1.0,1.0
2023-02-03,1.48,1.14,17000,1.48,1.14
2023-02-06,1.44,1.5,1500,1.5,1.44
2023-02-08,1.43,1.43,1000,1.43,1.43
2023-02-16,1.1,1.1,500,1.1,1.1
2023-02-28,0.95,1.12,6500,1.12,0.95
2023-03-03,1.35,0.8500000000000001,1000,1.35,0.8500000000000001
2023-03-08,0.75,0.95,4000,0.95,0.75
2023-03-10,0.76,0.76,1000,0.76,0.76
2023-03-16,0.72,0.72,1000,0.72,0.72
2023-03-22,1.05,0.99,5500,1.05,0.99
2023-03-24,1.05,1.05,1500,1.05,1.05
2023-03-28,1.0,0.8,1500,1.0,0.8
2023-03-30,0.8,0.8,500,0.8,0.8
2023-04-03,1.0,1.0,500,1.0,1.0
2023-04-05,0.8300000000000001,1.04,1000,1.04,0.8300000000000001
2023-04-06,1.15,1.0,1000,1.15,1.0
2023-04-07,1.38,1.38,500,1.38,1.38
2023-04-10,1.42,0.8999999999999999,1500,1.42,0.8999999999999999
2023-04-11,0.76,1.0,1000,1.0,0.76
2023-04-17,0.81,1.19,3500,1.19,0.81
2023-04-18,1.45,1.44,3000,1.45,1.44
2023-04-19,1.45,1.45,4000,1.45,1.45
2023-05-02,1.1,0.8999999999999999,6500,1.1,0.8999999999999999
2023-05-03,1.1,1.1,1000,1.1,1.1
2023-05-05,0.9199999999999999,0.9199999999999999,3000,0.9199999999999999,0.9199999999999999
2023-05-08,1.0,1.05,2000,1.05,1.0
2023-05-10,1.2,1.2,500,1.2,1.2
2023-05-15,1.28,1.3,1500,1.3,1.28
2023-05-16,0.96,1.0,5500,1.0,0.96
2023-05-18,1.05,1.05,3500,1.05,1.05
2023-05-22,0.8600000000000001,0.8999999999999999,10000,0.8999999999999999,0.8600000000000001
2023-05-25,0.8500000000000001,1.0,3500,1.0,0.8500000000000001
2023-05-29,1.1,1.1,500,1.1,1.1
2023-05-30,0.8999999999999999,0.8999999999999999,500,0.8999999999999999,0.8999999999999999
2023-05-31,0.8500000000000001,0.8600000000000001,5500,0.8600000000000001,0.8500000000000001
2023-06-02,0.81,0.81,5000,0.81,0.81
2023-06-06,0.81,0.97,10500,0.97,0.81
2023-06-07,0.8999999999999999,0.99,2000,0.99,0.8999999999999999
2023-06-23,0.95,0.75,1500,0.95,0.75
2023-06-27,0.6000000000000001,0.6000000000000001,1000,0.6000000000000001,0.6000000000000001
2023-07-06,0.8999999999999999,0.8999999999999999,1000,0.8999999999999999,0.8999999999999999
