date,close,open,volume,high,low
2021-02-26,31.38,32.85,45361711,32.85,31.38
2021-03-01,29.7,31.41,21200231,31.41,29.7
2021-03-02,30.22,30.0,12743403,30.22,30.0
2021-03-03,31.21,30.22,18165592,31.21,30.22
2021-03-04,29.76,29.5,16869099,29.76,29.5
2021-03-05,30.07,29.8,9469077,30.07,29.8
2021-03-08,30.96,30.89,45359701,30.96,30.89
2021-03-09,28.87,31.1,33334835,31.1,28.87
2021-03-10,27.33,28.99,25040513,28.99,27.33
2021-03-11,25.29,27.15,34888523,27.15,25.29
2021-03-12,26.56,25.3,88257772,26.56,25.3
2021-03-15,28.55,28.17,23636738,28.55,28.17
2021-03-16,29.97,29.25,37238113,29.97,29.25
2021-03-17,30.93,30.66,24570857,30.93,30.66
2021-03-18,29.43,31.2,19295882,31.2,29.43
2021-03-19,30.02,29.37,18095533,30.02,29.37
2021-03-22,29.78,29.9,9207693,29.9,29.78
2021-03-24,29.82,29.8,9826170,29.82,29.8
2021-03-25,30.03,29.95,28585670,30.03,29.95
2021-03-26,30.15,29.93,33859792,30.15,29.93
2021-03-29,28.01,29.95,20144148,29.95,28.01
2021-03-30,29.8,27.75,30811643,29.8,27.75
2021-03-31,29.74,30.5,24797985,30.5,29.74
2021-04-01,28.75,29.9,13991846,29.9,28.75
2021-04-02,28.95,28.97,14007705,28.97,28.95
2021-04-05,27.31,29.0,13355265,29.0,27.31
2021-04-06,29.22,27.62,16488242,29.22,27.62
2021-04-07,28.77,29.5,10267213,29.5,28.77
2021-04-08,29.56,28.99,13247006,29.56,28.99
2021-04-09,30.68,29.8,37428428,30.68,29.8
2021-04-12,30.83,30.7,17399903,30.83,30.7
2021-04-13,31.09,30.6,29889673,31.09,30.6
2021-04-14,30.85,31.2,8609187,31.2,30.85
2021-04-15,30.32,31.0,8111233,31.0,30.32
2021-04-16,30.44,30.41,3193024,30.44,30.41
2021-04-19,30.49,29.95,13240612,30.49,29.95
2021-04-20,32.47,30.99,30641019,32.47,30.99
2021-04-21,32.43,32.79,37615386,32.79,32.43
2021-04-22,31.37,32.35,19616604,32.35,31.37
2021-04-23,30.87,31.05,9741353,31.05,30.87
2021-04-26,31.51,30.5,26430060,31.51,30.5
2021-04-27,32.11,31.7,43442242,32.11,31.7
2021-04-28,31.67,32.5,15890665,32.5,31.67
2021-04-29,31.78,31.51,8388468,31.78,31.51
2021-04-30,30.79,31.99,10466337,31.99,30.79
2021-05-03,32.06,30.7,36363734,32.06,30.7
2021-05-04,34.46,32.5,33874028,34.46,32.5
2021-05-05,34.99,36.0,42393831,36.0,34.99
2021-05-06,35.71,34.99,11567159,35.71,34.99
2021-05-17,38.38,36.6,21536105,38.38,36.6
2021-05-18,41.25,39.81,30947188,41.25,39.81
2021-05-19,40.61,42.0,56945383,42.0,40.61
2021-05-20,40.93,41.0,20688968,41.0,40.93
2021-05-21,41.03,41.0,16559953,41.03,41.0
2021-05-24,41.26,41.1,20855367,41.26,41.1
2021-05-25,43.68,41.5,66837962,43.68,41.5
2021-05-26,45.22,44.0,45126446,45.22,44.0
2021-05-27,44.68,45.3,22691473,45.3,44.68
2021-05-28,44.82,44.5,14844690,44.82,44.5
2021-05-31,45.43,45.2,15558982,45.43,45.2
2021-06-01,46.01,45.55,25347183,46.01,45.55
2021-06-02,47.02,46.3,34546971,47.02,46.3
2021-06-03,45.85,47.02,12134318,47.02,45.85
2021-06-04,45.78,46.0,7573270,46.0,45.78
2021-06-07,46.48,46.2,13889077,46.48,46.2
2021-06-08,46.02,46.48,6070882,46.48,46.02
2021-06-09,46.53,46.25,12739857,46.53,46.25
2021-06-10,49.36,46.98,41825496,49.36,46.98
2021-06-11,49.36,49.5,17088400,49.5,49.36
2021-06-14,48.05,50.0,24697001,50.0,48.05
2021-06-15,48.16,48.45,13524255,48.45,48.16
2021-06-16,47.87,48.25,6007867,48.25,47.87
2021-06-17,45.97,47.99,27870529,47.99,45.97
2021-06-18,45.01,45.81,53688269,45.81,45.01
2021-06-21,45.23,45.06,20544323,45.23,45.06
2021-06-22,44.29,45.25,8090029,45.25,44.29
2021-06-23,42.65,44.05,15641467,44.05,42.65
2021-06-24,42.78,42.6,8880322,42.78,42.6
2021-06-25,42.89,42.5,15353013,42.89,42.5
2021-06-28,42.12,42.9,14963538,42.9,42.12
2021-06-29,43.71,42.5,11002746,43.71,42.5
2021-06-30,44.52,43.8,11114766,44.52,43.8
2021-07-01,45.76,44.6,8648067,45.76,44.6
2021-07-02,45.73,46.15,10840989,46.15,45.73
2021-07-05,44.6,45.45,5498657,45.45,44.6
2021-07-06,43.3,44.61,9953078,44.61,43.3
2021-07-07,43.0,43.3,16625400,43.3,43.0
2021-07-08,44.04,43.6,16692491,44.04,43.6
2021-07-09,42.67,44.14,8700393,44.14,42.67
2021-07-12,44.2,42.6,21478791,44.2,42.6
2021-07-13,43.73,44.3,7011300,44.3,43.73
2021-07-14,43.54,43.95,6365141,43.95,43.54
2021-07-15,44.74,43.5,22879174,44.74,43.5
2021-07-16,45.2,44.89,16983663,45.2,44.89
2021-07-19,44.9,45.2,4517166,45.2,44.9
2021-07-23,44.25,45.2,3200689,45.2,44.25
2021-07-26,43.82,44.25,3454006,44.25,43.82
2021-07-27,42.94,43.63,3713052,43.63,42.94
2021-07-28,40.58,43.0,12449488,43.0,40.58
2021-07-29,40.29,40.92,16147202,40.92,40.29
2021-07-30,39.86,40.41,8377586,40.41,39.86
2021-08-02,39.94,40.3,7854102,40.3,39.94
2021-08-03,40.65,40.34,11572700,40.65,40.34
2021-08-04,40.97,41.06,15858076,41.06,40.97
2021-08-05,40.42,40.9,6820759,40.9,40.42
2021-08-06,38.08,40.45,35953102,40.45,38.08
2021-08-09,37.54,38.3,12440601,38.3,37.54
2021-08-10,38.56,37.6,10666321,38.56,37.6
2021-08-11,38.84,39.2,9256503,39.2,38.84
