date,close,open,volume,high,low
2021-02-26,198.92,200.03,151600,200.03,198.92
2021-03-01,196.29,202.0,196500,202.0,196.29
2021-03-02,195.98,196.5,414600,196.5,195.98
2021-03-03,195.08,196.98,203100,196.98,195.08
2021-03-04,189.07,189.9,154500,189.9,189.07
2021-03-05,189.38,186.11,220900,189.38,186.11
2021-03-08,186.98,193.93,458300,193.93,186.98
2021-03-09,175.9,187.0,397800,187.0,175.9
2021-03-10,167.03,179.94,541600,179.94,167.03
2021-03-11,154.51,167.0,637700,167.0,154.51
2021-03-12,159.02,154.5,694900,159.02,154.5
2021-03-15,168.54,161.01,600600,168.54,161.01
2021-03-16,166.24,171.5,351900,171.5,166.24
2021-03-17,166.88,169.0,419700,169.0,166.88
2021-03-18,161.38,167.01,355800,167.01,161.38
2021-03-19,162.52,160.0,343300,162.52,160.0
2021-03-22,166.78,161.1,589700,166.78,161.1
2021-03-24,162.63,167.0,380700,167.0,162.63
2021-03-25,162.56,164.99,559900,164.99,162.56
2021-03-26,161.82,164.47,274400,164.47,161.82
2021-03-29,152.59,160.26,559100,160.26,152.59
2021-03-30,155.18,152.59,281600,155.18,152.59
2021-03-31,153.91,156.1,486200,156.1,153.91
2021-04-01,151.19,153.07,181300,153.07,151.19
2021-04-02,151.53,151.26,122800,151.53,151.26
2021-04-05,148.88,151.53,226700,151.53,148.88
2021-04-06,154.87,148.01,333200,154.87,148.01
2021-04-07,151.6,154.15,76300,154.15,151.6
2021-04-08,152.1,152.99,161800,152.99,152.1
2021-04-09,153.61,152.1,329400,153.61,152.1
2021-04-12,154.43,152.51,207000,154.43,152.51
2021-04-13,157.5,153.8,436600,157.5,153.8
2021-04-14,159.99,158.9,246700,159.99,158.9
2021-04-15,165.31,160.99,674000,165.31,160.99
2021-04-16,163.99,167.0,139000,167.0,163.99
2021-04-19,159.58,160.0,245400,160.0,159.58
2021-04-20,161.18,162.0,212300,162.0,161.18
2021-04-21,162.8,162.1,511200,162.8,162.1
2021-04-22,160.44,167.0,434500,167.0,160.44
2021-04-23,157.44,159.99,179400,159.99,157.44
2021-04-26,157.66,156.5,418200,157.66,156.5
2021-04-27,156.69,156.3,146300,156.69,156.3
2021-04-28,154.08,157.89,204700,157.89,154.08
2021-04-29,153.44,154.3,187700,154.3,153.44
2021-04-30,150.8,154.49,192700,154.49,150.8
2021-05-03,149.29,150.01,229100,150.01,149.29
2021-05-04,150.22,150.01,143100,150.22,150.01
2021-05-05,150.72,152.0,138700,152.0,150.72
2021-05-06,153.29,151.5,178400,153.29,151.5
2021-05-17,157.97,155.11,329200,157.97,155.11
2021-05-18,160.86,158.01,500900,160.86,158.01
2021-05-19,157.55,161.0,152300,161.0,157.55
