date,close,open,volume,high,low
2021-02-26,24.77,25.32,514000,25.32,24.77
2021-03-01,24.08,24.78,478000,24.78,24.08
2021-03-02,24.59,24.05,433000,24.59,24.05
2021-03-03,25.68,24.75,1407500,25.68,24.75
2021-03-04,24.58,24.9,871000,24.9,24.58
2021-03-05,24.66,24.8,566000,24.8,24.66
2021-03-08,24.22,25.0,907000,25.0,24.22
2021-03-09,22.73,24.1,788500,24.1,22.73
2021-03-10,22.06,22.83,455000,22.83,22.06
2021-03-11,20.82,22.01,790500,22.01,20.82
2021-03-12,21.38,21.15,2655000,21.38,21.15
2021-03-15,22.82,21.65,1329500,22.82,21.65
2021-03-16,22.48,23.35,719000,23.35,22.48
2021-03-17,22.96,22.88,910000,22.96,22.88
2021-03-18,22.03,23.0,578500,23.0,22.03
2021-03-19,22.33,22.35,1571000,22.35,22.33
2021-03-22,23.45,22.75,2199500,23.45,22.75
2021-03-24,23.18,23.68,449000,23.68,23.18
2021-03-25,23.68,23.25,2379000,23.68,23.25
2021-03-26,23.39,23.79,276000,23.79,23.39
2021-03-29,21.78,23.66,1978000,23.66,21.78
2021-03-30,22.45,22.0,1485000,22.45,22.0
2021-03-31,22.36,22.55,560000,22.55,22.36
2021-04-01,22.0,22.69,245500,22.69,22.0
2021-04-02,21.75,22.05,370000,22.05,21.75
2021-04-05,20.22,21.75,1371000,21.75,20.22
2021-04-06,20.65,20.5,1034000,20.65,20.5
2021-04-07,21.49,20.6,1654000,21.49,20.6
2021-04-08,23.1,21.7,1946500,23.1,21.7
2021-04-09,24.83,23.75,3478500,24.83,23.75
2021-04-12,24.99,25.01,3474000,25.01,24.99
2021-04-13,24.06,24.88,2779500,24.88,24.06
2021-04-14,23.59,24.02,1950500,24.02,23.59
2021-04-15,21.13,21.15,1331000,21.15,21.13
2021-04-16,21.12,21.1,388500,21.12,21.1
2021-04-19,20.52,20.85,563000,20.85,20.52
2021-04-20,20.2,20.65,2218000,20.65,20.2
2021-04-21,20.28,20.39,351000,20.39,20.28
2021-04-22,20.11,20.3,322500,20.3,20.11
2021-04-23,19.92,20.0,194000,20.0,19.92
2021-04-26,19.87,19.92,426500,19.92,19.87
2021-04-27,19.8,19.8,445000,19.8,19.8
2021-04-28,21.02,19.99,2278500,21.02,19.99
2021-04-29,21.25,21.5,1463500,21.5,21.25
2021-04-30,20.36,21.5,1282500,21.5,20.36
2021-05-03,19.52,20.26,632000,20.26,19.52
2021-05-04,19.98,19.72,1184500,19.98,19.72
2021-05-05,20.07,20.15,1938000,20.15,20.07
2021-05-06,20.05,19.62,1328000,20.05,19.62
2021-05-17,19.7,20.39,1381500,20.39,19.7
2021-05-18,19.86,19.89,1686000,19.89,19.86
2021-05-19,19.77,19.76,942000,19.77,19.76
2021-05-20,20.58,19.72,4770500,20.58,19.72
2021-05-21,20.22,20.65,2169500,20.65,20.22
2021-05-24,20.11,20.32,1762500,20.32,20.11
2021-05-25,20.12,20.07,3946500,20.12,20.07
2021-05-26,20.46,20.16,4662500,20.46,20.16
2021-05-27,21.99,20.6,10362500,21.99,20.6
2021-05-28,22.73,22.5,12067000,22.73,22.5
2021-05-31,24.43,22.73,9614500,24.43,22.73
2021-06-01,24.06,25.2,8927000,25.2,24.06
2021-06-02,23.99,22.72,5831500,23.99,22.72
2021-06-03,24.07,24.4,3628500,24.4,24.07
2021-06-04,24.91,24.25,10253500,24.91,24.25
2021-06-07,24.57,25.15,4560000,25.15,24.57
2021-06-08,24.51,24.9,4056000,24.9,24.51
2021-06-09,24.66,24.59,3961500,24.66,24.59
2021-06-10,26.32,24.75,13155000,26.32,24.75
2021-06-11,26.82,26.5,11235500,26.82,26.5
2021-06-14,27.17,27.2,9438000,27.2,27.17
2021-06-15,26.64,26.86,3187500,26.86,26.64
2021-06-16,26.17,26.74,3246500,26.74,26.17
2021-06-17,25.25,26.17,3845000,26.17,25.25
2021-06-18,25.02,25.3,3076500,25.3,25.02
2021-06-21,24.62,25.34,1221000,25.34,24.62
2021-06-22,24.68,24.6,1998000,24.68,24.6
2021-06-23,25.08,25.0,4005500,25.08,25.0
2021-06-24,24.82,25.3,6759500,25.3,24.82
2021-06-25,25.76,24.9,14121500,25.76,24.9
2021-06-28,26.9,25.75,18686000,26.9,25.75
2021-06-29,26.73,27.2,10063000,27.2,26.73
2021-06-30,27.26,27.1,15314500,27.26,27.1
2021-07-01,26.83,27.49,4947000,27.49,26.83
2021-07-02,26.57,27.15,3834000,27.15,26.57
2021-07-05,26.05,26.74,3413000,26.74,26.05
2021-07-06,25.05,26.16,5592500,26.16,25.05
2021-07-07,25.3,25.06,4089500,25.3,25.06
2021-07-08,26.06,25.32,5978000,26.06,25.32
2021-07-09,26.1,26.4,6296500,26.4,26.1
2021-07-12,25.2,26.35,3924500,26.35,25.2
