date,close,open,volume,high,low
2023-09-13,5.68,5.78,19500,5.78,5.68
2023-09-14,5.71,5.7,11500,5.71,5.7
2023-09-15,5.67,5.85,8500,5.85,5.67
2023-09-18,5.65,5.6,7500,5.65,5.6
2023-09-19,5.58,5.6,111000,5.6,5.58
2023-09-20,5.52,5.41,63000,5.52,5.41
2023-09-21,5.53,5.73,48500,5.73,5.53
2023-09-22,5.67,5.67,35000,5.67,5.67
2023-09-25,5.99,5.9,78500,5.99,5.9
2023-09-26,5.54,6.18,390500,6.18,5.54
2023-09-27,5.65,5.6,36000,5.65,5.6
2023-09-28,5.7,5.64,17000,5.7,5.64
2023-10-02,5.7,5.9,5500,5.9,5.7
2023-10-03,5.6,5.72,12000,5.72,5.6
2023-10-04,5.69,5.6,17500,5.69,5.6
2023-10-05,5.79,5.7,14500,5.79,5.7
2023-10-06,5.8,5.75,416500,5.8,5.75
2023-10-09,5.91,5.94,458500,5.94,5.91
2023-10-10,6.21,6.0,1370000,6.21,6.0
2023-10-11,6.26,6.29,598500,6.29,6.26
2023-10-12,6.21,6.29,665000,6.29,6.21
2023-10-13,6.2,6.3,824000,6.3,6.2
2023-10-16,6.41,6.26,882000,6.41,6.26
2023-10-17,6.79,6.4,1940000,6.79,6.4
2023-10-18,6.9,6.6,1259000,6.9,6.6
2023-10-19,6.8,6.95,1486000,6.95,6.8
2023-10-20,6.58,6.83,1638500,6.83,6.58
2023-10-23,7.02,6.84,2209000,7.02,6.84
2023-10-24,6.8,6.83,1261000,6.83,6.8
2023-10-25,6.64,6.79,1307000,6.79,6.64
2023-10-26,6.42,6.73,971500,6.73,6.42
2023-10-27,6.2,6.47,713000,6.47,6.2
2023-10-30,6.25,6.28,738500,6.28,6.25
2023-10-31,6.25,6.33,614500,6.33,6.25
2023-11-01,6.49,6.34,844500,6.49,6.34
2023-11-02,6.54,6.4,837500,6.54,6.4
2023-11-03,6.56,6.69,867000,6.69,6.56
2023-11-06,6.64,6.68,1630500,6.68,6.64
2023-11-07,6.69,6.64,1339000,6.69,6.64
2023-11-08,6.63,6.66,1508500,6.66,6.63
2023-11-10,6.61,6.72,1597000,6.72,6.61
2023-11-13,6.71,6.71,1162500,6.71,6.71
2023-11-14,6.84,6.66,1106500,6.84,6.66
2023-11-15,7.01,6.89,2333000,7.01,6.89
2023-11-16,7.13,7.11,2219500,7.13,7.11
2023-11-17,7.17,7.01,2395000,7.17,7.01
2023-11-20,7.58,7.24,3224000,7.58,7.24
2023-11-21,7.65,7.71,2541000,7.71,7.65
2023-11-22,7.66,7.6,1833500,7.66,7.6
2023-11-23,7.66,7.76,1367500,7.76,7.66
2023-11-24,7.44,7.65,1690000,7.65,7.44
2023-11-27,7.53,7.38,1032000,7.53,7.38
2023-11-28,7.51,7.5,2610000,7.51,7.5
2023-11-29,7.43,7.33,3825500,7.43,7.33
2023-11-30,7.26,7.36,1517000,7.36,7.26
2023-12-01,8.02,7.25,5513000,8.02,7.25
2023-12-04,8.73,7.9,4453000,8.73,7.9
2023-12-05,9.08,8.8,3216500,9.08,8.8
2023-12-06,9.02,9.04,3868500,9.04,9.02
2023-12-07,9.26,9.02,5936500,9.26,9.02
2023-12-08,9.47,9.3,3881000,9.47,9.3
2023-12-11,9.42,9.35,6197000,9.42,9.35
2023-12-12,9.65,9.5,4480000,9.65,9.5
2023-12-13,9.06,9.85,5026000,9.85,9.06
2023-12-14,9.39,9.2,5738500,9.39,9.2
2023-12-15,9.3,9.45,4170000,9.45,9.3
2023-12-18,8.83,9.37,4549500,9.37,8.83
2023-12-19,8.27,8.88,4089000,8.88,8.27
2023-12-20,8.26,8.29,2988500,8.29,8.26
2023-12-21,8.43,8.2,3339500,8.43,8.2
2023-12-22,8.44,8.5,3384500,8.5,8.44
2023-12-26,8.19,8.17,2053500,8.19,8.17
2023-12-27,8.01,8.2,2781500,8.2,8.01
2023-12-28,8.67,8.29,2913000,8.67,8.29
2023-12-29,8.39,8.7,3378500,8.7,8.39
2024-01-01,8.98,8.4,3342500,8.98,8.4
2024-01-02,8.92,9.0,2405000,9.0,8.92
2024-01-03,8.89,8.53,2038000,8.89,8.53
2024-01-04,8.72,8.41,2403000,8.72,8.41
2024-01-05,8.63,8.72,2326000,8.72,8.63
2024-01-08,8.42,8.65,1422500,8.65,8.42
2024-01-09,8.34,8.34,1100500,8.34,8.34
2024-01-10,8.31,8.3,1315500,8.31,8.3
2024-01-11,7.99,8.2,1505500,8.2,7.99
2024-01-12,8.21,8.0,1863000,8.21,8.0
2024-01-15,8.13,8.05,1141000,8.13,8.05
2024-01-16,7.96,7.93,1165500,7.96,7.93
2024-01-17,8.0,7.7,810000,8.0,7.7
2024-01-18,7.84,7.56,720500,7.84,7.56
2024-01-19,7.91,7.55,677500,7.91,7.55
2024-01-22,7.81,7.91,562500,7.91,7.81
2024-01-23,7.85,7.75,695000,7.85,7.75
2024-01-24,7.86,7.89,549000,7.89,7.86
2024-01-25,7.57,7.63,471500,7.63,7.57
2024-01-26,7.56,7.69,843000,7.69,7.56
2024-01-29,7.33,7.27,589500,7.33,7.27
2024-01-30,7.37,7.44,644000,7.44,7.37
2024-01-31,7.39,7.34,586500,7.39,7.34
2024-02-01,7.24,7.18,384000,7.24,7.18
2024-02-02,7.39,7.11,505000,7.39,7.11
2024-02-06,7.49,7.26,347000,7.49,7.26
2024-02-07,7.63,7.35,378000,7.63,7.35
2024-02-09,7.36,7.41,501000,7.41,7.36
2024-02-12,7.33,7.36,228000,7.36,7.33
2024-02-13,7.47,7.15,198000,7.47,7.15
2024-02-14,7.37,7.79,382000,7.79,7.37
2024-02-15,7.13,7.23,232000,7.23,7.13
2024-02-16,7.06,6.83,145000,7.06,6.83
2024-02-19,7.06,6.81,212500,7.06,6.81
2024-02-20,6.84,6.9,339000,6.9,6.84
2024-02-21,6.93,6.98,199000,6.98,6.93
2024-02-22,6.99,6.81,135000,6.99,6.81
2024-02-23,7.07,7.08,237500,7.08,7.07
2024-02-26,7.01,7.2,285000,7.2,7.01
2024-02-27,6.94,6.99,114500,6.99,6.94
2024-02-28,6.91,6.9,163500,6.91,6.9
2024-02-29,6.97,6.82,142500,6.97,6.82
2024-03-01,6.99,6.83,163000,6.99,6.83
2024-03-04,6.87,6.88,1730500,6.88,6.87
2024-03-05,6.81,6.94,198500,6.94,6.81
2024-03-06,6.8,6.76,163000,6.8,6.76
2024-03-07,6.75,6.71,299000,6.75,6.71
2024-03-08,6.98,6.79,655000,6.98,6.79
2024-03-11,6.95,7.0,470000,7.0,6.95
2024-03-12,6.86,7.1,132000,7.1,6.86
2024-03-13,6.64,6.85,187500,6.85,6.64
2024-03-14,6.84,6.8,125500,6.84,6.8
2024-03-15,6.82,6.93,134000,6.93,6.82
2024-03-18,6.83,6.83,133000,6.83,6.83
2024-03-19,6.93,6.74,108000,6.93,6.74
2024-03-20,6.74,6.8,112500,6.8,6.74
2024-03-21,6.72,6.61,145000,6.72,6.61
2024-03-22,6.54,6.72,158000,6.72,6.54
2024-03-25,6.49,6.52,107000,6.52,6.49
2024-03-26,6.53,6.44,120500,6.53,6.44
2024-03-27,6.58,6.42,113000,6.58,6.42
2024-03-28,6.63,6.39,152000,6.63,6.39
2024-03-29,6.87,6.7,180500,6.87,6.7
2024-04-01,6.83,6.7,135000,6.83,6.7
2024-04-02,6.63,6.65,175500,6.65,6.63
2024-04-03,6.65,6.6,225000,6.65,6.6
2024-04-04,6.73,6.65,153500,6.73,6.65
2024-04-08,6.89,6.73,113000,6.89,6.73
2024-04-09,6.83,6.71,187500,6.83,6.71
2024-04-15,6.78,6.55,166000,6.78,6.55
2024-04-16,6.78,6.7,257500,6.78,6.7
2024-04-17,6.69,6.75,133500,6.75,6.69
2024-04-18,6.64,6.67,135000,6.67,6.64
2024-04-19,6.63,6.55,176000,6.63,6.55
2024-04-22,6.62,6.63,237000,6.63,6.62
2024-04-23,6.62,6.52,299000,6.62,6.52
2024-04-24,6.6,6.7,177500,6.7,6.6
2024-04-25,6.61,6.67,126000,6.67,6.61
2024-04-26,6.4,6.56,218500,6.56,6.4
2024-04-29,6.58,6.51,525500,6.58,6.51
2024-04-30,6.61,6.57,903000,6.61,6.57
