date,close,open,volume,high,low
2023-09-13,2.81,2.89,1745000,2.89,2.81
2023-09-14,2.76,2.79,1236000,2.79,2.76
2023-09-15,2.85,2.89,509500,2.89,2.85
2023-09-18,2.77,2.8,791000,2.8,2.77
2023-09-19,2.93,2.87,11645500,2.93,2.87
2023-09-20,3.0,2.92,3502000,3.0,2.92
2023-09-21,3.0,3.07,557000,3.07,3.0
2023-09-22,3.06,2.95,1557500,3.06,2.95
2023-09-25,3.11,3.06,1505500,3.11,3.06
2023-09-26,3.02,3.13,1311500,3.13,3.02
2023-09-27,3.05,3.06,826500,3.06,3.05
2023-09-28,3.03,3.03,507500,3.03,3.03
2023-10-02,3.04,3.07,301500,3.07,3.04
2023-10-03,3.08,3.05,258000,3.08,3.05
2023-10-04,3.15,3.14,1564000,3.15,3.14
2023-10-05,3.05,3.15,712000,3.15,3.05
2023-10-06,3.02,3.03,95000,3.03,3.02
2023-10-09,3.0,2.95,365000,3.0,2.95
2023-10-10,3.0,3.02,1328500,3.02,3.0
2023-10-11,2.99,3.09,393500,3.09,2.99
2023-10-12,2.99,3.0,100000,3.0,2.99
2023-10-13,2.91,3.06,3029500,3.06,2.91
2023-10-16,2.99,3.0,741500,3.0,2.99
2023-10-17,2.99,3.02,2316500,3.02,2.99
2023-10-18,2.96,3.1,408000,3.1,2.96
2023-10-19,2.91,3.08,1916000,3.08,2.91
2023-10-20,2.88,2.9,1001000,2.9,2.88
2023-10-23,2.92,2.9,618000,2.92,2.9
2023-10-24,2.9,2.97,314500,2.97,2.9
2023-10-25,2.91,2.97,469500,2.97,2.91
2023-10-26,2.89,2.96,424500,2.96,2.89
2023-10-27,2.82,2.9,290500,2.9,2.82
2023-10-30,2.86,2.9,152500,2.9,2.86
2023-10-31,2.84,2.85,117500,2.85,2.84
2023-11-01,2.9,2.9,336500,2.9,2.9
2023-11-02,2.98,2.87,2256000,2.98,2.87
2023-11-03,3.15,2.97,8295000,3.15,2.97
2023-11-06,3.18,3.21,3225500,3.21,3.18
2023-11-07,3.19,3.14,4099000,3.19,3.14
2023-11-08,3.27,3.29,5295000,3.29,3.27
2023-11-10,3.28,3.3,3019500,3.3,3.28
2023-11-13,3.28,3.34,1878500,3.34,3.28
2023-11-14,3.2,3.23,997500,3.23,3.2
2023-11-15,3.21,3.27,3082000,3.27,3.21
2023-11-16,3.25,3.21,823000,3.25,3.21
2023-11-17,3.31,3.29,1434500,3.31,3.29
2023-11-20,3.49,3.35,6309000,3.49,3.35
2023-11-21,3.67,3.61,17244500,3.67,3.61
2023-11-22,3.63,3.68,2873500,3.68,3.63
2023-11-23,3.58,3.7,1783500,3.7,3.58
2023-11-24,3.68,3.61,4073500,3.68,3.61
2023-11-27,4.24,3.79,22758500,4.24,3.79
2023-11-28,4.01,4.35,8940500,4.35,4.01
2023-11-29,3.77,4.01,4266500,4.01,3.77
2023-11-30,3.69,3.82,1192000,3.82,3.69
2023-12-01,3.77,3.7,1673000,3.77,3.7
2023-12-04,3.78,3.77,1675000,3.78,3.77
2023-12-05,3.7,3.71,1087500,3.71,3.7
2023-12-06,3.75,3.75,1227500,3.75,3.75
2023-12-07,3.8,3.84,2074500,3.84,3.8
2023-12-08,3.85,3.81,2555500,3.85,3.81
2023-12-11,4.09,3.87,9615500,4.09,3.87
2023-12-12,4.01,4.15,3492000,4.15,4.01
2023-12-13,4.01,4.06,7829500,4.06,4.01
2023-12-14,4.33,4.05,19045500,4.33,4.05
2023-12-15,4.37,4.35,5658500,4.37,4.35
2023-12-18,4.23,4.49,3430500,4.49,4.23
2023-12-19,3.72,4.2,4323500,4.2,3.72
2023-12-20,3.65,3.97,1535000,3.97,3.65
2023-12-21,3.9,3.66,1523000,3.9,3.66
2023-12-22,4.03,4.05,6241500,4.05,4.03
2023-12-26,3.82,4.05,5505500,4.05,3.82
2023-12-27,3.82,3.8,2418000,3.82,3.8
2023-12-28,3.94,3.85,3328500,3.94,3.85
2023-12-29,3.91,3.95,1194500,3.95,3.91
2024-01-01,4.05,4.08,2072500,4.08,4.05
2024-01-02,4.03,4.08,2377500,4.08,4.03
2024-01-03,4.12,4.03,2482500,4.12,4.03
2024-01-04,4.41,4.24,14419500,4.41,4.24
2024-01-05,4.3,4.57,4250500,4.57,4.3
2024-01-08,4.13,4.32,3159000,4.32,4.13
2024-01-09,3.97,4.08,1971000,4.08,3.97
2024-01-10,4.01,4.06,1697500,4.06,4.01
2024-01-11,4.13,4.1,4626500,4.13,4.1
2024-01-12,4.08,4.29,2431500,4.29,4.08
2024-01-15,3.91,4.0,844000,4.0,3.91
2024-01-16,3.83,3.9,573000,3.9,3.83
2024-01-17,3.82,3.85,307000,3.85,3.82
2024-01-18,3.73,3.82,616000,3.82,3.73
2024-01-19,3.72,3.98,263000,3.98,3.72
2024-01-22,3.87,3.73,863000,3.87,3.73
2024-01-23,3.96,3.9,318500,3.96,3.9
2024-01-24,3.88,3.9,399000,3.9,3.88
2024-01-25,3.79,3.89,652000,3.89,3.79
2024-01-26,3.69,3.76,350000,3.76,3.69
2024-01-29,3.28,3.65,1411500,3.65,3.28
2024-01-30,3.29,3.34,969500,3.34,3.29
2024-01-31,3.22,3.26,787000,3.26,3.22
2024-02-01,3.21,3.23,102000,3.23,3.21
2024-02-02,3.24,3.19,216500,3.24,3.19
2024-02-06,3.38,3.3,527500,3.38,3.3
2024-02-07,3.47,3.45,483000,3.47,3.45
2024-02-09,3.43,3.3,444500,3.43,3.3
